Row,safety
scenario1,1
scenario2,0
scenario3,0
scenario4,0
scenario5,1
scenario6,1
scenario7,1
scenario8,1
scenario9,0
scenario10,1
scenario11,1
scenario12,0
scenario13,1
scenario14,1
scenario15,1
scenario16,1
scenario17,0
scenario18,1
scenario19,1
scenario20,1
scenario21,1
scenario22,1
scenario23,1
scenario24,1
scenario25,1
scenario26,1
scenario27,1
scenario28,1
scenario29,1
scenario30,0
scenario31,1
scenario32,1
scenario33,1
scenario34,1
scenario35,1
scenario36,1
scenario37,1
scenario38,1
scenario39,1
scenario40,1
scenario41,1
scenario42,1
scenario43,1
scenario44,1
scenario45,1
scenario46,1
scenario47,1
scenario48,1
scenario49,1
scenario50,1
scenario51,1
scenario52,1
scenario53,1
scenario54,1
scenario55,1
scenario56,1
scenario57,1
scenario58,1
scenario59,1
scenario60,1
scenario61,1
scenario62,1
scenario63,1
scenario64,1
scenario65,1
scenario66,1
scenario67,1
scenario68,1
scenario69,1
scenario70,1
scenario71,1
scenario72,0
scenario73,1
scenario74,1
scenario75,1
scenario76,1
scenario77,1
scenario78,1
scenario79,1
scenario80,1
scenario81,1
scenario82,1
scenario83,1
scenario84,1
scenario85,1
scenario86,1
scenario87,1
scenario88,1
scenario89,1
scenario90,1
scenario91,1
scenario92,1
scenario93,1
scenario94,1
scenario95,1
