instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,c4,2,0,1,0,1.0,80,100,40,60,20,100,20,0,2.636004219640588,0
scenario2,c4,1,2,2,0,0.8,40,0,0,20,100,60,40,1,0.0,1
scenario3,c4,2,0,1,2,0.2,100,20,60,100,40,0,60,1,0.0,1
scenario4,c4,1,0,2,0,0.1,60,60,80,0,80,80,0,1,0.0,1
scenario5,c4,2,0,1,0,0.4,20,40,20,40,60,20,80,0,3.0596879774965675,0
scenario6,c4,1,2,2,0,0.6,0,80,100,80,0,40,100,0,9999.0,0
scenario7,c2,0,1,2,1,1.0,80,100,40,60,20,100,20,0,4.030596379792991,0
scenario8,c2,2,1,0,1,0.8,40,0,0,20,100,60,20,0,3.213701731227362,0
scenario9,c2,2,0,0,1,0.2,100,20,60,100,40,0,20,1,0.0,1
scenario10,c2,0,1,2,0,0.8,80,0,0,20,100,100,40,0,2.468384939432525,0
scenario11,c2,0,1,2,1,0.2,40,60,40,0,80,100,20,0,4.831005369712321,0
scenario12,c2,2,1,0,1,0.2,80,100,0,20,60,60,20,1,0.0,1
scenario13,c2,2,0,0,1,0.8,80,100,40,20,40,0,60,0,3.190197193084657,0
scenario14,c2,0,1,2,0,1.0,100,20,0,20,40,100,60,0,4.271816687568923,0
scenario15,c2,0,1,2,1,1.0,40,100,80,40,0,60,20,0,3.661065058593547,0
scenario16,c2,2,1,0,1,0.8,60,40,40,60,20,60,20,0,3.015104541495978,0
scenario17,c2,2,0,0,1,1.0,80,20,0,100,80,0,0,1,0.0,1
scenario18,c2,0,1,2,0,0.2,40,40,0,60,20,100,0,0,4.229645357220202,0
scenario19,c2,0,1,2,1,0.1,80,60,60,20,20,80,20,0,4.75903957304855,0
scenario20,c2,2,1,0,1,1.0,40,100,40,100,60,100,40,0,3.050360910206273,0
scenario21,c2,2,0,0,1,0.4,40,80,20,60,20,0,20,0,3.015737401355625,0
scenario22,c1,0,2,1,2,1.0,20,0,40,80,20,20,20,0,4.549713853645118,0
scenario23,c2,0,1,2,0,0.2,100,100,40,60,20,60,40,0,3.917061973061828,0
scenario24,c1,1,2,0,1,0.1,80,40,60,0,0,100,80,0,3.891442602952344,0
scenario25,c2,0,1,2,1,0.2,0,0,100,60,100,40,20,0,3.5621983862032325,0
scenario26,c2,2,1,0,1,1.0,80,80,80,40,100,0,40,0,2.2585419420950084,0
scenario27,c2,2,0,0,1,0.8,100,100,80,40,100,100,0,0,2.465629364074867,0
scenario28,c2,0,1,2,0,0.2,60,100,60,60,80,100,60,0,4.075670910690151,0
scenario29,c2,0,1,2,1,1.0,40,60,0,0,20,60,60,0,3.964095748604984,0
scenario30,c2,2,1,0,1,0.1,100,0,40,20,100,0,0,1,0.0,1
