Row,safety
scenario1,0
scenario2,0
scenario3,0
scenario4,0
scenario5,0
scenario6,0
scenario7,0
scenario8,1
scenario9,0
scenario10,0
scenario11,0
scenario12,0
scenario13,0
scenario14,1
scenario15,0
scenario16,0
scenario17,0
scenario18,0
scenario19,0
scenario20,0
scenario21,0
scenario22,0
scenario23,0
scenario24,0
scenario25,0
scenario26,0
scenario27,1
scenario28,0
scenario29,0
scenario30,0
scenario31,0
scenario32,1
scenario33,0
scenario34,0
scenario35,1
scenario36,0
scenario37,0
scenario38,1
scenario39,0
scenario40,0
scenario41,1
scenario42,0
scenario43,0
scenario44,0
scenario45,0
scenario46,0
scenario47,0
scenario48,0
scenario49,0
scenario50,0
scenario51,1
scenario52,0
scenario53,0
scenario54,0
scenario55,0
scenario56,0
scenario57,0
scenario58,0
scenario59,1
scenario60,1
scenario61,0
