Row,startego,goalego,startother,goalother,roadfriction,fogdensity,precipitation,precipitationdeposits,cloudiness,windintensity,wetness,fogdistance
scenario1,2,0,0,1,0.4,100,20,20,60,40,0,100
scenario2,0,2,1,2,0.2,40,100,100,80,60,60,60
scenario3,0,1,2,0,0.4,20,0,40,0,80,20,40
scenario4,2,0,1,0,1,0,40,60,60,20,100,0
scenario5,1,2,0,2,0.1,80,60,80,40,0,80,20
scenario6,0,1,2,1,0.6,60,80,60,20,100,40,80
scenario7,1,2,0,2,0.4,60,40,0,20,60,80,0
scenario8,1,0,2,0,0.8,40,100,80,20,80,0,20
scenario9,0,1,2,1,0.2,0,80,0,100,0,20,100
scenario10,0,1,1,2,0.8,80,20,100,0,40,100,80
scenario11,0,2,1,2,1,100,0,20,100,100,60,20
scenario12,0,1,2,1,1,80,80,40,40,60,0,40
scenario13,2,0,1,0,0.6,20,60,0,40,20,60,80
scenario14,1,2,2,0,0.1,100,100,100,100,20,40,40
scenario15,2,1,0,1,1,60,60,80,60,80,20,60
scenario16,0,1,2,1,0.1,0,0,40,20,40,80,60
scenario17,2,0,0,1,0.2,40,60,40,100,100,100,0
scenario18,0,2,1,2,0.8,0,40,20,40,80,40,100
scenario19,1,2,0,2,0.6,20,20,60,80,40,20,20
scenario20,2,0,0,1,0.4,0,80,80,0,60,60,20
scenario21,1,2,0,1,0.8,20,80,100,60,20,80,20
scenario22,0,2,1,2,0.6,100,40,40,80,0,0,80
scenario23,2,0,1,0,0.8,60,0,80,80,100,100,40
scenario24,0,1,2,0,0.1,40,100,20,60,60,20,80
scenario25,0,1,2,0,0.2,80,40,100,20,40,60,40
scenario26,2,0,0,1,1,80,100,0,0,40,40,0
scenario27,1,0,2,0,0.1,40,20,0,0,0,100,60
scenario28,2,0,1,0,1,40,20,80,80,20,80,100
scenario29,0,1,1,2,0.4,80,80,20,80,20,40,60
scenario30,1,2,0,1,0.1,20,40,60,100,100,0,60
scenario31,1,2,0,2,0.2,60,0,60,0,0,60,100
scenario32,2,0,1,2,0.6,40,0,100,60,0,40,0
scenario33,0,1,2,1,0.4,100,20,100,40,100,20,0
scenario34,1,2,0,2,0.6,0,20,20,100,80,80,40
scenario35,1,2,2,0,0.2,100,60,80,0,80,80,80
scenario36,2,0,1,0,0.2,60,20,40,20,20,40,20
scenario37,1,2,0,1,0.4,20,60,20,20,40,100,100
scenario38,0,1,2,1,0.1,60,0,20,0,20,0,0
scenario39,0,1,2,1,0.8,20,60,80,80,60,40,0
scenario40,2,0,1,0,0.8,100,80,60,40,80,100,60
scenario41,2,0,1,2,0.6,80,0,60,100,60,20,100
scenario42,0,2,1,2,0.1,80,100,40,60,80,60,0
scenario43,1,2,0,2,0.8,40,40,80,100,40,20,80
scenario44,2,0,1,0,0.2,20,100,0,40,0,0,40
scenario45,0,1,2,1,0.8,0,100,0,60,100,100,20
scenario46,2,0,1,0,1,0,60,100,0,100,0,100
scenario47,1,2,0,2,0.4,40,100,60,100,100,80,80
scenario48,0,2,1,2,1,100,40,20,20,20,20,20
scenario49,1,2,0,2,0.2,100,60,60,60,60,100,40
scenario50,0,1,2,1,1,0,0,0,80,80,60,80
scenario51,1,0,2,0,0.8,60,100,40,100,40,60,100
scenario52,2,0,1,0,0.8,40,80,20,20,0,60,0
scenario53,1,2,0,2,0.6,100,20,0,40,60,60,60
scenario54,0,1,2,0,0.6,40,80,80,0,40,100,40
scenario55,2,0,1,0,0.1,60,80,100,40,40,0,100
scenario56,1,2,0,2,1,20,40,20,0,0,80,0
scenario57,0,1,2,0,0.4,40,0,100,40,80,0,60
scenario58,2,0,0,1,0.2,80,40,20,80,100,0,60
scenario59,2,0,1,2,0.1,0,0,40,80,40,40,80
scenario60,2,0,1,2,0.4,100,60,40,80,0,80,80
scenario61,1,2,0,2,0.6,20,100,40,20,20,60,60
