instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,c2,2,0,0,1,0.4,100,20,20,60,40,0,100,0,9999.0,0
scenario2,c1,0,2,1,2,0.2,40,100,100,80,60,60,60,0,4.465029681300128,0
scenario3,c2,0,1,2,0,0.4,20,0,40,0,80,20,40,0,4.077807044855173,0
scenario4,c4,2,0,1,0,1.0,0,40,60,60,20,100,0,0,3.601591986595935,0
scenario5,c1,1,2,0,2,0.1,80,60,80,40,0,80,20,0,2.878538594125002,0
scenario6,c2,0,1,2,1,0.6,60,80,60,20,100,40,80,0,3.977543341516533,0
scenario7,c1,1,2,0,2,0.4,60,40,0,20,60,80,0,0,2.7123686544522445,0
scenario8,c4,1,0,2,0,0.8,40,100,80,20,80,0,20,1,0.0,1
scenario9,c2,0,1,2,1,0.2,0,80,0,100,0,20,100,0,3.268390295593821,0
scenario10,c1,0,1,1,2,0.8,80,20,100,0,40,100,80,0,4.953874311323726,0
scenario11,c1,0,2,1,2,1.0,100,0,20,100,100,60,20,0,3.1173904835236543,0
scenario12,c2,0,1,2,1,1.0,80,80,40,40,60,0,40,0,3.758340597593631,0
scenario13,c4,2,0,1,0,0.6,20,60,0,40,20,60,80,0,3.459418715500907,0
scenario14,c4,1,2,2,0,0.1,100,100,100,100,20,40,40,1,0.0,1
scenario15,c2,2,1,0,1,1.0,60,60,80,60,80,20,60,0,3.0544126150123505,0
scenario16,c2,0,1,2,1,0.1,0,0,40,20,40,80,60,0,5.077499277139888,0
scenario17,c2,2,0,0,1,0.2,40,60,40,100,100,100,0,0,3.4175638596551705,0
scenario18,c1,0,2,1,2,0.8,0,40,20,40,80,40,100,0,9999.0,0
scenario19,c1,1,2,0,2,0.6,20,20,60,80,40,20,20,0,5.492545355589254,0
scenario20,c2,2,0,0,1,0.4,0,80,80,0,60,60,20,0,3.2785444287921788,0
scenario21,c1,1,2,0,1,0.8,20,80,100,60,20,80,20,0,4.672246735064696,0
scenario22,c1,0,2,1,2,0.6,100,40,40,80,0,0,80,0,4.5207394721495895,0
scenario23,c4,2,0,1,0,0.8,60,0,80,80,100,100,40,0,3.395190576117374,0
scenario24,c2,0,1,2,0,0.1,40,100,20,60,60,20,80,0,3.4084685126378527,0
scenario25,c2,0,1,2,0,0.2,80,40,100,20,40,60,40,0,2.1183651448875023,0
scenario26,c2,2,0,0,1,1.0,80,100,0,0,40,40,0,0,2.5377185883359017,0
scenario27,c4,1,0,2,0,0.1,40,20,0,0,0,100,60,1,0.0,1
scenario28,c4,2,0,1,0,1.0,40,20,80,80,20,80,100,0,3.170429574214425,0
scenario29,c1,0,1,1,2,0.4,80,80,20,80,20,40,60,0,4.516965146826743,0
scenario30,c1,1,2,0,1,0.1,20,40,60,100,100,0,60,0,7.644379803019171,0
scenario31,c1,1,2,0,2,0.2,60,0,60,0,0,60,100,1,0.0,1
scenario32,c4,2,0,1,2,0.6,40,0,100,60,0,40,0,0,0.7860105575670351,0
scenario33,c2,0,1,2,1,0.4,100,20,100,40,100,20,0,0,3.216454397055302,0
scenario34,c1,1,2,0,2,0.6,0,20,20,100,80,80,40,0,3.279036742591388,0
scenario35,c4,1,2,2,0,0.2,100,60,80,0,80,80,80,1,0.0,1
scenario36,c4,2,0,1,0,0.2,60,20,40,20,20,40,20,0,3.326802092447632,0
scenario37,c1,1,2,0,1,0.4,20,60,20,20,40,100,100,0,8854.265570103738,0
scenario38,c2,0,1,2,1,0.1,60,0,20,0,20,0,0,0,3.147170399390552,0
scenario39,c2,0,1,2,1,0.8,20,60,80,80,60,40,0,0,4.906813702416607,0
scenario40,c4,2,0,1,0,0.8,100,80,60,40,80,100,60,0,3.3726472461963857,0
scenario41,c4,2,0,1,2,0.6,80,0,60,100,60,20,100,0,0.7852434762958957,0
scenario42,c1,0,2,1,2,0.1,80,100,40,60,80,60,0,0,4.227665780823726,0
scenario43,c1,1,2,0,2,0.8,40,40,80,100,40,20,80,0,5.440278366071615,0
scenario44,c4,2,0,1,0,0.2,20,100,0,40,0,0,40,0,2.6029705852066543,0
scenario45,c2,0,1,2,1,0.8,0,100,0,60,100,100,20,0,3.316710891834413,0
scenario46,c4,2,0,1,0,1.0,0,60,100,0,100,0,100,0,3.3428135204024483,0
scenario47,c1,1,2,0,2,0.4,40,100,60,100,100,80,80,0,2.7490868246888147,0
scenario48,c1,0,2,1,2,1.0,100,40,20,20,20,20,20,0,3.62740876508126,0
scenario49,c1,1,2,0,2,0.2,100,60,60,60,60,100,40,0,3.001671795800592,0
scenario50,c2,0,1,2,1,1.0,0,0,0,80,80,60,80,0,10.179438823517774,0
scenario51,c4,1,0,2,0,0.8,60,100,40,100,40,60,100,1,0.0,1
scenario52,c4,2,0,1,0,0.8,40,80,20,20,0,60,0,0,2.451648234481904,0
scenario53,c1,1,2,0,2,0.6,100,20,0,40,60,60,60,0,2.359378607473656,0
scenario54,c2,0,1,2,0,0.6,40,80,80,0,40,100,40,0,4.074657165866321,0
scenario55,c4,2,0,1,0,0.1,60,80,100,40,40,0,100,0,3.326587495922156,0
scenario56,c1,1,2,0,2,1.0,20,40,20,0,0,80,0,0,4.036480057399875,0
scenario57,c2,0,1,2,0,0.4,40,0,100,40,80,0,60,0,3.2759736393541026,0
scenario58,c2,2,0,0,1,0.2,80,40,20,80,100,0,60,0,3.602058351325925,0
scenario59,c4,2,0,1,2,0.1,0,0,40,80,40,40,80,1,0.0,1
scenario60,c4,2,0,1,2,0.4,100,60,40,80,0,80,80,0,0.8905493723668882,0
scenario61,c1,1,2,0,2,0.6,20,100,40,20,20,60,60,0,4.016742447199938,0
