Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,startego
scenario1,0,20,0.8,20,3,0,100,60,0,40,20,1
scenario2,1,100,0.2,100,1,60,20,40,1,20,0,2
scenario3,1,40,0.8,40,1,80,100,80,1,80,40,2
scenario4,1,40,0.2,0,3,60,80,0,0,80,40,0
scenario5,1,0,0.1,40,1,20,40,20,1,80,100,2
scenario6,1,0,0.6,40,3,80,20,60,0,60,0,0
scenario7,0,0,0.6,20,2,80,40,40,0,60,60,2
scenario8,1,40,0.4,80,3,100,0,80,1,20,0,0
scenario9,1,20,0.1,20,1,100,20,40,1,80,20,2
scenario10,0,20,0.2,40,3,60,60,60,0,100,0,1
scenario11,2,80,0.1,60,1,60,80,20,1,100,80,1
scenario12,1,40,0.4,0,1,40,0,100,1,60,0,2
scenario13,1,80,0.6,0,1,100,40,0,1,100,0,2
scenario14,1,0,0.4,40,3,80,20,80,0,100,60,0
scenario15,2,0,0.4,20,2,100,20,0,2,100,40,0
scenario16,1,80,0.6,80,2,40,40,40,2,20,0,0
scenario17,2,40,0.6,0,2,100,0,0,2,20,0,0
scenario18,2,80,0.6,100,0,100,80,60,2,0,0,1
scenario19,2,0,1,20,3,80,40,40,0,80,80,1
scenario20,0,80,0.6,60,3,60,80,40,0,40,60,1
scenario21,2,80,1,60,2,80,40,100,2,60,80,0
scenario22,2,0,0.1,80,1,80,80,20,1,100,100,1
scenario23,0,20,1,0,1,40,40,80,1,40,40,2
scenario24,2,0,0.1,100,0,0,0,100,2,80,0,1
scenario25,1,80,0.4,20,2,40,100,40,2,40,40,0
scenario26,1,80,0.1,80,1,0,100,60,1,20,20,2
scenario27,0,20,0.8,0,3,100,80,60,0,40,80,1
scenario28,0,80,0.4,60,3,20,0,20,0,20,60,1
scenario29,0,60,1,60,3,0,40,80,0,60,60,1
scenario30,0,0,0.2,0,3,60,100,100,0,80,40,1
scenario31,0,100,0.8,40,3,80,20,20,0,80,20,1
scenario32,0,80,1,20,2,80,60,80,2,60,0,2
scenario33,0,100,0.1,60,2,40,80,40,2,40,100,2
scenario34,1,40,0.1,40,2,80,0,20,2,60,20,0
scenario35,1,40,0.6,60,3,60,80,20,1,20,60,0
scenario36,1,20,0.4,20,2,20,40,40,2,100,40,0
scenario37,0,80,1,40,1,80,80,60,1,80,20,2
scenario38,0,40,0.1,40,3,60,20,0,0,80,100,1
scenario39,1,40,0.2,60,2,100,40,40,2,100,60,0
scenario40,0,20,0.8,0,2,40,20,40,0,60,100,2
scenario41,2,0,1,0,2,60,100,60,2,60,40,0
scenario42,1,80,0.1,60,3,60,60,100,1,40,80,0
scenario43,0,80,0.1,0,3,20,80,80,0,100,40,1
scenario44,2,40,0.8,60,2,60,0,100,2,40,20,0
scenario45,2,0,0.6,100,2,80,100,0,2,0,80,0
scenario46,1,80,0.4,60,1,0,20,60,1,40,100,2
scenario47,0,60,0.2,60,3,80,40,100,0,40,0,1
scenario48,0,0,0.4,100,2,40,40,60,2,20,20,2
scenario49,2,60,0.8,60,2,20,20,20,2,60,100,0
scenario50,0,60,0.1,80,3,40,20,20,0,80,40,1
scenario51,2,100,0.4,0,2,100,100,80,2,0,80,0
scenario52,0,100,0.2,80,3,100,80,40,0,20,40,1
scenario53,2,80,0.4,40,0,100,80,0,2,0,100,1
scenario54,0,80,0.6,80,1,80,40,100,1,40,100,2
scenario55,1,60,0.2,60,2,40,80,40,2,100,60,0
scenario56,2,0,0.1,80,2,80,60,80,2,20,0,0
scenario57,2,20,0.4,60,1,80,100,80,1,0,0,1
scenario58,1,60,0.2,0,1,100,20,80,1,60,40,2
scenario59,2,60,1,20,3,0,80,40,0,0,0,1
scenario60,0,40,0.2,80,1,80,40,100,1,20,20,2
scenario61,0,0,0.4,80,3,60,80,20,0,40,20,1
scenario62,0,100,0.8,60,3,40,40,80,0,80,60,1
scenario63,0,80,0.1,80,2,60,60,20,0,0,100,2
scenario64,1,80,1,20,3,40,100,40,0,40,40,0
scenario65,2,60,0.4,0,0,40,0,100,2,40,80,1
scenario66,0,20,0.1,20,1,60,60,40,1,0,60,2
scenario67,2,100,0.6,20,3,0,0,80,0,60,20,1
scenario68,0,100,0.8,0,2,80,80,80,2,100,0,2
scenario69,2,80,0.8,60,3,100,80,40,0,100,60,1
scenario70,0,80,0.6,20,3,40,100,60,0,20,40,1
scenario71,2,40,0.4,20,0,0,60,0,2,40,80,1
scenario72,2,40,1,20,2,40,80,80,2,0,60,0
scenario73,2,0,0.6,80,2,0,40,80,2,60,100,0
scenario74,2,80,1,0,2,80,0,60,2,60,20,0
scenario75,2,0,0.2,60,2,40,60,60,2,100,0,0
scenario76,1,40,0.1,0,2,0,60,60,2,40,20,0
scenario77,1,80,0.6,20,1,40,100,20,1,20,100,2
scenario78,2,80,1,0,2,80,0,100,2,60,20,0
scenario79,1,60,0.8,80,1,60,0,20,1,0,40,2
scenario80,0,100,0.6,20,1,60,100,60,1,40,60,2
scenario81,0,40,0.1,20,3,0,40,40,0,40,40,1
scenario82,2,100,0.4,0,1,80,80,20,1,20,60,1
scenario83,1,80,0.2,100,2,20,20,20,2,20,100,0
scenario84,1,60,0.1,20,3,80,100,40,0,60,100,0
scenario85,1,80,0.4,80,1,100,40,0,1,100,100,2
scenario86,1,60,0.2,0,1,40,40,80,1,60,80,2
scenario87,2,40,0.2,60,2,0,60,80,2,40,100,0
scenario88,1,40,0.6,40,2,40,60,40,2,100,40,0
scenario89,0,20,0.2,20,3,60,100,80,0,20,100,1
scenario90,0,100,0.6,100,2,80,60,40,2,80,80,2
scenario91,0,80,0.2,20,3,20,0,100,0,60,20,1
scenario92,0,80,0.1,100,3,20,80,80,0,40,20,1
scenario93,1,20,0.1,80,3,80,80,40,1,100,60,0
scenario94,0,20,1,0,3,60,20,0,0,40,60,1
scenario95,0,100,0.2,40,3,40,0,100,0,0,60,1
scenario96,2,0,1,0,0,80,20,20,2,80,100,1
scenario97,0,80,0.1,20,3,40,60,80,0,80,40,1
scenario98,0,100,0.4,100,3,0,20,40,0,100,20,1
scenario99,0,0,1,80,2,60,100,0,0,0,40,2
scenario100,0,60,0.8,0,1,0,0,0,1,60,100,2
scenario101,2,20,0.2,60,2,100,40,40,2,80,0,0
scenario102,0,100,0.2,0,1,80,40,0,1,60,40,2
scenario103,1,100,0.2,20,2,80,20,40,2,100,80,0
scenario104,2,60,0.4,0,2,20,60,80,2,80,60,0
scenario105,2,60,0.6,60,0,40,60,100,2,60,0,1
scenario106,2,20,1,100,2,0,60,100,2,20,40,0
scenario107,1,80,0.4,60,1,20,80,40,1,20,20,2
scenario108,2,0,0.2,100,2,100,60,60,2,80,20,0
scenario109,2,60,0.6,0,2,60,100,60,2,100,20,0
scenario110,0,0,0.4,100,3,40,40,20,0,0,100,1
scenario111,2,40,0.2,0,2,80,20,60,2,100,80,0
scenario112,0,20,0.1,100,1,60,40,100,1,60,0,2
scenario113,2,100,1,20,2,60,80,0,2,100,100,0
scenario114,0,60,0.1,60,2,80,20,60,0,100,100,2
scenario115,1,60,0.2,80,1,80,100,40,1,100,60,2
scenario116,2,20,0.1,80,2,100,60,40,2,20,0,0
scenario117,0,80,0.1,40,2,40,40,100,0,0,100,2
scenario118,2,100,0.6,80,2,40,40,80,2,20,80,0
scenario119,1,20,0.6,60,1,80,80,20,1,20,60,2
scenario120,1,80,0.4,0,2,40,60,80,2,0,20,0
scenario121,0,100,0.1,0,2,80,20,80,0,100,40,2
scenario122,0,60,0.4,100,3,80,20,0,0,20,40,1
scenario123,0,60,0.4,100,1,100,60,0,1,0,100,2
scenario124,0,0,0.8,80,3,100,20,100,0,20,100,1
scenario125,1,40,0.8,40,1,100,60,60,1,0,0,2
