instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario1,c4,0,20,0.8,20,3,0,100,60,0,40,20,1,1,0.0,1
scenario2,c2,1,100,0.2,100,1,60,20,40,1,20,0,2,0,9999.0,0
scenario3,c2,1,40,0.8,40,1,80,100,80,1,80,40,2,0,2.9158480366548534,0
scenario4,c2,1,40,0.2,0,3,60,80,0,0,80,40,0,0,3.544612565240472,0
scenario5,c2,1,0,0.1,40,1,20,40,20,1,80,100,2,0,3.106657273368059,0
scenario6,c2,1,0,0.6,40,3,80,20,60,0,60,0,0,0,3.0174594736592097,0
scenario7,c4,0,0,0.6,20,2,80,40,40,0,60,60,2,0,2.977600370781096,0
scenario8,c2,1,40,0.4,80,3,100,0,80,1,20,0,0,0,3.6754811048399074,0
scenario9,c2,1,20,0.1,20,1,100,20,40,1,80,20,2,0,2.6732615328374982,0
scenario10,c4,0,20,0.2,40,3,60,60,60,0,100,0,1,1,0.0,1
scenario11,c1,2,80,0.1,60,1,60,80,20,1,100,80,1,1,0.0,1
scenario12,c2,1,40,0.4,0,1,40,0,100,1,60,0,2,0,2.8409644486773327,0
scenario13,c2,1,80,0.6,0,1,100,40,0,1,100,0,2,0,3.2607153792960686,0
scenario14,c2,1,0,0.4,40,3,80,20,80,0,100,60,0,0,3.0491520772011844,0
scenario15,c1,2,0,0.4,20,2,100,20,0,2,100,40,0,0,9999.0,0
scenario16,c1,1,80,0.6,80,2,40,40,40,2,20,0,0,0,9999.0,0
scenario17,c1,2,40,0.6,0,2,100,0,0,2,20,0,0,0,9999.0,0
scenario18,c1,2,80,0.6,100,0,100,80,60,2,0,0,1,0,3.139493760204244,0
scenario19,c4,2,0,1.0,20,3,80,40,40,0,80,80,1,1,0.0,1
scenario20,c4,0,80,0.6,60,3,60,80,40,0,40,60,1,1,0.0,1
scenario21,c1,2,80,1.0,60,2,80,40,100,2,60,80,0,0,4.93442454053037,0
scenario22,c1,2,0,0.1,80,1,80,80,20,1,100,100,1,1,0.0,1
scenario23,c2,0,20,1.0,0,1,40,40,80,1,40,40,2,0,2.4912587305811003,0
scenario24,c1,2,0,0.1,100,0,0,0,100,2,80,0,1,0,3.1421508199161186,0
scenario25,c1,1,80,0.4,20,2,40,100,40,2,40,40,0,0,5.195661868311621,0
scenario26,c2,1,80,0.1,80,1,0,100,60,1,20,20,2,0,3.188878660720813,0
scenario27,c4,0,20,0.8,0,3,100,80,60,0,40,80,1,1,0.0,1
scenario28,c4,0,80,0.4,60,3,20,0,20,0,20,60,1,1,0.0,1
scenario29,c4,0,60,1.0,60,3,0,40,80,0,60,60,1,1,0.0,1
scenario30,c4,0,0,0.2,0,3,60,100,100,0,80,40,1,1,0.0,1
scenario31,c4,0,100,0.8,40,3,80,20,20,0,80,20,1,1,0.0,1
scenario32,c4,0,80,1.0,20,2,80,60,80,2,60,0,2,0,0.9487748979141316,0
scenario33,c4,0,100,0.1,60,2,40,80,40,2,40,100,2,1,0.0,1
scenario34,c1,1,40,0.1,40,2,80,0,20,2,60,20,0,0,9999.0,0
scenario35,c2,1,40,0.6,60,3,60,80,20,1,20,60,0,0,4.931397562371223,0
scenario36,c1,1,20,0.4,20,2,20,40,40,2,100,40,0,0,4.715017037357116,0
scenario37,c2,0,80,1.0,40,1,80,80,60,1,80,20,2,0,2.993657003952545,0
scenario38,c4,0,40,0.1,40,3,60,20,0,0,80,100,1,0,9738.445417207247,0
scenario39,c1,1,40,0.2,60,2,100,40,40,2,100,60,0,0,5.126794296215285,0
scenario40,c4,0,20,0.8,0,2,40,20,40,0,60,100,2,0,2.708644418514831,0
scenario41,c1,2,0,1.0,0,2,60,100,60,2,60,40,0,0,5.1981723334655445,0
scenario42,c2,1,80,0.1,60,3,60,60,100,1,40,80,0,0,4.876381339623993,0
scenario43,c4,0,80,0.1,0,3,20,80,80,0,100,40,1,1,0.0,1
scenario44,c1,2,40,0.8,60,2,60,0,100,2,40,20,0,0,4.584076826297496,0
scenario45,c1,2,0,0.6,100,2,80,100,0,2,0,80,0,0,9999.0,0
scenario46,c2,1,80,0.4,60,1,0,20,60,1,40,100,2,0,3.2949376571681106,0
scenario47,c4,0,60,0.2,60,3,80,40,100,0,40,0,1,1,0.0,1
scenario48,c4,0,0,0.4,100,2,40,40,60,2,20,20,2,0,1.0348971038984445,0
scenario49,c1,2,60,0.8,60,2,20,20,20,2,60,100,0,0,4.5445919717376535,0
scenario50,c4,0,60,0.1,80,3,40,20,20,0,80,40,1,1,0.0,1
scenario51,c1,2,100,0.4,0,2,100,100,80,2,0,80,0,0,2.323700825182993,0
scenario52,c4,0,100,0.2,80,3,100,80,40,0,20,40,1,1,0.0,1
scenario53,c1,2,80,0.4,40,0,100,80,0,2,0,100,1,0,2.896695214685218,0
scenario54,c2,0,80,0.6,80,1,80,40,100,1,40,100,2,0,3.4344900693130835,0
scenario55,c1,1,60,0.2,60,2,40,80,40,2,100,60,0,0,4.335222245728681,0
scenario56,c1,2,0,0.1,80,2,80,60,80,2,20,0,0,0,4.302448835708412,0
scenario57,c1,2,20,0.4,60,1,80,100,80,1,0,0,1,0,2.269039533763363,0
scenario58,c2,1,60,0.2,0,1,100,20,80,1,60,40,2,0,2.3691791944663523,0
scenario59,c4,2,60,1.0,20,3,0,80,40,0,0,0,1,1,0.0,1
scenario60,c2,0,40,0.2,80,1,80,40,100,1,20,20,2,0,6.106105974366089,0
scenario61,c4,0,0,0.4,80,3,60,80,20,0,40,20,1,1,0.0,1
scenario62,c4,0,100,0.8,60,3,40,40,80,0,80,60,1,1,0.0,1
scenario63,c4,0,80,0.1,80,2,60,60,20,0,0,100,2,0,2.148468083974882,0
scenario64,c2,1,80,1.0,20,3,40,100,40,0,40,40,0,0,4.052999568450906,0
scenario65,c1,2,60,0.4,0,0,40,0,100,2,40,80,1,0,2.460217955262749,0
scenario66,c2,0,20,0.1,20,1,60,60,40,1,0,60,2,0,3.473999398056059,0
scenario67,c4,2,100,0.6,20,3,0,0,80,0,60,20,1,1,0.0,1
scenario68,c4,0,100,0.8,0,2,80,80,80,2,100,0,2,1,0.0,1
scenario69,c4,2,80,0.8,60,3,100,80,40,0,100,60,1,1,0.0,1
scenario70,c4,0,80,0.6,20,3,40,100,60,0,20,40,1,1,0.0,1
scenario71,c1,2,40,0.4,20,0,0,60,0,2,40,80,1,0,8826.79792996223,0
scenario72,c1,2,40,1.0,20,2,40,80,80,2,0,60,0,0,4.49970231955166,0
scenario73,c1,2,0,0.6,80,2,0,40,80,2,60,100,0,0,4.883661074256641,0
scenario74,c1,2,80,1.0,0,2,80,0,60,2,60,20,0,0,4.85399438481374,0
scenario75,c1,2,0,0.2,60,2,40,60,60,2,100,0,0,0,5.164836985515372,0
scenario76,c1,1,40,0.1,0,2,0,60,60,2,40,20,0,0,4.555440569799321,0
scenario77,c2,1,80,0.6,20,1,40,100,20,1,20,100,2,0,3.486658100705317,0
scenario78,c1,2,80,1.0,0,2,80,0,100,2,60,20,0,0,4.607880746780856,0
scenario79,c2,1,60,0.8,80,1,60,0,20,1,0,40,2,0,9999.0,0
scenario80,c2,0,100,0.6,20,1,60,100,60,1,40,60,2,0,2.8669192867766564,0
scenario81,c4,0,40,0.1,20,3,0,40,40,0,40,40,1,0,1.8877274287467976,0
scenario82,c1,2,100,0.4,0,1,80,80,20,1,20,60,1,0,2.2299496985938934,0
scenario83,c1,1,80,0.2,100,2,20,20,20,2,20,100,0,0,4.886003667217126,0
scenario84,c2,1,60,0.1,20,3,80,100,40,0,60,100,0,0,4.186574693195734,0
scenario85,c2,1,80,0.4,80,1,100,40,0,1,100,100,2,0,2.822632570428928,0
scenario86,c2,1,60,0.2,0,1,40,40,80,1,60,80,2,0,2.4995164466176747,0
scenario87,c1,2,40,0.2,60,2,0,60,80,2,40,100,0,1,0.0,1
scenario88,c1,1,40,0.6,40,2,40,60,40,2,100,40,0,0,5.442393920667746,0
scenario89,c4,0,20,0.2,20,3,60,100,80,0,20,100,1,1,0.0,1
scenario90,c4,0,100,0.6,100,2,80,60,40,2,80,80,2,1,0.0,1
scenario91,c4,0,80,0.2,20,3,20,0,100,0,60,20,1,0,1.8399545810396407,0
scenario92,c4,0,80,0.1,100,3,20,80,80,0,40,20,1,1,0.0,1
scenario93,c2,1,20,0.1,80,3,80,80,40,1,100,60,0,0,4.647237149100608,0
scenario94,c4,0,20,1.0,0,3,60,20,0,0,40,60,1,0,9999.0,0
scenario95,c4,0,100,0.2,40,3,40,0,100,0,0,60,1,1,0.0,1
scenario96,c1,2,0,1.0,0,0,80,20,20,2,80,100,1,0,3.20402854675281,0
scenario97,c4,0,80,0.1,20,3,40,60,80,0,80,40,1,1,0.0,1
scenario98,c4,0,100,0.4,100,3,0,20,40,0,100,20,1,0,9999.0,0
scenario99,c4,0,0,1.0,80,2,60,100,0,0,0,40,2,0,2.85629406460304,0
scenario100,c2,0,60,0.8,0,1,0,0,0,1,60,100,2,0,2.649392917942578,0
scenario101,c1,2,20,0.2,60,2,100,40,40,2,80,0,0,1,0.0,1
scenario102,c2,0,100,0.2,0,1,80,40,0,1,60,40,2,0,9999.0,0
scenario103,c1,1,100,0.2,20,2,80,20,40,2,100,80,0,0,3.7374986228300857,0
scenario104,c1,2,60,0.4,0,2,20,60,80,2,80,60,0,0,2.701206310469348,0
scenario105,c1,2,60,0.6,60,0,40,60,100,2,60,0,1,0,2.902316994588779,0
scenario106,c1,2,20,1.0,100,2,0,60,100,2,20,40,0,0,9142.502664838556,0
scenario107,c2,1,80,0.4,60,1,20,80,40,1,20,20,2,0,3.4822632690579582,0
scenario108,c1,2,0,0.2,100,2,100,60,60,2,80,20,0,0,9999.0,0
scenario109,c1,2,60,0.6,0,2,60,100,60,2,100,20,0,0,4.57783387098887,0
scenario110,c4,0,0,0.4,100,3,40,40,20,0,0,100,1,0,9999.0,0
scenario111,c1,2,40,0.2,0,2,80,20,60,2,100,80,0,0,4.048961859298252,0
scenario112,c2,0,20,0.1,100,1,60,40,100,1,60,0,2,0,5.693126133041202,0
scenario113,c1,2,100,1.0,20,2,60,80,0,2,100,100,0,0,4.633775198680526,0
scenario114,c4,0,60,0.1,60,2,80,20,60,0,100,100,2,0,3.108064821243908,0
scenario115,c2,1,60,0.2,80,1,80,100,40,1,100,60,2,0,5.496660828219126,0
scenario116,c1,2,20,0.1,80,2,100,60,40,2,20,0,0,0,4.690814371876359,0
scenario117,c4,0,80,0.1,40,2,40,40,100,0,0,100,2,0,3.330826815298116,0
scenario118,c1,2,100,0.6,80,2,40,40,80,2,20,80,0,0,4.38178582443459,0
scenario119,c2,1,20,0.6,60,1,80,80,20,1,20,60,2,0,6.491940566777492,0
scenario120,c1,1,80,0.4,0,2,40,60,80,2,0,20,0,0,2.6276218782409053,0
scenario121,c4,0,100,0.1,0,2,80,20,80,0,100,40,2,0,1.973187651220012,0
scenario122,c4,0,60,0.4,100,3,80,20,0,0,20,40,1,0,9999.0,0
scenario123,c2,0,60,0.4,100,1,100,60,0,1,0,100,2,0,3.232576387055441,0
scenario124,c4,0,0,0.8,80,3,100,20,100,0,20,100,1,0,1.6494103859083058,0
scenario125,c2,1,40,0.8,40,1,100,60,60,1,0,0,2,0,2.7258829716794906,0
scenario126,c4,0,0,0.6,80,3,100,0,80,0,20,100,1,1,0.0,1
scenario127,c1,2,40,0.6,0,0,0,0,60,2,0,100,1,0,2.602453039529972,0
scenario128,c2,0,100,0.1,40,1,20,0,80,1,80,40,2,0,2.912937737294643,0
scenario129,c4,2,100,0.6,20,3,0,60,20,0,20,40,1,1,0.0,1
scenario130,c4,0,40,0.4,60,2,40,80,40,2,0,100,2,0,0.8822251981080206,0
scenario131,c1,2,0,0.4,20,0,80,80,0,2,40,80,1,0,682.0964742481406,0
scenario132,c4,2,0,1.0,100,3,40,80,0,0,40,100,1,1,0.0,1
scenario133,c4,0,0,0.4,100,3,60,20,40,0,100,0,1,0,9999.0,0
scenario134,c1,2,80,0.4,0,2,0,80,60,2,40,40,0,0,4.810648799663109,0
scenario135,c1,1,60,0.1,40,2,60,60,40,2,100,40,0,0,5.246130545666147,0
scenario136,c1,2,20,0.2,40,2,0,80,40,2,0,0,0,0,4.099509049228336,0
scenario137,c1,1,80,0.2,40,2,60,40,100,2,0,40,0,0,4.597762704556386,0
scenario138,c1,2,0,1.0,0,1,0,100,20,1,60,20,1,1,0.0,1
scenario139,c1,1,80,0.6,20,2,80,60,100,2,40,20,0,0,2.725058509289992,0
