Row,z_1,z_2
bnd_pnt_1,-2.42961510964263,0.754996399326465
bnd_pnt_2,-1.97918827236853,-1.52228801756946
bnd_pnt_3,-1.82571898190409,-1.98625368918165
bnd_pnt_4,-1.7122905439013,-2.27613601029316
bnd_pnt_5,-1.49240821082879,-2.73300512932871
bnd_pnt_6,-1.21061536614553,-2.8827764977196
bnd_pnt_7,0.568188090912425,-3.19385009152553
bnd_pnt_8,0.837914723585628,-3.20714254608411
bnd_pnt_9,0.903009485925027,-3.19020690737457
bnd_pnt_10,1.99007331722957,-2.65869246733488
bnd_pnt_11,2.37109437723841,-2.42481522595809
bnd_pnt_12,2.44204961845255,-2.12801242427859
bnd_pnt_13,2.44059540206792,-0.563223590443674
bnd_pnt_14,1.99016856479381,1.71406082645225
bnd_pnt_15,1.83669927432938,2.17802649806444
bnd_pnt_16,1.72327083632659,2.46790881917596
bnd_pnt_17,1.50338850325408,2.9247779382115
bnd_pnt_18,1.22159565857081,3.07454930660239
bnd_pnt_19,-0.557207798487136,3.38562290040832
bnd_pnt_20,-0.82693443116034,3.39891535496691
bnd_pnt_21,-0.892029193499739,3.38197971625737
bnd_pnt_22,-1.97909302480428,2.85046527621767
bnd_pnt_23,-2.36011408481312,2.61658803484088
bnd_pnt_24,-2.43106932602727,2.31978523316138
bnd_pnt_25,-2.42961510964263,0.754996399326465
