instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario1,c2,1,20,0.4,0,3,0,40,0,1,80,20,0,0,5.554577893340388,0
scenario2,c4,2,40,1.0,20,3,80,100,60,0,0,20,1,1,0.0,1
scenario3,c2,1,0,0.6,0,1,0,100,100,1,0,40,2,0,2.5465403958006374,0
scenario4,c1,2,80,0.1,80,2,0,60,100,2,100,20,0,0,4.3975791155240085,0
scenario5,c2,1,0,0.1,20,3,20,20,60,0,20,40,0,0,4.292461937104602,0
scenario6,c2,0,40,1.0,60,1,80,0,0,1,40,80,2,0,9999.0,0
scenario7,c4,0,20,1.0,40,2,40,0,100,2,80,80,2,1,0.0,1
scenario8,c4,0,80,0.6,0,3,100,100,60,0,40,100,1,1,0.0,1
scenario9,c2,1,60,1.0,60,3,0,80,20,0,60,100,0,0,3.007309686166124,0
scenario10,c2,0,100,0.8,0,1,20,100,80,1,20,80,2,0,2.3619652734695555,0
scenario11,c1,2,100,0.2,60,2,40,0,40,2,0,100,0,0,5.197068727326522,0
scenario12,c4,0,20,0.4,40,3,80,60,80,0,0,100,1,1,0.0,1
scenario13,c1,1,20,1.0,60,2,20,0,80,2,0,0,0,0,4.761439444321065,0
scenario14,c1,2,100,0.8,20,0,60,80,80,2,20,40,1,0,3.168263127176707,0
scenario15,c1,2,100,0.6,40,1,40,60,60,1,60,60,1,0,2.0682520993887854,0
scenario16,c4,2,20,0.8,20,3,0,20,80,0,80,60,1,1,0.0,1
scenario17,c4,0,0,0.4,80,2,100,80,20,0,100,100,2,0,2.928053995840449,0
scenario18,c2,1,100,0.1,100,3,100,60,40,0,60,0,0,0,3.06708357895102,0
scenario19,c4,0,0,0.8,40,2,40,0,80,0,20,100,2,0,2.868349044206289,0
scenario20,c2,0,60,0.2,60,1,60,80,0,1,40,40,2,0,9999.0,0
scenario21,c4,0,40,0.2,100,2,0,80,60,2,60,0,2,1,0.0,1
scenario22,c1,1,80,0.2,80,2,60,60,100,2,40,60,0,0,3.9710374455315742,0
scenario23,c4,2,60,0.4,100,3,40,40,40,0,40,60,1,0,9999.0,0
scenario24,c1,2,20,0.8,60,2,40,100,100,2,80,80,0,0,4.662151503788199,0
scenario25,c4,0,0,0.8,0,2,40,60,20,2,60,100,2,0,0.981105828126024,0
scenario26,c1,2,60,0.1,100,0,20,40,20,2,40,80,1,0,1293.715360193363,0
scenario27,c2,1,60,0.1,0,3,60,20,20,1,100,40,0,0,5.3576621835118665,0
scenario28,c4,0,80,0.6,40,2,60,80,0,0,20,80,2,0,2.572430811193147,0
scenario29,c1,2,60,0.2,0,1,80,0,80,1,80,60,1,1,0.0,1
scenario30,c4,0,20,0.6,100,2,100,40,0,2,80,40,2,1,0.0,1
scenario31,c1,2,40,0.2,20,0,60,40,40,2,0,20,1,0,3.856083561037354,0
scenario32,c1,1,100,0.1,100,2,80,60,60,2,20,0,0,0,0.7818764111450304,0
scenario33,c1,2,20,0.6,40,2,0,60,20,2,20,20,0,0,3.891289619847341,0
scenario34,c2,1,80,0.6,60,3,20,80,100,0,60,100,0,0,4.017235994981787,0
scenario35,c4,0,40,0.1,40,2,0,100,100,0,60,0,2,0,2.262399951860568,0
scenario36,c4,0,60,0.6,0,3,40,80,20,0,0,100,1,0,2.424507747116776,0
scenario37,c2,1,40,0.1,80,1,80,40,0,1,100,20,2,0,9999.0,0
scenario38,c4,0,60,0.8,0,2,40,40,100,2,40,40,2,1,0.0,1
scenario39,c1,2,80,0.6,100,1,100,80,0,1,20,80,1,1,0.0,1
scenario40,c2,1,60,0.6,80,3,40,20,60,1,100,60,0,0,3.5166491996042555,0
scenario41,c1,2,0,0.2,20,1,20,0,60,1,0,20,1,1,0.0,1
scenario42,c2,0,20,0.8,0,1,0,100,60,1,100,100,2,0,2.8801655565915265,0
scenario43,c1,2,0,0.1,60,2,0,20,20,2,80,0,0,0,6.9576461163062575,0
scenario44,c2,1,60,0.2,60,3,60,20,20,0,100,100,0,0,3.6473857209718665,0
scenario45,c2,1,80,0.2,80,3,60,0,80,1,20,60,0,0,5.5639447415097205,0
scenario46,c2,1,60,0.1,100,3,20,60,100,0,80,0,0,0,2.4744272041475663,0
scenario47,c2,1,0,0.8,20,3,60,20,60,0,60,40,0,0,4.215491403585964,0
scenario48,c1,2,100,0.4,60,0,40,20,100,2,20,100,1,0,2.7876690759681297,0
scenario49,c4,0,20,0.2,40,3,40,20,20,0,40,100,1,1,0.0,1
scenario50,c2,1,0,0.8,40,1,60,20,40,1,20,80,2,0,3.090846323741804,0
scenario51,c4,0,40,0.2,0,2,60,80,40,2,40,20,2,1,0.0,1
scenario52,c4,0,20,0.2,0,2,0,60,0,0,0,0,2,0,2.823960809528779,0
scenario53,c1,2,80,1.0,100,2,100,40,40,2,100,80,0,0,7144.146574505816,0
scenario54,c1,2,80,0.1,100,2,20,60,80,2,20,80,0,0,9999.0,0
scenario55,c4,0,20,0.1,0,3,40,80,0,0,60,100,1,0,9999.0,0
scenario56,c4,2,60,0.1,60,3,80,20,20,0,80,100,1,1,0.0,1
scenario57,c1,1,20,1.0,100,2,0,60,80,2,100,20,0,0,9999.0,0
scenario58,c4,2,40,1.0,0,3,80,80,80,0,100,20,1,1,0.0,1
scenario59,c2,0,20,0.4,100,1,20,100,100,1,40,60,2,0,9999.0,0
scenario60,c1,1,40,1.0,40,2,100,20,20,2,80,40,0,0,8.211306593910335,0
scenario61,c1,2,100,0.8,80,1,40,100,80,1,80,0,1,1,0.0,1
scenario62,c2,0,60,0.1,80,1,0,60,0,1,80,40,2,0,9999.0,0
scenario63,c1,2,80,0.8,60,0,60,40,40,2,40,0,1,0,3.1683115655992355,0
scenario64,c1,2,0,0.4,80,1,40,0,60,1,0,60,1,0,2.2252795808344468,0
scenario65,c2,0,40,0.8,100,1,100,0,40,1,20,20,2,0,2.928854879414362,0
scenario66,c4,0,80,0.4,20,2,20,40,0,0,0,100,2,0,2.955710291759765,0
scenario67,c4,2,100,0.8,40,3,0,0,80,0,100,60,1,0,2.0562404310300577,0
scenario68,c2,1,100,0.8,0,3,20,100,20,1,20,80,0,0,3.5809612810270464,0
scenario69,c1,2,100,0.6,80,2,80,100,20,2,60,80,0,0,4.385620848074368,0
scenario70,c4,0,0,1.0,40,3,0,0,60,0,60,60,1,1,0.0,1
scenario71,c1,1,60,0.1,40,2,60,60,100,2,60,40,0,0,3.863461045114794,0
scenario72,c4,0,60,0.4,80,2,20,0,60,2,20,40,2,1,0.0,1
scenario73,c4,0,60,0.1,0,2,0,100,100,0,80,20,2,0,2.113945386758373,0
scenario74,c1,2,0,0.2,40,1,60,100,60,1,40,100,1,1,0.0,1
scenario75,c4,0,0,0.2,100,2,60,60,40,2,60,80,2,1,0.0,1
scenario76,c1,2,80,0.2,20,2,100,100,80,2,60,100,0,0,4.620769995421048,0
scenario77,c2,1,0,1.0,0,3,100,20,60,0,100,40,0,0,1.9347098115644927,0
scenario78,c4,0,20,0.6,40,3,60,0,80,0,0,60,1,0,2.395481008701034,0
scenario79,c4,2,40,0.1,40,3,60,60,60,0,60,60,1,0,1.874542731553258,0
scenario80,c2,1,100,0.2,80,1,60,20,20,1,60,20,2,0,9999.0,0
scenario81,c1,2,40,0.6,60,1,100,80,20,1,40,100,1,0,1.7093457413414068,0
scenario82,c4,0,0,0.8,0,3,60,100,60,0,40,60,1,0,2.193655931770435,0
scenario83,c2,1,100,0.8,100,3,40,60,40,1,40,40,0,0,3.7731704665839874,0
scenario84,c2,0,60,1.0,20,1,20,20,40,1,40,40,2,0,3.2088040135865983,0
scenario85,c1,2,40,0.8,60,2,80,80,0,2,80,0,0,0,9999.0,0
scenario86,c2,1,80,0.1,100,1,40,0,80,1,100,100,2,0,3.708425704848244,0
scenario87,c4,0,40,0.1,100,2,80,60,20,0,60,80,2,0,3.1009490178582304,0
scenario88,c4,2,60,0.1,40,3,80,40,0,0,100,80,1,0,8949.315241615865,0
scenario89,c2,1,80,0.4,40,3,80,0,40,0,80,20,0,0,2.411833035425375,0
scenario90,c1,2,60,0.2,100,0,0,80,100,2,0,60,1,0,4.271529996293044,0
scenario91,c4,0,60,1.0,40,2,0,0,100,0,20,60,2,0,2.893878169572951,0
scenario92,c4,0,20,0.1,100,2,80,20,100,2,40,0,2,1,0.0,1
scenario93,c1,2,60,1.0,60,1,20,0,20,1,40,100,1,1,0.0,1
scenario94,c2,1,100,0.8,100,3,80,100,80,1,60,100,0,0,5.251516278223931,0
scenario95,c1,1,0,0.4,20,2,20,40,20,2,0,0,0,0,9999.0,0
scenario96,c1,1,0,1.0,80,2,100,0,40,2,0,60,0,0,4.782570751715182,0
scenario97,c1,2,60,0.6,40,2,60,60,20,2,0,20,0,0,4.608067749011329,0
scenario98,c4,2,0,0.6,60,3,60,20,40,0,40,20,1,1,0.0,1
scenario99,c1,2,80,0.8,60,0,0,100,40,2,60,80,1,0,3.784249733952424,0
scenario100,c2,1,60,0.8,20,3,40,80,0,0,60,40,0,0,3.998826571309707,0
scenario101,c4,0,0,0.4,20,3,40,40,80,0,40,0,1,1,0.0,1
scenario102,c4,2,20,0.2,0,3,60,80,40,0,0,40,1,1,0.0,1
scenario103,c4,0,80,0.2,0,2,100,60,100,2,100,100,2,1,0.0,1
scenario104,c4,0,100,0.1,20,2,80,40,60,2,20,80,2,0,1.0774600108755832,0
scenario105,c4,0,100,0.2,60,3,20,20,40,0,100,80,1,1,0.0,1
scenario106,c1,1,100,0.6,40,2,0,80,20,2,40,20,0,0,4.455689357822626,0
scenario107,c2,0,0,0.2,100,1,20,20,100,1,20,20,2,0,9999.0,0
scenario108,c4,2,60,1.0,20,3,60,60,100,0,0,80,1,0,1.8756620332976184,0
scenario109,c4,0,80,0.2,0,2,60,40,40,0,80,0,2,0,3.0104490168066995,0
scenario110,c2,1,100,0.6,0,1,100,60,80,1,80,40,2,0,2.4435339955819715,0
scenario111,c4,0,80,1.0,80,2,20,0,20,2,40,60,2,1,0.0,1
scenario112,c1,2,100,0.4,0,2,60,0,40,2,40,100,0,0,4.62732650626742,0
scenario113,c2,1,40,0.1,100,3,0,40,40,1,80,80,0,0,3.657391435873846,0
scenario114,c4,0,80,1.0,0,2,40,100,20,0,100,40,2,0,3.1140774788405183,0
scenario115,c4,2,20,0.8,20,3,100,80,0,0,80,20,1,0,9999.0,0
scenario116,c1,2,0,0.8,20,2,20,20,80,2,0,20,0,0,4.612446697659364,0
scenario117,c1,1,20,0.6,80,2,60,0,100,2,100,100,0,0,4.545003037082387,0
scenario118,c2,0,80,1.0,40,1,40,0,60,1,60,60,2,0,3.210024663317377,0
scenario119,c1,2,100,0.4,40,0,80,60,20,2,80,40,1,0,7.058792617117159,0
scenario120,c2,1,60,0.6,100,3,40,40,60,0,0,60,0,0,3.97598902334579,0
scenario121,c4,0,20,0.1,0,3,60,40,20,0,80,40,1,1,0.0,1
scenario122,c2,1,60,0.6,100,3,80,40,0,0,60,80,0,0,4.025300530268451,0
scenario123,c1,2,100,0.8,80,0,0,80,100,2,0,80,1,0,3.0579628444184808,0
scenario124,c1,2,40,0.4,60,1,80,100,80,1,0,100,1,0,1.7726346468794156,0
scenario125,c2,1,0,1.0,100,3,40,0,20,1,20,40,0,0,10.061128696340946,0
scenario126,c1,2,60,0.2,20,1,60,20,80,1,0,60,1,1,0.0,1
scenario127,c1,2,40,0.1,40,0,80,60,40,2,100,80,1,0,3.9009622684901912,0
