Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,startego
scenario1,1,20,0.4,0,3,0,40,0,1,80,20,0
scenario2,2,40,1,20,3,80,100,60,0,0,20,1
scenario3,1,0,0.6,0,1,0,100,100,1,0,40,2
scenario4,2,80,0.1,80,2,0,60,100,2,100,20,0
scenario5,1,0,0.1,20,3,20,20,60,0,20,40,0
scenario6,0,40,1,60,1,80,0,0,1,40,80,2
scenario7,0,20,1,40,2,40,0,100,2,80,80,2
scenario8,0,80,0.6,0,3,100,100,60,0,40,100,1
scenario9,1,60,1,60,3,0,80,20,0,60,100,0
scenario10,0,100,0.8,0,1,20,100,80,1,20,80,2
scenario11,2,100,0.2,60,2,40,0,40,2,0,100,0
scenario12,0,20,0.4,40,3,80,60,80,0,0,100,1
scenario13,1,20,1,60,2,20,0,80,2,0,0,0
scenario14,2,100,0.8,20,0,60,80,80,2,20,40,1
scenario15,2,100,0.6,40,1,40,60,60,1,60,60,1
scenario16,2,20,0.8,20,3,0,20,80,0,80,60,1
scenario17,0,0,0.4,80,2,100,80,20,0,100,100,2
scenario18,1,100,0.1,100,3,100,60,40,0,60,0,0
scenario19,0,0,0.8,40,2,40,0,80,0,20,100,2
scenario20,0,60,0.2,60,1,60,80,0,1,40,40,2
scenario21,0,40,0.2,100,2,0,80,60,2,60,0,2
scenario22,1,80,0.2,80,2,60,60,100,2,40,60,0
scenario23,2,60,0.4,100,3,40,40,40,0,40,60,1
scenario24,2,20,0.8,60,2,40,100,100,2,80,80,0
scenario25,0,0,0.8,0,2,40,60,20,2,60,100,2
scenario26,2,60,0.1,100,0,20,40,20,2,40,80,1
scenario27,1,60,0.1,0,3,60,20,20,1,100,40,0
scenario28,0,80,0.6,40,2,60,80,0,0,20,80,2
scenario29,2,60,0.2,0,1,80,0,80,1,80,60,1
scenario30,0,20,0.6,100,2,100,40,0,2,80,40,2
scenario31,2,40,0.2,20,0,60,40,40,2,0,20,1
scenario32,1,100,0.1,100,2,80,60,60,2,20,0,0
scenario33,2,20,0.6,40,2,0,60,20,2,20,20,0
scenario34,1,80,0.6,60,3,20,80,100,0,60,100,0
scenario35,0,40,0.1,40,2,0,100,100,0,60,0,2
scenario36,0,60,0.6,0,3,40,80,20,0,0,100,1
scenario37,1,40,0.1,80,1,80,40,0,1,100,20,2
scenario38,0,60,0.8,0,2,40,40,100,2,40,40,2
scenario39,2,80,0.6,100,1,100,80,0,1,20,80,1
scenario40,1,60,0.6,80,3,40,20,60,1,100,60,0
scenario41,2,0,0.2,20,1,20,0,60,1,0,20,1
scenario42,0,20,0.8,0,1,0,100,60,1,100,100,2
scenario43,2,0,0.1,60,2,0,20,20,2,80,0,0
scenario44,1,60,0.2,60,3,60,20,20,0,100,100,0
scenario45,1,80,0.2,80,3,60,0,80,1,20,60,0
scenario46,1,60,0.1,100,3,20,60,100,0,80,0,0
scenario47,1,0,0.8,20,3,60,20,60,0,60,40,0
scenario48,2,100,0.4,60,0,40,20,100,2,20,100,1
scenario49,0,20,0.2,40,3,40,20,20,0,40,100,1
scenario50,1,0,0.8,40,1,60,20,40,1,20,80,2
scenario51,0,40,0.2,0,2,60,80,40,2,40,20,2
scenario52,0,20,0.2,0,2,0,60,0,0,0,0,2
scenario53,2,80,1,100,2,100,40,40,2,100,80,0
scenario54,2,80,0.1,100,2,20,60,80,2,20,80,0
