Row,NumGoodAlgos
scenario1,1
scenario2,0
scenario3,1
scenario4,1
scenario5,1
scenario6,1
scenario7,0
scenario8,0
scenario9,1
scenario10,1
scenario11,1
scenario12,0
scenario13,1
scenario14,1
scenario15,0
scenario16,0
scenario17,1
scenario18,1
scenario19,1
scenario20,1
scenario21,0
scenario22,1
scenario23,1
scenario24,1
scenario25,0
scenario26,1
scenario27,1
scenario28,1
scenario29,0
scenario30,0
scenario31,1
scenario32,1
scenario33,1
scenario34,1
scenario35,1
scenario36,0
scenario37,1
scenario38,1
scenario39,1
scenario40,1
scenario41,0
scenario42,1
scenario43,1
scenario44,1
scenario45,1
scenario46,1
scenario47,1
scenario48,1
scenario49,0
scenario50,1
scenario51,1
scenario52,1
scenario53,1
scenario54,1
scenario55,0
scenario56,0
scenario57,1
scenario58,0
scenario59,1
scenario60,1
scenario61,0
scenario62,1
scenario63,1
scenario64,0
scenario65,1
scenario66,1
scenario67,0
scenario68,1
scenario69,1
scenario70,0
scenario71,1
scenario72,1
scenario73,1
scenario74,0
scenario75,0
scenario76,1
scenario77,1
scenario78,0
scenario79,0
scenario80,1
scenario81,0
scenario82,0
scenario83,1
scenario84,1
scenario85,1
scenario86,1
scenario87,1
scenario88,1
scenario89,1
scenario90,1
scenario91,1
scenario92,0
scenario93,0
scenario94,1
scenario95,1
scenario96,1
scenario97,1
scenario98,0
scenario99,1
scenario100,1
scenario101,0
scenario102,0
scenario103,0
scenario104,0
scenario105,0
scenario106,1
scenario107,1
scenario108,0
scenario109,1
scenario110,1
scenario111,0
scenario112,1
scenario113,1
scenario114,1
scenario115,1
scenario116,1
scenario117,1
scenario118,1
scenario119,1
scenario120,1
scenario121,0
scenario122,1
scenario123,1
scenario124,0
scenario125,1
scenario126,0
scenario127,1
scenario128,0
scenario129,0
scenario130,1
scenario131,1
scenario132,1
scenario133,1
scenario134,1
scenario135,1
scenario136,0
scenario137,1
scenario138,1
scenario139,1
scenario140,1
scenario141,1
scenario142,1
scenario143,1
scenario144,1
scenario145,1
scenario146,0
scenario147,0
scenario148,1
scenario149,0
scenario150,1
scenario151,1
scenario152,1
scenario153,1
scenario154,1
scenario155,0
scenario156,1
scenario157,1
scenario158,1
scenario159,1
scenario160,1
scenario161,1
scenario162,1
scenario163,0
scenario164,1
scenario165,1
scenario166,0
scenario167,1
scenario168,1
scenario169,0
scenario170,0
scenario171,1
scenario172,1
scenario173,1
scenario174,1
scenario175,1
scenario176,1
scenario177,1
scenario178,1
scenario179,1
scenario180,1
scenario181,0
scenario182,1
scenario183,0
scenario184,0
scenario185,0
scenario186,1
scenario187,1
scenario188,1
scenario189,1
scenario190,1
scenario191,1
scenario192,1
scenario193,1
scenario194,1
scenario195,0
scenario196,0
scenario197,0
scenario198,1
scenario199,0
scenario200,0
scenario201,1
scenario202,1
scenario203,1
scenario204,1
scenario205,0
scenario206,1
scenario207,1
scenario208,1
scenario209,1
scenario210,1
scenario211,1
scenario212,1
scenario213,1
scenario214,1
scenario215,1
scenario216,0
scenario217,1
scenario218,1
scenario219,1
scenario220,1
scenario221,1
scenario222,0
scenario223,1
scenario224,1
scenario225,1
scenario226,0
scenario227,1
scenario228,1
scenario229,0
scenario230,1
scenario231,1
scenario232,1
scenario233,1
scenario234,0
scenario235,1
scenario236,1
scenario237,0
scenario238,1
scenario239,0
scenario240,1
scenario241,1
scenario242,1
scenario243,1
scenario244,1
scenario245,1
scenario246,0
scenario247,1
scenario248,1
scenario249,0
scenario250,0
scenario251,1
scenario252,0
scenario253,1
scenario254,1
scenario255,1
scenario256,1
scenario257,1
scenario258,1
scenario259,1
scenario260,1
scenario261,1
scenario262,1
scenario263,1
scenario264,0
scenario265,1
scenario266,0
scenario267,0
scenario268,1
scenario269,1
scenario270,1
scenario271,1
scenario272,1
scenario273,1
scenario274,0
scenario275,1
scenario276,0
scenario277,1
scenario278,1
scenario279,0
scenario280,1
scenario281,1
scenario282,1
scenario283,1
scenario284,1
scenario285,1
scenario286,1
scenario287,0
scenario288,1
scenario289,0
scenario290,1
scenario291,1
scenario292,1
scenario293,1
scenario294,0
scenario295,1
scenario296,1
scenario297,1
scenario298,0
scenario299,1
scenario300,1
scenario301,0
scenario302,1
scenario303,1
scenario304,1
scenario305,1
scenario306,0
scenario307,1
scenario308,1
scenario309,1
scenario310,1
scenario311,1
scenario312,0
scenario313,1
scenario314,1
scenario315,1
scenario316,1
scenario317,1
scenario318,1
scenario319,0
scenario320,0
scenario321,1
scenario322,1
scenario323,1
scenario324,1
scenario325,0
scenario326,1
scenario327,1
scenario328,1
scenario329,1
scenario330,0
scenario331,1
scenario332,0
scenario333,0
scenario334,0
scenario335,1
scenario336,1
scenario337,0
scenario338,1
scenario339,0
scenario340,1
scenario341,1
scenario342,1
scenario343,0
scenario344,0
scenario345,1
scenario346,1
scenario347,1
scenario348,0
scenario349,0
scenario350,1
scenario351,1
scenario352,1
scenario353,0
scenario354,1
scenario355,0
scenario356,0
scenario357,1
scenario358,1
scenario359,1
scenario360,1
scenario361,1
scenario362,1
scenario363,0
scenario364,1
scenario365,1
scenario366,1
scenario367,1
scenario368,1
scenario369,1
scenario370,1
scenario371,1
scenario372,1
scenario373,1
scenario374,1
scenario375,1
scenario376,0
scenario377,1
scenario378,0
scenario379,0
scenario380,1
scenario381,1
scenario382,1
scenario383,1
scenario384,1
scenario385,1
scenario386,0
scenario387,1
scenario388,1
scenario389,1
scenario390,1
scenario391,1
scenario392,1
scenario393,0
scenario394,0
scenario395,0
scenario396,1
scenario397,0
scenario398,1
scenario399,1
scenario400,1
scenario401,1
scenario402,0
scenario403,1
scenario404,0
scenario405,1
scenario406,1
scenario407,1
scenario408,1
scenario409,1
scenario410,1
scenario411,1
scenario412,0
scenario413,0
scenario414,1
scenario415,0
scenario416,0
scenario417,0
scenario418,1
scenario419,0
scenario420,1
scenario421,0
scenario422,0
scenario423,1
scenario424,0
scenario425,1
scenario426,1
scenario427,1
scenario428,0
scenario429,1
scenario430,1
scenario431,1
scenario432,1
scenario433,1
scenario434,1
scenario435,1
scenario436,0
scenario437,1
scenario438,1
scenario439,0
scenario440,0
scenario441,1
scenario442,0
scenario443,1
scenario444,1
scenario445,1
scenario446,0
scenario447,1
scenario448,0
scenario449,1
scenario450,1
scenario451,1
scenario452,0
scenario453,0
scenario454,1
