Row,safety
scenario1,0
scenario2,1
scenario3,0
scenario4,0
scenario5,0
scenario6,0
scenario7,0
scenario8,1
scenario9,0
scenario10,0
scenario11,0
scenario12,1
scenario13,0
scenario14,0
scenario15,1
scenario16,1
scenario17,0
scenario18,0
scenario19,0
scenario20,0
scenario21,1
scenario22,0
scenario23,1
scenario24,0
scenario25,1
scenario26,0
scenario27,0
scenario28,0
scenario29,1
scenario30,1
scenario31,0
scenario32,0
scenario33,0
scenario34,0
scenario35,0
scenario36,1
scenario37,0
scenario38,0
scenario39,1
scenario40,0
scenario41,1
scenario42,0
scenario43,0
scenario44,0
scenario45,0
scenario46,0
scenario47,0
scenario48,0
scenario49,1
scenario50,0
scenario51,0
scenario52,0
scenario53,0
scenario54,0
scenario55,1
scenario56,1
scenario57,0
scenario58,1
scenario59,0
scenario60,0
scenario61,1
scenario62,0
scenario63,1
scenario64,1
scenario65,0
scenario66,0
scenario67,1
scenario68,0
scenario69,0
scenario70,1
scenario71,0
scenario72,0
scenario73,0
scenario74,1
scenario75,1
scenario76,0
scenario77,0
scenario78,1
scenario79,0
scenario80,0
scenario81,1
scenario82,0
scenario83,0
scenario84,0
scenario85,0
scenario86,0
scenario87,0
scenario88,0
scenario89,0
scenario90,0
scenario91,0
scenario92,1
scenario93,1
scenario94,0
scenario95,0
scenario96,0
scenario97,0
scenario98,1
scenario99,0
scenario100,0
scenario101,1
scenario102,1
scenario103,1
scenario104,1
scenario105,1
scenario106,0
scenario107,0
scenario108,1
scenario109,0
scenario110,0
scenario111,1
scenario112,1
scenario113,0
scenario114,0
scenario115,0
scenario116,0
scenario117,0
scenario118,0
scenario119,0
scenario120,0
scenario121,1
scenario122,0
scenario123,0
scenario124,1
scenario125,0
scenario126,1
scenario127,0
scenario128,1
scenario129,0
scenario130,0
scenario131,0
scenario132,0
scenario133,1
scenario134,0
scenario135,0
scenario136,1
scenario137,0
scenario138,0
scenario139,0
scenario140,0
scenario141,0
scenario142,0
scenario143,0
scenario144,0
scenario145,0
scenario146,1
scenario147,1
scenario148,0
scenario149,1
scenario150,0
scenario151,0
scenario152,0
scenario153,0
scenario154,0
scenario155,1
scenario156,0
scenario157,0
scenario158,0
scenario159,0
scenario160,0
scenario161,0
scenario162,0
scenario163,1
scenario164,0
scenario165,0
scenario166,1
scenario167,1
scenario168,0
scenario169,1
scenario170,1
scenario171,0
scenario172,0
scenario173,0
scenario174,1
scenario175,0
scenario176,1
scenario177,0
scenario178,0
scenario179,0
scenario180,0
scenario181,1
scenario182,0
scenario183,1
scenario184,0
scenario185,1
scenario186,0
scenario187,0
scenario188,0
scenario189,0
scenario190,0
scenario191,0
scenario192,0
scenario193,0
scenario194,0
scenario195,1
scenario196,1
scenario197,1
scenario198,0
scenario199,0
scenario200,0
scenario201,0
scenario202,0
scenario203,0
scenario204,0
scenario205,0
scenario206,0
scenario207,0
scenario208,0
scenario209,0
scenario210,0
scenario211,1
scenario212,0
scenario213,0
scenario214,0
scenario215,0
scenario216,0
scenario217,0
scenario218,0
scenario219,0
scenario220,0
scenario221,0
scenario222,1
scenario223,0
scenario224,0
scenario225,0
scenario226,1
scenario227,0
scenario228,0
scenario229,1
scenario230,0
scenario231,0
scenario232,0
scenario233,0
scenario234,1
scenario235,0
scenario236,0
scenario237,1
scenario238,0
scenario239,1
scenario240,0
scenario241,0
scenario242,0
scenario243,0
scenario244,1
scenario245,1
scenario246,1
scenario247,0
scenario248,0
scenario249,1
scenario250,1
scenario251,0
scenario252,0
scenario253,0
scenario254,0
scenario255,0
scenario256,0
scenario257,0
scenario258,0
scenario259,0
scenario260,0
scenario261,0
scenario262,0
scenario263,0
scenario264,0
scenario265,0
scenario266,0
scenario267,0
scenario268,1
scenario269,0
scenario270,0
scenario271,0
scenario272,0
scenario273,0
scenario274,1
scenario275,0
scenario276,1
scenario277,0
scenario278,1
scenario279,1
scenario280,0
scenario281,0
scenario282,0
scenario283,1
scenario284,0
scenario285,0
scenario286,0
scenario287,1
scenario288,0
scenario289,1
scenario290,0
scenario291,0
scenario292,0
scenario293,0
scenario294,0
scenario295,1
scenario296,1
scenario297,1
scenario298,0
scenario299,0
scenario300,0
scenario301,0
scenario302,0
scenario303,1
scenario304,0
scenario305,0
scenario306,1
scenario307,0
scenario308,0
scenario309,0
scenario310,0
scenario311,0
scenario312,1
scenario313,0
scenario314,1
scenario315,1
scenario316,0
scenario317,0
scenario318,1
scenario319,1
scenario320,1
scenario321,0
scenario322,0
scenario323,0
scenario324,0
scenario325,1
scenario326,0
scenario327,0
scenario328,0
scenario329,0
scenario330,1
scenario331,1
scenario332,1
scenario333,1
scenario334,0
scenario335,0
scenario336,1
scenario337,1
scenario338,1
scenario339,1
scenario340,0
scenario341,0
scenario342,1
scenario343,0
scenario344,0
scenario345,0
scenario346,0
scenario347,0
scenario348,1
scenario349,1
scenario350,0
scenario351,0
scenario352,0
scenario353,1
scenario354,1
scenario355,1
scenario356,1
scenario357,1
scenario358,0
scenario359,0
scenario360,0
scenario361,0
scenario362,0
scenario363,1
scenario364,1
scenario365,1
scenario366,0
scenario367,0
scenario368,1
scenario369,0
scenario370,0
scenario371,0
scenario372,1
scenario373,0
scenario374,1
scenario375,0
scenario376,1
scenario377,0
scenario378,1
scenario379,0
scenario380,0
scenario381,1
scenario382,1
scenario383,1
scenario384,0
scenario385,0
scenario386,0
scenario387,0
scenario388,0
scenario389,0
scenario390,0
scenario391,1
scenario392,0
scenario393,1
scenario394,1
scenario395,0
scenario396,0
scenario397,1
scenario398,0
scenario399,0
scenario400,0
scenario401,0
scenario402,1
scenario403,0
scenario404,1
scenario405,0
scenario406,0
scenario407,0
scenario408,0
scenario409,0
scenario410,0
scenario411,0
scenario412,0
scenario413,1
scenario414,0
scenario415,0
scenario416,1
scenario417,1
scenario418,0
scenario419,1
scenario420,0
scenario421,1
scenario422,1
scenario423,0
scenario424,1
scenario425,1
scenario426,0
scenario427,0
scenario428,0
scenario429,1
scenario430,0
scenario431,0
scenario432,0
scenario433,0
scenario434,0
scenario435,0
scenario436,1
scenario437,0
scenario438,0
scenario439,1
scenario440,1
scenario441,0
scenario442,1
scenario443,0
scenario444,0
scenario445,0
scenario446,1
scenario447,0
scenario448,1
scenario449,1
scenario450,0
scenario451,0
scenario452,0
scenario453,1
scenario454,0
scenario455,1
scenario456,1
scenario457,0
scenario458,0
scenario459,0
scenario460,0
scenario461,1
scenario462,1
scenario463,0
scenario464,1
scenario465,0
scenario466,0
scenario467,0
scenario468,1
scenario469,0
scenario470,0
scenario471,0
scenario472,1
scenario473,0
scenario474,1
scenario475,0
scenario476,0
scenario477,0
scenario478,1
scenario479,1
scenario480,0
scenario481,1
scenario482,0
scenario483,1
scenario484,1
scenario485,0
scenario486,1
scenario487,0
scenario488,0
scenario489,1
scenario490,0
scenario491,0
scenario492,1
scenario493,0
scenario494,0
scenario495,0
scenario496,0
scenario497,0
scenario498,0
scenario499,0
scenario500,0
scenario501,0
scenario502,1
scenario503,0
scenario504,1
scenario505,1
scenario506,0
scenario507,0
scenario508,1
scenario509,1
scenario510,0
scenario511,1
scenario512,0
scenario513,0
scenario514,0
scenario515,0
scenario516,0
scenario517,0
scenario518,1
scenario519,1
scenario520,0
scenario521,1
scenario522,1
scenario523,0
scenario524,0
scenario525,1
scenario526,0
scenario527,1
scenario528,0
scenario529,0
scenario530,1
scenario531,1
scenario532,1
scenario533,0
scenario534,0
scenario535,0
scenario536,1
scenario537,0
scenario538,0
scenario539,0
scenario540,0
scenario541,0
scenario542,0
scenario543,0
scenario544,0
scenario545,1
scenario546,0
scenario547,1
scenario548,0
scenario549,0
scenario550,0
scenario551,0
scenario552,0
scenario553,0
scenario554,0
scenario555,1
scenario556,0
scenario557,1
scenario558,0
scenario559,0
scenario560,1
scenario561,1
scenario562,0
scenario563,1
scenario564,0
scenario565,0
scenario566,0
scenario567,1
scenario568,1
scenario569,1
scenario570,1
scenario571,0
scenario572,0
scenario573,1
scenario574,0
scenario575,0
scenario576,0
scenario577,0
scenario578,1
scenario579,0
scenario580,0
scenario581,0
scenario582,1
scenario583,1
scenario584,1
scenario585,0
scenario586,0
scenario587,1
scenario588,0
scenario589,0
scenario590,0
scenario591,0
scenario592,0
scenario593,1
scenario594,0
scenario595,1
scenario596,1
scenario597,1
scenario598,1
scenario599,0
scenario600,0
scenario601,1
scenario602,0
scenario603,1
scenario604,0
scenario605,0
scenario606,0
scenario607,0
scenario608,0
scenario609,1
scenario610,0
scenario611,1
scenario612,0
scenario613,0
scenario614,0
scenario615,1
scenario616,0
scenario617,1
scenario618,0
scenario619,1
scenario620,1
scenario621,0
scenario622,0
scenario623,0
scenario624,0
scenario625,0
scenario626,0
scenario627,0
scenario628,0
scenario629,0
scenario630,0
scenario631,1
scenario632,0
scenario633,1
scenario634,1
scenario635,0
scenario636,0
scenario637,0
scenario638,0
scenario639,0
scenario640,1
scenario641,0
scenario642,0
scenario643,1
scenario644,0
scenario645,0
scenario646,0
scenario647,0
scenario648,0
