instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,c1,0,1,1,2,0,60,40,0,90,0,60,80,0.8,False,2.799,0
scenario2,c2,0,1,2,1,0,20,20,40,30,40,100,20,0.2,False,3.935,0
scenario3,c1,0,2,1,2,0,80,60,0,-90,40,100,60,0.1,False,2.158,0
scenario4,c1,1,2,0,1,100,20,20,0,-30,60,80,60,0.4,False,1.117,0
scenario5,c2,2,1,0,1,40,40,80,60,-60,80,100,80,0.8,True,0.0,1
scenario6,c2,2,1,0,1,60,100,80,60,60,80,100,100,0.8,False,1.011,0
scenario7,c2,0,1,2,0,40,80,0,100,-60,100,0,60,1.0,False,3.976,0
scenario8,c2,2,0,0,1,40,40,80,60,-90,100,60,60,0.8,False,0.638,0
scenario9,c2,2,1,0,1,20,80,0,100,-30,0,40,20,0.6,False,1.152,0
scenario10,c4,1,2,2,0,100,40,60,100,60,20,80,60,0.2,False,3.339,0
scenario11,c1,0,2,1,2,60,60,0,0,-60,60,20,0,0.4,False,1.885,0
scenario12,c2,0,1,2,1,60,100,60,0,-90,80,0,80,0.4,False,4.334,0
scenario13,c2,2,0,0,1,40,40,80,60,-90,100,60,60,0.8,False,1.037,0
scenario14,c2,2,1,0,1,40,60,100,80,-90,100,100,40,0.8,False,2.187,0
scenario15,c2,2,0,0,1,60,40,100,80,0,100,100,60,0.8,False,1.767,0
scenario16,c2,2,0,0,1,20,60,60,40,-90,80,60,0,0.6,False,0.624,0
scenario17,c2,2,0,0,1,40,40,60,40,30,100,80,60,0.8,False,0.943,0
scenario18,c4,1,0,2,0,20,40,100,80,90,100,60,40,0.8,False,1.56,0
scenario19,c1,1,2,0,2,60,60,100,80,-60,40,40,40,0.6,True,0.0,1
scenario20,c2,2,0,0,1,60,80,80,40,-90,100,40,80,0.8,False,0.833,0
scenario21,c2,2,0,0,1,60,20,100,60,60,100,0,80,0.6,False,0.744,0
scenario22,c1,1,2,0,2,40,60,80,40,60,100,60,60,0.8,False,1.156,0
scenario23,c2,2,0,0,1,40,60,80,80,-90,100,40,0,1.0,False,0.927,0
scenario24,c1,0,1,1,2,20,0,60,60,-60,80,40,80,1.0,False,1.64,0
scenario25,c1,1,2,0,2,60,60,100,80,-60,40,40,40,0.6,False,1.159,0
scenario26,c1,1,2,0,1,60,40,80,60,-90,100,60,40,0.6,False,1.263,0
scenario27,c4,1,0,2,0,40,40,60,40,30,100,100,60,0.8,False,3.246,0
scenario28,c1,1,2,0,2,40,80,100,20,60,100,80,20,0.8,False,1.626,0
scenario29,c2,2,0,0,1,20,0,40,100,-90,100,40,0,1.0,False,0.987,0
scenario30,c1,1,2,0,1,40,60,100,80,0,80,40,20,1.0,False,0.986,0
scenario31,c1,0,2,1,2,20,40,80,40,30,20,100,20,0.6,False,2.707,0
scenario32,c1,0,2,1,2,40,60,20,100,-90,80,100,60,0.8,False,1.295,0
scenario33,c4,1,0,2,0,0,20,100,80,90,80,40,40,0.8,False,2.724,0
scenario34,c1,1,2,0,1,60,80,80,40,60,100,60,40,1.0,False,3.53,0
scenario35,c1,1,2,0,2,60,60,80,60,-60,40,40,40,0.8,False,1.59,0
scenario36,c2,0,1,2,0,20,60,80,20,-60,100,20,20,0.8,False,3.496,0
scenario37,c1,1,2,0,1,40,60,100,80,0,80,40,20,1.0,False,0.905,0
scenario38,c4,2,0,1,0,40,20,40,100,-90,80,40,0,1.0,False,3.529,0
scenario39,c4,1,0,2,0,80,20,100,100,90,40,40,40,0.8,False,2.722,0
scenario40,c2,2,1,0,1,0,20,40,100,-60,100,20,0,1.0,False,1.606,0
scenario41,c2,0,1,2,0,40,60,100,40,-60,100,40,40,0.8,False,3.934,0
