instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario1,-90,20,40,0,0,0,0.8,0,100,0,0,0,c1,0.01539,0,2,1,2,0,2.027780503720084,0
scenario2,90,60,100,0,0,0,0.8,0,100,0,0,0,c2,0.00234,2,1,0,1,0,0.7860944536881654,0
scenario3,30,20,20,0,0,0,0.8,0,100,0,0,0,c4,0.00616,2,0,1,0,0,1.1504896490141492,0
scenario4,0,60,100,0,0,0,0.8,0,100,0,0,20,c1,0.00192,1,2,0,2,0,1668.0874881351915,0
scenario5,-90,20,100,0,20,40,0.8,0,100,0,0,20,c2,0.002,0,1,2,1,0,3.965571036985176,0
scenario6,90,60,20,0,0,0,0.8,0,100,0,0,20,c4,0.00311,1,2,2,0,0,9999.0,0
scenario7,-30,60,40,0,0,0,0.8,0,100,0,0,40,c1,0.0024,1,2,0,1,0,1659.840689214077,0
scenario8,-90,60,100,0,0,0,0.8,0,100,0,0,40,c2,0.00387,0,1,2,0,0,3.53397965933174,0
scenario9,90,20,60,0,0,0,0.8,0,100,0,0,40,c4,0.0053,1,0,2,0,0,9999.0,0
scenario10,-30,20,80,0,0,0,0.8,0,100,0,0,60,c1,0.00757,0,1,1,2,0,2.815637785438628,0
scenario11,30,20,80,0,0,0,0.8,0,100,0,0,60,c2,0.00677,2,0,0,1,0,2.3616821992564105,0
scenario12,60,60,60,0,0,0,0.8,0,100,0,0,60,c4,0.00245,2,0,1,2,0,1.5781356414590195,0
scenario13,-90,20,40,0,20,40,0.8,0,100,0,0,80,c1,0.00264,0,2,1,2,0,2.829250837561548,0
scenario14,-30,20,20,0,0,0,0.8,0,100,0,0,80,c2,0.00632,2,1,0,1,0,1.2385852774479678,0
scenario15,-90,60,20,0,0,0,0.8,0,100,0,0,80,c4,0.00342,2,0,1,0,0,3.4801173041407565,0
scenario16,0,40,60,0,0,0,0.8,0,100,0,0,100,c1,0.00289,1,2,0,2,0,9999.0,0
scenario17,-90,20,80,0,0,0,0.8,0,100,0,0,100,c2,0.01511,0,1,2,1,0,4.106823121476531,0
scenario18,-60,40,60,0,0,0,0.8,0,100,0,0,100,c4,0.00205,1,2,2,0,0,9999.0,0
scenario19,90,20,20,0,0,0,0.8,0,100,0,20,0,c1,0.00805,1,2,0,1,0,1634.6451921204946,0
scenario20,90,20,100,0,0,0,0.8,0,100,0,20,0,c2,0.00546,0,1,2,0,0,3.33819683857343,0
scenario21,-90,20,80,0,0,0,0.8,80,20,0,20,0,c4,0.00197,1,0,2,0,0,1.9296015893070144,0
scenario22,30,60,20,0,0,0,0.8,0,100,0,20,20,c1,0.00214,0,1,1,2,0,2.364336656593474,0
scenario23,-90,60,60,0,0,0,0.8,0,100,0,20,20,c2,0.00438,2,0,0,1,1,9999.0,1
scenario24,-60,40,100,0,0,0,0.8,0,100,0,20,20,c4,0.00213,2,0,1,2,0,1.548993571754425,0
scenario25,60,40,100,0,0,0,0.8,0,100,0,20,40,c1,0.00199,0,2,1,2,0,2.487625778654237,0
scenario26,60,20,40,0,0,0,0.8,0,100,0,20,40,c2,0.00777,2,1,0,1,0,2.134129975269542,0
scenario27,0,20,100,0,0,0,0.8,0,100,0,20,40,c4,0.00625,2,0,1,0,0,2.6661440083701686,0
scenario28,-60,40,20,0,0,0,0.8,0,100,0,20,60,c1,0.00261,1,2,0,2,0,7185.526369255134,0
scenario29,-30,60,80,0,0,0,0.8,0,100,0,20,60,c2,0.00233,0,1,2,1,0,3.681817328301651,0
scenario30,30,60,80,0,0,0,0.8,0,100,0,20,60,c4,0.00198,1,2,2,0,0,9999.0,0
scenario31,0,40,20,0,0,0,0.8,0,100,0,20,80,c1,0.00203,1,2,0,1,0,4457.209653847229,0
scenario32,90,60,60,0,0,0,0.8,0,100,0,20,80,c2,0.00233,0,1,2,0,0,3.760588059945421,0
scenario33,60,60,20,0,0,0,0.8,0,100,0,20,80,c4,0.00235,1,0,2,0,0,9999.0,0
scenario34,0,20,40,0,0,0,0.8,0,100,0,20,100,c1,0.00804,0,1,1,2,0,2.3384368072521773,0
scenario35,-60,20,40,0,0,0,0.8,0,100,0,20,100,c2,0.00692,2,0,0,1,0,2.382225363904065,0
scenario36,-60,20,80,0,0,0,0.8,0,100,0,20,100,c4,0.00606,2,0,1,2,0,1.5009315684798863,0
scenario37,60,20,80,0,0,0,0.8,0,100,0,40,0,c1,0.00578,0,2,1,2,0,3.523895299083778,0
scenario38,30,40,40,0,0,0,0.8,0,100,0,40,0,c2,0.00326,2,1,0,1,0,2.6094406307346474,0
scenario39,90,40,40,0,0,0,0.8,0,100,0,40,0,c4,0.00265,2,0,1,0,0,3.1353348463632043,0
scenario40,-60,60,40,0,0,0,0.8,0,100,0,40,20,c1,0.0026,1,2,0,2,0,1643.7230432866536,0
scenario41,-30,40,100,0,0,0,0.8,0,100,0,40,20,c2,0.00285,0,1,2,1,0,4.003531822142156,0
scenario42,-30,40,60,0,0,0,0.8,0,100,0,40,20,c4,0.00246,1,2,2,0,0,9999.0,0
scenario43,-60,60,80,0,0,0,0.8,0,100,0,40,40,c1,0.00224,1,2,0,1,0,1685.5167861338946,0
scenario44,0,60,40,0,0,0,0.8,0,100,0,40,40,c2,0.00242,0,1,2,0,0,3.8185149968966425,0
scenario45,30,40,100,0,0,0,0.8,0,100,0,40,40,c4,0.002,1,0,2,0,0,9999.0,0
scenario46,30,20,60,0,0,0,0.8,0,100,0,40,60,c1,0.00704,0,1,1,2,0,3.1860252197965666,0
scenario47,0,40,80,0,0,0,0.8,0,100,0,40,60,c2,0.00261,2,0,0,1,1,0.9300989161820276,1
scenario48,60,60,80,0,0,0,0.8,0,100,0,40,60,c4,0.00218,2,0,1,2,0,1.894127730822319,0
scenario49,90,40,80,0,0,0,0.8,0,100,0,40,80,c1,0.00203,0,2,1,2,0,2.883643017771104,0
scenario50,30,60,60,0,0,0,0.8,0,100,0,40,80,c2,0.00201,2,1,0,1,0,1.34863076449259,0
scenario51,-90,20,20,0,0,0,0.8,0,100,0,40,80,c4,0.01057,2,0,1,0,0,1.1332571042474175,0
scenario52,-30,20,40,0,0,0,0.8,0,100,0,40,100,c1,0.00741,1,2,0,2,0,3427.1882519293813,0
scenario53,-60,20,20,0,0,0,0.8,0,100,0,40,100,c2,0.00787,0,1,2,1,0,4.0187302373929255,0
