Row,timeofday,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
scenario1,-90,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario2,90,60,100,0,0,0,0.8,0,100,2,1,0,1
scenario3,30,20,20,0,0,0,0.8,0,100,2,0,1,0
scenario4,0,60,100,0,0,0,0.8,0,100,1,2,0,2
scenario5,-90,20,100,0,20,40,0.8,0,100,0,1,2,1
scenario6,90,60,20,0,0,0,0.8,0,100,1,2,2,0
scenario7,-30,60,40,0,0,0,0.8,0,100,1,2,0,1
scenario8,-90,60,100,0,0,0,0.8,0,100,0,1,2,0
scenario9,90,20,60,0,0,0,0.8,0,100,1,0,2,0
scenario10,-30,20,80,0,0,0,0.8,0,100,0,1,1,2
scenario11,30,20,80,0,0,0,0.8,0,100,2,0,0,1
scenario12,60,60,60,0,0,0,0.8,0,100,2,0,1,2
scenario13,-90,20,40,0,20,40,0.8,0,100,0,2,1,2
scenario14,-30,20,20,0,0,0,0.8,0,100,2,1,0,1
scenario15,-90,60,20,0,0,0,0.8,0,100,2,0,1,0
scenario16,0,40,60,0,0,0,0.8,0,100,1,2,0,2
scenario17,-90,20,80,0,0,0,0.8,0,100,0,1,2,1
scenario18,-60,40,60,0,0,0,0.8,0,100,1,2,2,0
scenario19,90,20,20,0,0,0,0.8,0,100,1,2,0,1
scenario20,90,20,100,0,0,0,0.8,0,100,0,1,2,0
scenario21,-90,20,80,0,0,0,0.8,80,20,1,0,2,0
scenario22,30,60,20,0,0,0,0.8,0,100,0,1,1,2
scenario23,-90,60,60,0,0,0,0.8,0,100,2,0,0,1
scenario24,-60,40,100,0,0,0,0.8,0,100,2,0,1,2
scenario25,60,40,100,0,0,0,0.8,0,100,0,2,1,2
scenario26,60,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario27,0,20,100,0,0,0,0.8,0,100,2,0,1,0
scenario28,-60,40,20,0,0,0,0.8,0,100,1,2,0,2
scenario29,-30,60,80,0,0,0,0.8,0,100,0,1,2,1
scenario30,30,60,80,0,0,0,0.8,0,100,1,2,2,0
scenario31,0,40,20,0,0,0,0.8,0,100,1,2,0,1
scenario32,90,60,60,0,0,0,0.8,0,100,0,1,2,0
scenario33,60,60,20,0,0,0,0.8,0,100,1,0,2,0
scenario34,0,20,40,0,0,0,0.8,0,100,0,1,1,2
scenario35,-60,20,40,0,0,0,0.8,0,100,2,0,0,1
scenario36,-60,20,80,0,0,0,0.8,0,100,2,0,1,2
scenario37,60,20,80,0,0,0,0.8,0,100,0,2,1,2
scenario38,30,40,40,0,0,0,0.8,0,100,2,1,0,1
scenario39,90,40,40,0,0,0,0.8,0,100,2,0,1,0
scenario40,-60,60,40,0,0,0,0.8,0,100,1,2,0,2
scenario41,-30,40,100,0,0,0,0.8,0,100,0,1,2,1
scenario42,-30,40,60,0,0,0,0.8,0,100,1,2,2,0
scenario43,-60,60,80,0,0,0,0.8,0,100,1,2,0,1
scenario44,0,60,40,0,0,0,0.8,0,100,0,1,2,0
scenario45,30,40,100,0,0,0,0.8,0,100,1,0,2,0
scenario46,30,20,60,0,0,0,0.8,0,100,0,1,1,2
scenario47,0,40,80,0,0,0,0.8,0,100,2,0,0,1
scenario48,60,60,80,0,0,0,0.8,0,100,2,0,1,2
scenario49,90,40,80,0,0,0,0.8,0,100,0,2,1,2
scenario50,30,60,60,0,0,0,0.8,0,100,2,1,0,1
scenario51,-90,20,20,0,0,0,0.8,0,100,2,0,1,0
scenario52,-30,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario53,-60,20,20,0,0,0,0.8,0,100,0,1,2,1
scenario54,60,20,20,0,0,0,0.8,0,100,1,2,2,0
scenario55,-90,40,40,0,0,0,0.8,0,100,1,2,0,1
scenario56,-90,40,80,0,0,0,0.8,0,100,0,1,2,0
scenario57,0,20,20,0,0,0,0.8,0,100,1,0,2,0
scenario58,60,40,40,0,0,0,0.8,0,100,0,1,1,2
scenario59,-30,40,20,0,0,0,0.8,0,100,2,0,0,1
scenario60,-90,20,60,0,0,0,0.8,0,100,2,0,1,2
scenario61,-90,20,100,0,0,0,0.8,0,100,0,2,1,2
scenario62,30,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario63,0,20,60,0,0,0,0.8,0,100,2,0,1,0
scenario64,0,20,80,0,0,0,0.8,0,100,1,2,0,2
scenario65,90,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario66,-30,20,100,0,0,0,0.8,0,100,1,2,2,0
scenario67,60,20,60,0,0,0,0.8,0,100,1,2,0,1
scenario68,-30,20,60,0,0,0,0.8,0,100,0,1,2,0
scenario69,-60,20,100,0,0,0,0.8,0,100,1,0,2,0
scenario70,60,20,100,0,0,0,0.8,0,100,0,1,1,2
scenario71,90,20,80,0,0,0,0.8,0,100,2,0,0,1
scenario72,30,20,100,0,0,0,0.8,0,100,2,0,1,2
scenario73,-60,20,60,0,0,0,0.8,0,100,0,2,1,2
scenario74,-90,40,60,0,0,0,0.8,0,100,2,1,0,1
scenario75,-90,40,100,0,0,0,0.8,0,100,2,0,1,0
scenario76,-90,60,40,0,0,0,0.8,0,100,1,2,0,2
scenario77,-90,60,80,0,0,0,0.8,0,100,0,1,2,1
scenario78,-90,40,20,0,0,0,0.8,0,100,1,2,2,0
scenario79,90,60,40,0,0,0,0.8,0,100,1,2,0,1
scenario80,0,40,40,0,0,0,0.8,0,100,0,1,2,0
scenario81,-30,40,40,0,0,0,0.8,0,100,1,0,2,0
scenario82,-30,40,80,0,0,0,0.8,0,100,0,1,1,2
scenario83,90,40,20,0,0,0,0.8,0,100,2,0,0,1
scenario84,-60,60,20,0,0,0,0.8,0,100,2,0,1,2
scenario85,60,60,40,0,0,0,0.8,0,100,0,2,1,2
scenario86,0,40,100,0,0,0,0.8,0,100,2,1,0,1
scenario87,30,60,40,0,0,0,0.8,0,100,2,0,1,0
scenario88,30,40,80,0,0,0,0.8,0,100,1,2,0,2
scenario89,60,40,20,0,0,0,0.8,0,100,0,1,2,1
scenario90,30,40,60,0,0,0,0.8,0,100,1,2,2,0
scenario91,-60,40,40,0,0,0,0.8,0,100,1,2,0,1
scenario92,60,40,60,0,0,0,0.8,0,100,0,1,2,0
scenario93,-60,60,100,0,0,0,0.8,0,100,1,0,2,0
scenario94,90,60,80,0,0,0,0.8,0,100,0,1,1,2
scenario95,-90,20,60,0,20,40,0.8,0,100,2,0,0,1
scenario96,0,60,80,0,0,0,0.8,0,100,2,0,1,2
scenario97,-90,20,80,0,20,40,0.8,0,100,0,2,1,2
scenario98,-60,40,80,0,0,0,0.8,0,100,2,1,0,1
scenario99,30,40,20,0,0,0,0.8,0,100,2,0,1,0
scenario100,0,60,60,0,0,0,0.8,0,100,1,2,0,2
scenario101,60,60,100,0,0,0,0.8,0,100,0,1,2,1
scenario102,60,40,80,0,0,0,0.8,0,100,1,2,2,0
scenario103,-30,60,100,0,0,0,0.8,0,100,1,2,0,1
scenario104,90,40,100,0,0,0,0.8,0,100,0,1,2,0
scenario105,90,40,60,0,0,0,0.8,0,100,1,0,2,0
scenario106,30,60,100,0,0,0,0.8,0,100,0,1,1,2
scenario107,-60,60,60,0,0,0,0.8,0,100,2,0,0,1
scenario108,-30,60,60,0,0,0,0.8,0,100,2,0,1,2
scenario109,-90,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario110,-90,20,80,0,0,0,0.8,0,100,2,1,0,1
scenario111,-90,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario112,-90,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario113,-90,20,80,0,0,0,0.8,0,100,0,1,2,1
scenario114,-90,20,40,0,0,0,0.8,0,100,1,2,2,0
scenario115,-90,20,60,0,0,0,0.8,0,100,1,2,0,1
scenario116,-90,20,40,0,0,0,0.8,0,100,0,1,2,0
scenario117,-90,20,40,0,0,0,0.8,0,100,1,0,2,0
scenario118,-90,20,60,0,0,0,0.8,0,100,0,1,1,2
scenario119,-90,20,80,0,0,0,0.8,0,100,2,0,0,1
scenario120,-90,20,80,0,0,0,0.8,0,100,2,0,1,2
scenario121,-90,20,40,0,0,0,0.8,0,100,0,2,1,2
scenario122,-90,20,40,0,0,0,0.8,0,100,2,1,0,1
scenario123,-90,20,40,0,0,0,0.8,0,100,2,0,1,0
scenario124,-90,20,40,0,0,0,0.8,0,100,1,2,0,2
scenario125,-90,20,40,0,0,0,0.8,0,100,0,1,2,1
scenario126,-90,20,20,0,20,40,0.8,0,100,1,2,2,0
scenario127,-30,60,20,0,0,0,0.8,0,100,1,2,0,1
scenario128,-90,20,40,0,0,0,0.8,0,100,0,1,2,0
