instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,visibility,roadsurface,vehiclestability,pathinteraction,probability,feature_startego,feature_goalego,feature_startother,feature_goalother,collision,min_ttc,algo_safety
scenario1,-60,20,40,60,0,0,0.8,20,80,0,0,0,c1,1e-05,0,1,1,2,0,3.424972226245613,0
scenario2,90,40,100,80,0,80,0.4,100,0,0,0,0,c2,1e-05,0,1,2,0,0,4.006780573451201,0
scenario3,60,20,60,0,80,100,0.1,0,100,0,0,0,c4,1e-05,2,0,1,0,0,2.3432038503706347,0
scenario4,-90,60,40,40,100,60,0.6,100,0,0,0,20,c1,1e-05,0,2,1,2,0,3.050850230798698,0
scenario5,90,60,40,0,0,0,0.8,20,80,0,0,20,c2,1e-05,2,1,0,1,0,1.0707343931688251,0
scenario6,-90,0,100,0,100,60,0.6,0,100,0,0,20,c4,1e-05,1,2,2,0,0,9999.0,0
scenario7,-60,80,100,0,0,80,0.4,80,20,0,0,40,c1,1e-05,1,2,0,2,0,1.5710622705309376,0
scenario8,60,40,20,20,100,40,0.6,100,0,0,0,40,c2,1e-05,2,0,0,1,0,0.6694880697235251,0
scenario9,-30,60,20,0,0,100,0.2,20,80,0,0,40,c4,1e-05,2,0,1,2,0,1.576372927676489,0
scenario10,90,20,20,0,0,100,0.6,80,20,0,0,60,c1,1e-05,1,2,0,1,1,9999.0,1
scenario11,30,40,80,80,20,40,0.8,40,60,0,0,60,c2,1e-05,0,1,2,1,0,4.484567355965963,0
scenario12,60,40,100,0,0,0,0.4,80,20,0,0,60,c4,1e-05,1,0,2,0,0,2.7825673531425106,0
scenario13,-30,20,20,20,100,0,0.6,0,100,0,0,80,c1,1e-05,0,1,1,2,0,1.8412921512577345,0
scenario14,-30,60,20,100,0,100,0.1,60,40,0,0,80,c2,1e-05,0,1,2,0,0,3.6545360113244127,0
scenario15,90,80,40,60,100,40,0.6,20,80,0,0,80,c4,1e-05,2,0,1,0,0,3.0588022842655453,0
scenario16,-90,40,100,100,0,80,0.4,100,0,0,0,100,c1,1e-05,0,2,1,2,0,1.7517529095517126,0
scenario17,-30,60,40,0,0,0,0.8,100,0,0,0,100,c2,1e-05,2,1,0,1,1,3.7089920118024007,1
scenario18,-90,20,20,0,0,100,0.1,80,20,0,0,100,c4,1e-05,1,2,2,0,0,1.8122937515936928,0
scenario19,0,60,100,0,0,40,0.8,0,100,0,20,0,c1,1e-05,1,2,0,2,0,3380.064604616942,0
scenario20,-30,20,100,0,80,40,0.6,80,20,0,20,0,c2,1e-05,2,0,0,1,0,0.4634182658249735,1
scenario21,-90,20,20,20,80,60,0.6,40,60,0,20,0,c4,1e-05,2,0,1,2,0,1.6274370627122965,0
scenario22,60,80,40,0,0,100,0.1,0,100,0,20,20,c1,1e-05,1,2,0,1,0,9999.0,0
scenario23,-30,20,80,40,0,80,0.4,20,0,0,20,20,c2,1e-05,0,1,2,1,0,4.1970561013173455,0
scenario24,-30,80,100,40,100,40,0.6,20,80,0,20,20,c4,1e-05,1,0,2,0,0,2.685749448105726,0
scenario25,-90,40,100,20,0,80,0.8,20,80,0,20,40,c1,1e-05,0,1,1,2,0,1.9620218589155831,0
scenario26,90,20,100,0,0,100,0.1,40,60,0,20,40,c2,1e-05,0,1,2,0,0,3.473430721426719,0
scenario27,60,20,100,20,80,0,0.6,40,60,0,20,40,c4,1e-05,2,0,1,0,0,2.6611246552627184,0
scenario28,-90,0,80,0,0,0,0.8,80,20,0,20,60,c1,1e-05,0,2,1,2,0,3.14753191246016,0
scenario29,0,40,40,0,0,100,0.8,80,20,0,20,60,c2,1e-05,2,1,0,1,1,0.6888047333572932,1
scenario30,0,0,40,0,20,40,0.8,40,60,0,20,60,c4,1e-05,1,2,2,0,1,9999.0,1
scenario31,90,0,100,0,40,40,0.6,0,100,0,20,80,c1,1e-05,1,2,0,2,0,1567.707786302941,0
scenario32,90,60,20,60,20,60,0.2,40,60,0,20,80,c2,1e-05,2,0,0,1,1,3.9244797484004006,1
scenario33,0,40,80,80,0,80,0.4,100,0,0,20,80,c4,1e-05,2,0,1,2,0,2.000101855975589,0
scenario34,30,20,20,40,100,40,0.6,40,60,0,20,100,c1,1e-05,1,2,0,1,0,2.9445581273291976,0
scenario35,-60,80,20,0,60,40,0.6,0,100,0,20,100,c2,1e-05,0,1,2,1,0,3.7853466316380615,0
scenario36,-90,20,100,40,100,0,0.6,40,60,0,20,100,c4,1e-05,1,0,2,0,0,2.944526554052292,0
scenario37,30,20,100,40,100,0,0.6,100,0,0,40,0,c1,1e-05,0,1,1,2,0,2.13182376613832,0
scenario38,-30,40,40,100,0,20,0.8,80,20,0,40,0,c2,1e-05,0,1,2,0,0,4.079163433725815,0
scenario39,-90,60,80,20,0,0,0.6,0,100,0,40,0,c4,1e-05,2,0,1,0,1,3.1244596588997755,1
scenario40,60,60,20,80,0,80,0.6,100,0,0,40,20,c1,1e-05,0,2,1,2,0,2.4265729892558143,0
scenario41,90,80,80,0,0,80,0.4,80,20,0,40,20,c2,1e-05,2,1,0,1,0,1.018415719668225,0
scenario42,90,20,100,60,100,40,0.6,0,100,0,40,20,c4,1e-05,1,2,2,0,0,9999.0,0
scenario43,90,20,60,20,60,60,0.6,40,60,0,40,40,c1,1e-05,1,2,0,2,1,1.03278170416534,1
scenario44,0,80,20,20,0,0,0.8,0,100,0,40,40,c2,1e-05,2,0,0,1,1,2.1209469614734955,1
scenario45,0,20,100,20,60,0,0.6,0,100,0,40,40,c4,1e-05,2,0,1,2,0,2.029545190066933,0
scenario46,30,20,100,80,0,0,0.8,100,0,0,40,60,c1,1e-05,1,2,0,1,1,9999.0,1
scenario47,90,20,20,0,0,0,0.6,80,20,0,40,60,c2,1e-05,0,1,2,1,0,4.061463976479981,0
scenario48,90,0,20,0,0,80,0.4,0,100,0,40,60,c4,1e-05,1,0,2,0,0,9999.0,0
scenario49,30,20,40,40,0,100,0.2,20,80,0,40,80,c1,1e-05,0,1,1,2,0,2.470148808519574,0
scenario50,-90,20,40,60,0,100,0.4,40,60,0,40,80,c2,1e-05,0,1,2,0,0,3.843662691433375,0
scenario51,-30,20,80,20,100,100,0.6,20,80,0,40,80,c4,1e-05,2,0,1,0,0,2.994802375938695,0
scenario52,90,20,60,40,40,40,0.8,100,0,0,40,100,c1,1e-05,0,2,1,2,0,2.8356357601196285,0
scenario53,90,80,100,0,40,40,0.6,0,100,0,40,100,c2,1e-05,2,1,0,1,1,0.6569505567583546,1
scenario54,-60,0,20,0,20,40,0.8,0,100,0,40,100,c4,1e-05,1,2,2,0,0,9999.0,0
scenario55,-90,60,40,20,20,40,0.8,100,0,0,60,0,c1,1e-05,1,2,0,2,0,1.5429132116177475,0
scenario56,-30,20,20,20,80,40,0.6,100,0,0,60,0,c2,1e-05,2,0,0,1,1,9999.0,1
scenario57,-30,40,20,100,0,100,0.4,0,100,0,60,0,c4,1e-05,2,0,1,2,0,1.5732060700833337,0
scenario58,-90,60,40,20,40,0,0.8,40,60,0,60,20,c1,1e-05,1,2,0,1,0,2.533873008051609,0
scenario59,30,60,80,20,40,40,0.8,100,0,0,60,20,c2,1e-05,0,1,2,1,0,4.659320855443502,0
scenario60,30,80,60,0,100,0,0.6,0,100,0,60,20,c4,1e-05,1,0,2,0,0,9999.0,0
scenario61,30,0,100,0,0,100,0.1,0,100,0,60,40,c1,1e-05,0,1,1,2,0,3.201635246972285,0
scenario62,0,20,100,0,0,60,0.2,80,20,0,60,40,c2,1e-05,0,1,2,0,0,3.5307870250146127,0
scenario63,-90,80,100,40,60,40,0.6,40,60,0,60,40,c4,1e-05,2,0,1,0,0,3.004641813520753,0
scenario64,90,60,100,0,100,40,0.6,80,20,0,60,60,c1,1e-05,0,2,1,2,0,2.836107303936687,0
scenario65,90,20,20,20,80,0,0.6,20,80,0,60,60,c2,1e-05,2,1,0,1,0,0.6717347246342609,0
scenario66,30,20,60,0,0,0,0.0,0,100,0,60,60,c4,1e-05,1,2,2,0,0,9999.0,0
scenario67,-90,20,60,100,100,40,0.6,40,60,0,60,80,c1,1e-05,1,2,0,2,0,2.2224913715949914,0
scenario68,60,60,20,0,40,40,0.8,80,20,0,60,80,c2,1e-05,2,0,0,1,1,1.3326999364168168,1
scenario69,0,60,20,0,0,0,0.8,0,0,0,60,80,c4,1e-05,2,0,1,2,0,1.9850351840415408,0
scenario70,30,60,100,20,60,100,0.6,40,60,0,60,100,c1,1e-05,1,2,0,1,0,3.4762852588379727,0
scenario71,-90,20,100,40,100,40,0.6,100,0,0,60,100,c2,1e-05,0,1,2,1,0,3.753165986647444,0
scenario72,-30,60,80,20,0,80,0.2,40,60,0,60,100,c4,1e-05,1,0,2,0,0,2.998569384392084,0
scenario73,-90,40,60,40,60,40,0.6,0,100,0,80,0,c1,1e-05,0,1,1,2,0,2.862594852134371,0
scenario74,30,60,100,0,80,60,0.6,0,100,0,80,0,c2,1e-05,0,1,2,0,0,3.705164307216776,0
scenario75,90,40,100,80,100,60,0.6,100,0,0,80,0,c4,1e-05,2,0,1,0,0,3.1128780617828014,0
