Row,z_1,z_2
bnd_pnt_1,-5.63363453864643,-0.843000963740765
bnd_pnt_2,-5.45970590513867,-0.978551325879258
bnd_pnt_3,-4.99680531814389,-1.33359849711049
bnd_pnt_4,-4.87800451933481,-1.41708188904295
bnd_pnt_5,-3.89347907064738,-2.02665629347981
bnd_pnt_6,-3.61108083769716,-2.19059572095206
bnd_pnt_7,-2.61885846161092,-2.55196642049117
bnd_pnt_8,-1.0254832052746,-2.82460786360535
bnd_pnt_9,1.23827426216384,-3.2052891414641
bnd_pnt_10,2.38377823211983,-3.29881893813124
bnd_pnt_11,2.7177414149751,-3.19156317529124
bnd_pnt_12,5.44693284789172,0.352665982655116
bnd_pnt_13,5.96612577155175,1.03382631538108
bnd_pnt_14,5.79219713804399,1.16937667751957
bnd_pnt_15,5.32929655104921,1.5244238487508
bnd_pnt_16,5.21049575224013,1.60790724068327
bnd_pnt_17,4.22597030355269,2.21748164512012
bnd_pnt_18,3.94357207060248,2.38142107259238
bnd_pnt_19,2.95134969451624,2.74279177213149
bnd_pnt_20,1.35797443817992,3.01543321524567
bnd_pnt_21,-0.905783029258519,3.39611449310441
bnd_pnt_22,-2.05128699921451,3.48964428977155
bnd_pnt_23,-2.38525018206978,3.38238852693156
bnd_pnt_24,-5.1144416149864,-0.1618406310148
bnd_pnt_25,-5.63363453864643,-0.843000963740765
