instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,-60,c4,1,0,2,0,1.0,100,0,0,0,0,0,0,0,2.081547372637044,0
scenario2,-60,c4,2,0,1,2,1.0,100,0,0,0,0,0,40,0,1.816466757760876,0
scenario3,-60,c4,2,0,1,0,1.0,100,0,80,0,0,100,0,0,2.289184956625489,0
scenario4,-60,c4,1,2,2,0,1.0,40,0,0,0,0,100,40,0,1.6845945621317728,0
scenario5,-60,c4,1,0,2,0,0.8,100,0,80,0,0,0,0,0,2.665444303443413,0
scenario6,-30,c4,2,0,1,2,0.2,100,0,0,40,60,0,0,0,2.717359488139284,0
scenario7,-60,c1,1,2,0,1,0.8,100,0,60,100,0,0,40,0,1.6784237365942922,0
scenario8,-60,c2,2,0,0,1,1.0,100,0,80,80,60,0,20,1,1.2591485776105875,1
scenario9,-60,c4,2,0,1,0,0.2,40,0,0,0,0,100,40,0,2.648975875336124,0
scenario10,-30,c4,1,2,2,0,0.8,100,0,80,0,100,40,0,0,1.7537353991328284,0
scenario11,-60,c4,1,0,2,0,1.0,40,0,60,40,0,100,0,0,2.668015775394888,0
scenario12,-60,c1,0,1,1,2,0.2,100,0,40,100,0,60,20,1,9999.0,1
scenario13,-30,c1,1,2,0,2,0.2,100,20,60,0,0,100,40,0,1.956127485714423,0
scenario14,-60,c2,0,1,2,0,0.8,60,0,80,80,0,0,40,0,4.548453031334696,0
scenario15,-60,c1,0,2,1,2,1.0,40,20,60,0,60,0,20,0,3.2074662713644795,0
scenario16,-60,c2,0,1,2,1,0.1,100,0,60,0,0,40,0,0,4.525397533297343,0
scenario17,0,c4,2,0,1,2,0.8,100,40,0,40,20,0,0,0,2.0253553138880585,0
scenario18,-30,c4,2,0,1,0,1.0,40,0,0,40,0,60,0,0,2.7114495308987108,0
scenario19,30,c1,1,2,0,1,1.0,100,100,80,100,100,100,100,0,2.0686202615385025,0
scenario20,-60,c1,0,1,1,2,1.0,60,0,0,0,100,60,20,0,1.1456775992581436,0
scenario21,-90,c1,1,2,0,2,0.2,100,0,0,100,60,0,0,0,1.7809596136655772,0
scenario22,60,c2,2,1,0,1,1.0,100,20,60,80,0,40,40,0,0.6808898177656515,0
scenario23,-30,c2,2,0,0,1,0.8,100,0,40,20,0,0,40,1,1.259296816499308,1
scenario24,-60,c2,0,1,2,0,1.0,40,40,40,0,0,60,40,0,2.8420615382024685,0
scenario25,-30,c4,1,2,2,0,0.1,60,0,60,40,20,0,0,0,1.9199010962755287,0
scenario26,-30,c4,1,0,2,0,0.8,60,20,0,40,60,100,0,0,2.28219025250246,0
scenario27,90,c4,2,0,1,2,0.1,100,100,20,80,0,0,20,0,1.5284496080196888,0
scenario28,0,c1,0,2,1,2,0.8,40,0,80,40,60,100,40,0,1.7529060055790664,0
scenario29,30,c4,2,0,1,0,0.2,60,0,0,0,100,40,40,0,2.5371749329680173,0
scenario30,-60,c1,1,2,0,1,0.1,80,20,0,0,20,40,0,0,0.7925370863736204,0
scenario31,0,c2,0,1,2,1,1.0,60,20,60,80,0,100,0,0,3.844776963090303,0
scenario32,30,c2,2,1,0,1,1.0,100,0,0,80,0,20,100,0,3.639455462206348,0
