Row,Best_Algorithm
scenario1,1
scenario2,1
scenario3,1
scenario4,1
scenario5,1
scenario6,1
scenario7,1
scenario8,1
scenario9,1
scenario10,1
scenario11,1
scenario12,1
scenario13,1
scenario14,1
scenario15,1
scenario16,1
scenario17,1
scenario18,1
scenario19,1
scenario20,1
scenario21,1
scenario22,1
scenario23,1
scenario24,1
scenario25,1
scenario26,1
scenario27,1
scenario28,1
scenario29,1
scenario30,1
scenario31,1
scenario32,1
scenario33,1
scenario34,1
scenario35,1
scenario36,1
scenario37,1
scenario38,1
scenario39,1
scenario40,1
scenario41,1
scenario42,1
scenario43,1
scenario44,1
scenario45,1
scenario46,1
scenario47,1
scenario48,1
scenario49,1
scenario50,1
scenario51,1
scenario52,1
scenario53,1
scenario54,1
scenario55,1
scenario56,1
scenario57,1
scenario58,1
scenario59,1
scenario60,1
scenario61,1
scenario62,1
scenario63,1
scenario64,1
scenario65,1
scenario66,1
scenario67,1
scenario68,1
scenario69,1
scenario70,1
scenario71,1
scenario72,1
scenario73,1
scenario74,1
scenario75,1
scenario76,1
scenario77,1
scenario78,1
scenario79,1
scenario80,1
scenario81,1
scenario82,1
scenario83,1
scenario84,1
scenario85,1
scenario86,1
scenario87,1
scenario88,1
scenario89,1
scenario90,1
scenario91,1
scenario92,1
scenario93,1
scenario94,1
scenario95,1
scenario96,1
scenario97,1
scenario98,1
scenario99,1
scenario100,1
scenario101,1
scenario102,1
scenario103,1
scenario104,1
scenario105,1
scenario106,1
scenario107,1
scenario108,1
scenario109,1
scenario110,1
scenario111,1
scenario112,1
scenario113,1
scenario114,1
scenario115,1
scenario116,1
scenario117,1
scenario118,1
scenario119,1
scenario120,1
scenario121,1
scenario122,1
scenario123,1
scenario124,1
scenario125,1
scenario126,1
scenario127,1
scenario128,1
scenario129,1
scenario130,1
scenario131,1
scenario132,1
scenario133,1
scenario134,1
scenario135,1
scenario136,1
scenario137,1
scenario138,1
scenario139,1
scenario140,1
scenario141,1
scenario142,1
scenario143,1
scenario144,1
scenario145,1
scenario146,1
scenario147,1
scenario148,1
scenario149,1
scenario150,1
scenario151,1
scenario152,1
scenario153,1
scenario154,1
scenario155,1
scenario156,1
scenario157,1
scenario158,1
scenario159,1
scenario160,1
scenario161,1
scenario162,1
scenario163,1
scenario164,1
scenario165,1
