instances,feature_timeofday,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,algo_safety
scenario1,-60,c2,0,1,2,0,1.0,0,100,80,80,80,80,80,0,3.97634466035543,0
scenario2,0,c1,0,2,1,2,0.4,60,60,0,40,40,60,20,0,2.153403205805104,0
scenario3,90,c2,2,0,0,1,0.6,0,40,40,20,20,40,0,0,2.780203743323346,0
scenario4,-30,c2,0,1,2,1,0.2,80,0,60,0,0,100,60,0,4.105502062431085,0
scenario5,90,c4,2,0,1,2,0.1,100,20,100,80,60,0,100,0,2.6945770180472937,0
scenario6,60,c4,1,2,2,0,0.1,40,80,20,60,100,20,40,1,9999.0,1
scenario7,0,c1,1,2,0,2,0.8,20,20,80,100,0,40,40,0,2.4565431224881267,0
scenario8,60,c4,2,0,1,0,0.4,20,100,60,100,20,100,100,0,3.6295142469552313,0
scenario9,-60,c2,2,1,0,1,1.0,20,40,100,0,40,20,0,0,2.4889882054351404,0
scenario10,-30,c1,1,2,0,1,0.4,100,0,0,20,100,0,80,0,2.474384901274093,0
scenario11,60,c1,1,2,0,2,0.2,80,60,20,20,60,80,20,0,2.115913922129793,0
scenario12,-90,c1,1,2,0,2,0.6,60,80,100,60,80,60,60,0,2.7840297987769937,0
scenario13,0,c1,0,1,1,2,0.1,40,0,40,40,80,100,0,0,2.9191604647981766,0
scenario14,30,c2,0,1,2,1,0.8,60,0,20,0,20,60,100,0,4.5719221213688455,0
scenario15,-60,c4,2,0,1,0,1.0,100,80,60,40,100,40,20,0,4.117208049434185,0
scenario16,60,c4,2,0,1,0,0.8,80,40,40,60,40,0,80,0,2.643798830569504,0
scenario17,-90,c2,0,1,2,0,0.6,80,20,0,100,100,80,0,0,3.3646700402658163,0
scenario18,-60,c2,0,1,2,1,0.2,60,100,40,100,60,60,40,0,3.1752073243451107,0
scenario19,60,c4,2,0,1,0,0.6,0,60,0,80,0,20,60,0,2.558381175740064,0
scenario20,-60,c1,1,2,0,1,0.6,40,80,80,20,40,100,100,0,1.0179836677366412,0
scenario21,90,c4,2,0,1,2,0.4,40,80,40,0,0,80,80,0,1.880985717743548,0
scenario22,-60,c4,2,0,1,2,0.2,0,20,20,40,20,0,60,0,1.698518645570907,0
scenario23,-60,c2,0,1,2,1,0.8,100,60,60,0,80,0,40,0,3.8967023058034433,0
scenario24,-30,c4,2,0,1,0,0.2,20,80,80,80,60,60,0,0,2.527320468984049,0
scenario25,0,c1,1,2,0,2,0.6,60,40,60,40,60,20,80,0,2.877408493101448,0
scenario26,-90,c1,0,2,1,2,1.0,80,100,100,20,20,20,40,0,2.739456232870816,0
scenario27,0,c2,0,1,2,1,0.8,0,40,100,80,100,100,20,0,4.1076303324241685,0
scenario28,-90,c2,0,1,2,1,0.4,20,0,80,60,80,40,20,0,3.921152088414536,0
scenario29,60,c1,1,2,0,1,0.8,40,100,0,0,60,40,0,0,2.820557859608641,0
scenario30,30,c1,1,2,0,1,0.2,40,20,20,80,40,40,80,1,0.7154860918014925,1
scenario31,90,c2,0,1,2,1,0.1,0,0,60,100,40,80,60,0,3.3494496295161875,0
scenario32,-90,c4,1,0,2,0,0.8,100,40,100,40,0,80,100,0,2.489254051898792,0
scenario33,-30,c1,1,2,0,2,0.6,20,60,0,60,20,80,40,0,2.4730162633053383,0
scenario34,30,c4,2,0,1,2,0.1,100,100,40,20,100,20,60,0,1.7979125334538073,0
scenario35,-90,c1,1,2,0,1,1.0,40,60,40,100,0,0,20,1,6.103166758032928,1
scenario36,30,c4,1,2,2,0,0.4,0,40,80,60,60,100,40,1,1.4815458790270046,1
scenario37,30,c4,1,0,2,0,1.0,80,20,0,20,80,60,100,0,2.798169073325531,0
scenario38,-60,c4,2,0,1,0,0.1,60,40,0,60,0,60,80,0,2.7534224898564905,0
scenario39,-60,c4,2,0,1,0,0.4,80,100,20,80,0,0,0,0,2.8683043252320206,0
scenario40,-30,c1,0,1,1,2,0.2,60,20,40,100,80,20,100,0,1.094127575511629,0
scenario41,90,c4,1,2,2,0,1.0,100,20,20,60,80,100,20,1,9999.0,1
scenario42,30,c4,2,0,1,0,0.1,60,60,80,0,100,0,0,0,2.573225769660834,0
scenario43,30,c2,2,0,0,1,1.0,20,0,100,40,60,40,60,0,0.8162536496822262,0
scenario44,90,c2,2,0,0,1,0.8,80,100,80,40,40,20,40,0,0.8145322347920885,0
scenario45,30,c2,0,1,2,1,0.6,0,80,20,0,20,0,20,0,4.112865173961807,0
scenario46,-30,c2,2,1,0,1,0.1,40,60,100,100,20,40,80,1,1.4738088917860452,1
scenario47,-90,c2,0,1,2,0,0.2,20,0,60,80,100,100,80,0,4.381178379489714,0
scenario48,0,c4,1,0,2,0,0.2,100,100,60,60,20,60,0,0,3.593260169586922,0
scenario49,-90,c2,0,1,2,1,0.1,0,40,20,0,100,60,100,0,4.055538632072599,0
scenario50,60,c4,2,0,1,0,1.0,60,0,100,80,80,20,40,0,3.536557103364639,0
scenario51,60,c2,0,1,2,0,0.8,40,40,80,80,20,60,60,0,4.220468242699472,0
scenario52,60,c2,2,1,0,1,0.4,100,20,60,60,40,40,100,0,2.2945981240681523,0
scenario53,30,c1,0,2,1,2,0.8,100,80,60,100,0,20,20,0,1.852203326174915,0
scenario54,-30,c2,2,1,0,1,0.8,60,100,60,20,40,40,20,0,1.2069781148814611,0
scenario55,-30,c4,2,0,1,0,0.2,0,40,0,40,80,100,20,1,2.811919575589837,1
scenario56,0,c4,2,0,1,2,1.0,20,80,20,20,0,0,60,0,1.1813383148273056,0
scenario57,30,c4,1,2,2,0,0.6,60,40,20,100,20,80,100,0,1.1170089990376857,0
scenario58,90,c4,1,0,2,0,0.1,20,60,40,80,100,60,100,0,9999.0,0
scenario59,90,c1,0,2,1,2,0.4,60,60,0,0,20,100,60,0,2.3396719917726863,0
scenario60,0,c4,1,0,2,0,0.6,40,100,60,40,60,80,100,0,9999.0,0
scenario61,90,c4,1,0,2,0,0.2,80,20,100,0,0,40,80,0,2.3293940350264144,0
scenario62,-90,c1,1,2,0,2,0.1,80,80,0,100,60,20,20,0,1.63653361711982,0
scenario63,0,c2,0,1,2,0,0.6,100,0,80,0,80,20,80,0,3.637181327845324,0
scenario64,0,c1,1,2,0,2,0.4,80,40,100,40,40,20,60,0,1.4483309089121332,0
scenario65,-30,c2,2,1,0,1,1.0,0,80,20,60,100,20,40,0,3.000922991001574,0
scenario66,60,c1,0,2,1,2,0.4,0,0,100,40,100,60,100,0,2.726801870990355,0
scenario67,-60,c4,2,0,1,2,0.4,40,0,40,80,80,20,100,0,2.758760130394692,0
scenario68,-90,c4,2,0,1,0,0.4,0,20,100,0,40,40,60,0,4.018314567030033,0
