Row,z_1,z_2
bnd_pnt_1,-2.20827720341923,2.23377994556173
bnd_pnt_2,-2.28312371023961,2.15832105604703
bnd_pnt_3,-2.64000018004222,1.74889984262617
bnd_pnt_4,-4.75187435020638,-1.29028915839738
bnd_pnt_5,-4.84248577950977,-1.54299281272199
bnd_pnt_6,-4.3547303416558,-3.28766706676687
bnd_pnt_7,-4.31572799919615,-3.41452157004873
bnd_pnt_8,-4.24728230813082,-3.49569710332682
bnd_pnt_9,-2.73949391280603,-4.38580830278197
bnd_pnt_10,-2.38816175318442,-4.46823632699313
bnd_pnt_11,-1.85853529789791,-4.34409501700612
bnd_pnt_12,0.591020718021934,-3.74164922836844
bnd_pnt_13,0.8907947635899,-3.51626568102487
bnd_pnt_14,1.63733487871353,-2.89193829952895
bnd_pnt_15,1.71218138553391,-2.81647941001425
bnd_pnt_16,2.06905785533652,-2.40705819659339
bnd_pnt_17,4.18093202550068,0.632130804430161
bnd_pnt_18,4.27154345480407,0.884834458754765
bnd_pnt_19,3.7837880169501,2.62950871279965
bnd_pnt_20,3.74478567449045,2.75636321608151
bnd_pnt_21,3.67633998342512,2.8375387493596
bnd_pnt_22,2.16855158810033,3.72764994881475
bnd_pnt_23,1.81721942847872,3.8100779730259
bnd_pnt_24,1.28759297319221,3.6859366630389
bnd_pnt_25,-1.16196304272763,3.08349087440122
bnd_pnt_26,-1.4617370882956,2.85810732705764
bnd_pnt_27,-2.20827720341923,2.23377994556173
