instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario1,c4,0,40,0.6,60,3,0,20,60,0,80,60,-90,1,0,3.2758575905180662,0
scenario2,c4,0,60,1.0,100,3,60,60,0,0,0,60,30,1,0,9999.0,0
scenario3,c1,1,0,0.2,0,2,0,40,80,2,0,60,60,0,0,1.9117517392377832,0
scenario4,c1,2,20,0.4,100,0,80,60,20,2,60,20,-30,1,0,1568.7162655583588,0
scenario5,c2,1,0,0.6,100,1,40,100,40,1,100,100,60,2,0,3.3761627498936,0
scenario6,c4,2,60,0.6,60,3,80,40,80,0,40,80,90,1,1,9999.0,1
scenario7,c2,1,80,0.6,100,1,40,100,100,1,20,40,60,2,0,2.6978911306644737,0
scenario8,c2,0,40,0.4,0,1,60,20,100,1,80,60,0,2,0,2.554334469755614,0
scenario9,c4,0,0,0.6,80,2,20,20,20,0,80,80,90,2,0,1.118022018076489,0
scenario10,c2,1,80,0.2,60,1,80,40,0,1,100,100,60,2,0,3.198628253356136,0
scenario11,c1,2,40,0.6,20,2,60,60,80,2,0,80,30,0,0,1.918960369867879,0
scenario12,c4,0,80,0.1,40,3,80,40,80,0,0,60,30,1,0,2.008619928162428,0
scenario13,c4,0,0,0.1,40,3,20,80,80,0,80,0,90,1,0,2.743778048896852,0
scenario14,c4,0,20,0.4,80,3,40,60,0,0,0,20,-30,1,0,9999.0,0
scenario15,c4,0,20,0.6,100,2,80,20,40,0,40,100,60,2,0,3.1599063719193072,0
scenario16,c2,1,60,0.4,20,1,40,0,60,1,0,40,-30,2,0,3.631977127992318,0
scenario17,c1,2,20,0.2,20,2,0,80,60,2,60,0,-90,0,0,3.550454002468184,0
scenario18,c1,2,100,0.1,20,2,100,80,60,2,20,80,30,0,0,1.97859196543964,0
scenario19,c4,0,0,0.4,20,3,60,100,40,0,100,20,60,1,0,2.76806134875182,0
scenario20,c4,0,20,0.8,40,3,100,40,80,0,40,20,0,1,0,2.6478713851540774,0
scenario21,c4,0,100,0.4,0,3,20,80,80,0,60,60,30,1,0,2.749967873583278,0
scenario22,c2,0,80,0.4,0,1,60,80,60,1,100,100,-60,2,0,1.6607502097771962,0
scenario23,c1,2,40,0.2,20,2,60,40,20,2,80,40,-90,0,0,2.652386386537402,0
scenario24,c1,1,0,0.8,80,2,100,20,60,2,40,40,90,0,0,2.590405892334504,0
scenario25,c4,0,20,0.4,80,2,0,100,20,0,0,20,-60,2,0,3.6498729064904647,0
scenario26,c2,1,40,0.4,100,1,0,0,20,1,0,100,90,2,0,3.367612588678532,0
scenario27,c1,2,100,0.8,100,2,80,80,60,2,0,60,-60,0,0,2.892734498389306,0
scenario28,c4,0,0,0.8,40,3,0,80,60,0,40,60,-30,1,0,2.7342971378691665,0
scenario29,c2,1,20,0.4,20,1,0,20,20,1,20,80,-30,2,0,4.094670635405628,0
scenario30,c4,2,80,0.6,80,3,100,60,40,0,60,40,90,1,0,1.682506057702737,0
scenario31,c1,2,60,1.0,80,2,20,100,60,2,80,80,-30,0,0,2.9161595891070644,0
scenario32,c2,1,80,0.4,60,1,100,40,60,1,80,100,60,2,0,3.404193995025841,0
scenario33,c4,0,40,0.8,80,2,60,80,100,2,40,80,-30,2,0,1.570020432471912,0
scenario34,c2,1,100,0.2,40,1,40,60,0,1,80,100,30,2,0,3.793115925486811,0
scenario35,c1,2,0,0.8,20,0,100,0,80,2,80,100,-30,1,0,1.829667584495443,0
scenario36,c4,0,0,1.0,40,3,100,0,40,0,60,20,-90,1,0,2.8005097832911408,0
scenario37,c2,1,0,0.2,40,1,0,0,0,1,0,40,60,2,0,3.1967858305622534,0
scenario38,c2,1,60,0.1,20,3,0,80,0,0,100,20,30,0,0,3.527124805689268,0
scenario39,c2,1,60,0.6,100,1,40,60,80,1,0,0,30,2,0,3.7514265730895855,0
scenario40,c4,0,100,0.2,0,2,0,60,40,0,20,0,60,2,0,3.90637728359982,0
scenario41,c4,0,40,0.8,100,3,40,20,60,0,40,0,30,1,1,3.405432811263644,1
scenario42,c2,1,20,0.8,60,1,20,40,0,1,0,100,-60,2,0,3.2296886247252656,0
scenario43,c4,0,60,0.8,0,2,100,20,40,0,20,80,-90,2,0,2.775489508480728,0
scenario44,c2,1,20,0.8,60,1,0,40,60,1,80,20,-90,2,0,3.52061368023663,0
scenario45,c4,0,0,0.8,0,2,0,20,20,0,0,20,-60,2,0,2.7439604503634145,0
scenario46,c4,0,20,0.8,100,3,60,80,20,0,100,60,60,1,0,9999.0,0
scenario47,c4,2,20,0.8,60,3,80,60,100,0,80,40,-90,1,0,1.6106313100562075,0
scenario48,c4,0,0,0.4,60,3,40,100,100,0,40,0,90,1,0,2.0281000853793567,0
scenario49,c1,2,100,0.1,20,1,60,60,60,1,0,80,0,1,0,0.6724162090980923,0
scenario50,c1,2,20,0.4,20,2,0,40,60,2,100,0,90,0,0,2.9745802068245983,0
scenario51,c2,0,0,0.4,0,1,60,20,0,1,40,0,-30,2,0,1.9690987968683145,0
scenario52,c1,2,80,0.6,0,2,0,100,60,2,0,100,60,0,0,3.1639652789894503,0
scenario53,c1,2,40,0.6,60,2,40,60,80,2,20,100,0,0,0,2.604302857175381,0
scenario54,c2,1,60,1.0,80,1,20,60,40,1,20,60,30,2,0,2.6361733611539138,0
scenario55,c4,0,0,0.6,20,3,80,80,40,0,100,80,-90,1,0,2.809928753342261,0
scenario56,c1,2,20,1.0,20,2,0,100,60,2,100,100,-30,0,0,2.957257321359154,0
scenario57,c1,2,0,0.8,60,0,40,20,80,2,80,0,-60,1,0,2.877792689065692,0
scenario58,c2,1,60,0.6,80,3,20,60,40,1,100,100,90,0,0,4.549557995788204,0
scenario59,c4,0,60,0.6,40,2,0,60,60,0,80,100,-30,2,0,3.258510576750093,0
scenario60,c1,2,0,0.2,20,2,100,100,100,2,100,80,90,0,0,2.408392178722713,0
scenario61,c2,1,20,0.1,60,1,80,20,80,1,80,100,-30,2,0,2.863085150667789,0
scenario62,c1,1,20,0.6,60,2,80,60,100,2,40,80,-60,0,0,2.6698681385200973,0
scenario63,c1,2,60,0.8,100,1,80,100,0,1,20,0,60,1,0,1494.6990029637718,0
scenario64,c1,2,60,0.6,60,0,100,60,60,2,80,100,60,1,0,1.828163363918612,0
scenario65,c1,2,40,0.8,100,2,20,20,60,2,60,40,60,0,0,2.9332469062024384,0
scenario66,c2,1,80,0.8,100,1,60,80,40,1,80,0,-60,2,0,4.254942928911036,0
scenario67,c4,0,80,1.0,100,2,80,100,0,2,40,100,30,2,0,2.752429549093652,0
scenario68,c1,2,60,0.1,0,2,100,0,40,2,60,60,-90,0,0,3.026985658154222,0
scenario69,c2,0,80,0.4,60,1,0,60,0,1,0,100,30,2,0,1.7877770708291885,0
scenario70,c1,2,0,0.6,80,2,0,0,80,2,40,0,-90,0,0,2.625599071012702,0
scenario71,c2,0,40,0.6,20,1,0,20,40,1,100,60,-30,2,0,1.8907757189688128,0
