instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_timeofday,feature_startego,collision,min_ttc,algo_safety
scenario1,c1,2,20,0.6,20,2,0,40,0,2,80,40,-60,0,0,2.552265750746092,0
scenario2,c4,2,80,1.0,0,3,0,20,60,0,100,20,0,1,0,1.4681767479297003,0
scenario3,c2,1,0,0.8,40,3,0,100,0,1,0,100,90,0,0,3.742537125194359,0
scenario4,c4,0,20,0.2,40,3,80,80,20,0,100,100,60,1,0,2.441821479955628,0
scenario5,c2,1,60,0.1,0,3,40,60,60,1,20,60,-90,0,0,3.734180204903976,0
scenario6,c1,2,100,0.4,20,1,60,60,100,1,60,0,30,1,0,0.7806608540677336,0
scenario7,c2,1,80,0.6,100,1,60,80,20,1,100,40,-30,2,0,3.581399112861098,0
scenario8,c1,2,40,0.2,60,2,60,100,100,2,40,0,-60,0,0,2.816562740082445,0
scenario9,c4,0,0,1.0,100,2,80,20,80,0,80,20,90,2,0,2.194824172992903,0
scenario10,c2,0,0,0.6,20,1,20,100,0,1,60,100,-90,2,0,1.7917126123906373,0
scenario11,c1,1,0,0.8,80,2,60,60,20,2,100,40,60,0,0,2.714640889333188,0
scenario12,c4,0,20,0.6,0,3,0,0,60,0,0,0,30,1,0,2.346279516918928,0
scenario13,c1,2,100,0.1,60,0,60,80,20,2,20,60,60,1,0,2.0018888767379965,0
scenario14,c1,1,60,0.1,80,2,100,60,60,2,20,80,-30,0,0,1.5711622229500064,0
scenario15,c4,0,80,0.1,60,2,20,80,80,0,0,100,-60,2,0,3.5260906793811286,0
scenario16,c4,0,100,0.4,100,2,80,0,60,0,20,60,90,2,0,2.414177457241196,0
scenario17,c1,2,20,0.1,0,1,20,40,40,1,100,100,-90,1,0,0.6502426489698198,0
scenario18,c1,1,100,0.4,40,2,60,20,100,2,100,40,60,0,0,1.9049462318373536,0
scenario19,c2,1,40,0.1,20,3,100,60,60,1,40,80,90,0,0,4.302290675411876,0
scenario20,c4,0,60,0.8,60,2,100,100,60,2,40,20,60,2,0,1.4681985885351274,0
scenario21,c2,0,40,1.0,40,1,40,20,40,1,60,60,-30,2,0,3.262259463877305,0
scenario22,c1,2,100,0.8,20,2,100,20,20,2,80,80,30,0,0,1.7576136078599724,0
scenario23,c4,0,40,0.2,40,2,40,40,0,2,80,0,-30,2,0,1.8097181629821504,0
scenario24,c4,2,20,0.2,100,3,20,0,20,0,40,100,0,1,0,9999.0,0
scenario25,c2,1,40,0.2,0,3,100,20,20,0,20,40,30,0,0,4.213606647416678,0
scenario26,c4,0,80,1.0,100,2,40,80,40,2,20,80,-90,2,0,1.1936072802250792,0
scenario27,c1,2,80,0.8,80,1,60,80,80,1,80,20,-90,1,0,0.5654765646009935,0
scenario28,c4,0,100,0.6,60,3,0,100,100,0,20,100,0,1,0,2.393117778189929,0
scenario29,c1,2,0,0.4,80,2,80,0,100,2,0,60,-30,0,0,1.7052283870776053,0
scenario30,c4,2,80,0.4,60,3,20,20,0,0,20,20,0,1,0,9999.0,0
scenario31,c1,2,60,1.0,0,0,40,40,80,2,80,60,90,1,0,1.6903780185375523,0
scenario32,c4,0,60,0.6,100,3,80,0,40,0,60,40,60,1,0,9999.0,0
scenario33,c2,1,0,0.4,40,3,40,0,80,0,0,80,-90,0,0,3.876355790460082,0
scenario34,c2,0,0,1.0,60,1,80,100,0,1,0,0,30,2,0,2.0956909592872086,0
scenario35,c4,2,100,0.2,80,3,60,0,80,0,20,100,90,1,0,1.88903369794896,0
scenario36,c1,2,40,0.2,20,2,60,40,20,2,0,60,-30,0,0,3.0603339375300807,0
scenario37,c1,1,80,0.1,100,2,20,0,60,2,60,0,90,0,0,1.1238058035251968,0
scenario38,c1,2,20,0.6,20,0,0,60,40,2,20,60,-30,1,0,2.439418344807034,0
scenario39,c2,0,100,0.6,40,1,60,80,60,1,100,40,-30,2,0,1.6869545938221902,0
scenario40,c2,1,0,0.6,100,1,40,40,0,1,100,100,-60,2,0,2.1659159929155725,0
scenario41,c4,0,0,0.4,60,2,40,20,40,2,40,20,90,2,0,1.5940163248720347,0
scenario42,c4,0,0,0.6,40,2,60,80,40,2,20,40,30,2,0,1.649752945908961,0
scenario43,c2,1,40,0.1,0,3,20,80,80,0,60,100,30,0,0,4.582419376897305,0
scenario44,c2,1,40,1.0,40,3,60,20,100,1,100,60,-60,0,0,4.5521626548175655,0
scenario45,c4,0,20,0.2,0,3,20,60,20,0,60,60,-90,1,0,2.439027255483317,0
scenario46,c4,0,60,0.1,0,2,40,20,100,0,20,20,60,2,0,2.799831239659129,0
scenario47,c4,2,80,0.1,40,3,20,80,0,0,0,60,-90,1,0,9999.0,0
scenario48,c1,2,60,0.4,100,0,40,20,60,2,100,40,-30,1,0,2.4803160360697145,0
scenario49,c4,0,80,0.8,100,2,80,0,60,0,40,20,60,2,0,3.069637932100457,0
scenario50,c1,2,100,1.0,20,2,0,80,80,2,0,20,-90,0,0,2.5595445761399884,0
scenario51,c4,0,20,1.0,60,2,60,60,40,2,40,100,-90,2,0,1.4606334382768686,0
scenario52,c1,1,80,0.8,80,2,100,20,60,2,20,100,-30,0,1,0.9318102951147836,1
scenario53,c2,0,80,0.4,20,1,100,40,80,1,20,20,60,2,0,1.6487072837018175,0
scenario54,c2,1,80,0.8,80,3,0,100,20,1,40,100,0,0,0,4.119203605646556,0
scenario55,c4,0,0,0.8,40,3,20,0,20,0,60,60,-90,1,0,2.0746482176044863,0
scenario56,c2,1,60,0.6,60,3,100,80,0,0,100,0,0,0,0,3.089406976019533,0
scenario57,c4,2,100,0.2,80,3,80,100,100,0,80,0,90,1,1,9999.0,1
scenario58,c4,2,20,0.4,0,3,60,40,40,0,40,100,0,1,0,1.5945639467466972,0
scenario59,c4,2,20,0.4,20,3,0,40,100,0,80,100,90,1,0,1.6462042927681526,0
scenario60,c4,0,20,0.2,40,3,0,60,60,0,60,0,90,1,0,2.41890634000964,0
scenario61,c1,1,60,0.2,20,2,0,20,100,2,0,40,-90,0,1,9999.0,1
scenario62,c4,0,40,1.0,60,2,80,0,40,2,80,40,90,2,0,1.7135188854475338,0
scenario63,c4,0,20,0.1,40,2,20,60,80,0,100,20,0,2,0,3.694705791785703,0
scenario64,c4,2,40,0.4,20,3,100,0,0,0,100,80,-60,1,0,9999.0,0
scenario65,c1,2,0,0.2,20,0,80,0,80,2,0,60,-30,1,0,1.8476812705865209,0
scenario66,c1,2,60,1.0,40,2,20,0,40,2,20,40,0,0,0,3.5340134700610406,0
scenario67,c1,2,40,1.0,40,2,80,0,60,2,0,100,-30,0,0,2.2923577240850626,0
scenario68,c1,2,0,0.8,0,1,60,60,100,1,100,100,60,1,1,3.72446701748228,1
scenario69,c2,0,0,0.2,40,1,60,100,80,1,60,60,30,2,0,0.8708736739464499,0
scenario70,c4,0,40,0.4,80,2,40,80,80,0,0,0,90,2,0,2.742837126632846,0
scenario71,c4,0,60,0.4,0,3,20,60,100,0,80,20,90,1,0,2.806895555789356,0
scenario72,c2,1,60,0.8,20,3,80,60,60,0,20,40,-90,0,0,3.5645934221026,0
scenario73,c4,0,100,0.1,100,2,40,20,60,2,20,100,90,2,0,1.1886082303143346,0
scenario74,c1,2,20,0.4,60,0,20,40,100,2,60,20,0,1,0,0.922291236535912,0
scenario75,c1,2,80,0.6,40,2,80,40,60,2,40,80,30,0,0,2.618072862973736,0
scenario76,c1,2,20,0.1,80,0,100,0,60,2,20,60,30,1,0,2.8304412195867026,0
scenario77,c2,1,100,1.0,80,1,0,0,40,1,60,20,30,2,0,3.4411197966984863,0
scenario78,c4,0,100,0.8,60,2,60,100,20,0,80,20,30,2,0,2.798064645631774,0
scenario79,c2,1,80,1.0,20,3,100,0,40,1,60,0,-30,0,0,4.754613214133936,0
scenario80,c1,2,40,0.1,100,1,60,20,80,1,80,60,-60,1,0,0.8941794524225388,0
scenario81,c4,0,100,0.2,100,2,80,20,0,2,20,40,-30,2,0,1.3317467922707111,0
scenario82,c4,0,40,0.4,80,3,20,80,0,0,0,80,90,1,0,9999.0,0
scenario83,c2,0,40,1.0,100,1,80,100,100,1,100,0,-60,2,0,2.1524077661801915,0
scenario84,c4,0,80,0.4,20,2,0,40,80,2,60,100,0,2,0,1.2919625572630713,0
scenario85,c1,2,40,0.6,40,0,20,0,100,2,80,100,-90,1,0,2.579238747486928,0
scenario86,c4,2,0,0.6,60,3,0,0,40,0,60,60,-30,1,0,1.788386073019273,0
scenario87,c1,1,40,0.8,40,2,20,20,0,2,20,0,-90,0,0,2.646480154341403,0
scenario88,c2,1,60,1.0,80,3,40,0,20,0,40,20,-90,0,0,4.299736139319448,0
scenario89,c1,2,0,1.0,0,2,40,80,80,2,0,40,-60,0,0,2.0278724639769363,0
scenario90,c1,1,0,0.6,100,2,100,80,0,2,40,80,60,0,0,2.917192328428859,0
scenario91,c4,0,20,0.4,20,2,100,60,100,0,100,0,-60,2,0,3.453860380315936,0
scenario92,c1,2,80,0.6,100,1,60,40,20,1,100,100,90,1,0,1520.1120916214531,0
scenario93,c4,0,60,0.6,100,2,60,20,80,0,0,0,30,2,0,3.532847267043554,0
scenario94,c2,1,0,0.2,0,3,80,60,0,1,60,0,-30,0,0,4.226718567580055,0
scenario95,c2,0,60,0.4,80,1,80,100,20,1,40,80,30,2,0,1.1679332984371,0
scenario96,c2,1,60,0.1,80,3,80,80,60,0,0,40,60,0,0,4.028886332165495,0
scenario97,c4,0,20,0.4,40,2,0,20,60,2,0,60,60,2,0,1.447975638225744,0
scenario98,c1,2,20,0.1,40,2,60,100,20,2,40,0,-30,0,0,1.7276740157272372,0
scenario99,c1,2,80,0.2,80,1,20,80,0,1,20,0,-30,1,0,1815.7233326793312,0
scenario100,c2,1,40,0.2,40,3,60,40,40,0,100,40,-90,0,0,4.481591535033044,0
scenario101,c2,1,100,0.2,100,3,40,80,80,1,40,100,-30,0,0,4.070750335484398,0
scenario102,c1,1,0,0.2,0,2,20,40,100,2,0,0,30,0,0,1.4970605176947238,0
scenario103,c4,0,100,1.0,40,2,100,80,60,0,60,60,-30,2,0,3.6528292705684247,0
scenario104,c2,0,80,0.1,40,1,0,100,80,1,60,40,90,2,0,1.7173079993747955,0
scenario105,c4,0,0,0.4,80,2,0,100,20,2,40,100,90,2,0,1.4864914592619909,0
scenario106,c2,1,80,0.4,100,1,100,100,20,1,60,0,30,2,0,3.260702653246235,0
scenario107,c1,2,60,1.0,0,2,0,80,40,2,100,100,-90,0,0,2.294388984826261,0
scenario108,c1,2,0,0.1,60,1,60,0,40,1,0,100,60,1,0,0.6661943517300057,0
scenario109,c2,1,60,0.2,40,3,40,40,0,1,60,40,60,0,0,3.8160158155236017,0
scenario110,c4,0,20,0.4,80,3,40,60,40,0,20,40,90,1,0,3.317355847742026,0
scenario111,c1,2,0,0.6,80,0,60,100,20,2,100,100,0,1,0,2.107084731997629,0
scenario112,c1,2,0,0.8,60,2,0,40,60,2,80,80,30,0,0,3.284181469409268,0
scenario113,c1,2,100,0.4,40,1,40,60,20,1,0,40,-30,1,0,0.5842059378881619,0
scenario114,c4,0,80,0.1,20,2,0,100,100,0,60,0,30,2,0,2.146399571579316,0
scenario115,c1,2,80,0.6,100,0,60,0,100,2,100,0,60,1,0,0.8029442450731821,0
scenario116,c2,1,80,0.8,60,3,100,40,0,0,20,20,-90,0,0,3.5863971503737564,0
scenario117,c2,0,100,1.0,80,1,80,20,0,1,40,80,-90,2,0,4.409533631047595,0
scenario118,c4,0,20,0.1,100,3,100,40,100,0,40,100,-30,1,0,2.321848745960149,0
scenario119,c2,1,100,0.1,20,3,60,100,20,0,100,20,-60,0,0,4.441871467951365,0
scenario120,c4,0,100,0.4,20,2,60,40,80,0,60,100,60,2,0,2.332251681301196,0
scenario121,c4,0,80,0.2,20,2,0,0,40,0,20,0,-30,2,0,2.438894586331155,0
scenario122,c4,0,40,1.0,100,2,0,20,100,2,100,40,0,2,0,2.410711643662906,0
scenario123,c2,1,100,0.2,0,3,40,80,20,1,0,20,0,0,0,4.329893155330836,0
scenario124,c1,2,0,0.6,0,0,20,60,100,2,60,40,-60,1,0,1.3185462869766071,0
scenario125,c1,1,60,0.6,40,2,0,20,20,2,60,20,30,0,0,2.9557176144625825,0
scenario126,c2,0,20,1.0,40,1,0,40,20,1,80,60,30,2,1,9999.0,1
scenario127,c1,2,40,0.8,80,1,60,0,100,1,60,0,30,1,0,1.2482577672448838,0
scenario128,c2,1,40,1.0,20,3,40,60,80,1,0,60,-90,0,0,3.740878810038127,0
scenario129,c4,0,60,0.6,60,3,20,80,0,0,20,80,0,1,0,2.9250945344906545,0
scenario130,c2,0,20,1.0,100,1,100,0,80,1,40,60,-90,2,0,2.019123148026136,0
