Row,goalego,windintensity,roadfriction,fogdistance,startother,precipitationdeposits,cloudiness,fogdensity,goalother,precipitation,wetness,timeofday,startego
scenario1,2,20,0.6,20,2,0,40,0,2,80,40,-60,0
scenario2,2,80,1,0,3,0,20,60,0,100,20,0,1
scenario3,1,0,0.8,40,3,0,100,0,1,0,100,90,0
scenario4,0,20,0.2,40,3,80,80,20,0,100,100,60,1
scenario5,1,60,0.1,0,3,40,60,60,1,20,60,-90,0
scenario6,2,100,0.4,20,1,60,60,100,1,60,0,30,1
scenario7,1,80,0.6,100,1,60,80,20,1,100,40,-30,2
scenario8,2,40,0.2,60,2,60,100,100,2,40,0,-60,0
scenario9,0,0,1,100,2,80,20,80,0,80,20,90,2
scenario10,0,0,0.6,20,1,20,100,0,1,60,100,-90,2
scenario11,1,0,0.8,80,2,60,60,20,2,100,40,60,0
scenario12,0,20,0.6,0,3,0,0,60,0,0,0,30,1
scenario13,2,100,0.1,60,0,60,80,20,2,20,60,60,1
scenario14,1,60,0.1,80,2,100,60,60,2,20,80,-30,0
scenario15,0,80,0.1,60,2,20,80,80,0,0,100,-60,2
scenario16,0,100,0.4,100,2,80,0,60,0,20,60,90,2
scenario17,2,20,0.1,0,1,20,40,40,1,100,100,-90,1
scenario18,1,100,0.4,40,2,60,20,100,2,100,40,60,0
scenario19,1,40,0.1,20,3,100,60,60,1,40,80,90,0
scenario20,0,60,0.8,60,2,100,100,60,2,40,20,60,2
scenario21,0,40,1,40,1,40,20,40,1,60,60,-30,2
scenario22,2,100,0.8,20,2,100,20,20,2,80,80,30,0
scenario23,0,40,0.2,40,2,40,40,0,2,80,0,-30,2
scenario24,2,20,0.2,100,3,20,0,20,0,40,100,0,1
scenario25,1,40,0.2,0,3,100,20,20,0,20,40,30,0
scenario26,0,80,1,100,2,40,80,40,2,20,80,-90,2
scenario27,2,80,0.8,80,1,60,80,80,1,80,20,-90,1
scenario28,0,100,0.6,60,3,0,100,100,0,20,100,0,1
scenario29,2,0,0.4,80,2,80,0,100,2,0,60,-30,0
scenario30,2,80,0.4,60,3,20,20,0,0,20,20,0,1
scenario31,2,60,1,0,0,40,40,80,2,80,60,90,1
scenario32,0,60,0.6,100,3,80,0,40,0,60,40,60,1
scenario33,1,0,0.4,40,3,40,0,80,0,0,80,-90,0
scenario34,0,0,1,60,1,80,100,0,1,0,0,30,2
scenario35,2,100,0.2,80,3,60,0,80,0,20,100,90,1
scenario36,2,40,0.2,20,2,60,40,20,2,0,60,-30,0
scenario37,1,80,0.1,100,2,20,0,60,2,60,0,90,0
scenario38,2,20,0.6,20,0,0,60,40,2,20,60,-30,1
scenario39,0,100,0.6,40,1,60,80,60,1,100,40,-30,2
scenario40,1,0,0.6,100,1,40,40,0,1,100,100,-60,2
scenario41,0,0,0.4,60,2,40,20,40,2,40,20,90,2
scenario42,0,0,0.6,40,2,60,80,40,2,20,40,30,2
scenario43,1,40,0.1,0,3,20,80,80,0,60,100,30,0
scenario44,1,40,1,40,3,60,20,100,1,100,60,-60,0
scenario45,0,20,0.2,0,3,20,60,20,0,60,60,-90,1
scenario46,0,60,0.1,0,2,40,20,100,0,20,20,60,2
scenario47,2,80,0.1,40,3,20,80,0,0,0,60,-90,1
scenario48,2,60,0.4,100,0,40,20,60,2,100,40,-30,1
scenario49,0,80,0.8,100,2,80,0,60,0,40,20,60,2
scenario50,2,100,1,20,2,0,80,80,2,0,20,-90,0
scenario51,0,20,1,60,2,60,60,40,2,40,100,-90,2
scenario52,1,80,0.8,80,2,100,20,60,2,20,100,-30,0
scenario53,0,80,0.4,20,1,100,40,80,1,20,20,60,2
scenario54,1,80,0.8,80,3,0,100,20,1,40,100,0,0
scenario55,0,0,0.8,40,3,20,0,20,0,60,60,-90,1
scenario56,1,60,0.6,60,3,100,80,0,0,100,0,0,0
scenario57,2,100,0.2,80,3,80,100,100,0,80,0,90,1
scenario58,2,20,0.4,0,3,60,40,40,0,40,100,0,1
scenario59,2,20,0.4,20,3,0,40,100,0,80,100,90,1
scenario60,0,20,0.2,40,3,0,60,60,0,60,0,90,1
scenario61,1,60,0.2,20,2,0,20,100,2,0,40,-90,0
scenario62,0,40,1,60,2,80,0,40,2,80,40,90,2
scenario63,0,20,0.1,40,2,20,60,80,0,100,20,0,2
scenario64,2,40,0.4,20,3,100,0,0,0,100,80,-60,1
scenario65,2,0,0.2,20,0,80,0,80,2,0,60,-30,1
scenario66,2,60,1,40,2,20,0,40,2,20,40,0,0
scenario67,2,40,1,40,2,80,0,60,2,0,100,-30,0
scenario68,2,0,0.8,0,1,60,60,100,1,100,100,60,1
scenario69,0,0,0.2,40,1,60,100,80,1,60,60,30,2
scenario70,0,40,0.4,80,2,40,80,80,0,0,0,90,2
scenario71,0,60,0.4,0,3,20,60,100,0,80,20,90,1
scenario72,1,60,0.8,20,3,80,60,60,0,20,40,-90,0
scenario73,0,100,0.1,100,2,40,20,60,2,20,100,90,2
scenario74,2,20,0.4,60,0,20,40,100,2,60,20,0,1
scenario75,2,80,0.6,40,2,80,40,60,2,40,80,30,0
scenario76,2,20,0.1,80,0,100,0,60,2,20,60,30,1
scenario77,1,100,1,80,1,0,0,40,1,60,20,30,2
scenario78,0,100,0.8,60,2,60,100,20,0,80,20,30,2
scenario79,1,80,1,20,3,100,0,40,1,60,0,-30,0
scenario80,2,40,0.1,100,1,60,20,80,1,80,60,-60,1
