Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario1,0,0,100,40,20,-60,20,100,0,1
scenario2,0,80,60,0,0,-90,20,20,80,0.8
scenario3,0,80,20,100,100,60,80,60,20,0.6
scenario4,1,0,20,100,60,-30,40,20,20,0.4
scenario5,0,0,60,0,40,90,40,80,40,0.1
scenario6,1,80,0,60,0,30,40,100,80,0.4
scenario7,0,100,0,0,100,-60,40,0,20,0.1
scenario8,1,40,60,100,40,-60,40,40,20,1
scenario9,1,100,100,100,0,30,100,20,80,1
scenario10,0,20,60,60,40,60,100,80,20,1
scenario11,1,0,20,0,40,0,40,0,20,0.8
scenario12,1,20,100,60,60,60,60,20,40,0.2
scenario13,1,80,0,60,0,30,40,100,80,0.4
scenario14,1,80,20,80,0,60,60,0,80,0.4
scenario15,1,60,100,40,20,30,60,100,80,0.4
scenario16,1,40,0,40,0,60,40,100,80,0.4
scenario17,1,80,0,80,0,0,20,0,40,0.6
scenario18,0,80,0,80,0,60,20,100,80,0.6
scenario19,1,100,20,60,0,30,20,100,80,0.4
scenario20,1,0,20,60,20,0,60,80,60,0.2
scenario21,0,60,20,60,20,60,0,80,100,0.2
scenario22,1,100,0,60,0,-30,40,40,60,0.6
scenario23,1,60,20,40,0,30,40,80,80,0.2
scenario24,0,80,0,80,0,30,40,80,80,0.4
scenario25,1,100,20,60,0,30,20,100,80,0.4
scenario26,1,100,20,0,20,0,20,100,40,0.6
scenario27,1,40,20,60,0,60,20,100,80,0.4
scenario28,1,100,0,100,0,60,60,0,100,0.2
scenario29,0,60,40,20,20,30,80,80,80,0.2
scenario30,0,80,20,100,0,30,40,100,80,0.6
scenario31,1,100,60,60,0,-60,40,60,60,0.8
scenario32,1,40,20,40,0,90,60,100,80,0.6
scenario33,1,80,0,80,0,0,40,20,40,0.6
scenario34,1,80,100,20,40,0,60,80,80,0.2
scenario35,0,60,20,20,0,60,40,60,80,0.1
scenario36,1,0,20,100,0,90,40,0,40,0.6
scenario37,1,0,20,100,0,90,40,0,40,0.6
scenario38,1,100,20,0,100,30,20,80,0,0.8
scenario39,1,100,100,100,40,-30,60,100,80,0.1
scenario40,0,80,60,40,0,90,80,40,80,0.2
scenario41,0,80,20,100,20,0,60,40,20,0.6
scenario42,0,60,20,40,40,30,80,100,80,0.4
scenario43,0,60,40,20,0,0,100,100,80,0.4
scenario44,0,40,20,20,20,-30,60,60,80,0.1
scenario45,1,80,100,0,40,0,40,100,100,0.2
scenario46,1,20,40,40,0,90,80,100,60,0.8
scenario47,1,80,100,40,20,-30,60,100,0,0.1
scenario48,1,60,20,40,20,60,60,60,40,0.6
scenario49,1,0,20,100,0,90,40,0,40,0.6
scenario50,0,80,0,100,40,0,60,40,40,1
scenario51,0,80,40,20,20,-30,40,80,80,0.4
scenario52,1,80,100,0,60,0,40,80,80,0.4
scenario53,0,40,40,40,20,60,100,100,80,0.6
scenario54,1,20,60,40,20,-30,60,80,60,0.8
scenario55,0,20,20,100,20,0,60,40,20,0.6
scenario56,1,60,100,60,20,0,60,0,0,0.1
scenario57,1,80,0,60,20,60,40,40,40,0.6
