instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,1,20,60,100,0,-90,80,0,40,0.8,False,0.863,0
scenario2,0,80,20,0,0,0,60,0,20,0.1,False,1.224,0
scenario3,1,0,80,0,20,60,100,80,0,0.8,False,0.763,0
scenario4,1,0,20,0,80,90,20,40,60,0.2,False,0.756,0
scenario5,0,80,40,80,100,-60,0,80,80,1.0,False,1.189,0
scenario6,0,40,0,80,100,-90,80,0,80,0.2,False,1.048,0
scenario7,1,100,80,60,40,0,80,60,40,0.4,False,0.934,0
scenario8,0,20,100,20,0,30,40,80,60,0.4,False,0.967,0
scenario9,1,40,80,0,0,30,60,20,40,0.2,False,0.828,0
scenario10,1,60,0,100,0,90,80,80,40,0.4,False,0.902,0
scenario11,1,80,60,80,60,-90,0,40,60,1.0,False,0.846,0
scenario12,0,0,100,100,40,60,80,100,60,0.4,False,1.045,0
scenario13,1,0,20,0,80,90,20,40,60,0.2,False,0.785,0
scenario14,1,0,40,0,60,0,40,40,60,0.2,False,0.844,0
scenario15,1,0,20,0,60,-60,40,60,60,0.2,False,0.843,0
scenario16,0,100,20,0,60,60,0,20,60,0.2,False,1.193,0
scenario17,0,0,40,0,100,90,0,100,20,0.4,False,1.173,0
scenario18,0,0,0,0,60,90,20,40,60,0.2,False,1.128,0
scenario19,0,0,20,20,80,90,20,60,40,0.2,False,1.055,0
scenario20,0,20,0,0,80,60,40,100,40,0.2,False,1.092,0
scenario21,0,20,20,60,80,60,100,40,60,0.2,False,1.201,0
scenario22,0,0,20,0,60,90,20,80,40,0.2,False,1.117,0
scenario23,1,0,20,0,100,90,0,20,40,0.1,False,0.735,0
scenario24,1,20,40,0,80,90,0,40,80,0.2,False,0.759,0
scenario25,1,0,20,0,100,90,0,20,40,0.1,False,0.775,0
scenario26,1,0,0,0,60,-60,20,80,80,0.4,False,4.726,0
scenario27,0,40,0,60,60,60,60,40,60,0.2,False,1.114,0
scenario28,1,0,0,0,80,90,0,40,60,0.2,False,0.8,0
scenario29,0,0,20,20,80,90,40,40,60,0.1,False,1.197,0
scenario30,1,60,20,80,60,60,100,0,60,0.4,False,0.791,0
scenario31,0,0,40,0,100,90,20,80,60,0.1,False,1.144,0
scenario32,0,20,0,0,40,60,0,20,80,1.0,False,1.19,0
scenario33,1,0,20,0,60,60,40,60,80,0.2,False,0.806,0
scenario34,0,0,0,20,60,90,40,20,40,0.2,False,1.195,0
