instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario1,-90,20,80,0,0,0,0.8,0,100,0,0,0,0,0.008,0,0.9906613164467316,22.430015325546265,0
scenario2,90,60,20,0,0,0,0.8,0,100,1,0,0,20,0.00147,0,0.8486525041585461,26.18342971801757,0
scenario3,30,20,100,0,0,0,0.8,0,100,0,0,0,40,0.003,0,1.099955425320262,21.76192021369934,0
scenario4,-30,20,20,0,0,0,0.8,0,100,1,0,0,60,0.0032,0,0.9259853368296028,26.985971927642822,0
scenario5,90,20,100,0,0,0,0.8,0,100,1,0,0,80,0.00299,0,0.955469559171431,26.35214471817017,0
scenario6,-30,20,100,0,0,0,0.8,0,100,1,0,0,100,0.00353,0,0.9283385237723604,26.675986289978027,0
scenario7,30,20,20,0,0,0,0.8,0,100,0,0,20,0,0.00306,0,1.104644751972062,21.98752737045288,0
scenario8,-90,60,40,0,0,0,0.8,0,100,1,0,20,20,0.00237,0,0.8656695311541314,26.568623304367065,0
scenario9,30,20,60,0,0,0,0.8,0,100,1,0,20,40,0.00321,0,0.8073936557487904,26.27077579498291,0
scenario10,90,20,60,0,0,0,0.8,0,100,0,0,20,60,0.0029,0,1.228672502719791,22.17967700958252,0
scenario11,-30,20,60,0,0,0,0.8,0,100,0,0,20,80,0.00309,0,1.013485773228024,22.33875727653504,0
scenario12,-90,20,20,0,0,0,0.8,0,100,0,0,20,100,0.0053,0,1.000327923192615,22.167733192443848,0
scenario13,-90,60,100,0,0,0,0.8,0,100,1,0,40,0,0.00169,0,0.8400617168855827,26.75194311141968,0
scenario14,90,60,20,0,0,0,0.8,0,100,0,0,40,20,0.00165,0,1.1787913323730117,21.868512868881226,0
scenario15,60,20,20,0,0,0,0.8,0,100,1,0,40,40,0.00378,0,0.8819812715369546,26.32040023803711,0
scenario16,-60,20,60,0,0,0,0.8,0,100,1,0,40,60,0.00286,0,0.857052066867076,26.8479323387146,0
scenario17,-60,60,40,0,0,0,0.8,0,100,0,0,40,80,0.00145,0,1.0085943210522483,22.290720224380493,0
scenario18,-90,20,20,0,0,0,0.8,0,100,1,0,40,100,0.00528,0,0.9007863919600246,26.657732248306274,0
scenario19,-90,60,100,0,0,0,0.8,0,100,0,0,60,0,0.00175,0,1.017703346748993,22.431941032409668,0
scenario20,0,40,80,0,0,0,0.8,0,100,0,0,60,20,0.00152,0,1.1204901857496368,22.52683734893799,0
scenario21,0,40,40,0,0,0,0.8,0,100,1,0,60,40,0.00173,0,0.9441803266272948,26.93910360336304,0
scenario22,30,60,40,0,0,0,0.8,0,100,0,0,60,60,0.00145,0,1.1782358413511684,21.910393238067627,0
scenario23,-30,20,100,0,0,0,0.8,0,100,0,0,60,80,0.00343,0,1.0668097977114803,22.381710052490234,0
scenario24,30,20,100,0,0,0,0.8,0,100,1,0,60,100,0.00321,0,0.957413028595976,26.30991744995117,0
scenario25,90,20,60,0,0,0,0.8,0,100,1,0,80,0,0.0029,0,0.8707948978748994,26.41748046875,0
scenario26,90,20,100,0,0,0,0.8,0,100,0,0,80,20,0.00282,0,1.2318487423543258,22.16953563690185,0
scenario27,-90,20,100,0,0,0,0.8,0,100,1,0,80,40,0.00608,0,0.843562467609222,26.83224391937256,0
scenario28,0,40,80,0,0,0,0.8,0,100,1,0,80,60,0.00161,0,0.7354216117888428,26.925917148590088,0
scenario29,90,20,20,0,0,0,0.8,0,100,0,0,80,80,0.00404,0,1.190881293356438,22.081496238708496,0
scenario30,30,20,60,0,0,0,0.8,0,100,0,0,80,100,0.00346,0,1.052389711742188,22.012872219085693,0
scenario31,-90,20,60,0,20,40,0.8,0,100,0,0,100,0,0.00152,0,1.079824426404413,22.349687814712524,0
scenario32,-30,20,20,0,0,0,0.8,0,100,0,0,100,20,0.00305,0,1.062012833362511,22.18565440177917,0
scenario33,-90,60,60,0,0,0,0.8,0,100,0,0,100,40,0.00213,0,0.9010921612278354,25.48670983314514,0
scenario34,60,20,40,0,0,0,0.8,0,100,0,0,100,60,0.00401,0,1.0799834169609808,21.75617265701294,0
scenario35,-90,60,20,0,0,0,0.8,0,100,0,0,100,80,0.0015,0,0.9918092695791526,22.29313564300537,0
scenario36,0,20,40,0,0,0,0.8,0,100,0,0,100,100,0.00408,0,1.0587309401729958,22.50468373298645,0
scenario37,-60,20,40,0,0,0,0.8,0,100,0,20,0,0,0.00332,0,1.0515238032590684,22.27699303627014,0
scenario38,60,20,80,0,0,0,0.8,0,100,1,20,0,20,0.00302,0,0.9077684675776444,26.59702587127685,0
scenario39,60,20,80,0,0,0,0.8,0,100,0,20,0,40,0.00299,0,1.188036785356691,21.871554613113403,0
scenario40,-90,20,60,0,0,0,0.8,0,100,1,20,0,60,0.00756,0,0.9241013441767636,26.91216301918029,0
scenario41,90,20,20,0,0,0,0.8,0,100,1,20,0,80,0.00375,0,0.8859579914109849,26.203176736831665,0
scenario42,-60,20,80,0,0,0,0.8,0,100,0,20,0,100,0.00368,0,0.9210636849670972,25.674798488616943,0
scenario43,60,60,60,0,0,0,0.8,0,100,0,20,20,0,0.00152,0,1.090653324057335,21.94986128807068,0
