Row,timeofday,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,direction
scenario1,-90,20,80,0,0,0,0.8,0,100,0
scenario2,90,60,20,0,0,0,0.8,0,100,1
scenario3,30,20,100,0,0,0,0.8,0,100,0
scenario4,-30,20,20,0,0,0,0.8,0,100,1
scenario5,90,20,100,0,0,0,0.8,0,100,1
scenario6,-30,20,100,0,0,0,0.8,0,100,1
scenario7,30,20,20,0,0,0,0.8,0,100,0
scenario8,-90,60,40,0,0,0,0.8,0,100,1
scenario9,30,20,60,0,0,0,0.8,0,100,1
scenario10,90,20,60,0,0,0,0.8,0,100,0
scenario11,-30,20,60,0,0,0,0.8,0,100,0
scenario12,-90,20,20,0,0,0,0.8,0,100,0
scenario13,-90,60,100,0,0,0,0.8,0,100,1
scenario14,90,60,20,0,0,0,0.8,0,100,0
scenario15,60,20,20,0,0,0,0.8,0,100,1
scenario16,-60,20,60,0,0,0,0.8,0,100,1
scenario17,-60,60,40,0,0,0,0.8,0,100,0
scenario18,-90,20,20,0,0,0,0.8,0,100,1
scenario19,-90,60,100,0,0,0,0.8,0,100,0
scenario20,0,40,80,0,0,0,0.8,0,100,0
scenario21,0,40,40,0,0,0,0.8,0,100,1
scenario22,30,60,40,0,0,0,0.8,0,100,0
scenario23,-30,20,100,0,0,0,0.8,0,100,0
scenario24,30,20,100,0,0,0,0.8,0,100,1
scenario25,90,20,60,0,0,0,0.8,0,100,1
scenario26,90,20,100,0,0,0,0.8,0,100,0
scenario27,-90,20,100,0,0,0,0.8,0,100,1
scenario28,0,40,80,0,0,0,0.8,0,100,1
scenario29,90,20,20,0,0,0,0.8,0,100,0
scenario30,30,20,60,0,0,0,0.8,0,100,0
scenario31,-90,20,60,0,20,40,0.8,0,100,0
scenario32,-30,20,20,0,0,0,0.8,0,100,0
scenario33,-90,60,60,0,0,0,0.8,0,100,0
scenario34,60,20,40,0,0,0,0.8,0,100,0
scenario35,-90,60,20,0,0,0,0.8,0,100,0
scenario36,0,20,40,0,0,0,0.8,0,100,0
scenario37,-60,20,40,0,0,0,0.8,0,100,0
scenario38,60,20,80,0,0,0,0.8,0,100,1
scenario39,60,20,80,0,0,0,0.8,0,100,0
scenario40,-90,20,60,0,0,0,0.8,0,100,1
scenario41,90,20,20,0,0,0,0.8,0,100,1
scenario42,-60,20,80,0,0,0,0.8,0,100,0
scenario43,60,60,60,0,0,0,0.8,0,100,0
scenario44,30,60,40,0,0,0,0.8,0,100,1
scenario45,-60,20,20,0,0,0,0.8,0,100,1
scenario46,-60,20,100,0,0,0,0.8,0,100,1
scenario47,30,20,20,0,0,0,0.8,0,100,1
scenario48,-30,20,60,0,0,0,0.8,0,100,1
scenario49,0,20,60,0,0,0,0.8,0,100,1
scenario50,0,20,100,0,0,0,0.8,0,100,1
scenario51,60,60,40,0,0,0,0.8,0,100,1
scenario52,0,20,100,0,0,0,0.8,0,100,0
scenario53,0,20,20,0,0,0,0.8,0,100,1
