instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario1,60,40,80,20,100,60,0.6,0,100,1,0,0,0,1e-05,0,0.955261609782904,27.24380326271057,0
scenario2,-90,40,20,20,0,80,0.8,100,0,0,0,0,20,1e-05,0,1.0682489148978205,22.442638874053955,0
scenario3,90,60,100,0,0,80,0.2,100,0,0,0,0,40,1e-05,0,1.217687037004656,22.29110884666443,0
scenario4,-90,60,60,40,0,0,0.8,0,100,1,0,0,60,1e-05,0,0.8201841654812798,26.85172152519226,0
scenario5,30,40,40,100,0,80,0.4,20,80,0,0,0,80,1e-05,0,1.065661289550869,21.760182857513428,0
scenario6,30,20,60,40,100,40,0.6,100,0,1,0,0,100,1e-05,0,0.9152133942512448,26.47838068008423,0
scenario7,-90,20,20,40,100,40,0.4,20,80,0,0,20,0,1e-05,0,1.040970455688626,22.39973306655884,0
scenario8,-60,20,80,0,0,100,0.2,20,80,0,0,20,20,1e-05,0,2.980998462938932,59.3237669467926,0
scenario9,90,60,20,0,0,100,0.8,0,100,1,0,20,40,1e-05,0,0.914749744334982,26.279298543930054,0
scenario10,30,0,40,0,0,0,0.6,0,100,0,0,20,60,1e-05,0,1.1249012891248085,22.13804244995117,0
scenario11,-60,80,100,0,100,40,0.6,0,100,1,0,20,80,1e-05,0,0.7805902983309452,26.81105399131775,0
scenario12,30,60,20,0,60,0,0.6,40,60,1,0,20,100,1e-05,0,0.7858902942890741,26.222871780395508,0
scenario13,-60,60,100,0,40,40,0.6,80,20,1,0,40,0,1e-05,0,0.8393706466441839,27.07730770111084,0
scenario14,30,60,100,20,20,40,0.8,40,60,0,0,40,20,1e-05,0,1.1910564698732578,21.94040060043335,0
scenario15,90,80,60,0,0,0,0.8,80,20,1,0,40,40,1e-05,0,0.9102016809341164,26.293102264404297,0
scenario16,-90,40,60,100,0,80,0.4,40,60,1,0,40,60,1e-05,0,0.8626182184132044,26.960530757904053,0
scenario17,-90,60,100,100,100,40,0.6,100,0,1,0,40,80,1e-05,0,0.903419538970024,26.96804451942444,0
scenario18,0,20,60,40,0,80,0.2,100,0,1,0,40,100,1e-05,0,0.8538398438816079,26.83996319770813,0
scenario19,90,60,20,80,0,80,0.4,100,0,1,0,60,0,1e-05,0,0.8453685543985696,26.28003740310669,0
scenario20,0,20,60,100,100,40,0.6,40,60,0,0,60,20,1e-05,0,1.0325237341197713,22.49150562286377,0
scenario21,-90,20,20,0,100,40,0.6,80,20,1,0,60,40,1e-05,0,0.8409366663110777,27.13306450843811,0
scenario22,-30,20,60,20,0,0,0.8,100,0,0,0,60,60,1e-05,0,1.115343742246825,22.232908725738525,0
scenario23,60,20,100,0,0,100,0.1,20,80,1,0,60,80,1e-05,0,0.750127443164151,26.17831516265869,0
scenario24,60,20,20,0,0,80,0.1,80,20,0,0,60,100,1e-05,0,1.1702304154709422,21.883097887039185,0
scenario25,90,40,100,0,0,0,0.8,20,80,1,0,80,0,1e-05,0,0.7493368831079557,26.16669607162476,0
scenario26,-30,80,20,0,20,40,0.8,0,100,0,0,80,20,1e-05,0,1.0808455219337283,22.27306842803955,0
scenario27,-30,60,100,60,100,60,0.6,60,40,1,0,80,40,1e-05,0,0.925298212728549,26.95590353012085,0
scenario28,90,60,40,80,80,40,0.6,40,60,1,0,80,60,1e-05,0,0.826221519125257,26.16982650756836,0
scenario29,90,20,100,20,80,0,0.6,20,80,0,0,80,80,1e-05,0,1.1897493277912978,21.95337581634521,0
scenario30,-90,60,80,100,0,100,0.1,100,0,0,0,80,100,1e-05,0,1.0187416549460295,22.24842739105225,0
scenario31,-60,0,100,0,40,40,0.8,0,100,1,0,100,0,1e-05,0,0.9317409506483126,26.87284564971924,0
scenario32,-30,60,100,0,20,0,0.8,0,100,0,0,100,20,1e-05,0,1.0557585671516307,22.212761640548703,0
scenario33,-90,60,20,0,0,100,0.4,0,100,1,0,100,40,1e-05,0,5.164170207395904,61.13269019126892,0
scenario34,0,20,20,20,0,100,0.8,20,80,1,0,100,60,1e-05,0,0.8055037670048846,26.96017050743103,0
scenario35,-30,80,20,20,100,40,0.6,0,100,1,0,100,80,1e-05,0,0.916742002448606,27.06773996353149,0
scenario36,90,60,20,0,100,40,0.6,80,20,0,0,100,100,1e-05,0,1.1614912708947946,21.81531834602356,0
scenario37,0,20,20,20,80,60,0.6,20,80,0,20,0,0,1e-05,0,1.0746637256854312,22.542178630828857,0
scenario38,90,80,80,60,0,80,0.4,40,60,0,20,0,20,1e-05,0,1.2086317491785088,21.83923316001892,0
scenario39,-30,20,100,40,100,60,0.6,0,100,0,20,0,40,1e-05,0,1.3200959270812311,22.79748797416687,0
scenario40,90,40,40,20,40,40,0.6,0,100,0,20,0,60,1e-05,0,1.1845824992174792,21.69381761550904,0
scenario41,-90,60,100,0,0,100,0.1,80,20,0,20,0,80,1e-05,0,1.062614260680664,22.311082363128666,0
scenario42,-30,80,100,0,0,100,0.1,0,100,1,20,0,100,1e-05,0,5.003015963578727,59.49053430557251,0
scenario43,30,20,20,100,0,0,0.8,20,80,1,20,20,0,1e-05,0,0.8147961669619851,26.132569074630737,0
scenario44,-90,20,80,40,100,0,0.6,20,80,1,20,20,20,1e-05,0,0.9949380311924928,27.22577667236328,0
scenario45,-90,20,20,0,0,0,0.4,80,20,1,20,20,40,1e-05,0,0.9473918287446684,27.058101177215576,0
scenario46,0,40,20,0,100,100,0.6,80,20,0,20,20,60,1e-05,0,1.1413277692660375,22.61218881607056,0
scenario47,60,0,80,0,0,0,0.8,80,20,0,20,20,80,1e-05,0,1.1057864562411222,21.75791096687317,0
scenario48,-60,40,20,60,0,0,0.8,40,60,0,20,20,100,1e-05,0,1.068418150108548,22.29755926132202,0
scenario49,90,60,100,20,60,40,0.6,60,40,1,20,40,0,1e-05,0,0.7969725793796196,26.14889335632324,0
scenario50,-60,20,100,60,60,40,0.6,100,0,0,20,40,20,1e-05,0,1.011589806076381,22.472031831741333,0
scenario51,90,20,20,20,20,0,0.8,100,0,0,20,40,40,1e-05,0,1.115359552888425,21.85535144805908,0
scenario52,-60,20,40,20,40,40,0.8,40,60,1,20,40,60,1e-05,0,0.9583816452166326,26.9653217792511,0
scenario53,0,60,20,20,40,40,0.8,20,0,0,20,40,80,1e-05,0,1.1192800210714482,22.55061626434326,0
scenario54,-90,40,100,20,20,40,0.8,40,60,0,20,40,100,1e-05,0,1.0819299794190187,22.424132347106934,0
scenario55,-30,20,20,40,80,40,0.6,100,0,0,20,60,0,1e-05,0,1.0755417347605447,22.41464352607727,0
scenario56,60,60,20,0,0,0,0.4,0,100,1,20,60,20,1e-05,0,0.8157354110900994,26.27749514579773,0
scenario57,90,20,40,40,0,80,0.4,40,60,1,20,60,40,1e-05,0,0.885620800493686,26.5436692237854,0
scenario58,0,60,100,0,0,100,0.6,80,20,0,20,60,60,1e-05,0,1.084479355747556,22.45801544189453,0
scenario59,30,60,60,0,20,100,0.8,0,100,0,20,60,80,1e-05,0,1.0878088235908083,21.821935415267944,0
scenario60,30,20,80,20,40,0,0.8,0,100,1,20,60,100,1e-05,0,0.7066131502502562,26.374565839767456,0
scenario61,-30,60,20,0,0,100,0.2,80,20,1,20,80,0,1e-05,0,0.952941448202358,27.0806851387024,0
scenario62,-30,60,20,40,0,80,0.4,40,60,0,20,80,20,1e-05,0,1.1027059466754,22.25519204139709,0
scenario63,-60,0,80,0,0,80,0.4,80,20,1,20,80,40,1e-05,0,0.915105148500328,26.748883724212646,0
scenario64,-90,60,100,40,100,40,0.6,40,60,0,20,80,60,1e-05,0,1.0794426980292144,22.19443702697754,0
scenario65,-30,20,40,0,0,0,0.2,0,100,1,20,80,80,1e-05,0,0.94687350769118,27.06590151786804,0
scenario66,30,20,20,0,40,40,0.8,80,20,1,20,80,100,1e-05,0,0.8749943109570313,26.304838180541992,0
scenario67,90,20,100,80,80,40,0.6,100,0,0,20,100,0,1e-05,0,1.1701039877286703,21.808372735977173,0
scenario68,30,40,100,20,100,40,0.6,40,60,0,20,100,20,1e-05,0,1.105186403073581,22.00070333480835,0
scenario69,30,40,60,40,20,0,0.8,100,0,1,20,100,40,1e-05,0,0.802418937669166,26.54069709777832,0
scenario70,60,60,100,100,0,80,0.4,100,0,0,20,100,60,1e-05,0,1.1228158011990337,21.947396516799927,0
scenario71,60,60,20,40,100,0,0.6,20,80,0,20,100,80,1e-05,0,1.0949521452761128,21.789097785949707,0
scenario72,-90,40,20,60,0,0,0.8,100,0,0,20,100,100,1e-05,0,1.1444546564873068,22.40389132499695,0
scenario73,90,40,20,40,0,0,0.8,40,60,0,40,0,0,1e-05,0,1.156720493458072,21.84618210792541,0
