instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,min_ttc,algo_safety
scenario1,0,0,100,20,80,30,40,0,20,0.4,0,1.1940287607745592,0
scenario2,0,0,100,0,20,-90,100,20,0,0.4,0,1.4394334809858595,0
scenario3,1,20,100,80,80,-60,100,0,100,0.1,0,0.79026185563442,0
scenario4,0,100,100,20,80,30,100,60,20,0.4,0,1.0896519698167964,0
scenario5,1,0,100,60,80,-60,60,40,100,0.4,0,0.9112755060244038,0
scenario6,0,40,100,20,80,-90,40,0,20,0.2,0,9999.0,0
scenario7,0,0,100,100,40,30,40,0,60,1.0,0,1.1450842724622892,0
scenario8,1,20,100,0,80,30,20,80,0,0.4,0,0.902037370697066,0
scenario9,1,60,100,0,20,30,40,20,100,0.6,0,1.01289462487093,0
scenario10,0,80,100,0,80,-60,40,0,80,0.1,0,1.0584215216818005,0
scenario11,0,0,100,80,100,30,100,0,0,0.1,0,1.0927533900155093,0
scenario12,0,40,80,80,80,-90,100,20,20,0.4,0,1.059625931816042,0
scenario13,1,20,100,40,20,0,80,0,100,0.8,0,0.9239246016679122,0
scenario14,1,20,100,60,60,-30,40,60,0,0.4,0,0.9365563237793082,0
scenario15,0,0,100,20,40,-60,100,100,40,0.4,0,1.1007103127520523,0
scenario16,0,100,80,20,80,30,40,60,20,0.2,0,1.09088691910215,0
scenario17,0,0,60,20,20,-90,100,20,20,0.4,0,1.269185690331948,0
scenario18,0,40,100,100,100,30,0,40,60,0.4,0,1.0989204974725089,0
scenario19,0,60,40,0,80,-60,100,40,20,0.4,0,1.0532527123696218,0
scenario20,1,100,20,60,40,30,100,0,100,0.4,0,0.8865914743011766,0
scenario21,0,40,80,80,80,30,40,0,60,1.0,0,1.082517903538559,0
scenario22,0,20,100,20,0,60,100,60,0,0.0,0,1.1880575171273615,0
scenario23,0,0,100,60,80,90,60,80,20,0.1,0,1.1115018727436754,0
scenario24,0,0,60,0,80,30,60,80,0,0.6,0,1.167749935821449,0
scenario25,0,20,20,0,80,-90,20,0,0,0.1,0,1.0242671360453754,0
scenario26,0,60,40,20,100,30,20,0,100,0.1,0,1.056331659520519,0
scenario27,0,80,60,100,80,0,80,0,80,0.4,0,1.0928491739677666,0
