instances,feature_timeofday,feature_direction,feature_roadfriction,feature_fogdensity,feature_precipitation,feature_precipitationdeposits,feature_cloudiness,feature_windintensity,feature_wetness,feature_fogdistance,collision,min_ttc,run_duration,algo_safety
scenario1,-90,1,0.1,100,100,40,20,60,40,0,0,0.889536684206999,27.57565474510193,0
scenario2,0,0,0.8,80,100,100,0,40,80,20,0,1.1130270686012889,22.77798128128052,0
scenario3,-30,0,0.2,0,60,0,60,0,0,40,0,1.0629559713173955,22.53165602684021,0
scenario4,-60,0,0.4,20,80,20,40,80,20,80,0,1.0154254975324006,22.398946046829224,0
scenario5,0,1,0.6,20,20,60,60,20,60,60,0,0.8834668821044865,27.388808488845825,0
scenario6,0,1,1.0,40,0,100,80,100,100,40,0,0.8978143240585865,27.24508619308472,0
scenario7,60,1,0.8,80,60,80,100,20,20,100,0,0.919945556182001,26.54344153404236,0
scenario8,90,1,0.6,60,40,40,80,0,80,100,0,0.9284476904144932,26.46330094337464,0
scenario9,30,0,1.0,0,40,80,20,40,100,80,0,1.0873238339890603,22.142550230026245,0
scenario10,60,1,0.2,60,20,100,0,80,0,0,0,0.7744638053010309,26.453925132751465,0
scenario11,90,1,1.0,80,80,60,40,60,0,40,0,0.8542912294096673,26.43460273742676,0
scenario12,-60,0,0.4,100,40,100,100,100,40,60,0,1.0815923147124948,22.65123605728149,0
scenario13,0,1,0.8,0,0,20,40,0,60,0,0,0.8974701145356644,27.26865291595459,0
scenario14,-60,0,0.6,40,80,0,100,20,100,0,0,1.1046709731747486,22.515437841415405,0
scenario15,90,0,0.2,40,100,100,60,60,60,80,0,1.0974289177592942,22.342669248580933,0
scenario16,90,0,0.1,60,20,80,40,100,40,20,0,1.2014088316052998,22.09675168991089,0
scenario17,90,1,0.1,20,0,20,100,40,0,60,0,0.9364120836928082,26.619021892547607,0
scenario18,-90,0,1.0,60,100,0,60,80,20,100,0,1.0581322359560754,22.645756244659424,0
scenario19,60,1,0.4,40,60,60,20,100,80,20,0,0.8976167485789893,26.551838636398315,0
scenario20,0,0,0.2,100,80,60,20,0,20,100,0,1.027632499417345,22.747108459472656,0
scenario21,30,1,0.8,40,80,40,60,80,40,60,0,0.9742443954407306,26.63089179992676,0
scenario22,60,0,0.4,100,80,80,80,40,60,0,0,1.2162134126456243,22.287829160690308,0
scenario23,60,0,0.6,0,20,100,100,60,80,40,0,1.2021385810677585,22.27762103080749,0
scenario24,60,0,1.0,20,40,80,0,0,0,20,0,1.1053751377477137,22.24911379814148,0
scenario25,60,0,0.1,0,0,40,80,20,0,80,0,1.0878733866153338,22.23265266418457,0
scenario26,90,1,0.8,100,20,60,80,80,100,80,0,0.7700174372852512,26.40123081207276,0
scenario27,90,0,0.6,100,60,20,0,20,40,40,0,1.083241319625213,22.27683806419373,0
scenario28,0,1,0.4,0,100,60,100,80,40,40,0,0.8194876626576151,27.34662699699402,0
scenario29,60,0,0.2,80,100,20,40,100,100,60,0,1.1834465993721257,22.10415625572205,0
scenario30,60,1,0.2,60,0,0,100,40,40,20,0,0.9399875318732148,26.68324375152588,0
scenario31,30,1,0.4,40,20,80,0,60,60,100,0,0.853759814020891,26.54906702041626,0
scenario32,-30,0,0.2,80,40,40,20,20,80,0,0,1.12008804593204,22.55150032043457,0
scenario33,-60,1,0.1,60,60,100,20,40,60,100,0,0.8110194058132776,27.091250896453857,0
scenario34,90,0,0.8,0,80,0,0,100,20,60,0,1.1458424378591043,23.373099088668823,0
scenario35,60,1,0.8,20,40,0,20,80,60,40,0,0.922936047397624,26.719438314437863,0
scenario36,-30,1,0.6,100,0,20,60,60,20,20,0,0.9203129447640036,27.25140357017517,0
scenario37,30,1,1.0,80,20,40,100,0,20,80,0,0.8406687764113656,26.6088228225708,0
scenario38,90,0,1.0,20,60,60,60,40,80,0,0,1.117851329254992,22.253623723983765,0
scenario39,-30,1,0.4,40,100,20,80,20,0,100,0,0.8870942399348842,27.79920268058777,0
scenario40,-60,1,0.1,20,20,0,80,0,80,20,0,0.8169570334583608,27.41496968269348,0
scenario41,60,0,0.1,80,0,60,0,80,20,60,0,1.0748067211319428,22.369576692581177,0
scenario42,-90,0,0.6,80,60,100,80,0,60,60,0,1.030115301487357,22.61045932769776,0
scenario43,0,0,1.0,20,20,40,40,40,40,100,0,1.0335448814605337,22.980791807174683,0
scenario44,-60,1,0.2,0,0,80,60,80,100,20,0,4.796896802191814,60.13571095466614,0
