Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario1,0,40,0,60,40,-90,0,60,80,0.8
scenario2,1,40,0,20,20,-30,80,40,100,0.2
scenario3,0,0,60,0,80,0,0,0,40,1
scenario4,1,0,0,0,100,-60,20,0,40,0.6
scenario5,1,40,60,0,40,-30,80,60,20,0.8
scenario6,1,0,60,100,80,0,100,80,100,1
scenario7,1,80,100,60,40,30,0,100,20,1
scenario8,0,60,100,40,20,-30,40,80,60,0.1
scenario9,1,60,80,40,0,-60,80,0,100,0.4
scenario10,0,40,20,60,80,30,100,0,100,0.4
scenario11,1,100,100,20,80,0,20,20,80,0.6
scenario12,1,60,0,0,20,0,20,0,40,0.4
scenario13,1,60,100,60,0,-90,80,0,80,0.4
scenario14,0,0,60,0,80,0,0,80,100,1
scenario15,1,0,40,40,60,-90,80,40,60,0.4
scenario16,0,100,100,20,60,-90,100,100,20,0.4
scenario17,0,100,0,100,0,90,80,60,80,0.4
scenario18,0,100,40,60,40,-60,80,40,80,0.1
scenario19,0,80,60,60,0,60,20,60,100,0.1
scenario20,1,60,100,100,100,60,100,60,40,0.6
scenario21,0,20,80,40,80,30,80,20,40,0.8
scenario22,0,80,100,40,20,30,40,0,40,0.8
scenario23,0,20,40,40,60,-90,80,0,20,0.8
scenario24,0,0,20,40,80,-60,0,80,40,0.1
scenario25,1,80,80,20,80,-60,60,60,100,0.6
scenario26,0,40,100,80,60,-30,60,20,80,0.2
scenario27,0,80,80,60,40,60,80,0,100,0.1
scenario28,1,60,40,100,60,-30,40,20,60,0.4
scenario29,0,20,60,0,60,0,80,40,20,0.8
scenario30,1,40,0,40,0,-30,80,80,40,0.1
scenario31,1,0,80,60,40,-90,60,80,100,0.4
scenario32,0,100,60,40,60,30,80,40,20,1
scenario33,1,80,80,40,40,-90,20,0,0,0.6
scenario34,1,100,20,60,80,-90,60,80,20,0.4
scenario35,1,20,80,0,60,30,80,40,100,0.8
scenario36,0,40,100,60,20,60,0,40,40,0.2
scenario37,1,40,60,0,80,-90,60,100,20,0.2
scenario38,0,40,80,20,100,30,20,40,60,0.6
scenario39,0,40,80,0,0,0,80,80,80,0.4
scenario40,0,80,0,100,60,0,60,0,0,0.8
scenario41,1,100,60,80,40,-60,60,20,20,0.2
scenario42,0,0,20,20,0,0,0,0,60,1
scenario43,1,80,0,0,20,60,60,100,40,0.2
scenario44,1,0,40,100,100,90,40,20,80,0.1
scenario45,1,20,60,20,60,-60,80,100,60,0.6
scenario46,0,60,0,60,0,-30,20,60,100,1
scenario47,0,20,0,60,40,30,80,0,60,0.8
scenario48,1,40,40,20,60,-90,0,80,0,0.8
scenario49,1,100,0,100,20,0,20,60,20,0.6
scenario50,0,0,20,0,40,-90,0,20,20,0.6
scenario51,1,20,100,60,0,-90,20,0,60,1
scenario52,0,20,100,0,40,0,20,20,20,0.6
scenario53,1,100,20,0,100,-90,40,40,100,0.6
scenario54,1,20,0,0,80,-90,0,20,40,0.2
scenario55,0,80,0,80,100,90,80,40,60,0.8
scenario56,1,40,100,20,60,-90,80,40,40,0.4
scenario57,0,40,80,0,100,-30,0,60,100,0.2
scenario58,1,60,0,100,80,60,80,20,60,1
scenario59,0,20,20,100,40,0,60,40,100,0.8
scenario60,0,60,0,40,100,-90,100,100,20,0.2
scenario61,1,20,0,20,100,30,0,40,0,0.1
scenario62,1,0,40,40,20,-30,60,0,80,0.4
scenario63,0,100,80,0,40,-30,100,100,40,0.6
scenario64,0,0,0,0,80,-90,60,60,40,1
scenario65,0,20,60,0,60,-60,20,0,60,0.2
scenario66,0,20,80,40,60,-60,60,40,0,0.1
scenario67,0,80,60,40,80,-90,100,100,80,1
scenario68,0,40,40,80,80,90,100,40,0,1
scenario69,0,40,40,20,60,-60,60,0,60,0.1
scenario70,0,20,100,0,80,-60,0,60,80,0.2
scenario71,1,80,100,60,100,30,40,0,20,0.1
scenario72,1,0,80,40,100,-90,20,100,0,0.2
scenario73,0,100,0,60,100,0,80,60,40,1
scenario74,0,100,100,60,60,60,100,0,0,0.1
scenario75,0,20,100,100,20,90,100,100,80,0.4
scenario76,1,80,60,100,40,-30,60,20,80,0.8
scenario77,0,0,80,80,100,-60,80,80,100,0.8
scenario78,0,60,100,20,100,90,80,60,0,0.4
scenario79,1,60,40,100,100,-30,80,80,80,1
scenario80,1,20,20,0,40,-90,80,0,60,0.4
scenario81,1,100,20,0,100,30,0,20,80,0.6
scenario82,0,80,100,100,0,90,60,80,20,1
scenario83,1,40,40,80,100,90,60,100,40,0.4
scenario84,1,20,20,0,100,60,0,100,80,1
