instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,1,20,60,100,0,-90,80,0,40,0.8,False,0.928,0
scenario2,0,80,20,0,0,0,60,0,20,0.1,False,1.111,0
scenario3,1,0,80,0,20,60,100,80,0,0.8,False,0.871,0
scenario4,1,0,20,0,80,90,20,40,60,0.2,False,0.76,0
scenario5,0,80,40,80,100,-60,0,80,80,1.0,False,1.134,0
scenario6,0,40,0,80,100,-90,80,0,80,0.2,False,1.047,0
scenario7,1,100,80,60,40,0,80,60,40,0.4,False,0.893,0
scenario8,0,20,100,20,0,30,40,80,60,0.4,False,0.981,0
scenario9,1,40,80,0,0,30,60,20,40,0.2,False,0.794,0
scenario10,1,60,0,100,0,90,80,80,40,0.4,False,0.766,0
scenario11,1,80,60,80,60,-90,0,40,60,1.0,False,0.826,0
scenario12,0,0,100,100,40,60,80,100,60,0.4,False,1.079,0
scenario13,1,100,40,0,60,-30,20,80,0,0.6,False,0.804,0
scenario14,0,20,40,20,100,-60,60,60,60,0.1,False,1.137,0
scenario15,0,60,60,80,40,-60,60,80,40,1.0,False,1.093,0
scenario16,1,40,100,60,20,-60,0,20,20,0.2,False,0.869,0
scenario17,0,0,60,80,20,-30,40,0,20,0.6,False,1.046,0
scenario18,1,80,80,40,20,60,80,80,100,1.0,False,0.835,0
scenario19,0,60,100,80,60,0,60,60,0,0.6,False,1.089,0
scenario20,1,0,20,0,20,0,20,0,40,0.8,False,0.888,0
scenario21,0,0,0,80,20,30,0,40,80,0.1,False,1.083,0
scenario22,0,20,80,60,20,60,40,40,80,0.4,False,1.149,0
scenario23,1,0,0,60,60,0,60,40,0,0.2,False,0.827,0
scenario24,0,100,40,100,40,0,100,20,80,0.1,False,1.153,0
scenario25,0,80,40,20,100,30,0,80,40,1.0,False,1.124,0
scenario26,0,100,40,80,40,-60,40,20,80,0.8,False,1.097,0
scenario27,1,100,20,80,20,90,20,60,100,0.2,False,0.923,0
scenario28,0,80,60,40,100,-90,0,40,60,0.4,False,2.905,0
scenario29,0,100,80,40,60,90,100,40,40,0.1,False,1.203,0
scenario30,0,0,20,60,20,-30,20,60,80,0.8,False,1.011,0
scenario31,0,60,100,40,100,-90,100,0,60,1.0,False,1.036,0
scenario32,0,60,20,60,100,-30,0,100,60,0.6,False,1.087,0
scenario33,1,100,0,100,20,-60,20,0,20,0.8,False,0.868,0
scenario34,1,100,20,80,80,0,100,40,20,0.8,False,0.911,0
scenario35,0,0,0,100,100,-90,80,100,20,0.6,False,1.118,0
scenario36,0,20,0,40,20,-30,80,20,80,0.4,False,1.049,0
scenario37,1,80,60,20,0,60,40,60,100,0.8,False,0.848,0
scenario38,1,80,20,80,20,30,80,0,60,0.2,False,0.834,0
scenario39,0,20,20,20,60,30,100,0,80,0.1,False,1.056,0
scenario40,1,100,80,80,80,0,0,80,0,0.2,False,0.978,0
scenario41,0,40,0,0,80,0,80,0,0,0.6,False,1.138,0
scenario42,1,80,80,80,80,-60,100,40,60,0.8,False,0.88,0
scenario43,1,80,20,100,80,-30,80,20,60,0.2,False,0.888,0
scenario44,1,0,60,60,40,-90,100,20,60,0.1,False,0.907,0
scenario45,0,100,40,0,20,60,100,100,40,0.2,False,1.075,0
scenario46,1,20,60,20,100,-90,60,60,20,1.0,False,0.803,0
scenario47,0,20,100,60,80,0,40,60,20,0.4,False,1.088,0
scenario48,1,0,100,40,0,-30,80,60,60,1.0,False,0.873,0
scenario49,0,60,40,80,80,-30,80,0,0,0.2,False,1.036,0
scenario50,0,0,40,40,0,90,20,40,20,0.6,False,1.099,0
scenario51,1,60,20,80,80,30,60,100,40,0.1,False,0.789,0
scenario52,1,0,100,20,60,-90,40,0,100,0.1,False,0.804,0
scenario53,1,0,80,20,0,-30,0,60,0,0.4,False,0.907,0
scenario54,1,40,80,20,0,30,100,20,0,0.2,False,0.763,0
scenario55,1,0,20,20,40,60,40,80,20,0.4,False,0.9,0
scenario56,1,80,100,20,40,-30,0,40,0,0.1,False,0.841,0
scenario57,0,100,80,80,20,30,60,20,60,0.1,False,1.112,0
scenario58,1,100,60,80,60,30,40,100,20,0.2,False,0.788,0
scenario59,1,20,100,100,100,-60,60,40,0,0.2,False,0.782,0
scenario60,0,0,100,100,40,0,20,0,0,1.0,False,1.115,0
scenario61,1,80,100,40,80,-60,100,40,0,0.6,False,0.797,0
scenario62,0,20,40,60,0,-30,40,40,80,0.4,False,1.078,0
scenario63,0,0,40,20,40,-60,0,40,60,0.1,False,1.041,0
scenario64,1,40,80,100,20,-60,80,0,0,0.4,False,0.792,0
scenario65,0,20,60,80,0,0,0,40,40,1.0,False,1.101,0
scenario66,0,0,80,80,20,60,100,80,60,0.4,False,1.101,0
scenario67,1,20,40,100,80,60,20,0,100,0.8,False,0.759,0
scenario68,1,100,100,80,20,30,80,80,0,1.0,False,0.778,0
scenario69,0,0,0,0,20,60,40,0,60,0.6,False,1.223,0
scenario70,0,100,0,100,80,60,20,60,40,0.1,False,1.199,0
scenario71,1,0,100,80,80,-90,100,80,0,1.0,False,0.93,0
scenario72,1,40,0,40,20,60,20,20,100,1.0,False,0.769,0
scenario73,1,60,60,0,60,60,40,0,80,1.0,False,0.796,0
scenario74,0,0,80,20,40,-30,100,100,100,0.4,False,1.32,0
scenario75,0,0,60,0,60,-30,100,0,100,0.2,False,1.198,0
scenario76,1,40,100,80,40,0,60,60,0,0.8,False,0.857,0
scenario77,0,40,0,60,0,-30,60,0,80,0.6,False,1.072,0
scenario78,1,60,20,20,0,30,0,20,100,0.8,False,0.85,0
scenario79,1,40,20,80,100,30,40,0,100,0.4,False,0.834,0
scenario80,0,60,60,60,0,-60,0,60,100,0.6,False,2.662,0
scenario81,1,40,100,20,60,-30,60,40,0,0.4,False,0.983,0
scenario82,0,40,40,60,0,-60,100,0,100,0.4,False,2.712,0
scenario83,1,40,0,60,60,90,80,0,40,0.6,False,0.771,0
scenario84,1,0,40,0,0,90,100,40,100,0.2,False,0.8,0
scenario85,0,40,60,80,40,-60,40,60,0,1.0,False,1.08,0
scenario86,1,80,80,20,100,-90,0,100,60,0.6,False,1.055,0
scenario87,0,100,40,60,0,30,20,20,60,0.6,False,1.045,0
scenario88,1,40,40,40,100,60,100,40,60,1.0,False,0.802,0
scenario89,0,40,60,80,100,0,0,20,100,0.2,False,1.086,0
scenario90,0,20,80,60,80,-60,60,40,60,0.6,False,1.138,0
scenario91,0,80,20,20,0,-60,40,80,0,0.4,False,1.201,0
scenario92,0,40,40,80,20,-90,100,60,60,0.6,False,1.031,0
scenario93,0,60,40,40,0,0,40,80,40,0.2,False,1.033,0
scenario94,0,0,40,20,60,0,100,60,60,0.4,False,1.097,0
scenario95,0,20,0,60,100,90,60,80,60,0.1,False,1.109,0
scenario96,0,60,80,60,60,-60,0,20,20,0.2,False,0.796,0
scenario97,0,100,100,100,60,-90,80,0,0,0.2,False,1.196,0
scenario98,0,80,0,100,100,-30,20,100,40,0.8,False,1.049,0
scenario99,1,100,0,0,0,-30,80,80,20,0.6,False,1.036,0
scenario100,1,20,80,0,0,30,40,60,40,0.4,False,0.85,0
scenario101,0,60,80,20,80,-60,0,60,100,1.0,False,2.601,0
scenario102,1,0,0,20,60,60,100,60,0,0.4,False,0.772,0
scenario103,0,100,60,40,20,0,0,100,40,1.0,False,1.082,0
scenario104,1,40,100,60,20,-90,40,100,80,0.1,False,0.91,0
scenario105,0,60,20,40,20,-60,60,20,40,0.4,False,1.109,0
scenario106,0,80,60,80,20,-60,60,60,100,0.1,False,1.218,0
scenario107,0,60,0,20,0,30,20,60,0,1.0,False,1.103,0
scenario108,0,20,60,60,100,-30,100,0,0,0.2,False,1.08,0
scenario109,1,20,20,100,80,60,60,0,40,1.0,False,0.915,0
scenario110,1,40,40,60,20,-90,0,0,40,0.1,False,0.882,0
scenario111,1,60,0,80,20,0,40,40,60,0.1,False,0.9,0
scenario112,0,100,60,20,40,30,60,20,40,0.4,False,1.196,0
scenario113,1,0,100,60,20,90,100,60,0,0.6,False,0.854,0
scenario114,0,60,0,0,40,-60,100,0,80,0.4,False,1.122,0
scenario115,1,40,40,80,0,-30,100,100,100,0.4,False,0.817,0
scenario116,1,40,0,100,80,90,100,0,0,0.2,False,0.864,0
scenario117,0,60,100,60,60,90,40,60,60,0.2,False,1.224,0
scenario118,1,20,0,100,40,90,100,20,80,0.2,False,0.916,0
scenario119,1,40,60,40,80,-90,80,20,60,0.2,False,0.837,0
scenario120,0,60,0,100,0,0,80,80,40,0.2,False,1.119,0
scenario121,1,0,0,40,80,-90,20,0,60,0.6,False,0.802,0
scenario122,1,20,20,20,60,0,80,100,20,1.0,False,0.804,0
scenario123,0,40,40,40,80,-30,40,40,100,0.4,False,1.122,0
scenario124,0,60,20,20,20,-60,20,40,80,0.2,False,1.11,0
scenario125,1,0,60,40,20,30,80,20,100,0.1,False,0.823,0
scenario126,1,0,0,0,60,90,20,60,40,0.1,False,0.938,0
scenario127,1,20,0,0,20,30,80,20,0,0.4,False,0.758,0
scenario128,0,60,80,40,100,-90,0,100,80,1.0,False,2.564,0
scenario129,1,20,0,40,40,-60,0,20,40,0.1,False,0.801,0
scenario130,0,0,40,60,100,-30,20,80,40,0.1,False,1.13,0
scenario131,0,0,60,80,60,-90,60,0,60,1.0,False,1.212,0
scenario132,0,100,80,0,100,-60,60,100,40,0.6,False,1.018,0
scenario133,1,100,40,60,0,-30,100,80,40,0.6,False,0.95,0
scenario134,1,0,40,100,20,0,100,60,20,0.1,False,0.906,0
scenario135,1,20,60,0,0,0,80,40,60,0.2,False,0.814,0
scenario136,0,0,0,80,20,60,60,0,80,0.8,False,1.163,0
scenario137,1,100,80,20,20,-30,40,20,80,0.2,False,0.86,0
scenario138,0,0,60,60,20,-30,20,0,60,0.4,False,0.898,0
scenario139,0,80,100,60,0,60,80,100,20,1.0,False,1.174,0
scenario140,0,80,60,80,20,90,60,20,80,0.2,False,1.186,0
scenario141,0,60,80,20,60,-30,0,20,20,1.0,False,1.035,0
scenario142,0,0,80,100,0,60,40,0,60,0.8,False,1.241,0
scenario143,1,80,100,40,100,0,40,80,20,0.6,False,0.789,0
scenario144,1,100,40,60,80,0,20,0,0,0.8,False,1.048,0
scenario145,1,60,20,60,80,90,60,20,60,0.6,False,0.873,0
scenario146,0,0,20,40,60,-30,0,60,80,0.8,False,1.06,0
scenario147,0,0,100,20,0,60,40,100,80,0.1,False,1.148,0
scenario148,0,80,60,100,20,-90,0,80,100,1.0,False,1.14,0
scenario149,0,20,20,60,40,90,20,100,100,0.2,False,1.195,0
scenario150,0,40,80,40,20,-30,80,40,60,0.2,False,1.181,0
scenario151,1,80,60,20,80,-30,80,80,20,0.4,False,0.742,0
scenario152,1,0,20,20,60,-60,100,40,100,0.4,False,0.946,0
scenario153,1,20,40,0,80,-90,100,40,60,0.8,False,0.832,0
scenario154,0,40,80,100,60,60,40,40,60,0.4,False,1.111,0
scenario155,0,40,40,0,60,-60,20,80,100,0.1,False,2.692,0
scenario156,1,80,40,40,100,90,80,100,40,1.0,False,0.885,0
scenario157,0,100,0,20,20,-30,80,100,60,0.6,False,1.168,0
scenario158,1,0,20,60,20,30,100,0,0,0.1,False,0.983,0
scenario159,0,80,40,40,0,30,40,80,20,0.6,False,1.144,0
scenario160,1,80,20,20,40,30,60,20,20,0.1,False,0.791,0
scenario161,0,100,20,60,0,-90,100,20,100,0.4,False,2.552,0
scenario162,1,40,0,0,100,90,80,40,80,1.0,False,0.779,0
scenario163,1,80,80,100,60,-60,20,0,0,0.1,False,0.829,0
scenario164,0,60,20,20,20,-90,0,0,80,0.8,False,2.633,0
scenario165,0,20,60,20,80,30,100,80,100,1.0,False,1.241,0
scenario166,1,80,20,80,40,-90,40,100,0,1.0,False,0.875,0
scenario167,1,100,80,0,60,90,60,100,60,0.1,False,0.784,0
scenario168,1,20,20,0,40,-60,100,0,0,0.4,False,0.82,0
scenario169,1,100,0,40,100,30,100,60,100,0.8,False,0.874,0
scenario170,1,40,100,20,0,30,0,20,40,0.2,False,0.757,0
scenario171,0,20,100,40,20,0,40,80,20,0.6,False,1.049,0
scenario172,1,60,80,100,0,90,0,60,100,0.2,False,0.799,0
scenario173,1,20,60,80,80,-90,80,20,20,0.1,False,0.796,0
scenario174,0,0,0,80,20,-30,20,100,0,0.1,False,0.914,0
scenario175,0,20,100,100,100,-90,100,0,100,0.1,False,1.087,0
scenario176,0,80,40,20,80,60,0,100,60,0.1,False,1.159,0
scenario177,0,20,20,0,0,-90,100,0,100,1.0,False,1.066,0
scenario178,1,60,0,20,0,90,100,20,40,0.4,False,0.822,0
scenario179,1,60,40,0,40,-30,40,0,100,0.4,False,0.88,0
scenario180,1,80,80,60,40,30,100,0,60,0.1,False,0.822,0
scenario181,1,80,0,40,60,60,0,80,80,0.2,False,0.886,0
scenario182,0,80,40,20,60,-90,80,20,40,0.1,False,1.085,0
scenario183,0,40,60,0,60,60,20,60,80,0.4,False,1.187,0
scenario184,1,80,20,40,20,60,20,60,20,0.1,False,0.764,0
scenario185,0,60,100,80,0,60,40,40,0,0.6,False,1.221,0
scenario186,1,100,0,60,100,-90,40,20,40,0.4,False,0.919,0
scenario187,1,80,80,20,60,60,20,60,20,0.8,False,0.869,0
scenario188,0,40,80,40,80,-60,60,100,80,1.0,False,1.1,0
scenario189,1,20,60,60,100,90,40,80,20,0.2,False,0.833,0
scenario190,1,60,100,100,20,30,20,40,40,1.0,False,0.753,0
scenario191,0,100,20,20,100,-30,80,80,40,0.2,False,1.095,0
scenario192,0,40,20,40,100,-90,20,100,0,0.2,False,1.057,0
scenario193,1,20,20,40,100,-30,60,40,20,0.1,False,0.832,0
scenario194,0,40,20,60,60,-90,0,60,60,1.0,False,1.025,0
scenario195,0,80,100,40,60,-90,20,40,80,1.0,False,1.141,0
scenario196,1,0,100,20,60,60,80,80,100,1.0,False,0.772,0
scenario197,1,20,100,100,100,90,100,100,80,0.2,False,0.79,0
scenario198,0,100,0,60,60,-30,40,100,100,0.1,False,2.507,0
scenario199,1,20,60,100,100,60,20,40,60,0.6,False,0.792,0
scenario200,1,0,80,60,80,60,100,20,100,0.4,False,0.846,0
scenario201,0,60,60,0,0,-30,80,20,20,1.0,False,1.086,0
scenario202,0,80,40,0,80,0,80,20,100,0.6,False,1.153,0
scenario203,0,100,40,80,40,0,100,60,20,1.0,False,1.11,0
scenario204,0,60,80,0,100,30,40,100,0,0.4,False,1.2,0
scenario205,1,60,60,0,0,-90,60,60,100,1.0,False,0.802,0
scenario206,1,80,40,0,20,-30,100,60,80,0.2,False,0.817,0
scenario207,1,60,20,20,20,90,0,100,20,0.6,False,0.753,0
scenario208,0,20,40,100,100,90,60,60,40,0.8,False,1.091,0
scenario209,0,60,40,20,40,60,60,100,40,0.6,False,1.103,0
scenario210,0,60,0,100,40,-30,20,100,40,0.4,False,1.155,0
scenario211,1,60,60,80,100,-90,100,40,20,0.4,False,0.916,0
scenario212,1,0,0,80,40,90,20,80,40,1.0,False,0.788,0
scenario213,0,100,0,20,0,60,40,40,80,0.1,False,1.197,0
scenario214,0,20,20,60,40,90,20,20,60,0.8,False,1.201,0
scenario215,0,80,100,80,0,60,80,100,40,0.2,False,1.114,0
scenario216,1,100,20,80,0,60,60,100,0,0.8,False,0.764,0
scenario217,0,40,60,20,20,0,60,80,0,0.6,False,1.106,0
scenario218,1,20,100,60,20,0,20,80,80,1.0,False,0.844,0
scenario219,0,20,40,60,100,30,60,100,40,0.6,False,1.085,0
scenario220,1,60,60,100,0,-60,100,40,100,1.0,False,0.958,0
scenario221,0,0,80,0,100,60,40,0,80,0.6,False,1.112,0
scenario222,1,20,0,20,100,0,100,20,40,0.1,False,0.953,0
scenario223,1,40,60,80,80,90,20,40,60,0.4,False,0.933,0
scenario224,1,40,80,0,40,-30,40,60,60,0.4,False,0.761,0
scenario225,1,80,40,20,100,0,0,40,20,0.4,False,0.858,0
scenario226,1,20,80,100,0,90,0,60,100,0.8,False,0.794,0
scenario227,1,80,80,0,60,-30,0,0,0,0.2,False,1.078,0
scenario228,1,80,100,0,80,30,80,60,80,0.2,False,0.861,0
scenario229,0,20,0,100,100,0,100,20,0,1.0,False,1.14,0
scenario230,0,0,60,0,100,-90,40,20,40,0.8,False,1.294,0
scenario231,1,40,20,60,0,-30,0,60,80,1.0,False,0.854,0
scenario232,0,60,80,80,0,90,0,60,80,1.0,False,1.101,0
scenario233,1,60,0,0,100,0,80,80,100,0.2,False,0.842,0
scenario234,1,60,80,0,0,60,60,20,20,1.0,False,0.79,0
scenario235,0,60,0,0,100,60,0,0,20,0.1,False,1.121,0
scenario236,0,60,0,40,100,30,20,60,100,1.0,False,1.004,0
scenario237,0,0,40,100,100,60,20,100,0,0.4,False,1.026,0
scenario238,1,60,100,40,0,60,0,0,0,0.1,False,0.782,0
scenario239,0,60,40,40,100,30,20,60,80,0.1,False,1.172,0
scenario240,1,40,80,100,60,0,100,20,20,0.1,False,0.87,0
scenario241,1,100,20,100,60,0,60,60,40,0.8,False,0.695,0
scenario242,1,40,40,0,80,60,100,80,40,0.8,False,0.792,0
scenario243,0,20,80,40,80,0,20,60,60,1.0,False,1.076,0
scenario244,1,80,20,60,40,60,0,40,40,0.4,False,0.937,0
