instances,feature_direction,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_timeofday,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario1,0,100,80,60,0,30,0,0,100,0.6,False,0.994,0
scenario2,0,100,100,20,20,-60,20,40,60,0.4,False,1.081,0
scenario3,1,0,20,40,40,-90,80,20,40,0.6,False,0.887,0
scenario4,1,20,0,100,100,0,80,40,0,0.8,False,0.909,0
scenario5,0,40,0,100,20,-60,60,20,60,0.6,False,1.036,0
scenario6,1,80,100,100,60,-30,100,0,20,0.1,False,0.935,0
scenario7,0,20,80,20,20,90,60,0,80,0.1,False,1.026,0
scenario8,1,20,0,80,80,-90,80,80,0,0.4,False,0.735,0
scenario9,1,60,40,0,40,0,20,80,60,1.0,False,0.874,0
scenario10,0,80,80,60,80,-90,40,60,40,0.1,False,2.244,0
scenario11,0,60,20,40,100,-90,20,40,80,0.2,False,1.04,0
scenario12,1,0,100,80,60,30,100,100,20,1.0,False,0.771,0
scenario13,1,100,20,0,20,0,40,100,100,0.1,False,1.023,0
scenario14,0,20,0,20,100,90,20,60,80,0.4,False,1.097,0
scenario15,1,20,60,20,20,-30,0,60,40,0.1,False,0.758,0
scenario16,1,40,20,60,100,60,20,80,80,0.2,False,0.83,0
scenario17,0,80,60,60,0,30,100,20,0,0.1,False,1.102,0
scenario18,0,0,60,20,60,-60,0,80,40,1.0,False,1.976,0
scenario19,0,0,100,100,20,-30,80,100,60,0.6,False,1.306,0
scenario20,0,100,100,60,40,60,40,80,100,1.0,False,1.029,0
scenario21,1,0,0,100,60,-60,0,0,60,0.1,False,0.804,0
scenario22,1,80,60,20,80,90,20,20,80,0.8,False,0.916,0
scenario23,1,60,0,40,40,30,40,100,40,1.0,False,0.9,0
scenario24,1,60,60,60,0,-60,80,20,0,0.8,False,0.776,0
scenario25,1,100,100,40,0,90,100,40,100,1.0,False,0.833,0
scenario26,0,40,80,20,0,-90,60,100,80,0.6,False,9999.0,0
scenario27,0,100,20,60,100,-30,80,60,60,0.4,False,0.994,0
scenario28,1,80,80,100,60,60,60,80,60,0.8,False,1.026,0
scenario29,1,40,40,0,60,30,0,40,40,0.4,False,0.886,0
scenario30,0,0,80,40,0,-90,60,80,20,0.6,False,1.096,0
scenario31,0,60,60,80,80,-30,100,40,20,0.8,False,0.636,0
scenario32,0,0,0,100,100,-30,80,40,0,0.2,False,1.32,0
scenario33,1,80,60,20,100,-60,80,60,60,0.4,False,0.889,0
scenario34,0,80,0,0,0,-90,0,100,80,0.4,False,3.33,0
scenario35,0,40,20,40,40,30,60,60,0,0.4,False,1.114,0
scenario36,1,100,80,0,0,30,60,0,60,1.0,False,0.823,0
scenario37,0,60,40,60,100,-90,40,100,100,0.2,False,0.924,0
scenario38,0,0,0,80,0,-30,20,80,0,0.8,False,0.856,0
scenario39,0,80,80,100,80,60,80,20,0,0.8,False,1.181,0
scenario40,1,40,40,80,40,60,100,100,40,0.8,False,0.834,0
scenario41,0,100,60,80,40,-60,100,40,0,1.0,False,0.984,0
scenario42,1,100,100,60,60,60,40,20,40,0.6,False,0.84,0
scenario43,1,80,0,40,0,-60,40,40,100,0.2,False,0.829,0
scenario44,0,80,60,0,20,-90,60,0,100,0.8,False,1.051,0
scenario45,0,100,40,40,80,-60,100,100,80,0.2,False,3.359,0
scenario46,1,40,40,100,20,-60,40,0,40,0.1,False,0.863,0
scenario47,0,60,80,60,100,90,20,20,100,0.2,False,1.239,0
scenario48,0,100,0,100,60,30,100,0,60,1.0,False,1.187,0
scenario49,1,60,60,60,60,90,100,0,20,1.0,False,0.783,0
scenario50,1,60,40,0,40,90,20,60,0,1.0,False,0.87,0
scenario51,1,40,40,80,80,60,0,100,100,0.8,False,0.896,0
scenario52,1,40,100,100,0,-60,0,40,80,1.0,False,0.777,0
scenario53,1,20,100,80,100,90,40,40,20,0.1,False,0.909,0
scenario54,1,100,100,40,80,-90,100,100,20,0.4,False,0.877,0
scenario55,1,60,20,60,60,60,20,0,80,0.4,False,0.932,0
scenario56,0,80,60,40,100,30,40,0,0,0.6,False,1.147,0
scenario57,0,20,20,0,40,-30,60,40,40,0.8,False,1.068,0
scenario58,0,80,40,60,80,-30,100,0,100,0.4,False,3.037,0
scenario59,0,100,40,20,60,-60,20,0,20,0.1,False,1.045,0
scenario60,0,60,20,20,100,-90,40,80,20,0.2,False,0.89,0
scenario61,1,20,20,0,0,60,40,20,40,0.4,False,0.777,0
