Row,direction,cloudiness,precipitation,precipitationdeposits,windintensity,timeofday,fogdensity,fogdistance,wetness,roadfriction
scenario1,0,80,40,80,100,0,60,60,0,0.2
scenario2,1,80,40,0,20,-90,100,20,40,1
scenario3,1,100,20,60,100,0,0,60,80,0.6
scenario4,0,40,40,40,40,-60,80,80,20,0.6
scenario5,0,20,80,40,40,60,80,40,100,0.1
scenario6,1,40,80,60,40,30,0,0,80,0.4
scenario7,1,60,0,20,60,0,20,100,100,1
scenario8,1,0,20,40,80,-60,40,0,20,0.2
scenario9,0,40,60,80,80,30,60,40,80,1
scenario10,1,100,0,100,20,30,40,80,60,0.1
scenario11,0,20,100,40,60,-30,80,100,80,0.1
scenario12,0,0,60,60,80,-90,100,0,20,0.6
scenario13,0,60,0,80,100,-60,0,60,80,1
scenario14,0,100,100,20,40,60,80,100,0,0.6
scenario15,1,0,0,20,80,-90,0,0,20,0.1
scenario16,0,60,80,40,0,-60,40,60,100,1
scenario17,0,80,100,60,80,-30,100,60,100,0.1
scenario18,1,0,100,0,60,0,0,40,40,0.2
scenario19,1,40,80,0,0,60,40,40,20,1
scenario20,0,40,20,40,20,30,60,100,40,0.6
scenario21,1,0,80,100,60,-90,20,80,80,0.6
scenario22,1,100,40,60,0,-60,100,80,60,0.8
scenario23,0,20,60,0,100,60,40,40,0,0.8
scenario24,1,20,80,0,80,-30,60,20,40,0.6
scenario25,1,40,100,100,0,0,60,20,80,0.4
scenario26,1,0,40,20,0,-30,80,60,100,0.6
scenario27,1,20,0,80,40,30,40,100,20,1
scenario28,0,0,20,100,40,60,0,20,100,0.1
scenario29,0,100,60,0,100,-90,40,80,40,0.1
scenario30,0,20,0,0,100,60,0,40,0,0.2
scenario31,1,60,0,100,0,30,40,60,100,0.8
scenario32,0,100,100,100,80,60,0,20,40,0.4
scenario33,0,80,40,80,20,-30,60,0,20,1
scenario34,1,60,0,80,0,-30,100,0,60,0.1
scenario35,1,60,80,80,0,-60,100,100,0,0.6
scenario36,1,0,60,80,80,0,0,100,20,0.8
scenario37,0,80,80,60,100,-30,20,20,0,0.4
scenario38,0,60,20,0,40,30,40,40,100,0.2
scenario39,1,40,40,100,40,30,80,80,40,1
scenario40,0,80,40,80,20,90,100,60,20,0.4
scenario41,1,60,40,40,100,-30,20,100,100,0.2
scenario42,0,80,100,100,20,-90,20,40,60,0.6
scenario43,1,100,100,100,100,-30,100,0,100,0.2
scenario44,0,100,60,20,40,-30,100,80,0,0.2
scenario45,0,60,20,60,100,30,80,0,20,0.4
scenario46,1,20,20,20,80,0,80,40,80,0.4
scenario47,0,40,100,80,80,0,0,60,40,0.1
scenario48,0,20,80,60,60,-90,0,0,0,0.1
scenario49,1,100,20,20,100,30,60,40,40,0.2
scenario50,1,40,80,0,60,-30,100,0,60,0.8
scenario51,1,40,40,100,0,0,100,20,40,0.4
scenario52,0,20,20,100,80,-90,60,100,100,0.4
scenario53,1,20,0,100,100,0,60,60,60,1
scenario54,0,20,20,40,20,90,0,40,80,0.2
scenario55,1,80,100,0,0,-90,100,100,0,0.8
scenario56,0,0,20,40,80,-90,40,0,20,0.1
scenario57,0,60,20,40,0,-60,60,40,0,0.6
scenario58,1,0,80,20,100,90,40,0,80,0.8
scenario59,0,80,100,20,40,90,60,20,100,0.8
scenario60,1,60,0,20,60,0,100,20,0,0.1
scenario61,1,20,60,40,80,-60,20,0,40,0.4
scenario62,1,80,0,60,80,60,80,0,80,0.1
scenario63,0,100,60,0,60,60,20,100,0,0.4
scenario64,0,80,80,80,100,-90,40,20,20,0.4
scenario65,1,0,0,100,80,-60,20,40,80,0.8
scenario66,0,100,0,100,40,30,20,80,0,0.4
scenario67,0,100,80,0,0,60,0,60,20,0.6
scenario68,1,0,40,40,20,-30,40,60,80,0.2
scenario69,0,20,60,40,100,30,80,20,20,0.8
scenario70,0,60,40,80,60,-30,100,80,100,0.2
scenario71,0,100,20,60,40,-90,80,40,0,0.4
scenario72,1,60,0,100,40,90,20,100,20,0.2
scenario73,1,80,0,40,60,-60,20,40,60,0.6
scenario74,1,100,40,80,20,60,40,60,60,0.8
scenario75,1,80,100,20,80,30,60,20,20,0.8
scenario76,0,60,0,20,40,60,60,20,0,0.6
scenario77,1,20,60,60,100,-60,40,100,40,0.2
scenario78,0,100,60,60,0,30,60,60,60,0.2
scenario79,1,60,80,40,80,-60,60,100,40,0.8
scenario80,0,100,40,0,60,0,100,80,100,1
scenario81,0,0,40,60,100,-90,0,80,80,0.8
scenario82,0,80,80,20,20,60,0,100,100,1
scenario83,1,80,20,60,20,30,40,100,40,1
scenario84,1,20,0,60,80,90,20,40,100,0.4
scenario85,1,40,80,0,40,-60,80,20,0,0.1
scenario86,0,80,60,60,20,-30,20,60,80,0.2
scenario87,1,100,40,40,40,0,0,60,100,0.2
scenario88,0,40,100,60,20,0,20,60,80,0.6
scenario89,1,0,100,40,20,30,80,20,0,0.4
scenario90,0,40,20,60,0,0,80,100,40,0.4
scenario91,1,0,80,100,80,-60,40,80,60,0.1
scenario92,0,40,80,80,20,90,40,80,40,0.2
scenario93,0,20,40,20,20,0,80,80,40,0.1
scenario94,1,40,20,80,20,-60,0,80,80,0.2
scenario95,1,100,20,40,20,0,80,40,40,0.8
scenario96,0,40,100,80,40,-60,80,0,40,1
scenario97,1,80,60,20,0,-60,20,80,40,1
scenario98,1,80,80,20,20,60,0,0,80,0.6
scenario99,0,20,100,100,0,-30,80,60,0,0.8
scenario100,0,100,60,0,60,-90,0,100,60,0.8
scenario101,0,40,40,80,20,-60,40,0,60,1
scenario102,1,0,100,40,0,-30,80,100,0,0.1
scenario103,1,100,100,20,0,90,60,60,20,0.6
scenario104,0,20,100,0,0,30,20,80,0,0.1
scenario105,1,60,40,100,0,-90,40,20,60,0.2
scenario106,1,20,40,100,40,30,40,40,0,0.1
scenario107,0,0,20,80,80,60,60,20,100,0.2
scenario108,0,100,80,40,40,-90,60,60,60,0.8
scenario109,0,60,40,100,60,30,20,100,60,0.6
scenario110,1,20,100,60,40,-30,20,100,100,0.6
scenario111,1,0,0,40,60,-60,0,0,20,0.4
scenario112,0,0,20,0,80,-30,40,0,80,0.8
scenario113,0,60,80,100,80,60,60,20,20,0.1
scenario114,1,20,0,20,80,60,20,0,40,0.4
scenario115,1,40,100,80,0,60,20,40,0,0.8
scenario116,0,100,60,20,60,-30,80,80,100,1
scenario117,0,0,40,0,0,30,100,0,20,0.8
scenario118,1,80,20,20,40,90,0,80,100,1
scenario119,0,40,100,80,60,90,80,20,20,0.1
scenario120,1,100,0,80,40,60,0,60,80,0.8
scenario121,1,80,40,100,40,60,20,100,40,0.4
scenario122,1,20,0,60,60,90,80,20,80,0.8
scenario123,0,60,60,80,20,-30,80,80,80,0.1
scenario124,1,80,0,40,100,-90,100,40,0,0.2
scenario125,0,0,80,60,40,0,100,0,20,0.6
scenario126,0,80,60,60,20,30,60,0,40,0.6
scenario127,1,0,20,100,100,60,100,0,0,0.2
scenario128,0,20,20,80,60,-90,100,20,0,1
scenario129,1,60,20,20,80,30,0,100,20,0.1
scenario130,0,100,40,0,0,0,60,100,40,0.4
scenario131,1,60,20,20,100,60,100,40,100,0.2
scenario132,1,60,80,0,100,90,80,60,60,0.1
scenario133,0,60,0,60,20,-30,80,0,20,0.2
scenario134,1,0,60,0,40,-60,20,20,60,0.4
scenario135,0,20,100,20,100,-90,0,100,0,0.1
scenario136,0,20,20,60,0,-30,60,40,20,1
scenario137,0,80,100,20,0,60,100,40,60,0.6
scenario138,1,80,60,0,60,30,100,60,40,0.1
scenario139,0,40,40,40,40,-30,20,40,0,0.4
scenario140,1,40,60,100,100,-90,60,60,60,0.2
scenario141,0,0,60,60,0,90,100,40,60,0.1
scenario142,0,20,60,40,60,60,100,0,80,0.6
scenario143,1,80,100,80,20,-30,40,80,80,1
scenario144,0,80,20,60,0,-90,20,60,20,0.4
scenario145,1,80,60,40,100,-60,20,80,20,0.8
scenario146,0,100,20,100,80,90,60,80,100,0.4
scenario147,1,0,100,0,60,30,80,20,80,0.8
scenario148,0,60,80,0,100,-90,100,40,100,1
scenario149,1,100,80,0,40,-90,60,40,40,0.2
scenario150,1,40,60,100,0,30,20,100,100,0.1
scenario151,0,100,20,60,60,0,40,20,40,0.4
scenario152,1,60,60,80,100,-30,60,60,60,0.6
scenario153,0,40,40,80,100,-60,80,80,20,0.1
scenario154,1,0,0,100,40,-90,0,60,80,0.6
scenario155,1,0,80,100,0,-90,60,100,80,0.2
scenario156,0,0,100,40,40,-90,80,20,60,0.6
scenario157,1,80,20,40,40,60,100,80,100,0.8
scenario158,0,100,40,80,80,30,40,0,60,0.8
scenario159,0,20,60,80,20,-30,100,100,0,0.8
scenario160,0,20,40,0,80,0,40,20,100,1
scenario161,1,60,40,100,20,90,0,0,20,0.2
scenario162,1,60,100,60,80,-60,0,20,60,1
scenario163,0,20,20,40,100,30,100,60,0,0.4
scenario164,1,0,100,80,0,60,80,60,100,0.8
scenario165,1,80,40,20,100,0,20,40,20,0.4
scenario166,0,40,60,20,80,0,40,20,80,0.6
scenario167,0,100,0,20,60,90,100,20,0,0.8
scenario168,1,100,40,100,0,0,60,100,40,1
scenario169,0,0,80,20,60,-90,20,0,0,0.6
scenario170,1,60,20,40,40,-60,80,40,40,1
scenario171,1,60,40,80,80,90,40,40,20,1
scenario172,0,40,80,80,100,0,80,80,80,0.1
scenario173,1,20,20,40,60,-60,0,80,80,0.2
scenario174,0,40,100,20,100,-60,0,20,60,0.2
scenario175,1,40,80,20,20,-90,100,60,20,0.4
scenario176,0,60,0,20,0,0,0,40,20,0.4
scenario177,0,0,0,100,40,90,40,80,80,0.8
scenario178,1,20,60,40,100,-30,20,80,0,0.4
scenario179,0,80,100,20,80,0,100,60,40,0.8
scenario180,1,80,20,60,60,0,60,20,80,0.1
scenario181,1,0,80,60,0,0,80,80,100,0.6
scenario182,1,40,60,40,40,-30,100,60,60,0.4
scenario183,0,100,80,60,60,0,80,40,40,0.6
scenario184,1,100,100,80,60,60,0,100,100,0.6
scenario185,1,20,60,100,20,30,0,100,100,0.1
scenario186,0,80,60,60,60,90,60,0,20,0.2
scenario187,0,60,100,0,20,-90,20,100,80,0.1
scenario188,0,100,40,100,100,90,100,60,40,0.6
scenario189,1,40,60,80,40,60,20,20,60,0.2
scenario190,0,100,80,40,20,0,20,100,60,0.1
scenario191,1,80,80,100,60,-60,60,0,80,0.6
scenario192,0,60,20,20,40,60,60,20,0,0.2
scenario193,0,40,60,40,20,-90,40,0,40,0.4
scenario194,1,20,0,0,20,30,60,80,60,0.1
scenario195,1,0,40,0,60,-30,0,100,40,0.8
scenario196,0,0,100,20,20,90,40,0,20,0.4
scenario197,1,20,80,0,60,30,80,20,0,0.8
scenario198,1,20,0,0,20,0,0,60,0,0.6
scenario199,0,80,100,40,60,-30,40,100,100,1
scenario200,0,0,0,100,60,30,40,0,100,0.1
scenario201,1,80,80,60,60,60,40,80,20,0.4
scenario202,1,60,0,80,100,-60,40,40,40,0.6
scenario203,0,100,40,60,20,60,0,0,0,0.8
scenario204,1,100,0,0,80,-30,20,100,60,0.4
scenario205,0,60,0,100,80,60,100,100,80,1
scenario206,0,0,40,40,80,90,100,60,0,0.1
scenario207,1,40,0,0,0,-60,100,40,60,1
scenario208,0,60,40,0,40,90,0,20,40,0.2
scenario209,1,100,100,20,0,-30,100,40,80,1
scenario210,0,20,20,0,20,-60,20,80,60,0.8
scenario211,0,60,20,80,40,-30,20,80,20,0.8
scenario212,0,60,60,0,60,90,40,60,20,0.6
scenario213,0,80,20,60,20,90,40,40,100,1
scenario214,1,40,80,100,0,30,60,60,20,0.6
scenario215,1,0,100,20,80,30,0,60,0,0.6
scenario216,1,80,40,0,0,60,0,20,100,0.2
scenario217,1,80,80,20,100,-90,40,100,0,0.1
scenario218,0,0,40,60,60,0,20,80,60,0.2
scenario219,0,60,0,100,0,-30,20,20,60,0.4
scenario220,1,60,20,20,20,90,20,60,100,1
scenario221,0,80,0,80,100,-30,60,100,60,0.6
scenario222,1,40,60,40,80,-90,0,60,0,0.2
scenario223,1,100,20,0,60,90,0,20,60,0.1
