Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario1,c1,base,right,left,right,0.4,100,0,60,60,40,100,40,0,2.856803637366527,0
scenario2,c2,right,left,base,left,0.1,40,20,40,80,100,20,60,0,3.515337047923057,0
scenario3,c4,left,base,right,base,0.2,20,80,100,100,0,80,40,0,3.938985357299962,0
scenario4,c4,right,base,left,right,1.0,0,40,20,0,80,40,60,0,0.7213123818817349,0
scenario5,c2,right,left,base,left,0.8,100,100,100,20,20,60,40,0,2.3921942929748017,0
scenario6,c4,left,right,right,base,1.0,20,60,0,40,60,0,60,0,5.080688910829535,0
scenario7,c2,base,left,right,left,0.2,80,0,80,40,20,20,0,0,3.3978560171177614,0
scenario8,c4,right,base,left,base,0.6,80,100,0,80,80,100,80,0,3.373528528358813,0
scenario9,c2,base,left,right,left,0.4,60,60,100,0,100,100,100,0,2.959731552856032,0
scenario10,c2,base,left,right,base,0.1,0,40,40,20,60,100,40,0,1.7680811806765029,0
scenario11,c4,right,base,left,base,0.2,40,100,60,40,40,40,20,0,2.556765882867369,0
scenario12,c1,left,right,base,right,0.4,0,20,100,60,0,0,80,0,5.775287743764811,0
scenario13,c1,left,right,base,left,0.6,0,80,80,100,100,40,0,0,6.053729811971758,0
scenario14,c4,left,right,right,base,0.8,60,40,80,60,80,60,20,0,4.88110810784063,0
scenario15,c1,left,right,base,right,0.1,100,100,20,100,80,80,100,0,6.508110167121785,0
scenario16,c1,left,right,base,right,0.6,60,60,20,40,20,40,80,0,6.385174713229001,0
scenario17,c1,base,left,left,right,0.4,80,40,0,100,100,0,20,0,2.212060364407888,0
scenario18,c4,right,base,left,right,0.8,20,60,60,100,100,60,80,0,1.2402404062479009,0
scenario19,c4,right,base,left,right,0.2,60,80,40,20,80,20,100,0,0.8735812882686458,0
scenario20,c4,right,base,left,base,0.6,20,0,100,0,40,20,60,0,1395.9915424579344,0
scenario21,c4,right,base,left,base,0.8,0,0,20,80,60,80,0,0,24.21088194471109,0
scenario22,c2,base,left,right,left,0.1,0,100,80,0,20,0,20,0,4.553444134501139,0
scenario23,c2,base,left,right,left,0.1,80,80,0,60,40,60,60,0,3.37299815119781,0
scenario24,c4,left,right,right,base,1.0,100,20,60,0,20,80,0,0,3.419825858246819,0
scenario25,c2,base,left,right,left,0.8,20,20,40,0,20,40,100,0,3.381001099844044,0
scenario26,c2,right,base,base,left,1.0,40,80,20,40,0,100,100,0,2.950713813949944,0
scenario27,c2,base,left,right,left,1.0,100,40,40,100,20,20,80,0,3.3605417489091605,0
scenario28,c4,right,base,left,base,0.4,80,60,40,20,40,80,0,0,3.572426506321171,0
scenario29,c2,base,left,right,left,0.6,40,60,40,40,80,60,40,1,0.0,1
scenario30,c2,right,base,base,left,0.6,100,60,60,20,80,0,20,0,2.1856622231360654,0
scenario31,c1,left,right,base,right,0.2,40,40,80,100,40,100,60,0,6.235552558028815,0
scenario32,c1,left,right,base,left,0.4,0,100,0,80,40,20,100,0,6.24693993035242,0
scenario33,c1,left,right,base,right,1.0,100,0,0,80,0,60,20,0,5.691668484237382,0
scenario34,c2,base,left,right,left,0.4,60,40,60,80,0,40,0,0,3.384825749786763,0
scenario35,c2,right,base,base,left,1.0,40,0,80,60,80,80,80,0,2.919153962799536,0
scenario36,c1,base,left,left,right,0.6,0,20,20,20,0,20,40,0,2.46787936676596,0
scenario37,c1,base,right,left,right,0.1,20,0,80,20,0,0,0,0,3.150671369596751,0
scenario38,c1,base,left,left,right,0.1,20,60,100,80,80,40,40,0,2.6415851796670475,0
scenario39,c1,left,right,base,right,0.4,0,80,60,40,100,80,60,0,5.885999085534033,0
scenario40,c4,right,base,left,base,0.8,80,80,60,80,20,0,100,0,25.3414457266138,0
scenario41,c4,left,right,right,base,0.2,80,60,20,60,20,100,20,0,4.75882363891106,0
scenario42,c1,base,left,left,right,0.2,40,20,0,0,20,60,80,0,2.394069138492016,0
scenario43,c2,base,left,right,base,0.6,20,100,60,60,0,60,100,0,1.829377992590848,0
scenario44,c4,left,base,right,base,0.4,20,100,80,60,100,20,40,1,0.0,1
scenario45,c2,right,left,base,left,1.0,0,80,60,60,60,20,20,0,3.765856514195801,0
scenario46,c4,right,base,left,base,0.4,100,80,100,40,80,60,0,0,1.918518579660598,0
scenario47,c1,left,right,base,right,0.6,40,20,20,80,40,0,0,0,4.237720980791089,0
scenario48,c2,base,left,right,left,0.2,0,40,0,20,80,80,80,0,4.480770241750108,0
scenario49,c4,left,base,right,base,0.8,20,20,60,20,80,100,60,0,3.3560838262300594,0
scenario50,c2,base,left,right,left,0.4,20,80,20,20,60,40,80,0,4.535173887226315,0
scenario51,c4,right,base,left,base,0.1,60,20,40,40,0,80,20,0,3.509683712721946,0
scenario52,c2,right,base,base,left,0.1,60,20,60,100,40,0,40,0,2.521168793806905,0
scenario53,c4,right,base,left,base,0.4,40,60,80,20,0,60,60,0,2.849531953324372,0
scenario54,c1,base,right,left,right,1.0,0,0,100,100,20,100,100,0,3.352343130942818,0
scenario55,c1,left,right,base,right,0.8,40,0,100,40,60,40,60,0,5.664575478459811,0
scenario56,c1,left,right,base,left,0.2,80,40,40,0,0,60,40,0,6.365012272022565,0
scenario57,c1,base,left,left,right,0.6,80,40,80,40,60,80,100,0,1.73112032627375,0
scenario58,c1,left,right,base,right,0.1,80,100,0,0,60,40,0,0,5.794345405579113,0
scenario59,c4,right,base,left,base,1.0,60,0,40,0,100,0,40,0,7.421085497911085,0
scenario60,c1,base,left,left,right,0.8,60,20,0,60,40,20,0,0,2.7552399671830594,0
scenario61,c2,right,base,base,left,0.2,100,60,40,0,60,80,60,0,2.771996460968232,0
scenario62,c1,base,left,left,right,0.8,100,80,80,0,0,100,80,0,2.8774937902332223,0
scenario63,c2,base,left,right,left,0.8,40,0,20,0,100,20,20,0,3.354931787520065,0
scenario64,c1,left,right,base,right,0.6,20,0,0,20,20,80,20,0,5.24708541715887,0
scenario65,c4,left,right,right,base,1.0,80,20,100,20,100,40,80,0,4.537991996161447,0
scenario66,c4,left,right,right,base,1.0,60,80,100,80,40,20,80,1,0.0,1
scenario67,c2,right,base,base,left,0.4,20,20,80,80,60,100,20,0,2.500471532026733,0
scenario68,c4,right,base,left,base,0.1,40,40,60,20,100,20,100,0,10.56678253614267,0
scenario69,c4,right,base,left,base,0.2,80,0,20,100,60,0,80,0,45.48073612116133,0
scenario70,c4,left,base,right,base,0.8,100,40,0,40,0,20,60,0,2.546091533586185,0
scenario71,c1,left,right,base,right,0.6,80,0,40,60,40,40,20,0,5.317904310931841,0
scenario72,c4,right,base,left,right,0.6,100,20,100,100,60,100,0,0,1.32041714900968,0
scenario73,c2,base,left,right,base,0.8,0,60,0,100,40,40,40,0,1.8057991990628348,0
scenario74,c4,left,right,right,base,0.8,40,0,40,100,40,60,100,0,4.687040527709283,0
scenario75,c1,left,right,base,right,0.1,60,80,40,80,20,100,0,0,5.593762532750237,0
scenario76,c2,base,left,right,left,0.6,80,80,100,60,60,0,40,0,4.115310335536601,0
scenario77,c2,base,left,right,left,0.2,80,100,20,80,100,40,60,0,2.9069797142270186,0
scenario78,c4,right,base,left,right,0.2,20,100,40,60,20,0,60,0,1.0447623949136216,0
scenario79,c4,right,base,left,base,0.1,0,80,20,80,100,60,40,0,32.57072070704275,0
scenario80,c4,right,base,left,base,0.2,80,20,0,60,100,80,100,0,4.2935948888887365,0
scenario81,c1,left,right,base,right,1.0,0,100,40,60,100,60,0,0,6.771236691751023,0
scenario82,c4,right,base,left,base,1.0,20,20,20,100,80,20,20,0,12.375574831356529,0
scenario83,c1,left,right,base,right,0.6,20,100,40,40,60,20,80,0,6.391846545090036,0
scenario84,c2,right,left,base,left,1.0,20,40,40,80,100,80,100,0,3.222895059102217,0
scenario85,c1,base,right,left,right,0.4,60,100,60,0,60,60,60,1,0.0,1
scenario86,c2,base,left,right,left,0.1,40,40,100,80,60,60,80,0,4.98669884577352,0
scenario87,c1,left,right,base,right,0.4,80,20,80,0,80,80,40,0,6.057877039646408,0
scenario88,c4,right,base,left,base,0.4,100,60,80,100,20,40,20,0,5.231359718761495,0
scenario89,c2,base,left,right,left,0.4,60,80,0,40,20,0,40,0,3.442490542216108,0
scenario90,c2,base,left,right,left,0.8,100,40,20,80,80,0,40,0,2.8994624691155715,0
scenario91,c2,right,left,base,left,0.8,20,40,20,40,40,100,0,0,2.458179795364801,0
scenario92,c2,base,left,right,left,0.8,60,20,20,100,20,80,60,0,3.1499244099424084,0
scenario93,c2,right,left,base,left,1.0,100,60,80,60,40,40,100,0,3.435411882529689,0
scenario94,c1,left,right,base,right,0.1,20,40,100,20,40,40,20,0,5.3633321489383246,0
scenario95,c2,base,left,right,left,0.2,0,0,60,80,0,100,100,0,2.7239131935236176,0
scenario96,c1,base,right,left,right,0.8,80,100,100,20,0,20,20,0,2.991168111660644,0
scenario97,c1,base,right,left,right,0.2,100,60,80,80,100,20,0,0,1.6883440706276476,0
scenario98,c4,left,base,right,base,0.6,0,0,80,40,40,60,80,0,2.8397085433255085,0
scenario99,c1,left,right,base,right,1.0,80,40,60,40,20,40,40,0,5.480830587705983,0
