Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,c1,base,left,left,right,0,60,40,0,0,60,80,0.8,False,4.719,0
scenario2,c2,base,left,right,left,0,20,20,40,80,40,100,0.2,False,3.523,0
scenario3,c1,left,right,base,left,60,0,80,60,0,0,40,1.0,False,9.239,0
scenario4,c2,right,left,base,left,0,0,100,20,20,0,40,0.6,False,5.658,0
scenario5,c4,right,base,left,base,40,60,0,40,40,80,60,0.2,False,409.582,0
scenario6,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario7,c4,right,base,left,base,80,100,60,40,80,0,100,0.2,False,10.019,0
scenario8,c4,left,right,right,base,60,100,40,20,40,40,80,0.6,False,4.496,0
scenario9,c1,base,right,left,right,60,80,40,0,20,80,0,1.0,False,8.204,0
scenario10,c2,right,left,base,left,40,20,60,80,80,100,0,1.0,False,4.759,0
scenario11,c2,base,left,right,base,100,100,20,80,60,20,20,0.8,False,1.856,0
scenario12,c2,base,left,right,base,60,0,0,20,60,20,0,0.4,False,2.1,0
scenario13,c2,base,left,right,base,100,100,20,80,60,20,20,0.8,False,1.867,0
scenario14,c2,base,left,right,base,100,100,40,80,80,40,40,1.0,False,1.866,0
scenario15,c4,right,base,left,base,0,100,20,60,60,20,20,1.0,False,27.321,0
scenario16,c2,right,base,base,left,80,100,20,60,80,20,20,0.8,False,2.323,0
scenario17,c2,right,left,base,left,80,100,0,60,60,0,20,0.1,False,3.047,0
scenario18,c4,right,base,left,right,80,100,20,60,40,80,20,0.8,False,3626.797,0
scenario19,c2,base,left,right,base,80,100,0,80,80,40,20,0.6,False,1.958,0
scenario20,c2,base,left,right,base,100,100,0,80,40,100,40,0.8,False,5.089,0
scenario21,c2,base,left,right,base,40,80,0,60,40,40,20,0.8,False,1.919,0
scenario22,c4,left,right,right,base,100,40,40,80,40,20,20,0.8,True,0.0,1
scenario23,c2,right,left,base,left,100,100,100,80,0,40,0,0.6,False,7.196,0
scenario24,c2,right,base,base,left,0,80,100,80,60,20,20,1.0,False,2.448,0
scenario25,c4,left,right,right,base,100,40,40,80,40,20,20,0.8,False,3.442,0
scenario26,c4,left,base,right,base,100,80,20,40,0,40,40,0.6,False,2.122,0
scenario27,c1,base,left,left,right,100,100,60,60,40,60,60,1.0,False,2.374,0
scenario28,c4,right,base,left,base,0,80,100,60,80,20,0,0.8,False,9999.0,0
scenario29,c4,left,right,right,base,80,100,0,60,60,20,40,0.1,False,4.596,0
scenario30,c2,right,left,base,left,80,40,80,100,20,0,40,0.8,False,3.114,0
scenario31,c2,base,left,right,base,0,100,20,60,40,0,40,1.0,False,1.995,0
scenario32,c2,base,left,right,base,40,40,0,60,40,40,0,0.8,False,1577.176,0
scenario33,c2,right,left,base,left,100,40,20,60,40,20,20,1.0,False,3.037,0
scenario34,c1,base,right,left,right,60,100,20,60,60,20,40,0.2,False,2.875,0
scenario35,c4,left,right,right,base,60,60,20,60,20,40,20,0.8,False,4.517,0
scenario36,c2,right,base,base,left,0,80,100,80,60,0,20,1.0,False,2.672,0
scenario37,c2,base,left,right,base,0,100,20,60,40,0,40,1.0,True,0.0,1
scenario38,c2,base,left,right,base,0,80,80,80,60,0,20,1.0,False,1.816,0
scenario39,c4,right,base,left,base,80,80,20,60,60,20,20,0.4,False,32.348,0
scenario40,c2,base,left,right,base,0,100,0,60,40,0,40,1.0,False,1.738,0
scenario41,c4,right,base,left,base,100,40,0,0,40,40,20,1.0,False,3285.695,0
scenario42,c2,right,base,base,left,0,100,80,80,60,20,40,1.0,False,2.408,0
scenario43,c2,right,left,base,left,40,100,100,80,60,0,20,1.0,True,0.0,1
scenario44,c4,right,base,left,base,40,80,100,80,60,20,0,1.0,False,7.354,0
scenario45,c1,left,right,base,right,20,100,80,60,80,0,0,1.0,False,8.004,0
scenario46,c4,right,base,left,right,80,60,40,80,40,0,20,1.0,True,0.0,1
scenario47,c4,left,base,right,base,0,80,100,80,0,20,0,0.8,False,5.938,0
scenario48,c1,left,right,base,right,80,100,0,60,80,20,40,0.4,False,8.499,0
scenario49,c2,base,left,right,base,0,100,20,60,40,0,40,1.0,False,2.241,0
scenario50,c4,right,base,left,base,40,60,100,80,80,20,0,0.8,False,9999.0,0
scenario51,c4,right,base,left,base,100,60,0,0,20,60,0,1.0,False,24.16,0
scenario52,c2,right,base,base,left,20,100,0,60,20,0,60,0.8,False,3.593,0
scenario53,c1,left,right,base,right,0,80,100,40,80,0,40,0.2,False,20.694,0
scenario54,c4,right,base,left,base,0,100,0,80,60,40,20,0.4,False,40.552,0
scenario55,c2,base,left,right,left,100,40,0,0,40,40,0,0.8,False,4.716,0
scenario56,c1,left,right,base,right,80,40,20,60,80,100,40,0.4,False,9.816,0
