Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario1,20,40,0,0,0,0.8,0,100,0,0,0,c1,0.05918,left,right,base,left,0,6.0457553198865295,0
scenario2,20,100,0,0,80,0.4,80,20,0,0,0,c2,0.00204,base,left,right,base,0,1.62665826736052,0
scenario3,20,100,0,0,100,0.2,0,100,0,0,0,c4,0.00144,right,base,left,right,0,0.7220791686351272,0
scenario4,60,20,0,0,0,0.8,80,20,0,0,20,c1,0.00135,left,right,base,right,0,4.891392212733628,0
scenario5,20,40,0,100,40,0.6,0,100,0,0,20,c2,0.00126,right,base,base,left,0,2.94036502344496,0
scenario6,60,20,0,0,80,0.4,0,100,0,0,20,c4,0.00137,left,base,right,base,1,0.0,1
scenario7,80,100,0,0,0,0.8,0,100,0,0,40,c1,0.00128,base,right,left,right,0,3.7882487017672712,0
scenario8,40,100,0,0,0,0.8,80,20,0,0,40,c2,0.00219,base,left,right,left,0,3.122264882682672,0
scenario9,20,100,0,40,40,0.8,0,100,0,0,40,c4,0.00266,left,right,right,base,0,4.874380099433566,0
scenario10,80,20,0,0,0,0.8,0,100,0,0,60,c1,0.00158,base,left,left,right,0,3.417154732741161,0
scenario11,20,20,0,40,40,0.8,0,100,0,0,60,c2,0.00265,right,left,base,left,0,2.625434968294824,0
scenario12,20,100,20,0,0,0.8,0,100,0,0,60,c4,0.00126,right,base,left,base,0,20.764416021495524,0
scenario13,60,60,0,20,40,0.8,0,100,0,0,80,c1,0.00269,left,right,base,left,0,6.187165710892339,0
scenario14,20,40,0,0,80,0.4,80,20,0,0,80,c2,0.00154,base,left,right,base,0,2.0805702561593664,0
scenario15,20,40,0,0,100,0.2,0,100,0,0,80,c4,0.00172,right,base,left,right,0,1.154388061016484,0
scenario16,20,80,0,20,40,0.8,80,20,0,0,100,c1,0.00127,left,right,base,right,0,5.289272392816417,0
scenario17,60,80,0,0,80,0.4,0,100,0,0,100,c2,0.0013,right,base,base,left,0,2.471834935929117,0
scenario18,20,60,0,0,0,0.8,80,20,0,0,100,c4,0.00424,left,base,right,base,0,4.062612703260343,0
scenario19,20,60,0,60,40,0.6,0,100,0,20,0,c1,0.00219,base,right,left,right,0,2.794285936265002,0
scenario20,60,60,0,0,0,0.8,0,100,0,20,0,c2,0.01783,base,left,right,left,0,6.1952206195595165,0
scenario21,60,40,0,60,40,0.6,0,100,0,20,0,c4,0.00135,left,right,right,base,0,2.2013249325649813,0
scenario22,20,100,0,80,40,0.6,0,100,0,20,20,c1,0.00127,base,left,left,right,0,2.6839112989623106,0
scenario23,60,100,0,20,40,0.8,0,100,0,20,20,c2,0.00268,right,left,base,left,0,4.006901683325014,0
scenario24,20,60,0,20,40,0.8,0,100,0,20,20,c4,0.00733,right,base,left,base,0,23.32773475557497,0
scenario25,20,20,0,0,0,0.8,80,20,0,20,40,c1,0.00351,left,right,base,left,0,4.662278064293481,0
scenario26,60,20,0,20,40,0.8,0,100,0,20,40,c2,0.00291,base,left,right,base,0,2.255271934095901,0
scenario27,60,60,0,0,0,0.8,80,20,0,20,40,c4,0.00155,right,base,left,right,1,0.0,1
scenario28,20,80,0,0,20,0.8,0,100,0,20,60,c1,0.00188,left,right,base,right,0,6.127870931927686,0
scenario29,20,20,0,0,80,0.4,0,100,0,20,60,c2,0.00427,right,base,base,left,0,2.6146066522833373,0
scenario30,20,80,0,0,80,0.4,0,100,0,20,60,c4,0.00386,left,base,right,base,1,0.0,1
scenario31,40,20,0,0,0,0.8,0,100,0,20,80,c1,0.0208,base,right,left,right,0,3.663190989870232,0
scenario32,40,80,0,0,0,0.8,0,100,0,20,80,c2,0.01813,base,left,right,left,0,5.854397178706167,0
scenario33,20,20,0,0,20,0.8,0,100,0,20,80,c4,0.00169,left,right,right,base,1,0.0,1
scenario34,40,40,0,0,80,0.4,0,100,0,20,100,c1,0.00145,base,left,left,right,0,3.17102702140837,0
scenario35,20,20,20,0,0,0.8,0,100,0,20,100,c2,0.00167,right,left,base,left,0,3.334608258142699,0
scenario36,20,20,0,80,40,0.6,0,100,0,20,100,c4,0.00135,right,base,left,base,0,14.42462024447375,0
scenario37,20,60,20,0,0,0.8,0,100,0,40,0,c1,0.00135,left,right,base,left,0,6.228386498031751,0
scenario38,40,40,0,20,40,0.8,0,100,0,40,0,c2,0.0032,base,left,right,base,0,2.141214737974644,0
scenario39,40,80,0,20,40,0.8,0,100,0,40,0,c4,0.00287,right,base,left,right,0,1.316623445330498,0
scenario40,40,40,0,0,0,0.8,80,20,0,40,20,c1,0.00165,left,right,base,right,0,4.971046082650157,0
scenario41,20,40,0,40,40,0.6,0,100,0,40,20,c2,0.00141,right,base,base,left,0,3.159987446970637,0
scenario42,40,100,0,0,80,0.4,0,100,0,40,20,c4,0.00128,left,base,right,base,0,2.0258642414267154,0
scenario43,60,100,0,0,0,0.8,0,100,0,40,40,c1,0.01753,base,right,left,right,1,0.0,1
scenario44,20,80,0,40,40,0.6,0,100,0,40,40,c2,0.00131,base,left,right,left,0,3.625966058118896,0
scenario45,20,80,0,0,0,0.8,80,20,0,40,40,c4,0.00605,left,right,right,base,1,0.0,1
