Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c4,base,20,0.8,20,right,0,100,60,base,40,20,left,0,4.223062346247827,0
scenario2,c2,left,100,0.2,100,base_left_lane,60,20,40,left,20,0,right,0,5.275163533342755,0
scenario3,c2,left,40,0.8,40,base_left_lane,80,100,80,left,80,40,right,0,3.4511464242315246,0
scenario4,c2,left,40,0.2,0,right,60,80,0,base,80,40,base,0,2.265291642666096,0
scenario5,c2,left,0,0.1,40,base_left_lane,20,40,20,left,80,100,right,0,2.973182683850771,0
scenario6,c2,left,0,0.6,40,right,80,20,60,base,60,0,base,0,1.956212017437624,0
scenario7,c4,base,0,0.6,20,left,80,40,40,base,60,60,right,0,2.3607638563375097,0
scenario8,c2,left,40,0.4,80,right,100,0,80,left,20,0,base,0,3.1582898190381217,0
scenario9,c2,left,20,0.1,20,base_left_lane,100,20,40,left,80,20,right,0,3.3205921144718906,0
scenario10,c4,base,20,0.2,40,right,60,60,60,base,100,0,left,0,2.960889757564223,0
scenario11,c1,right,80,0.1,60,base_left_lane,60,80,20,left,100,80,left,0,0.9842844685473636,0
scenario12,c2,left,40,0.4,0,base_left_lane,40,0,100,left,60,0,right,0,3.386675301697451,0
scenario13,c2,left,80,0.6,0,base_left_lane,100,40,0,left,100,0,right,0,5.33996410549578,0
scenario14,c2,left,0,0.4,40,right,80,20,80,base,100,60,base,0,1.938997600119089,0
scenario15,c1,right,0,0.4,20,left,100,20,0,right,100,40,base,0,2.665758311754364,0
scenario16,c1,left,80,0.6,80,left,40,40,40,right,20,0,base,0,2.881989984846588,0
scenario17,c1,right,40,0.6,0,left,100,0,0,right,20,0,base,0,4.310069767285856,0
scenario18,c1,right,80,0.6,100,base,100,80,60,right,0,0,left,0,5.323654746660546,0
scenario19,c4,right,0,1.0,20,right,80,40,40,base,80,80,left,0,4.409666015264049,0
scenario20,c4,base,80,0.6,60,right,60,80,40,base,40,60,left,1,0.0,1
scenario21,c1,right,80,1.0,60,left,80,40,100,right,60,80,base,0,3.1079037330105983,0
scenario22,c1,right,0,0.1,80,base_left_lane,80,80,20,left,100,100,left,0,1.017273283974404,0
scenario23,c2,base,20,1.0,0,base_left_lane,40,40,80,left,40,40,right,0,4.937572455141643,0
scenario24,c1,right,0,0.1,100,base,0,0,100,right,80,0,left,0,5.3712780621821565,0
scenario25,c1,left,80,0.4,20,left,40,100,40,right,40,40,base,0,2.7718324891056296,0
scenario26,c2,left,80,0.1,80,base_left_lane,0,100,60,left,20,20,right,0,3.4012024461221104,0
scenario27,c4,base,20,0.8,0,right,100,80,60,base,40,80,left,0,2.610785899396121,0
scenario28,c4,base,80,0.4,60,right,20,0,20,base,20,60,left,0,2.528699045641954,0
