Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario1,-60,c2,base,left,right,base,1.0,0,100,80,80,80,80,80,0,1.776807287398507,0
scenario2,0,c1,base,right,left,right,0.4,60,60,0,40,40,60,20,0,2.4577709519519453,0
scenario3,90,c2,right,base,base,left,0.6,0,40,40,20,20,40,0,0,2.583728032664788,0
scenario4,-30,c2,base,left,right,left,0.2,80,0,60,0,0,100,60,0,2.804740601104207,0
scenario5,90,c4,right,base,left,right,0.1,100,20,100,80,60,0,100,0,0.9670647803195302,0
scenario6,60,c4,left,right,right,base,0.1,40,80,20,60,100,20,40,0,4.318015252021129,0
scenario7,0,c1,left,right,base,right,0.8,20,20,80,100,0,40,40,0,3.810856242908512,0
scenario8,60,c4,right,base,left,base,0.4,20,100,60,100,20,100,100,0,10.80849417275628,0
scenario9,-60,c2,right,left,base,left,1.0,20,40,100,0,40,20,0,0,4.333683262589382,0
scenario10,-30,c1,left,right,base,left,0.4,100,0,0,20,100,0,80,0,3.9445332700418487,0
scenario11,60,c1,left,right,base,right,0.2,80,60,20,20,60,80,20,0,3.045637754531934,0
scenario12,-90,c1,left,right,base,right,0.6,60,80,100,60,80,60,60,0,3.2370968037239667,0
scenario13,0,c1,base,left,left,right,0.1,40,0,40,40,80,100,0,0,3.1673858013634044,0
scenario14,30,c2,base,left,right,left,0.8,60,0,20,0,20,60,100,0,2.0419065024009053,0
scenario15,-60,c4,right,base,left,base,1.0,100,80,60,40,100,40,20,0,2.6121899558755715,0
scenario16,60,c4,right,base,left,base,0.8,80,40,40,60,40,0,80,0,1.7190138368621777,0
scenario17,-90,c2,base,left,right,base,0.6,80,20,0,100,100,80,0,0,1.8004672967528197,0
scenario18,-60,c2,base,left,right,left,0.2,60,100,40,100,60,60,40,0,3.3082052456007123,0
scenario19,60,c4,right,base,left,base,0.6,0,60,0,80,0,20,60,0,2.7044979129920983,0
scenario20,-60,c1,left,right,base,left,0.6,40,80,80,20,40,100,100,0,3.3362448703425818,0
scenario21,90,c4,right,base,left,right,0.4,40,80,40,0,0,80,80,0,1.0686493115770357,0
scenario22,-60,c4,right,base,left,right,0.2,0,20,20,40,20,0,60,0,0.9370960389008708,0
scenario23,-60,c2,base,left,right,left,0.8,100,60,60,0,80,0,40,0,3.073471069699585,0
scenario24,-30,c4,right,base,left,base,0.2,20,80,80,80,60,60,0,0,1.9591581384655703,0
scenario25,0,c1,left,right,base,right,0.6,60,40,60,40,60,20,80,0,3.125444930914613,0
scenario26,-90,c1,base,right,left,right,1.0,80,100,100,20,20,20,40,1,2336.1427474766624,1
scenario27,0,c2,base,left,right,left,0.8,0,40,100,80,100,100,20,0,2.947673022295827,0
