Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,c1,base,left,left,right,0,60,40,0,90,0,60,80,0.8,False,3.196,0
scenario2,c2,base,left,right,left,0,20,20,40,30,40,100,20,0.2,False,33.386,0
scenario3,c1,base,right,left,right,0,80,60,0,-90,40,100,60,0.1,False,5.099,0
scenario4,c1,left,right,base,left,100,20,20,0,-30,60,80,60,0.4,False,8.818,0
scenario5,c2,right,left,base,left,40,40,80,60,-60,80,100,80,0.8,False,3.574,0
scenario6,c2,right,left,base,left,60,100,80,60,60,80,100,100,0.8,False,5.78,0
scenario7,c2,base,left,right,base,40,80,0,100,-60,100,0,60,1.0,False,1.803,0
scenario8,c2,right,base,base,left,40,40,80,60,-90,100,60,60,0.8,False,3.966,0
scenario9,c2,right,left,base,left,20,80,0,100,-30,0,40,20,0.6,False,4.296,0
scenario10,c4,left,right,right,base,100,40,60,100,60,20,80,60,0.2,False,4.244,0
scenario11,c1,base,right,left,right,60,60,0,0,-60,60,20,0,0.4,False,3.514,0
scenario12,c2,base,left,right,left,60,100,60,0,-90,80,0,80,0.4,False,3.223,0
scenario13,c2,base,left,right,base,40,80,0,100,-60,100,0,60,1.0,True,0.0,1
scenario14,c2,right,left,base,left,40,100,20,100,-90,100,100,40,1.0,False,1332.522,0
scenario15,c2,base,left,right,base,60,80,20,100,0,100,100,60,1.0,False,91.537,0
scenario16,c2,base,left,right,base,20,100,0,80,-60,80,0,0,0.8,False,1.664,0
scenario17,c2,right,base,base,left,40,80,60,80,30,100,80,60,1.0,True,0.0,1
scenario18,c4,right,base,left,base,20,80,20,100,90,100,60,40,1.0,False,6898.714,0
scenario19,c1,base,right,left,right,60,100,20,100,-30,40,0,40,0.8,False,2.621,0
scenario20,c2,base,left,right,base,60,80,0,80,-90,100,40,80,1.0,False,3.36,0
scenario21,c2,right,base,base,left,60,60,20,100,60,100,0,80,0.8,False,3.192,0
scenario22,c1,base,right,left,right,40,100,0,80,60,100,0,60,1.0,False,2.861,0
scenario23,c2,base,left,right,base,40,100,0,100,-90,100,0,0,1.0,False,1.638,0
scenario24,c1,base,left,left,right,20,0,0,100,-30,80,40,80,1.0,False,3.121,0
scenario25,c2,base,left,right,base,40,80,0,100,-60,100,0,60,1.0,False,1.839,0
scenario26,c1,left,right,base,left,60,80,0,100,-90,100,0,40,0.8,False,3.02,0
scenario27,c4,left,base,right,base,40,80,60,80,30,100,100,60,1.0,False,2.761,0
scenario28,c1,base,right,left,right,40,80,100,20,60,100,80,20,1.0,False,3.674,0
scenario29,c2,base,left,right,base,20,0,40,100,-90,100,40,0,1.0,False,1.714,0
scenario30,c1,left,right,base,left,40,100,20,100,0,80,0,20,1.0,False,3.356,0
scenario31,c1,base,right,left,right,20,80,80,80,30,20,100,20,0.8,False,1.951,0
scenario32,c1,base,right,left,right,40,100,20,100,-90,80,100,60,1.0,False,3.349,0
scenario33,c4,right,base,left,base,0,60,20,100,90,80,40,40,1.0,False,4691.324,0
scenario34,c1,left,right,base,left,60,100,80,80,60,100,0,40,1.0,False,3.329,0
scenario35,c1,base,right,left,right,60,100,0,60,-30,40,0,40,1.0,False,3.589,0
scenario36,c2,base,left,right,base,20,100,0,20,-60,100,0,20,0.8,True,0.0,1
scenario37,c2,base,left,right,base,20,100,0,20,-60,100,0,20,0.8,False,1.754,0
