Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario1,-90,20,40,0,0,0,0.8,0,100,0,0,0,c1,0.01539,base,right,left,right,0,3.541521842481404,0
scenario2,90,60,100,0,0,0,0.8,0,100,0,0,0,c2,0.00234,right,left,base,left,0,3.9459545273014216,0
scenario3,30,20,20,0,0,0,0.8,0,100,0,0,0,c4,0.00616,right,base,left,base,0,3.492213249531104,0
scenario4,0,60,100,0,0,0,0.8,0,100,0,0,20,c1,0.00192,left,right,base,right,0,3.3089478553449183,0
scenario5,-90,20,100,0,20,40,0.8,0,100,0,0,20,c2,0.002,base,left,right,left,0,3.3874420522221875,0
scenario6,90,60,20,0,0,0,0.8,0,100,0,0,20,c4,0.00311,left,right,right,base,0,4.582519266016888,0
scenario7,-30,60,40,0,0,0,0.8,0,100,0,0,40,c1,0.0024,left,right,base,left,0,3.77291618734641,0
scenario8,-90,60,100,0,0,0,0.8,0,100,0,0,40,c2,0.00387,base,left,right,base,0,1.8144640617472128,0
scenario9,90,20,60,0,0,0,0.8,0,100,0,0,40,c4,0.0053,left,base,right,base,0,2.6832242371146355,0
scenario10,-30,20,80,0,0,0,0.8,0,100,0,0,60,c1,0.00757,base,left,left,right,0,2.78995318917852,0
scenario11,30,20,80,0,0,0,0.8,0,100,0,0,60,c2,0.00677,right,base,base,left,0,2.4603472874700656,0
scenario12,60,60,60,0,0,0,0.8,0,100,0,0,60,c4,0.00245,right,base,left,right,0,1.0108032839591483,0
scenario13,-90,20,40,0,20,40,0.8,0,100,0,0,80,c1,0.00264,base,right,left,right,0,3.578627379829291,0
scenario14,-30,20,20,0,0,0,0.8,0,100,0,0,80,c2,0.00632,right,left,base,left,0,2.916686810499096,0
scenario15,-90,60,20,0,0,0,0.8,0,100,0,0,80,c4,0.00342,right,base,left,base,0,3.483279138155684,0
