Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario1,-60,20,40,60,0,0,0.8,20,80,0,0,0,c1,1e-05,base,left,left,right,0,2.046081704967984,0
scenario2,90,40,100,80,0,80,0.4,100,0,0,0,0,c2,1e-05,base,left,right,base,0,3.526636239946836,0
scenario3,60,20,60,0,80,100,0.1,0,100,0,0,0,c4,1e-05,right,base,left,base,0,4266.712948755054,0
scenario4,-90,60,40,40,100,60,0.6,100,0,0,0,20,c1,1e-05,base,right,left,right,0,5.081410904141358,0
scenario5,90,60,40,0,0,0,0.8,20,80,0,0,20,c2,1e-05,right,left,base,left,0,2.9601856269170392,0
scenario6,-90,0,100,0,100,60,0.6,0,100,0,0,20,c4,1e-05,left,right,right,base,0,5.027174123977604,0
scenario7,-60,80,100,0,0,80,0.4,80,20,0,0,40,c1,1e-05,left,right,base,right,0,3.359834032321897,0
scenario8,60,40,20,20,100,40,0.6,100,0,0,0,40,c2,1e-05,right,base,base,left,0,2.5581859681282686,0
scenario9,-30,60,20,0,0,100,0.2,20,80,0,0,40,c4,1e-05,right,base,left,right,0,1.0134866556253062,0
scenario10,90,20,20,0,0,100,0.6,80,20,0,0,60,c1,1e-05,left,right,base,left,0,3.523675628877622,0
scenario11,30,40,80,80,20,40,0.8,40,60,0,0,60,c2,1e-05,base,left,right,left,0,3.4005099663538254,0
scenario12,60,40,100,0,0,0,0.4,80,20,0,0,60,c4,1e-05,left,base,right,base,0,3.114780962675558,0
scenario13,-30,20,20,20,100,0,0.6,0,100,0,0,80,c1,1e-05,base,left,left,right,0,2.364357741681313,0
scenario14,-30,60,20,100,0,100,0.1,60,40,0,0,80,c2,1e-05,base,left,right,base,0,1.683616392331699,0
scenario15,90,80,40,60,100,40,0.6,20,80,0,0,80,c4,1e-05,right,base,left,base,0,2.676634419694901,0
scenario16,-90,40,100,100,0,80,0.4,100,0,0,0,100,c1,1e-05,base,right,left,right,0,3.574577899591646,0
scenario17,-30,60,40,0,0,0,0.8,100,0,0,0,100,c2,1e-05,right,left,base,left,1,0.0,1
scenario18,-90,20,20,0,0,100,0.1,80,20,0,0,100,c4,1e-05,left,right,right,base,0,3.650353040089111,0
scenario19,0,60,100,0,0,40,0.8,0,100,0,20,0,c1,1e-05,left,right,base,right,0,3.265153249960114,0
scenario20,-30,20,100,0,80,40,0.6,80,20,0,20,0,c2,1e-05,right,base,base,left,0,2.6386854936171864,0
scenario21,-90,20,20,20,80,60,0.6,40,60,0,20,0,c4,1e-05,right,base,left,right,0,1.0110080512708832,0
scenario22,60,80,40,0,0,100,0.1,0,100,0,20,20,c1,1e-05,left,right,base,left,0,3.2026717617657474,0
scenario23,-30,20,80,40,0,80,0.4,20,0,0,20,20,c2,1e-05,base,left,right,left,0,3.848052189470072,0
scenario24,-30,80,100,40,100,40,0.6,20,80,0,20,20,c4,1e-05,left,base,right,base,0,2.063843099877806,0
scenario25,-90,40,100,20,0,80,0.8,20,80,0,20,40,c1,1e-05,base,left,left,right,0,2.5954331888061373,0
scenario26,90,20,100,0,0,100,0.1,40,60,0,20,40,c2,1e-05,base,left,right,base,0,1.6356548997068932,0
scenario27,60,20,100,20,80,0,0.6,40,60,0,20,40,c4,1e-05,right,base,left,base,0,2.754948888174004,0
scenario28,-90,0,80,0,0,0,0.8,80,20,0,20,60,c1,1e-05,base,right,left,right,0,2.297579402978959,0
scenario29,0,40,40,0,0,100,0.8,80,20,0,20,60,c2,1e-05,right,left,base,left,0,0.6691254007259679,0
scenario30,0,0,40,0,20,40,0.8,40,60,0,20,60,c4,1e-05,left,right,right,base,0,5.450195240488122,0
scenario31,90,0,100,0,40,40,0.6,0,100,0,20,80,c1,1e-05,left,right,base,right,0,3.414908804612399,0
scenario32,90,60,20,60,20,60,0.2,40,60,0,20,80,c2,1e-05,right,base,base,left,0,3.18874307825072,0
scenario33,0,40,80,80,0,80,0.4,100,0,0,20,80,c4,1e-05,right,base,left,right,1,0.0,1
scenario34,30,20,20,40,100,40,0.6,40,60,0,20,100,c1,1e-05,left,right,base,left,0,3.308163796078766,0
scenario35,-60,80,20,0,60,40,0.6,0,100,0,20,100,c2,1e-05,base,left,right,left,0,2.8993913012273427,0
scenario36,-90,20,100,40,100,0,0.6,40,60,0,20,100,c4,1e-05,left,base,right,base,0,2.779735936732408,0
scenario37,30,20,100,40,100,0,0.6,100,0,0,40,0,c1,1e-05,base,left,left,right,0,2.588101263950694,0
scenario38,-30,40,40,100,0,20,0.8,80,20,0,40,0,c2,1e-05,base,left,right,base,0,1.7671504152111264,0
scenario39,-90,60,80,20,0,0,0.6,0,100,0,40,0,c4,1e-05,right,base,left,base,0,2.649180897808133,0
scenario40,60,60,20,80,0,80,0.6,100,0,0,40,20,c1,1e-05,base,right,left,right,0,4.140111994246947,0
scenario41,90,80,80,0,0,80,0.4,80,20,0,40,20,c2,1e-05,right,left,base,left,1,0.0,1
scenario42,90,20,100,60,100,40,0.6,0,100,0,40,20,c4,1e-05,left,right,right,base,0,4.433435930588622,0
scenario43,90,20,60,20,60,60,0.6,40,60,0,40,40,c1,1e-05,left,right,base,right,0,3.78684269250862,0
scenario44,0,80,20,20,0,0,0.8,0,100,0,40,40,c2,1e-05,right,base,base,left,0,2.058945611728868,0
