Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c4,base,40,0.6,60,right,0,20,60,base,80,60,-90,left,0,1.52110726034612,0
scenario2,c4,base,60,1.0,100,right,60,60,0,base,0,60,30,left,0,6.193558367183463,0
scenario3,c1,left,0,0.2,0,left,0,40,80,right,0,60,60,base,0,3.914826644914585,0
scenario4,c1,right,20,0.4,100,base,80,60,20,right,60,20,-30,left,0,3.386684437057857,0
scenario5,c2,left,0,0.6,100,base_left_lane,40,100,40,left,100,100,60,right,0,4.524783627463449,0
scenario6,c4,right,60,0.6,60,right,80,40,80,base,40,80,90,left,0,3.9141236070708985,0
scenario7,c2,left,80,0.6,100,base_left_lane,40,100,100,left,20,40,60,right,0,4.375823241235967,0
scenario8,c2,base,40,0.4,0,base_left_lane,60,20,100,left,80,60,0,right,0,2.6377369826847272,0
scenario9,c4,base,0,0.6,80,left,20,20,20,base,80,80,90,right,0,4.939720599374059,0
scenario10,c2,left,80,0.2,60,base_left_lane,80,40,0,left,100,100,60,right,0,3.6216118015398817,0
scenario11,c1,right,40,0.6,20,left,60,60,80,right,0,80,30,base,0,2.645542743694909,0
scenario12,c4,base,80,0.1,40,right,80,40,80,base,0,60,30,left,0,2.628877439321672,0
scenario13,c4,base,0,0.1,40,right,20,80,80,base,80,0,90,left,0,1.792315538988331,0
scenario14,c4,base,20,0.4,80,right,40,60,0,base,0,20,-30,left,0,2.035494921511555,0
scenario15,c4,base,20,0.6,100,left,80,20,40,base,40,100,60,right,0,40.15879908665678,0
scenario16,c2,left,60,0.4,20,base_left_lane,40,0,60,left,0,40,-30,right,0,2.9051652780541457,0
scenario17,c1,right,20,0.2,20,left,0,80,60,right,60,0,-90,base,0,3.2842400509744216,0
scenario18,c1,right,100,0.1,20,left,100,80,60,right,20,80,30,base,0,2.4407872763685474,0
scenario19,c4,base,0,0.4,20,right,60,100,40,base,100,20,60,left,0,2.20144383547961,0
scenario20,c4,base,20,0.8,40,right,100,40,80,base,40,20,0,left,0,2.0857107454841333,0
scenario21,c4,base,100,0.4,0,right,20,80,80,base,60,60,30,left,0,2.6170760079193114,0
scenario22,c2,base,80,0.4,0,base_left_lane,60,80,60,left,100,100,-60,right,0,2.2565590852857538,0
scenario23,c1,right,40,0.2,20,left,60,40,20,right,80,40,-90,base,0,1.9943895189708856,0
scenario24,c1,left,0,0.8,80,left,100,20,60,right,40,40,90,base,0,2.0222163886454334,0
scenario25,c4,base,20,0.4,80,left,0,100,20,base,0,20,-60,right,0,3.9022625337154753,0
scenario26,c2,left,40,0.4,100,base_left_lane,0,0,20,left,0,100,90,right,0,2.862171936409401,0
scenario27,c1,right,100,0.8,100,left,80,80,60,right,0,60,-60,base,0,3.092829768681943,0
scenario28,c4,base,0,0.8,40,right,0,80,60,base,40,60,-30,left,0,3.431176541628829,0
scenario29,c2,left,20,0.4,20,base_left_lane,0,20,20,left,20,80,-30,right,0,3.674226694605071,0
scenario30,c4,right,80,0.6,80,right,100,60,40,base,60,40,90,left,0,4.838010946137604,0
scenario31,c1,right,60,1.0,80,left,20,100,60,right,80,80,-30,base,0,2.008181642454582,0
scenario32,c2,left,80,0.4,60,base_left_lane,100,40,60,left,80,100,60,right,0,2.9446945074523323,0
scenario33,c4,base,40,0.8,80,left,60,80,100,right,40,80,-30,right,0,1.0943424516906477,0
scenario34,c2,left,100,0.2,40,base_left_lane,40,60,0,left,80,100,30,right,0,3.0338992293913245,0
scenario35,c1,right,0,0.8,20,base,100,0,80,right,80,100,-30,left,0,3.6514577576279215,0
scenario36,c4,base,0,1.0,40,right,100,0,40,base,60,20,-90,left,0,3.5879518314532364,0
scenario37,c2,left,0,0.2,40,base_left_lane,0,0,0,left,0,40,60,right,0,4.312798972823328,0
scenario38,c2,left,60,0.1,20,right,0,80,0,base,100,20,30,base,0,1.9016022258652752,0
scenario39,c2,left,60,0.6,100,base_left_lane,40,60,80,left,0,0,30,right,0,6.603940149665188,0
scenario40,c4,base,100,0.2,0,left,0,60,40,base,20,0,60,right,0,2.5772972840670763,0
scenario41,c4,base,40,0.8,100,right,40,20,60,base,40,0,30,left,0,2.85317335319694,0
scenario42,c2,left,20,0.8,60,base_left_lane,20,40,0,left,0,100,-60,right,0,2.931719049951546,0
scenario43,c4,base,60,0.8,0,left,100,20,40,base,20,80,-90,right,0,2.861076961669505,0
scenario44,c2,left,20,0.8,60,base_left_lane,0,40,60,left,80,20,-90,right,0,2.762658974942773,0
scenario45,c4,base,0,0.8,0,left,0,20,20,base,0,20,-60,right,0,3.08735786479835,0
scenario46,c4,base,20,0.8,100,right,60,80,20,base,100,60,60,left,0,2.6900649344957253,0
scenario47,c4,right,20,0.8,60,right,80,60,100,base,80,40,-90,left,0,3.9151320017812528,0
scenario48,c4,base,0,0.4,60,right,40,100,100,base,40,0,90,left,0,1.1422585884195169,0
scenario49,c1,right,100,0.1,20,base_left_lane,60,60,60,left,0,80,0,left,0,0.9577072525033548,0
scenario50,c1,right,20,0.4,20,left,0,40,60,right,100,0,90,base,0,1.8228745383940432,0
scenario51,c2,base,0,0.4,0,base_left_lane,60,20,0,left,40,0,-30,right,0,3.7986836685657472,0
scenario52,c1,right,80,0.6,0,left,0,100,60,right,0,100,60,base,0,2.4982734168493,0
scenario53,c1,right,40,0.6,60,left,40,60,80,right,20,100,0,base,0,1.6663343892838367,0
