Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario1,-90,right,0.1,100,100,40,20,60,40,0,0,1.4705933436798706,185.7349989414215,0
scenario2,0,left,0.8,80,100,100,0,40,80,20,0,1.6958007799883228,77.24068570137024,0
scenario3,-30,left,0.2,0,60,0,60,0,0,40,0,1.3882523550667103,77.6173746585846,0
scenario4,-60,left,0.4,20,80,20,40,80,20,80,0,1.3898612813901792,77.16594791412354,0
scenario5,0,right,0.6,20,20,60,60,20,60,60,0,1.6410110068513135,153.4384913444519,0
scenario6,0,right,1.0,40,0,100,80,100,100,40,0,2.0430434235333186,161.89419412612915,0
scenario7,60,right,0.8,80,60,80,100,20,20,100,0,1.7646974557095387,147.63302063941956,0
scenario8,90,right,0.6,60,40,40,80,0,80,100,0,2.868033881427897,166.66973733901978,0
scenario9,30,left,1.0,0,40,80,20,40,100,80,0,1.0831642412197937,82.81058740615845,0
scenario10,60,right,0.2,60,20,100,0,80,0,0,0,1.6489880044058265,156.1979489326477,0
scenario11,90,right,1.0,80,80,60,40,60,0,40,0,1.1642637709061827,159.1546561717987,0
scenario12,-60,left,0.4,100,40,100,100,100,40,60,0,0.858962163972974,87.63485765457153,0
scenario13,0,right,0.8,0,0,20,40,0,60,0,0,0.6654378615487645,85.79083061218262,0
scenario14,-60,left,0.6,40,80,0,100,20,100,0,0,0.887743034052888,98.91073441505432,0
scenario15,90,left,0.2,40,100,100,60,60,60,80,0,1.4606682924190248,75.11109805107117,0
scenario16,90,left,0.1,60,20,80,40,100,40,20,0,1.37104216319485,75.13993859291077,0
scenario17,90,right,0.1,20,0,20,100,40,0,60,0,1.0590869268611154,159.68204808235168,0
scenario18,-90,left,1.0,60,100,0,60,80,20,100,0,1.3830129787473775,77.52514123916626,0
scenario19,60,right,0.4,40,60,60,20,100,80,20,0,0.7358186132156246,148.89388227462769,0
scenario20,0,left,0.2,100,80,60,20,0,20,100,0,1.5009709591929743,75.64556646347046,0
scenario21,30,right,0.8,40,80,40,60,80,40,60,0,1.0397150069737109,134.44238114356995,0
scenario22,60,left,0.4,100,80,80,80,40,60,0,0,1.4260793927919255,76.34436702728271,0
scenario23,60,left,0.6,0,20,100,100,60,80,40,0,1.3297871480617196,73.81719994544983,0
scenario24,60,left,1.0,20,40,80,0,0,0,20,0,1.377128046563617,75.20964074134827,0
scenario25,60,left,0.1,0,0,40,80,20,0,80,0,1.3667678375114058,74.58488869667053,0
scenario26,90,right,0.8,100,20,60,80,80,100,80,0,0.809162955223808,102.52014398574828,0
scenario27,90,left,0.6,100,60,20,0,20,40,40,0,1.342707285877722,75.2124490737915,0
scenario28,0,right,0.4,0,100,60,100,80,40,40,0,1.9433717814782376,161.77009272575378,0
scenario29,60,left,0.2,80,100,20,40,100,100,60,0,0.8834672488430975,85.53359985351562,0
scenario30,60,right,0.2,60,0,0,100,40,40,20,0,1.5722449318239886,159.59665966033936,0
scenario31,30,right,0.4,40,20,80,0,60,60,100,0,0.8673758927511821,105.05354738235474,0
scenario32,-30,left,0.2,80,40,40,20,20,80,0,0,1.6808001242329356,76.64220643043518,0
scenario33,-60,right,0.1,60,60,100,20,40,60,100,0,0.8063900854262304,102.78099036216736,0
scenario34,90,left,0.8,0,80,0,0,100,20,60,0,1.3544579588118422,75.27300524711609,0
scenario35,60,right,0.8,20,40,0,20,80,60,40,0,0.7697635104921265,82.53943371772766,0
