Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,left,40,0,60,40,-90,0,60,80,0.8,False,1.333,0
scenario2,right,40,0,20,20,-30,80,40,100,0.2,False,0.835,0
scenario3,left,0,60,0,80,0,0,0,40,1.0,False,1.342,0
scenario4,right,0,0,0,100,-60,20,0,40,0.6,False,0.999,0
scenario5,right,40,60,0,40,-30,80,60,20,0.8,False,0.938,0
scenario6,right,0,60,100,80,0,100,80,100,1.0,False,0.819,0
scenario7,right,80,100,60,40,30,0,100,20,1.0,False,0.672,0
scenario8,left,60,100,40,20,-30,40,80,60,0.1,False,1.511,0
scenario9,right,60,80,40,0,-60,80,0,100,0.4,False,0.973,0
scenario10,left,40,20,60,80,30,100,0,100,0.4,False,1.373,0
scenario11,right,100,100,20,80,0,20,20,80,0.6,False,0.756,0
scenario12,right,60,0,0,20,0,20,0,40,0.4,False,1.378,0
scenario13,right,80,100,60,40,30,0,100,20,1.0,False,0.786,0
scenario14,right,80,100,80,40,90,20,100,40,0.8,False,0.85,0
scenario15,right,100,80,60,40,30,20,100,40,1.0,False,0.738,0
scenario16,left,100,100,60,40,30,0,80,40,0.8,False,0.92,0
scenario17,left,100,80,0,20,30,0,100,20,0.6,False,1.407,0
scenario18,right,80,80,60,80,30,0,80,20,0.8,False,0.99,0
scenario19,right,100,100,20,60,0,0,100,40,1.0,False,1.811,0
scenario20,right,40,100,80,40,0,0,80,0,1.0,False,1.204,0
scenario21,right,80,20,60,20,30,0,80,0,0.6,False,0.979,0
scenario22,left,100,100,100,40,-90,20,80,0,1.0,False,1.374,0
scenario23,left,0,80,100,40,30,0,100,40,1.0,False,1.17,0
scenario24,right,100,80,60,20,-90,20,100,0,0.1,False,1.755,0
scenario25,right,100,80,60,40,30,20,100,40,1.0,False,0.796,0
scenario26,left,100,100,100,20,-30,40,100,20,1.0,False,1.415,0
scenario27,right,20,80,40,60,30,0,80,20,1.0,False,1.846,0
scenario28,left,100,100,80,60,-90,20,60,0,1.0,False,1.474,0
scenario29,left,80,80,60,60,30,0,100,40,0.8,False,0.919,0
scenario30,left,0,0,40,60,0,0,40,40,0.8,False,1.458,0
scenario31,left,80,60,100,40,0,0,100,40,0.2,False,1.467,0
scenario32,left,80,0,80,0,30,20,80,0,0.2,False,1.359,0
scenario33,left,20,80,20,40,90,20,20,60,1.0,False,1.488,0
scenario34,left,80,100,80,40,60,0,80,20,0.8,False,1.355,0
scenario35,right,20,80,80,40,30,0,100,100,1.0,False,0.789,0
scenario36,right,80,100,80,40,0,0,80,0,1.0,False,1.762,0
scenario37,right,20,80,80,40,30,0,100,100,1.0,False,0.64,0
scenario38,left,80,60,100,20,90,0,100,40,0.2,False,1.357,0
scenario39,right,20,80,100,40,60,0,20,60,0.2,False,1.716,0
scenario40,right,0,80,40,80,0,80,80,40,1.0,False,0.906,0
scenario41,left,80,40,100,20,0,20,100,40,0.2,False,1.425,0
scenario42,left,40,40,80,40,30,0,100,80,1.0,False,1.064,0
scenario43,left,100,100,100,20,-30,20,80,0,1.0,False,2.315,0
scenario44,right,0,100,40,60,90,0,20,60,1.0,False,0.98,0
scenario45,right,20,100,40,0,90,20,20,60,1.0,False,0.837,0
scenario46,left,20,0,20,60,30,0,40,60,0.6,False,1.469,0
scenario47,left,40,100,40,60,0,0,20,20,1.0,False,1.524,0
scenario48,left,60,80,80,20,60,0,100,20,0.1,False,1.435,0
scenario49,right,20,80,80,40,30,0,100,100,1.0,False,0.634,0
scenario50,right,0,20,80,60,30,20,40,40,0.6,False,1.256,0
scenario51,right,0,100,20,60,90,20,80,40,1.0,False,2.302,0
scenario52,right,100,40,100,20,90,0,100,60,0.2,False,0.801,0
scenario53,left,80,100,100,0,60,0,40,40,0.1,False,1.388,0
scenario54,right,100,60,80,20,30,100,60,20,0.8,False,2.132,0
scenario55,left,0,80,60,100,-30,80,60,40,1.0,False,0.886,0
scenario56,right,20,100,20,0,90,20,20,60,0.8,False,1.796,0
scenario57,left,80,60,60,0,30,0,40,40,0.2,False,1.313,0
scenario58,right,20,100,20,60,60,0,20,20,1.0,False,0.894,0
scenario59,right,60,100,40,80,-30,0,0,20,0.8,False,0.905,0
scenario60,left,0,100,60,60,30,80,80,20,0.4,False,0.966,0
scenario61,right,20,80,80,40,30,0,100,100,1.0,False,0.632,0
scenario62,right,0,80,80,20,30,100,40,40,0.8,False,1.571,0
scenario63,right,0,80,80,60,0,60,80,0,0.2,False,0.704,0
scenario64,right,60,100,80,20,-60,0,0,40,0.6,False,0.868,0
scenario65,right,100,60,60,20,60,0,80,40,0.2,False,0.829,0
scenario66,left,0,100,80,100,30,80,60,0,0.6,False,1.056,0
scenario67,right,100,60,80,20,30,100,80,20,0.8,False,1.861,0
scenario68,right,100,100,20,80,90,0,0,20,0.8,False,1.996,0
scenario69,right,40,100,20,0,90,40,0,60,0.6,False,1.077,0
scenario70,left,60,80,80,20,90,0,20,40,0.2,False,1.358,0
scenario71,left,80,60,40,60,60,0,40,60,0.1,False,1.354,0
scenario72,right,0,100,80,40,30,0,100,100,0.8,False,0.636,0
scenario73,right,80,100,60,40,30,0,100,20,1.0,False,1.99,0
scenario74,left,60,100,20,40,-30,40,80,60,0.1,False,1.463,0
scenario75,right,40,60,20,40,-30,80,40,40,0.8,False,0.76,0
scenario76,right,20,80,80,40,30,0,100,100,1.0,False,0.578,0
scenario77,right,0,0,0,60,-60,40,20,20,0.6,False,0.979,0
scenario78,right,40,20,20,40,-30,80,40,100,0.4,False,0.852,0
scenario79,right,20,100,20,80,0,20,0,100,0.6,False,1.563,0
scenario80,left,20,60,0,40,-60,80,60,20,0.8,False,0.849,0
scenario81,right,40,60,0,40,-30,80,40,20,0.1,False,0.941,0
scenario82,right,100,0,20,0,-30,80,40,100,0.2,False,0.947,0
scenario83,left,40,20,60,40,-90,20,60,80,0.8,False,1.57,0
scenario84,left,40,0,60,60,-90,20,60,80,0.8,False,1.575,0
scenario85,right,20,80,80,40,30,0,100,100,1.0,False,0.556,0
scenario86,right,20,80,80,80,30,20,100,100,1.0,False,2.555,0
scenario87,right,20,60,80,40,30,0,100,100,1.0,False,0.637,0
scenario88,right,0,20,80,60,60,0,100,100,1.0,False,2.006,0
scenario89,right,40,60,80,20,30,0,100,100,1.0,False,0.747,0
scenario90,right,40,80,100,60,60,0,100,100,0.8,False,1.639,0
scenario91,right,40,60,100,40,60,20,100,100,0.8,False,0.809,0
scenario92,right,0,100,60,20,-90,0,100,80,0.1,False,0.711,0
scenario93,right,0,100,60,20,0,20,100,80,1.0,False,0.76,0
scenario94,left,20,60,100,40,30,20,20,100,1.0,False,1.059,0
scenario95,right,20,60,80,20,30,0,100,100,1.0,False,1.705,0
scenario96,right,100,80,0,40,30,0,100,100,0.8,False,0.691,0
scenario97,right,20,80,80,40,30,0,100,100,1.0,False,0.569,0
scenario98,right,20,100,40,40,-60,0,100,100,0.8,False,0.958,0
scenario99,right,0,100,60,20,0,0,100,60,0.8,False,1.557,0
scenario100,right,0,80,20,20,-30,20,0,80,1.0,False,1.107,0
scenario101,left,20,60,100,60,60,40,20,100,1.0,False,1.351,0
scenario102,left,20,60,80,40,-30,0,100,100,1.0,False,1.427,0
scenario103,right,100,100,0,40,60,0,100,100,0.6,False,1.679,0
scenario104,right,60,60,80,20,-90,0,20,100,0.8,False,0.741,0
scenario105,left,0,0,40,40,-30,20,100,80,1.0,False,1.382,0
scenario106,right,100,80,0,40,0,0,80,100,0.4,False,0.853,0
scenario107,left,100,60,0,40,-30,20,40,100,0.6,False,1.01,0
scenario108,left,20,60,100,60,60,0,20,80,1.0,False,1.365,0
scenario109,right,20,80,80,40,30,0,100,100,1.0,False,0.62,0
scenario110,left,40,80,40,20,30,0,80,80,1.0,False,0.904,0
scenario111,right,100,100,20,20,-60,0,0,100,1.0,False,0.838,0
scenario112,left,20,40,20,0,-30,40,80,80,1.0,False,1.716,0
scenario113,right,0,100,20,60,-30,0,80,100,0.8,False,0.82,0
scenario114,right,40,60,100,20,90,20,100,80,1.0,False,1.445,0
scenario115,left,0,100,40,80,-60,20,0,40,0.8,False,1.398,0
scenario116,right,20,100,80,40,0,0,100,80,0.8,False,1.652,0
scenario117,left,100,100,0,40,90,0,100,100,0.6,False,1.403,0
scenario118,right,20,80,40,0,-30,0,100,100,0.8,False,0.839,0
scenario119,right,0,100,20,80,-30,80,0,80,1.0,False,0.976,0
scenario120,left,100,60,20,20,-30,20,40,100,0.6,False,1.058,0
scenario121,right,20,80,80,40,30,0,100,100,1.0,False,0.787,0
scenario122,right,40,100,80,20,0,0,100,100,1.0,False,0.866,0
scenario123,left,80,80,40,0,-60,0,20,80,0.6,False,1.56,0
scenario124,right,0,80,20,80,-60,0,0,60,0.6,False,0.853,0
scenario125,left,20,20,20,0,-30,40,80,60,1.0,False,1.422,0
scenario126,right,20,40,100,40,-30,0,100,80,0.8,False,1.139,0
scenario127,right,60,20,100,40,90,20,100,60,1.0,False,2.162,0
scenario128,right,20,40,100,20,90,0,80,100,1.0,False,1.439,0
scenario129,left,60,60,40,40,-30,0,40,100,0.8,False,1.48,0
scenario130,right,100,80,40,0,-90,0,80,100,0.8,False,0.874,0
scenario131,left,100,60,0,0,60,40,40,100,0.2,False,1.398,0
scenario132,right,0,80,80,40,30,20,100,80,1.0,False,0.681,0
scenario133,right,0,80,80,40,30,20,100,80,1.0,False,0.575,0
scenario134,right,0,100,60,20,60,40,100,100,1.0,False,0.784,0
scenario135,right,0,80,40,100,-90,40,0,60,0.8,False,1.04,0
scenario136,right,0,100,20,20,60,20,80,100,1.0,False,1.628,0
scenario137,left,100,60,0,0,60,20,60,80,0.1,False,1.453,0
scenario138,right,40,100,80,40,0,0,0,100,1.0,False,1.899,0
scenario139,right,60,0,80,40,90,100,60,80,1.0,False,1.43,0
scenario140,left,0,80,100,60,30,40,80,80,0.8,False,1.177,0
scenario141,right,40,60,60,40,90,80,40,100,1.0,False,1.033,0
scenario142,right,100,80,20,0,-90,0,40,20,0.6,False,1.778,0
scenario143,right,100,40,0,0,90,20,20,100,0.4,False,1.621,0
scenario144,right,20,80,20,40,-30,80,100,80,1.0,False,0.84,0
scenario145,right,80,100,60,40,30,0,100,20,1.0,False,1.867,0
scenario146,right,20,100,80,40,30,0,100,100,0.1,False,0.65,0
scenario147,right,20,80,80,20,0,20,100,0,1.0,False,0.835,0
scenario148,right,40,60,20,40,-30,80,40,40,0.1,False,1.578,0
scenario149,right,80,100,60,40,30,20,100,20,1.0,False,2.3,0
scenario150,right,60,40,0,40,-30,80,60,40,0.1,False,0.922,0
scenario151,right,40,60,20,40,-30,40,100,40,0.8,False,0.805,0
scenario152,right,80,100,80,40,60,0,60,20,0.1,False,0.782,0
scenario153,right,40,60,0,40,-90,80,100,20,0.8,False,1.417,0
scenario154,right,20,100,20,80,0,0,0,100,0.6,False,0.829,0
scenario155,right,20,60,80,40,60,0,100,80,1.0,False,1.825,0
scenario156,right,80,0,20,0,-30,80,20,100,0.2,False,0.753,0
scenario157,right,20,100,80,40,30,0,100,100,0.1,False,0.625,0
scenario158,right,80,80,80,40,30,20,100,100,0.2,False,0.736,0
scenario159,right,20,100,0,0,30,0,60,100,0.1,False,0.716,0
scenario160,left,20,0,100,0,0,20,100,100,0.1,False,1.406,0
scenario161,right,40,80,80,20,60,20,100,100,0.1,False,1.82,0
scenario162,right,20,100,60,20,60,0,80,100,0.1,False,1.638,0
scenario163,right,40,20,80,60,-30,0,80,100,0.1,False,0.718,0
scenario164,right,0,100,80,40,0,0,100,80,0.8,False,1.548,0
scenario165,right,40,100,60,40,60,0,80,40,0.1,False,1.757,0
scenario166,right,0,80,40,40,0,0,100,100,0.8,False,0.912,0
scenario167,left,100,80,80,40,30,0,100,0,0.2,False,0.904,0
scenario168,left,20,100,80,40,0,60,100,100,0.1,False,1.373,0
scenario169,right,20,100,80,40,30,0,100,100,0.1,False,0.809,0
scenario170,right,40,0,60,40,0,100,100,100,0.2,False,0.697,0
scenario171,right,0,100,40,20,0,0,100,100,0.6,False,1.776,0
scenario172,left,0,40,20,60,-30,80,100,80,1.0,False,1.422,0
scenario173,left,20,0,80,0,-30,20,100,100,0.6,False,1.396,0
scenario174,right,20,100,80,60,90,0,100,100,0.1,False,0.923,0
scenario175,right,40,80,80,0,60,0,80,100,0.2,False,1.688,0
scenario176,left,40,20,100,60,-30,20,80,100,0.1,False,1.691,0
scenario177,right,0,80,80,60,0,0,100,60,0.6,False,0.882,0
scenario178,left,100,100,80,20,0,0,80,80,0.8,False,1.357,0
scenario179,left,20,100,80,20,-30,60,80,100,0.1,False,1.384,0
scenario180,right,20,80,100,100,-60,20,100,80,0.6,False,0.869,0
scenario181,right,40,0,60,40,0,100,100,100,0.2,False,0.76,0
scenario182,right,40,60,0,100,60,20,100,100,0.2,False,1.699,0
scenario183,left,100,80,100,0,30,0,80,100,1.0,False,0.984,0
scenario184,left,20,100,80,20,0,40,60,100,0.4,False,0.896,0
scenario185,right,20,20,80,0,60,20,60,100,0.6,False,0.781,0
