Instances,feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
scenario1,-90,20,80,0,0,0,0.8,0,100,left,0,0,0,0.008,0,1.3640188655515602,76.70301246643066,0
scenario2,90,60,20,0,0,0,0.8,0,100,right,0,0,20,0.00147,0,1.8166753018594788,168.97534465789795,0
scenario3,30,20,100,0,0,0,0.8,0,100,left,0,0,40,0.003,0,1.4729695137074377,75.4392020702362,0
scenario4,-30,20,20,0,0,0,0.8,0,100,right,0,0,60,0.0032,0,0.7306924240285776,99.36025857925416,0
scenario5,90,20,100,0,0,0,0.8,0,100,right,0,0,80,0.00299,0,1.7669981854612828,157.3599956035614,0
scenario6,-30,20,100,0,0,0,0.8,0,100,right,0,0,100,0.00353,0,0.841171364033432,104.9644899368286,0
scenario7,30,20,20,0,0,0,0.8,0,100,left,0,20,0,0.00306,0,1.493976043325962,73.9636971950531,0
scenario8,-90,60,40,0,0,0,0.8,0,100,right,0,20,20,0.00237,0,0.83705900497174,101.24038219451904,0
scenario9,30,20,60,0,0,0,0.8,0,100,right,0,20,40,0.00321,0,0.9094348169119706,97.8032612800598,0
scenario10,90,20,60,0,0,0,0.8,0,100,left,0,20,60,0.0029,0,1.3565704610491895,74.88603186607361,0
scenario11,-30,20,60,0,0,0,0.8,0,100,left,0,20,80,0.00309,0,1.3694993724655635,77.23053574562073,0
scenario12,-90,20,20,0,0,0,0.8,0,100,left,0,20,100,0.0053,0,1.397760069605112,76.90696620941162,0
scenario13,-90,60,100,0,0,0,0.8,0,100,right,0,40,0,0.00169,0,0.8327718599636275,101.57737803459167,0
scenario14,90,60,20,0,0,0,0.8,0,100,left,0,40,20,0.00165,0,1.9316214253168025,74.2965624332428,0
scenario15,60,20,20,0,0,0,0.8,0,100,right,0,40,40,0.00378,0,2.1366801851332777,105.64346289634705,0
scenario16,-60,20,60,0,0,0,0.8,0,100,right,0,40,60,0.00286,0,0.7775991801475702,152.46922039985657,0
scenario17,-60,60,40,0,0,0,0.8,0,100,left,0,40,80,0.00145,0,1.38325375343363,76.14394283294678,0
