Instances,feature_TimeofDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,feature_Direction,Visibility,RoadSurface,VehicleStability,probability,collision,min_ttc,run_duration,algo_safety
scenario1,60,40,80,20,100,60,0.6,0,100,right,0,0,0,1e-05,0,1.829731425320763,166.86756825447085,0
scenario2,-90,40,20,20,0,80,0.8,100,0,left,0,0,20,1e-05,0,1.6834717389788556,81.60518717765808,0
scenario3,90,60,100,0,0,80,0.2,100,0,left,0,0,40,1e-05,0,1.3388097264164251,80.21237635612488,0
scenario4,-90,60,60,40,0,0,0.8,0,100,right,0,0,60,1e-05,0,0.8863940315470422,111.3658857345581,0
scenario5,30,40,40,100,0,80,0.4,20,80,left,0,0,80,1e-05,0,1.4811109516574064,79.88707756996155,0
scenario6,30,20,60,40,100,40,0.6,100,0,right,0,0,100,1e-05,0,1.7971263381894271,166.8132517337799,0
scenario7,-90,20,20,40,100,40,0.4,20,80,left,0,20,0,1e-05,0,1.400016772669365,81.66390585899353,0
scenario8,-60,20,80,0,0,100,0.2,20,80,left,0,20,20,1e-05,0,1.435704467500506,82.63776159286499,0
scenario9,90,60,20,0,0,100,0.8,0,100,right,0,20,40,1e-05,0,1.80272145187798,167.3844816684723,0
scenario10,30,0,40,0,0,0,0.6,0,100,left,0,20,60,1e-05,0,1.4715562095870445,79.20443511009216,0
scenario11,-60,80,100,0,100,40,0.6,0,100,right,0,20,80,1e-05,0,0.9736647750588048,105.05022621154784,0
scenario12,30,60,20,0,60,0,0.6,40,60,right,0,20,100,1e-05,0,0.9049068911267234,95.63053345680235,0
scenario13,-60,60,100,0,40,40,0.6,80,20,right,0,40,0,1e-05,0,0.856064318232875,115.26119661331175,0
scenario14,30,60,100,20,20,40,0.8,40,60,left,0,40,20,1e-05,0,1.4104913787457278,79.31044864654541,0
scenario15,90,80,60,0,0,0,0.8,80,20,right,0,40,40,1e-05,0,1.1940219442688926,123.97713780403136,0
scenario16,-90,40,60,100,0,80,0.4,40,60,right,0,40,60,1e-05,0,0.9527615619367932,99.98355269432068,0
scenario17,-90,60,100,100,100,40,0.6,100,0,right,0,40,80,1e-05,0,1.3092072037282771,191.9827423095703,0
scenario18,0,20,60,40,0,80,0.2,100,0,right,0,40,100,1e-05,0,1.8578666150584933,172.43564128875732,0
scenario19,90,60,20,80,0,80,0.4,100,0,right,0,60,0,1e-05,0,1.9943987708244093,165.6315245628357,0
scenario20,0,20,60,100,100,40,0.6,40,60,left,0,60,20,1e-05,0,1.4137550860112094,80.98889589309692,0
scenario21,-90,20,20,0,100,40,0.6,80,20,right,0,60,40,1e-05,0,0.9628053262529596,99.12197756767272,0
scenario22,-30,20,60,20,0,0,0.8,100,0,left,0,60,60,1e-05,0,0.6423367786188273,94.835426568985,0
scenario23,60,20,100,0,0,100,0.1,20,80,right,0,60,80,1e-05,0,1.7719966777394054,108.69958782196044,0
scenario24,60,20,20,0,0,80,0.1,80,20,left,0,60,100,1e-05,0,1.3213008121033434,79.78392028808594,0
scenario25,90,40,100,0,0,0,0.8,20,80,right,0,80,0,1e-05,0,0.8047042029647044,157.92088890075684,0
scenario26,-30,80,20,0,20,40,0.8,0,100,left,0,80,20,1e-05,0,1.5840712018884404,80.66196465492249,0
scenario27,-30,60,100,60,100,60,0.6,60,40,right,0,80,40,1e-05,0,0.6806373426555603,98.37934064865112,0
scenario28,90,60,40,80,80,40,0.6,40,60,right,0,80,60,1e-05,0,0.6845456042358647,160.0215654373169,0
scenario29,90,20,100,20,80,0,0.6,20,80,left,0,80,80,1e-05,0,1.367649175194905,80.17213463783264,0
scenario30,-90,60,80,100,0,100,0.1,100,0,left,0,80,100,1e-05,0,1.823592762144236,184.02801179885864,0
scenario31,-60,0,100,0,40,40,0.8,0,100,right,0,100,0,1e-05,0,0.7546882484098831,104.51678967475893,0
scenario32,-30,60,100,0,20,0,0.8,0,100,left,0,100,20,1e-05,0,1.4495251710919432,82.44119381904602,0
scenario33,-90,60,20,0,0,100,0.4,0,100,right,0,100,40,1e-05,0,1.7561064327006206,162.64913535118103,0
scenario34,0,20,20,20,0,100,0.8,20,80,right,0,100,60,1e-05,0,1.4476531916820197,171.51864433288574,0
scenario35,-30,80,20,20,100,40,0.6,0,100,right,0,100,80,1e-05,0,1.5010394453353175,164.13358879089355,0
scenario36,90,60,20,0,100,40,0.6,80,20,left,0,100,100,1e-05,0,1.3805439718357508,80.45655179023743,0
scenario37,0,20,20,20,80,60,0.6,20,80,left,20,0,0,1e-05,0,1.4390939155686204,81.51061296463013,0
scenario38,90,80,80,60,0,80,0.4,40,60,left,20,0,20,1e-05,0,1.390903112393414,78.81312990188599,0
scenario39,-30,20,100,40,100,60,0.6,0,100,left,20,0,40,1e-05,0,1.4607597356237243,83.65845227241516,0
scenario40,90,40,40,20,40,40,0.6,0,100,left,20,0,60,1e-05,0,1.3626009417953484,79.5938994884491,0
scenario41,-90,60,100,0,0,100,0.1,80,20,left,20,0,80,1e-05,0,0.9715178181256344,103.02321219444276,0
scenario42,-30,80,100,0,0,100,0.1,0,100,right,20,0,100,1e-05,0,1.7706302426040064,172.65309262275696,0
scenario43,30,20,20,100,0,0,0.8,20,80,right,20,20,0,1e-05,0,1.651381587392308,159.2952916622162,0
scenario44,-90,20,80,40,100,0,0.6,20,80,right,20,20,20,1e-05,0,1.9529294778348496,169.36637353897095,0
scenario45,-90,20,20,0,0,0,0.4,80,20,right,20,20,40,1e-05,0,1.245530722147815,172.29763102531433,0
scenario46,0,40,20,0,100,100,0.6,80,20,left,20,20,60,1e-05,0,1.3581408027126929,82.45405530929565,0
scenario47,60,0,80,0,0,0,0.8,80,20,left,20,20,80,1e-05,0,1.3597200933473683,81.0266969203949,0
scenario48,-60,40,20,60,0,0,0.8,40,60,left,20,20,100,1e-05,0,1.3980298761380026,81.99508690834045,0
scenario49,90,60,100,20,60,40,0.6,60,40,right,20,40,0,1e-05,0,0.9029951168849608,102.66830229759216,0
scenario50,-60,20,100,60,60,40,0.6,100,0,left,20,40,20,1e-05,0,0.8079727167683153,92.93622016906738,0
scenario51,90,20,20,20,20,0,0.8,100,0,left,20,40,40,1e-05,0,1.3209223836816169,81.92333388328552,0
scenario52,-60,20,40,20,40,40,0.8,40,60,right,20,40,60,1e-05,0,0.8292840604580218,109.0028591156006,0
scenario53,0,60,20,20,40,40,0.8,20,0,left,20,40,80,1e-05,0,1.4385988105035967,80.97425031661987,0
scenario54,-90,40,100,20,20,40,0.8,40,60,left,20,40,100,1e-05,0,0.8759029426452313,104.401762008667,0
scenario55,-30,20,20,40,80,40,0.6,100,0,left,20,60,0,1e-05,0,0.6262222212990215,101.90183329582214,0
scenario56,60,60,20,0,0,0,0.4,0,100,right,20,60,20,1e-05,0,0.7934218310458434,87.43968486785889,0
scenario57,90,20,40,40,0,80,0.4,40,60,right,20,60,40,1e-05,0,1.7019302468157362,104.413640499115,0
scenario58,0,60,100,0,0,100,0.6,80,20,left,20,60,60,1e-05,0,1.3607392963631946,82.05678725242615,0
scenario59,30,60,60,0,20,100,0.8,0,100,left,20,60,80,1e-05,0,1.9399491430914293,81.1001205444336,0
scenario60,30,20,80,20,40,0,0.8,0,100,right,20,60,100,1e-05,0,2.17858172046462,167.91217923164368,0
scenario61,-30,60,20,0,0,100,0.2,80,20,right,20,80,0,1e-05,0,0.9078443736453004,96.03309273719788,0
scenario62,-30,60,20,40,0,80,0.4,40,60,left,20,80,20,1e-05,0,1.4054175122198462,82.3155403137207,0
scenario63,-60,0,80,0,0,80,0.4,80,20,right,20,80,40,1e-05,0,0.8086270266186704,99.86430740356444,0
scenario64,-90,60,100,40,100,40,0.6,40,60,left,20,80,60,1e-05,0,1.4126581645359222,82.2983865737915,0
scenario65,-30,20,40,0,0,0,0.2,0,100,right,20,80,80,1e-05,0,0.830757528819072,107.83275437355042,0
scenario66,30,20,20,0,40,40,0.8,80,20,right,20,80,100,1e-05,0,1.8214721518128425,167.57411360740662,0
scenario67,90,20,100,80,80,40,0.6,100,0,left,20,100,0,1e-05,0,1.348530236166775,80.69277453422546,0
scenario68,30,40,100,20,100,40,0.6,40,60,left,20,100,20,1e-05,0,0.9500103948015406,87.86881494522095,0
