Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,left,0,100,40,20,-60,20,100,0,1.0,False,1.487546971030191,0
scenario2,left,80,60,0,0,-90,20,20,80,0.8,False,0.9952846521361396,0
scenario3,left,80,20,100,100,60,80,60,20,0.6,False,1.3492340879222746,0
scenario4,right,0,20,100,60,-30,40,20,20,0.4,False,0.876595021671236,0
scenario5,left,0,60,0,40,90,40,80,40,0.1,False,1.4151758421231786,0
scenario6,right,80,0,60,0,30,40,100,80,0.4,False,1.7522411202487234,0
scenario7,left,100,0,0,100,-60,40,0,20,0.1,False,1.0085007129236718,0
scenario8,right,40,60,100,40,-60,40,40,20,1.0,False,0.9370187792112428,0
scenario9,right,100,100,100,0,30,100,20,80,1.0,False,1.828849947981113,0
scenario10,left,20,60,60,40,60,100,80,20,1.0,False,1.3906759980388863,0
scenario11,right,0,20,0,40,0,40,0,20,0.8,False,1.784830545571665,0
scenario12,right,20,100,60,60,60,60,20,40,0.2,False,1.9374099879700688,0
scenario13,left,100,80,80,40,60,80,60,80,0.6,False,1.3509764326725917,0
scenario14,right,20,20,80,60,-90,0,0,20,1.0,False,0.9081332726419176,0
scenario15,left,100,60,80,0,0,60,80,60,0.8,False,1.5008870803257093,0
scenario16,right,80,0,100,100,-90,100,80,40,1.0,False,0.8026918008465664,0
scenario17,right,0,40,60,20,0,0,100,100,0.4,False,0.7458412533356481,0
scenario18,left,80,0,100,40,90,100,80,80,0.2,False,1.3274649383981838,0
scenario19,left,40,20,80,80,-90,80,40,60,0.1,False,1.6680744549047266,0
scenario20,left,40,40,20,0,-60,80,0,0,1.0,False,1.3521847105892193,0
scenario21,right,0,80,20,20,60,60,80,20,0.4,False,0.7362297964737763,0
scenario22,right,20,80,100,100,-60,100,40,60,1.0,False,0.969678301910646,0
scenario23,right,60,80,60,0,-60,20,0,40,0.1,False,1.4737830525457722,0
scenario24,left,80,20,0,0,60,100,0,20,0.1,False,1.4109802774066065,0
scenario25,left,40,0,80,20,-30,100,60,20,0.8,False,0.9780624337165424,0
scenario26,left,100,80,80,60,-60,60,60,20,0.1,False,1.3884151654648114,0
scenario27,left,100,60,40,60,0,60,100,0,1.0,False,1.6270802697734388,0
scenario28,left,0,60,100,40,90,0,20,20,0.2,False,1.4129739094609723,0
scenario29,right,20,60,20,40,0,20,0,60,0.8,False,0.8558946104211737,0
scenario30,left,0,100,80,0,-90,20,20,60,0.6,False,0.9082324773963832,0
scenario31,right,20,60,0,20,0,0,60,40,0.6,False,1.0920562162235854,0
scenario32,right,60,100,100,80,60,100,60,20,0.2,False,1.9699753370496604,0
scenario33,right,20,0,80,100,30,0,100,40,0.1,False,2.03074261085753,0
scenario34,left,80,60,80,80,-60,0,80,0,0.2,False,1.386373274820215,0
scenario35,left,80,0,100,20,0,0,80,20,0.8,False,1.3402771381072447,0
scenario36,left,80,0,60,100,30,80,80,40,0.4,False,1.3679818504825512,0
scenario37,left,100,100,40,20,-30,60,20,100,1.0,False,0.917323593625378,0
scenario38,right,60,40,0,0,0,80,80,0,0.1,False,2.1655270596103966,0
scenario39,left,80,40,20,40,-90,20,40,40,0.2,False,1.4236090456396384,0
