Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,right,20,20,60,80,-30,40,100,80,0.4,False,1.014,0
scenario2,left,80,40,0,40,0,80,20,20,0.6,False,1.334,0
scenario3,right,100,80,60,80,30,20,40,20,0.2,False,0.571,0
scenario4,left,40,40,40,40,0,20,40,100,1.0,False,1.425,0
scenario5,right,0,20,40,100,30,20,60,100,0.6,False,0.71,0
scenario6,left,80,60,60,20,0,40,40,60,1.0,False,1.361,0
scenario7,right,60,60,80,100,30,0,80,20,0.2,False,0.783,0
scenario8,left,100,60,80,0,60,60,60,0,0.1,False,1.341,0
scenario9,left,60,60,40,100,-30,100,20,0,0.2,False,0.964,0
scenario10,right,100,20,80,60,-30,80,0,40,0.2,False,0.866,0
scenario11,right,60,0,0,20,-30,80,100,60,1.0,False,0.857,0
scenario12,left,20,0,100,20,90,60,60,60,0.1,False,1.342,0
scenario13,right,20,20,40,100,-30,100,20,60,0.8,False,0.896,0
scenario14,right,0,60,100,100,30,0,40,20,0.4,False,0.794,0
scenario15,left,20,100,60,40,90,80,80,0,0.8,False,1.427,0
scenario16,left,80,20,20,60,0,0,80,100,0.8,False,1.456,0
scenario17,left,80,60,0,60,30,100,20,100,0.8,False,1.309,0
scenario18,right,0,100,100,80,-30,0,0,0,0.4,False,0.744,0
scenario19,right,0,20,80,40,30,80,0,60,1.0,False,1.978,0
scenario20,left,80,40,60,0,-90,60,0,80,0.4,False,1.427,0
scenario21,right,0,80,100,80,-90,60,0,80,0.6,False,0.948,0
scenario22,right,60,40,80,40,-60,40,20,20,1.0,False,0.942,0
scenario23,left,100,20,100,100,-90,0,60,40,0.2,False,1.017,0
scenario24,left,0,20,80,80,30,0,40,100,0.6,False,1.147,0
scenario25,left,60,100,20,0,60,40,100,40,0.8,False,1.38,0
scenario26,left,40,80,40,0,-60,100,80,100,0.1,False,0.981,0
scenario27,right,0,100,20,20,30,20,0,20,0.2,False,2.165,0
scenario28,right,40,0,20,40,-90,20,60,20,0.6,False,0.892,0
scenario29,right,0,0,80,0,90,80,100,100,0.8,False,1.684,0
scenario30,left,100,40,100,0,0,100,100,80,0.1,False,1.392,0
scenario31,left,80,0,0,20,-60,100,40,60,0.6,False,1.019,0
scenario32,right,80,40,40,40,0,100,60,100,0.6,False,0.852,0
scenario33,left,60,100,20,0,90,40,40,80,0.1,False,1.493,0
scenario34,right,100,60,80,40,-60,20,40,80,0.4,False,2.378,0
scenario35,right,100,40,60,20,60,20,20,20,1.0,False,1.691,0
scenario36,left,100,40,20,0,-30,20,0,0,0.6,False,1.375,0
scenario37,right,20,80,20,20,60,80,60,40,0.4,False,1.23,0
scenario38,right,60,20,80,80,-60,20,100,40,0.8,False,0.739,0
scenario39,left,100,80,80,80,-90,20,60,80,0.8,False,1.518,0
scenario40,left,20,100,40,20,90,40,20,40,0.2,False,1.372,0
scenario41,left,20,100,20,100,-90,0,80,40,0.4,False,1.381,0
scenario42,left,20,100,60,40,90,60,20,0,0.2,False,1.358,0
scenario43,right,20,100,100,20,-30,100,100,40,0.6,False,0.873,0
scenario44,left,0,20,20,40,0,0,100,0,0.6,False,1.37,0
scenario45,right,40,100,20,0,-90,100,100,20,0.4,False,0.805,0
scenario46,left,80,40,60,100,90,20,0,0,0.8,False,1.385,0
scenario47,right,40,60,100,80,30,40,80,0,0.1,False,0.649,0
scenario48,left,80,40,20,100,-60,0,60,0,0.8,False,1.452,0
scenario49,left,60,80,80,0,-90,40,40,40,1.0,False,1.404,0
scenario50,right,100,100,20,0,60,100,100,100,0.4,False,0.76,0
scenario51,right,40,80,0,100,0,60,40,40,1.0,False,0.789,0
scenario52,right,80,100,40,40,0,60,40,100,0.4,False,2.315,0
scenario53,right,40,100,0,20,0,40,0,20,0.8,False,0.921,0
scenario54,left,100,60,0,80,30,40,0,60,0.8,False,1.456,0
scenario55,left,40,40,80,40,90,80,60,0,0.4,False,1.282,0
scenario56,right,0,40,80,0,-60,80,20,60,0.2,False,0.902,0
scenario57,right,0,80,40,100,0,60,0,20,0.8,False,1.865,0
scenario58,left,40,20,100,60,90,100,80,100,1.0,False,1.359,0
scenario59,right,80,80,60,80,-60,80,0,60,0.8,False,1.359,0
scenario60,left,40,40,0,60,-90,40,80,60,0.1,False,1.406,0
