Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario1,c4,right,base,left,base,1.0,80,100,40,60,20,100,20,0,2.975094547794873,0
scenario2,c4,left,right,right,base,0.8,40,0,0,20,100,60,40,1,0.0,1
scenario3,c4,right,base,left,right,0.2,100,20,60,100,40,0,60,1,0.0,1
scenario4,c4,left,base,right,base,0.1,60,60,80,0,80,80,0,1,0.0,1
scenario5,c4,right,base,left,base,0.4,20,40,20,40,60,20,80,0,9999.0,0
scenario6,c4,left,right,right,base,0.6,0,80,100,80,0,40,100,0,9999.0,0
scenario7,c2,base,left,right,left,1.0,80,100,40,60,20,100,20,0,3.617910776213808,0
scenario8,c2,right,left,base,left,0.8,40,0,0,20,100,60,20,0,2.383630493198859,0
scenario9,c2,right,base,base,left,0.2,100,20,60,100,40,0,20,0,2.111828930639256,0
scenario10,c2,base,left,right,base,0.8,80,0,0,20,100,100,40,0,3.081690760841808,0
scenario11,c2,base,left,right,left,0.2,40,60,40,0,80,100,20,0,4.932676840434809,0
scenario12,c2,right,left,base,left,0.2,80,100,0,20,60,60,20,0,3.08361888463852,0
scenario13,c2,right,base,base,left,0.8,80,100,40,20,40,0,60,0,2.883153762301419,0
scenario14,c2,base,left,right,base,1.0,100,20,0,20,40,100,60,0,4.077263675501523,0
scenario15,c2,base,left,right,left,1.0,40,100,80,40,0,60,20,0,3.998917033736796,0
scenario16,c2,right,left,base,left,0.8,60,40,40,60,20,60,20,0,2.599470015672055,0
scenario17,c2,right,base,base,left,1.0,80,20,0,100,80,0,0,0,2.3711413395826137,0
scenario18,c2,base,left,right,base,0.2,40,40,0,60,20,100,0,0,3.362882555273636,0
scenario19,c2,base,left,right,left,0.1,80,60,60,20,20,80,20,0,3.5021904876253847,0
scenario20,c2,right,left,base,left,1.0,40,100,40,100,60,100,40,0,3.07721428896162,0
scenario21,c2,right,base,base,left,0.4,40,80,20,60,20,0,20,0,3.178290360422576,0
scenario22,c1,base,right,left,right,1.0,20,0,40,80,20,20,20,0,4.6417036284674325,0
scenario23,c2,base,left,right,base,0.2,100,100,40,60,20,60,40,0,3.660181913609384,0
scenario24,c1,left,right,base,left,0.1,80,40,60,0,0,100,80,1,0.0,1
scenario25,c2,base,left,right,left,0.2,0,0,100,60,100,40,20,0,4.938535839279129,0
scenario26,c2,right,left,base,left,1.0,80,80,80,40,100,0,40,1,0.0,1
scenario27,c2,right,base,base,left,0.8,100,100,80,40,100,100,0,1,0.0,1
scenario28,c2,base,left,right,base,0.2,60,100,60,60,80,100,60,0,4.163264154528315,0
scenario29,c2,base,left,right,left,1.0,40,60,0,0,20,60,60,0,3.339782498082526,0
scenario30,c2,right,left,base,left,0.1,100,0,40,20,100,0,0,0,2.3613049948128744,0
scenario31,c2,right,base,base,left,0.6,20,80,20,60,40,100,20,0,3.420851373544665,0
scenario32,c2,base,left,right,base,0.8,40,20,40,100,40,60,0,0,4.023469764001229,0
