Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario1,c2,right,base,base,left,0.4,100,20,20,60,40,0,100,0,9999.0,0
scenario2,c1,base,right,left,right,0.2,40,100,100,80,60,60,60,0,5.260214244601155,0
scenario3,c2,base,left,right,base,0.4,20,0,40,0,80,20,40,0,4.088079604870568,0
scenario4,c4,right,base,left,base,1.0,0,40,60,60,20,100,0,0,2.995024159181392,0
scenario5,c1,left,right,base,right,0.1,80,60,80,40,0,80,20,0,2.771118834437513,0
scenario6,c2,base,left,right,left,0.6,60,80,60,20,100,40,80,0,4.897112939154505,0
scenario7,c1,left,right,base,right,0.4,60,40,0,20,60,80,0,0,2.658219122331783,0
scenario8,c4,left,base,right,base,0.8,40,100,80,20,80,0,20,1,0.0,1
scenario9,c2,base,left,right,left,0.2,0,80,0,100,0,20,100,0,3.395696086524404,0
scenario10,c1,base,left,left,right,0.8,80,20,100,0,40,100,80,0,4.862738730097702,0
scenario11,c1,base,right,left,right,1.0,100,0,20,100,100,60,20,0,4.8770781887931305,0
scenario12,c2,base,left,right,left,1.0,80,80,40,40,60,0,40,0,4.596515682490827,0
scenario13,c4,right,base,left,base,0.6,20,60,0,40,20,60,80,0,3.106157072612291,0
scenario14,c4,left,right,right,base,0.1,100,100,100,100,20,40,40,1,0.0,1
scenario15,c2,right,left,base,left,1.0,60,60,80,60,80,20,60,0,2.569258840076503,0
scenario16,c2,base,left,right,left,0.1,0,0,40,20,40,80,60,0,4.976231708327305,0
scenario17,c2,right,base,base,left,0.2,40,60,40,100,100,100,0,0,3.280325541523982,0
scenario18,c1,base,right,left,right,0.8,0,40,20,40,80,40,100,0,9999.0,0
scenario19,c1,left,right,base,right,0.6,20,20,60,80,40,20,20,0,5.328815892906263,0
scenario20,c2,right,base,base,left,0.4,0,80,80,0,60,60,20,0,3.064368346144976,0
scenario21,c1,left,right,base,left,0.8,20,80,100,60,20,80,20,0,4.674239477964794,0
scenario22,c1,base,right,left,right,0.6,100,40,40,80,0,0,80,0,4.683170585826868,0
scenario23,c4,right,base,left,base,0.8,60,0,80,80,100,100,40,0,2.7778755571387297,0
scenario24,c2,base,left,right,base,0.1,40,100,20,60,60,20,80,0,3.279848295331691,0
scenario25,c2,base,left,right,base,0.2,80,40,100,20,40,60,40,0,2.167949614850495,0
