Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,c1,base,left,left,right,0,60,40,0,0,60,80,0.8,False,3.048,0
scenario2,c2,base,left,right,left,0,20,20,40,80,40,100,0.2,False,3.722,0
scenario3,c1,left,right,base,left,60,0,80,60,0,0,40,1.0,False,1332.511,0
scenario4,c2,right,left,base,left,0,0,100,20,20,0,40,0.6,False,3.327,0
scenario5,c4,right,base,left,base,40,60,0,40,40,80,60,0.2,False,3.361,0
scenario6,c4,right,base,left,right,0,60,100,80,60,100,80,1.0,True,0.0,1
scenario7,c4,right,base,left,base,80,100,60,40,80,0,100,0.2,False,2.409,0
scenario8,c4,left,right,right,base,60,100,40,20,40,40,80,0.6,True,0.0,1
scenario9,c1,base,right,left,right,60,80,40,0,20,80,0,1.0,False,7.187,0
scenario10,c2,right,left,base,left,40,20,60,80,80,100,0,1.0,False,9999.0,0
scenario11,c2,base,left,right,base,100,100,20,80,60,20,20,0.8,False,3.226,0
scenario12,c2,base,left,right,base,60,0,0,20,60,20,0,0.4,False,3.276,0
scenario13,c4,right,base,left,base,80,100,60,40,80,0,100,0.2,False,2.504,0
scenario14,c4,right,base,left,base,80,100,80,40,80,20,100,0.4,False,2.967,0
scenario15,c4,right,base,left,base,0,100,60,20,80,0,100,0.4,False,2.925,0
scenario16,c4,left,base,right,base,60,100,60,20,100,0,100,0.2,True,0.0,1
scenario17,c4,left,right,right,base,60,100,40,20,80,0,100,0.1,True,0.0,1
scenario18,c4,right,base,left,right,60,100,60,60,60,80,100,0.8,True,0.0,1
scenario19,c4,right,base,left,base,80,100,40,40,100,20,20,0.6,False,2.86,0
scenario20,c2,base,left,right,base,100,100,40,40,60,100,100,0.2,False,2.467,0
scenario21,c2,base,left,right,base,40,80,40,20,60,20,100,0.2,False,3.254,0
scenario22,c4,left,right,right,base,80,40,80,40,60,0,100,0.2,False,2.599,0
scenario23,c2,right,left,base,left,100,100,100,40,0,20,80,0.1,False,9999.0,0
scenario24,c4,left,base,right,base,0,80,100,40,80,0,100,0.4,False,2.631,0
scenario25,c4,left,base,right,base,60,100,60,20,100,0,100,0.2,True,0.0,1
scenario26,c4,left,base,right,base,80,80,60,0,0,20,100,0.1,False,9999.0,0
scenario27,c1,base,left,left,right,80,100,100,20,40,40,100,0.6,False,4.997,0
scenario28,c4,right,base,left,base,0,80,100,20,100,0,80,0.2,False,1.995,0
scenario29,c4,left,right,right,base,60,100,40,20,80,20,100,0.1,True,0.0,1
scenario30,c2,right,left,base,left,60,40,80,100,20,0,100,0.8,False,3.171,0
scenario31,c2,base,left,right,base,0,100,60,20,60,0,40,0.6,False,3.314,0
scenario32,c2,base,left,right,base,40,40,40,20,60,20,80,0.2,False,4.113,0
scenario33,c2,right,left,base,left,80,40,60,20,60,0,20,0.4,False,3.407,0
scenario34,c1,base,right,left,right,40,100,60,20,80,20,100,0.2,False,3.672,0
scenario35,c4,left,right,right,base,60,60,60,20,20,20,100,0.2,True,0.0,1
scenario36,c2,right,base,base,left,0,80,100,40,80,0,100,0.4,False,2.404,0
scenario37,c4,left,base,right,base,60,100,60,20,100,0,100,0.2,False,1.977,0
scenario38,c2,base,left,right,base,0,80,80,40,80,0,100,1.0,False,4.053,0
scenario39,c4,right,base,left,base,60,80,60,20,80,20,80,0.4,False,2.202,0
scenario40,c2,base,left,right,base,0,100,40,60,60,0,40,0.6,False,2.943,0
scenario41,c4,right,base,left,base,100,40,20,0,60,20,20,0.4,False,2.716,0
scenario42,c2,right,base,base,left,0,100,80,80,80,20,100,0.4,False,2.494,0
scenario43,c2,right,left,base,left,40,100,100,40,80,0,100,0.6,False,2.32,0
scenario44,c4,right,base,left,base,40,80,100,80,80,0,60,0.4,False,2.81,0
