Instances,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario1,0,80,0,0,100,0.1,0,100,0,0,0,c1,1e-05,base,left,left,right,0,4.227148843464197,0
scenario2,60,60,60,100,40,0.6,100,0,0,0,0,c2,1e-05,base,left,right,left,1,0.0,1
scenario3,20,20,20,80,0,0.6,0,100,0,0,0,c4,1e-05,right,base,left,right,1,0.0,1
scenario4,20,100,0,0,0,0.2,80,20,0,0,20,c1,1e-05,left,right,base,left,0,2.4666939931737706,0
scenario5,20,40,100,0,80,0.4,40,60,0,0,20,c2,1e-05,right,left,base,left,0,2.471367047331228,0
scenario6,60,40,20,80,100,0.6,20,80,0,0,20,c4,1e-05,right,base,left,base,0,3.0610938564264263,0
scenario7,60,100,0,0,0,0.0,0,100,0,0,40,c1,1e-05,base,right,left,right,0,9999.0,0
scenario8,80,80,0,20,100,0.6,80,20,0,0,40,c2,1e-05,right,base,base,left,0,2.843999644837962,0
scenario9,40,20,20,0,40,0.8,20,80,0,0,40,c4,1e-05,left,base,right,base,1,0.0,1
scenario10,40,100,60,100,40,0.6,0,100,0,0,60,c1,1e-05,left,right,base,right,0,548.7363912451395,0
scenario11,60,20,20,20,0,0.8,100,0,0,0,60,c2,1e-05,base,left,right,base,0,2.9334810787621137,0
scenario12,20,100,100,0,80,0.8,100,0,0,0,60,c4,1e-05,left,right,right,base,1,0.0,1
scenario13,40,20,100,100,40,0.6,20,80,0,0,80,c1,1e-05,base,left,left,right,0,3.7212462544341154,0
scenario14,20,100,20,40,60,0.8,40,60,0,0,80,c2,1e-05,base,left,right,left,0,4.934750263215414,0
scenario15,80,60,0,0,100,0.4,20,80,0,0,80,c4,1e-05,right,base,left,right,0,0.8984427613819254,0
scenario16,40,80,100,0,0,0.8,80,20,0,0,100,c1,1e-05,left,right,base,left,0,1.9561281629843343,0
scenario17,20,20,40,0,100,0.2,100,0,0,0,100,c2,1e-05,right,left,base,left,1,0.0,1
scenario18,0,40,0,100,40,0.6,80,20,0,0,100,c4,1e-05,right,base,left,base,0,2.0614329074249924,0
scenario19,80,20,0,100,40,0.6,80,20,0,20,0,c1,1e-05,base,right,left,right,0,2.28559596355055,0
scenario20,20,20,20,60,40,0.6,100,80,0,20,0,c2,1e-05,right,base,base,left,0,2.781668495953942,0
scenario21,80,60,40,40,0,0.8,40,60,0,20,0,c4,1e-05,left,base,right,base,0,1.741539272393119,0
scenario22,80,20,0,0,60,0.2,80,20,0,20,20,c1,1e-05,left,right,base,right,0,2.176311708395709,0
scenario23,20,100,20,0,80,0.8,100,0,0,20,20,c2,1e-05,base,left,right,base,0,2.526347305567468,0
scenario24,20,20,100,0,0,0.8,0,100,0,20,20,c4,1e-05,left,right,right,base,0,9999.0,0
scenario25,0,40,0,20,40,0.8,80,20,0,20,40,c1,1e-05,base,left,left,right,0,3.5867423883532594,0
scenario26,60,100,40,100,60,0.6,60,40,0,20,40,c2,1e-05,base,left,right,left,0,4.000861497990734,0
scenario27,80,100,0,80,60,0.6,0,100,0,20,40,c4,1e-05,right,base,left,right,1,0.0,1
scenario28,80,20,20,60,40,0.6,0,100,0,20,60,c1,1e-05,left,right,base,left,0,2316.3366164279764,0
scenario29,20,60,60,0,80,0.4,0,100,0,20,60,c2,1e-05,right,left,base,left,0,4.122716030680595,0
scenario30,20,100,0,0,80,0.4,0,20,0,20,60,c4,1e-05,right,base,left,base,0,2.9837007104862425,0
scenario31,0,80,0,100,40,0.6,0,100,0,20,80,c1,1e-05,base,right,left,right,1,0.0,1
scenario32,60,100,0,60,40,0.6,100,0,0,20,80,c2,1e-05,right,base,base,left,1,0.0,1
scenario33,20,20,0,20,100,0.2,40,60,0,20,80,c4,1e-05,left,base,right,base,1,0.0,1
scenario34,60,100,80,0,100,0.2,40,60,0,20,100,c1,1e-05,left,right,base,right,0,3.6857758964519416,0
scenario35,20,80,60,80,0,0.6,40,60,0,20,100,c2,1e-05,base,left,right,base,0,4.37157445971172,0
scenario36,20,20,0,40,0,0.8,40,60,0,20,100,c4,1e-05,left,right,right,base,1,0.0,1
