Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c4,base,20,0.8,20,right,0,100,60,base,40,20,left,0,1.8900210083760085,0
scenario2,c2,left,100,0.2,100,base_left_lane,60,20,40,left,20,0,right,0,9999.0,0
scenario3,c2,left,40,0.8,40,base_left_lane,80,100,80,left,80,40,right,0,3.0796510321229285,0
scenario4,c2,left,40,0.2,0,right,60,80,0,base,80,40,base,0,3.968083310901363,0
scenario5,c2,left,0,0.1,40,base_left_lane,20,40,20,left,80,100,right,0,3.62650843805401,0
scenario6,c2,left,0,0.6,40,right,80,20,60,base,60,0,base,0,3.242317159727574,0
scenario7,c4,base,0,0.6,20,left,80,40,40,base,60,60,right,0,3.49344410039308,0
scenario8,c2,left,40,0.4,80,right,100,0,80,left,20,0,base,0,4.664933594610432,0
scenario9,c2,left,20,0.1,20,base_left_lane,100,20,40,left,80,20,right,0,3.1052720294182428,0
scenario10,c4,base,20,0.2,40,right,60,60,60,base,100,0,left,0,2.2243678707637744,0
scenario11,c1,right,80,0.1,60,base_left_lane,60,80,20,left,100,80,left,0,2.199189993438748,0
scenario12,c2,left,40,0.4,0,base_left_lane,40,0,100,left,60,0,right,0,2.4911846152457504,0
scenario13,c2,left,80,0.6,0,base_left_lane,100,40,0,left,100,0,right,0,6.423700731387259,0
scenario14,c2,left,0,0.4,40,right,80,20,80,base,100,60,base,0,3.0116817220919083,0
scenario15,c1,right,0,0.4,20,left,100,20,0,right,100,40,base,0,9999.0,0
scenario16,c1,left,80,0.6,80,left,40,40,40,right,20,0,base,0,8.229905503895116,0
scenario17,c1,right,40,0.6,0,left,100,0,0,right,20,0,base,0,9999.0,0
scenario18,c1,right,80,0.6,100,base,100,80,60,right,0,0,left,0,7.288260453893747,0
scenario19,c4,right,0,1.0,20,right,80,40,40,base,80,80,left,0,2.120605711523063,0
scenario20,c4,base,80,0.6,60,right,60,80,40,base,40,60,left,0,2.403891163899388,0
scenario21,c1,right,80,1.0,60,left,80,40,100,right,60,80,base,0,4.406580374635701,0
scenario22,c1,right,0,0.1,80,base_left_lane,80,80,20,left,100,100,left,1,0.0,1
scenario23,c2,base,20,1.0,0,base_left_lane,40,40,80,left,40,40,right,0,2.5384851024302884,0
scenario24,c1,right,0,0.1,100,base,0,0,100,right,80,0,left,0,3.0545477328930075,0
scenario25,c1,left,80,0.4,20,left,40,100,40,right,40,40,base,0,4.8750119504285125,0
scenario26,c2,left,80,0.1,80,base_left_lane,0,100,60,left,20,20,right,0,5.972531864411852,0
scenario27,c4,base,20,0.8,0,right,100,80,60,base,40,80,left,1,0.0,1
scenario28,c4,base,80,0.4,60,right,20,0,20,base,20,60,left,0,1.9119469000991616,0
scenario29,c4,base,60,1.0,60,right,0,40,80,base,60,60,left,0,2.073328865512415,0
scenario30,c4,base,0,0.2,0,right,60,100,100,base,80,40,left,0,2.3769317444653604,0
scenario31,c4,base,100,0.8,40,right,80,20,20,base,80,20,left,0,1.847334716887426,0
scenario32,c4,base,80,1.0,20,left,80,60,80,right,60,0,right,1,0.0,1
scenario33,c4,base,100,0.1,60,left,40,80,40,right,40,100,right,0,0.9046119551150756,0
scenario34,c1,left,40,0.1,40,left,80,0,20,right,60,20,base,0,8.635452073128404,0
scenario35,c2,left,40,0.6,60,right,60,80,20,left,20,60,base,0,6.910343704823704,0
scenario36,c1,left,20,0.4,20,left,20,40,40,right,100,40,base,0,7.567506721188038,0
scenario37,c2,base,80,1.0,40,base_left_lane,80,80,60,left,80,20,right,0,3.110900382763469,0
scenario38,c4,base,40,0.1,40,right,60,20,0,base,80,100,left,0,9999.0,0
scenario39,c1,left,40,0.2,60,left,100,40,40,right,100,60,base,0,4.776823418601393,0
scenario40,c4,base,20,0.8,0,left,40,20,40,base,60,100,right,0,2.91672004043299,0
scenario41,c1,right,0,1.0,0,left,60,100,60,right,60,40,base,0,4.728506169448465,0
scenario42,c2,left,80,0.1,60,right,60,60,100,left,40,80,base,0,4.296248989766168,0
scenario43,c4,base,80,0.1,0,right,20,80,80,base,100,40,left,1,0.0,1
scenario44,c1,right,40,0.8,60,left,60,0,100,right,40,20,base,0,5.371282289147756,0
scenario45,c1,right,0,0.6,100,left,80,100,0,right,0,80,base,0,9999.0,0
scenario46,c2,left,80,0.4,60,base_left_lane,0,20,60,left,40,100,right,0,3.0786841803394047,0
scenario47,c4,base,60,0.2,60,right,80,40,100,base,40,0,left,0,2.030502142232953,0
scenario48,c4,base,0,0.4,100,left,40,40,60,right,20,20,right,1,0.0,1
scenario49,c1,right,60,0.8,60,left,20,20,20,right,60,100,base,0,4.136597066968824,0
scenario50,c4,base,60,0.1,80,right,40,20,20,base,80,40,left,0,9999.0,0
scenario51,c1,right,100,0.4,0,left,100,100,80,right,0,80,base,0,4.729454103351839,0
scenario52,c4,base,100,0.2,80,right,100,80,40,base,20,40,left,0,2.3936817837342264,0
scenario53,c1,right,80,0.4,40,base,100,80,0,right,0,100,left,0,3.0839557633142696,0
scenario54,c2,base,80,0.6,80,base_left_lane,80,40,100,left,40,100,right,0,5.332963016481234,0
scenario55,c1,left,60,0.2,60,left,40,80,40,right,100,60,base,0,5.129138222298471,0
scenario56,c1,right,0,0.1,80,left,80,60,80,right,20,0,base,0,5.22244057490764,0
scenario57,c1,right,20,0.4,60,base_left_lane,80,100,80,left,0,0,left,0,1.7141030525176997,0
scenario58,c2,left,60,0.2,0,base_left_lane,100,20,80,left,60,40,right,0,2.494849164168821,0
scenario59,c4,right,60,1.0,20,right,0,80,40,base,0,0,left,0,2.1218293565959194,0
scenario60,c2,base,40,0.2,80,base_left_lane,80,40,100,left,20,20,right,0,5.737381471417779,0
scenario61,c4,base,0,0.4,80,right,60,80,20,base,40,20,left,1,0.0,1
scenario62,c4,base,100,0.8,60,right,40,40,80,base,80,60,left,0,2.500928231796543,0
scenario63,c4,base,80,0.1,80,left,60,60,20,base,0,100,right,0,3.3754601571430527,0
scenario64,c2,left,80,1.0,20,right,40,100,40,base,40,40,base,0,2.4778202136934704,0
scenario65,c1,right,60,0.4,0,base,40,0,100,right,40,80,left,0,2.6882981318550128,0
scenario66,c2,base,20,0.1,20,base_left_lane,60,60,40,left,0,60,right,0,3.237574693033104,0
scenario67,c4,right,100,0.6,20,right,0,0,80,base,60,20,left,0,2.522624909413478,0
scenario68,c4,base,100,0.8,0,left,80,80,80,right,100,0,right,1,0.0,1
scenario69,c4,right,80,0.8,60,right,100,80,40,base,100,60,left,0,1.9945965072631973,0
scenario70,c4,base,80,0.6,20,right,40,100,60,base,20,40,left,1,0.0,1
scenario71,c1,right,40,0.4,20,base,0,60,0,right,40,80,left,0,4528.066733681084,0
scenario72,c1,right,40,1.0,20,left,40,80,80,right,0,60,base,0,4.922062610794696,0
scenario73,c1,right,0,0.6,80,left,0,40,80,right,60,100,base,0,4.865347264563363,0
scenario74,c1,right,80,1.0,0,left,80,0,60,right,60,20,base,0,4.592076552423593,0
scenario75,c1,right,0,0.2,60,left,40,60,60,right,100,0,base,0,4.732903636621351,0
scenario76,c1,left,40,0.1,0,left,0,60,60,right,40,20,base,0,3.859811869841413,0
scenario77,c2,left,80,0.6,20,base_left_lane,40,100,20,left,20,100,right,0,3.072829882537413,0
scenario78,c1,right,80,1.0,0,left,80,0,100,right,60,20,base,0,2.8363505777960247,0
scenario79,c2,left,60,0.8,80,base_left_lane,60,0,20,left,0,40,right,0,9999.0,0
scenario80,c2,base,100,0.6,20,base_left_lane,60,100,60,left,40,60,right,0,2.950084624316893,0
scenario81,c4,base,40,0.1,20,right,0,40,40,base,40,40,left,0,2.065529790893576,0
scenario82,c1,right,100,0.4,0,base_left_lane,80,80,20,left,20,60,left,0,2.1186734805648784,0
scenario83,c1,left,80,0.2,100,left,20,20,20,right,20,100,base,0,4.769917524292805,0
scenario84,c2,left,60,0.1,20,right,80,100,40,base,60,100,base,0,4.213993131806224,0
scenario85,c2,left,80,0.4,80,base_left_lane,100,40,0,left,100,100,right,0,5.960269877858572,0
scenario86,c2,left,60,0.2,0,base_left_lane,40,40,80,left,60,80,right,0,2.817173067676257,0
scenario87,c1,right,40,0.2,60,left,0,60,80,right,40,100,base,0,5.304819292514525,0
scenario88,c1,left,40,0.6,40,left,40,60,40,right,100,40,base,0,4.582326084643171,0
scenario89,c4,base,20,0.2,20,right,60,100,80,base,20,100,left,0,1.90265567282697,0
scenario90,c4,base,100,0.6,100,left,80,60,40,right,80,80,right,0,0.8284001726009024,0
scenario91,c4,base,80,0.2,20,right,20,0,100,base,60,20,left,0,2.3354605654335594,0
scenario92,c4,base,80,0.1,100,right,20,80,80,base,40,20,left,0,1.538394843487042,0
scenario93,c2,left,20,0.1,80,right,80,80,40,left,100,60,base,0,4.989000523409264,0
scenario94,c4,base,20,1.0,0,right,60,20,0,base,40,60,left,0,9617.801867741444,0
scenario95,c4,base,100,0.2,40,right,40,0,100,base,0,60,left,0,2.0688590083773857,0
scenario96,c1,right,0,1.0,0,base,80,20,20,right,80,100,left,0,3.003256417149895,0
scenario97,c4,base,80,0.1,20,right,40,60,80,base,80,40,left,0,2.3467762738794864,0
scenario98,c4,base,100,0.4,100,right,0,20,40,base,100,20,left,0,9999.0,0
scenario99,c4,base,0,1.0,80,left,60,100,0,base,0,40,right,0,2.6906989752745827,0
scenario100,c2,base,60,0.8,0,base_left_lane,0,0,0,left,60,100,right,0,2.0879730868480766,0
scenario101,c1,right,20,0.2,60,left,100,40,40,right,80,0,base,0,3.5871994816508868,0
scenario102,c2,base,100,0.2,0,base_left_lane,80,40,0,left,60,40,right,0,9999.0,0
scenario103,c1,left,100,0.2,20,left,80,20,40,right,100,80,base,0,5.068675576812935,0
scenario104,c1,right,60,0.4,0,left,20,60,80,right,80,60,base,0,3.708187971333731,0
scenario105,c1,right,60,0.6,60,base,40,60,100,right,60,0,left,0,3.0006741512276496,0
scenario106,c1,right,20,1.0,100,left,0,60,100,right,20,40,base,0,9999.0,0
scenario107,c2,left,80,0.4,60,base_left_lane,20,80,40,left,20,20,right,0,3.444979034872576,0
scenario108,c1,right,0,0.2,100,left,100,60,60,right,80,20,base,0,9999.0,0
scenario109,c1,right,60,0.6,0,left,60,100,60,right,100,20,base,0,5.099176760945824,0
scenario110,c4,base,0,0.4,100,right,40,40,20,base,0,100,left,0,9999.0,0
scenario111,c1,right,40,0.2,0,left,80,20,60,right,100,80,base,0,4.293442020256353,0
scenario112,c2,base,20,0.1,100,base_left_lane,60,40,100,left,60,0,right,0,9999.0,0
scenario113,c1,right,100,1.0,20,left,60,80,0,right,100,100,base,0,9999.0,0
scenario114,c4,base,60,0.1,60,left,80,20,60,base,100,100,right,0,3.137216567012775,0
scenario115,c2,left,60,0.2,80,base_left_lane,80,100,40,left,100,60,right,0,6.257333727891991,0
scenario116,c1,right,20,0.1,80,left,100,60,40,right,20,0,base,0,4.70229544444903,0
scenario117,c4,base,80,0.1,40,left,40,40,100,base,0,100,right,0,3.151111694636642,0
scenario118,c1,right,100,0.6,80,left,40,40,80,right,20,80,base,0,4.849992245684917,0
scenario119,c2,left,20,0.6,60,base_left_lane,80,80,20,left,20,60,right,0,9999.0,0
scenario120,c1,left,80,0.4,0,left,40,60,80,right,0,20,base,0,2.826691082290038,0
scenario121,c4,base,100,0.1,0,left,80,20,80,base,100,40,right,0,2.9253863662091244,0
scenario122,c4,base,60,0.4,100,right,80,20,0,base,20,40,left,0,9999.0,0
scenario123,c2,base,60,0.4,100,base_left_lane,100,60,0,left,0,100,right,0,5.934094073969705,0
scenario124,c4,base,0,0.8,80,right,100,20,100,base,20,100,left,1,0.0,1
scenario125,c2,left,40,0.8,40,base_left_lane,100,60,60,left,0,0,right,0,2.9959579360275423,0
scenario126,c4,base,0,0.6,80,right,100,0,80,base,20,100,left,0,2.1963093330379087,0
scenario127,c1,right,40,0.6,0,base,0,0,60,right,0,100,left,0,2.9795466907230104,0
scenario128,c2,base,100,0.1,40,base_left_lane,20,0,80,left,80,40,right,0,3.042898538265237,0
scenario129,c4,right,100,0.6,20,right,0,60,20,base,20,40,left,0,1.990707310044735,0
scenario130,c4,base,40,0.4,60,left,40,80,40,right,0,100,right,1,0.0,1
scenario131,c1,right,0,0.4,20,base,80,80,0,right,40,80,left,0,9999.0,0
scenario132,c4,right,0,1.0,100,right,40,80,0,base,40,100,left,0,9999.0,0
scenario133,c4,base,0,0.4,100,right,60,20,40,base,100,0,left,0,9999.0,0
scenario134,c1,right,80,0.4,0,left,0,80,60,right,40,40,base,0,4.946576902432347,0
scenario135,c1,left,60,0.1,40,left,60,60,40,right,100,40,base,0,5.178004840923561,0
scenario136,c1,right,20,0.2,40,left,0,80,40,right,0,0,base,0,5.225535003892204,0
scenario137,c1,left,80,0.2,40,left,60,40,100,right,0,40,base,0,4.568040629179612,0
scenario138,c1,right,0,1.0,0,base_left_lane,0,100,20,left,60,20,left,0,1.740862010740969,0
scenario139,c1,left,80,0.6,20,left,80,60,100,right,40,20,base,0,3.060636142278735,0
scenario140,c1,right,80,0.6,40,left,0,60,40,right,0,0,base,0,5.364733132528451,0
scenario141,c2,left,20,0.6,40,right,0,60,40,left,40,0,base,0,3.5493010082960863,0
scenario142,c4,base,100,0.2,60,right,60,20,0,base,100,40,left,0,9999.0,0
scenario143,c4,base,0,1.0,40,left,80,20,60,right,80,80,right,0,0.9190007093946516,0
scenario144,c2,left,60,0.1,40,base_left_lane,40,60,60,left,60,0,right,0,3.3364367075476355,0
scenario145,c4,base,100,1.0,20,right,80,40,100,base,60,80,left,0,2.0794552496536576,0
scenario146,c2,left,60,0.4,60,base_left_lane,60,80,60,left,60,60,right,0,3.259873919351652,0
scenario147,c1,right,0,0.8,80,base,0,80,20,right,80,0,left,0,7.228574893991658,0
scenario148,c2,left,20,1.0,100,base_left_lane,20,100,20,left,60,0,right,0,9999.0,0
scenario149,c1,right,100,0.4,100,left,60,40,20,right,0,80,base,0,9999.0,0
scenario150,c1,left,100,0.4,100,left,80,60,60,right,0,80,base,0,5.189043721947168,0
