Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c2,left,20,0.4,0,right,0,40,0,left,80,20,base,0,4.826061490650254,0
scenario2,c4,right,40,1.0,20,right,80,100,60,base,0,20,left,1,0.0,1
scenario3,c2,left,0,0.6,0,base_left_lane,0,100,100,left,0,40,right,0,2.173488931805456,0
scenario4,c1,right,80,0.1,80,left,0,60,100,right,100,20,base,0,4.347202160350484,0
scenario5,c2,left,0,0.1,20,right,20,20,60,base,20,40,base,0,2.784695424306042,0
scenario6,c2,base,40,1.0,60,base_left_lane,80,0,0,left,40,80,right,0,3.30881171103948,0
scenario7,c4,base,20,1.0,40,left,40,0,100,right,80,80,right,1,0.0,1
scenario8,c4,base,80,0.6,0,right,100,100,60,base,40,100,left,1,0.0,1
scenario9,c2,left,60,1.0,60,right,0,80,20,base,60,100,base,0,4.192819559237733,0
scenario10,c2,base,100,0.8,0,base_left_lane,20,100,80,left,20,80,right,0,2.1743230171711554,0
scenario11,c1,right,100,0.2,60,left,40,0,40,right,0,100,base,0,4.0388802990298185,0
scenario12,c4,base,20,0.4,40,right,80,60,80,base,0,100,left,1,0.0,1
scenario13,c1,left,20,1.0,60,left,20,0,80,right,0,0,base,0,4.629235657220272,0
scenario14,c1,right,100,0.8,20,base,60,80,80,right,20,40,left,0,2.7215891003217707,0
scenario15,c1,right,100,0.6,40,base_left_lane,40,60,60,left,60,60,left,1,0.0,1
scenario16,c4,right,20,0.8,20,right,0,20,80,base,80,60,left,1,0.0,1
scenario17,c4,base,0,0.4,80,left,100,80,20,base,100,100,right,0,2.23697297858594,0
scenario18,c2,left,100,0.1,100,right,100,60,40,base,60,0,base,0,3.675088779965189,0
scenario19,c4,base,0,0.8,40,left,40,0,80,base,20,100,right,0,3.106126195082104,0
scenario20,c2,base,60,0.2,60,base_left_lane,60,80,0,left,40,40,right,0,4.511672269402699,0
scenario21,c4,base,40,0.2,100,left,0,80,60,right,60,0,right,1,0.0,1
scenario22,c1,left,80,0.2,80,left,60,60,100,right,40,60,base,0,2.8430158221789443,0
scenario23,c4,right,60,0.4,100,right,40,40,40,base,40,60,left,0,9999.0,0
scenario24,c1,right,20,0.8,60,left,40,100,100,right,80,80,base,0,4.7506453350023135,0
scenario25,c4,base,0,0.8,0,left,40,60,20,right,60,100,right,1,0.0,1
scenario26,c1,right,60,0.1,100,base,20,40,20,right,40,80,left,0,4722.8452434954415,0
scenario27,c2,left,60,0.1,0,right,60,20,20,left,100,40,base,0,5.762056809437437,0
scenario28,c4,base,80,0.6,40,left,60,80,0,base,20,80,right,0,2.8469502152015376,0
scenario29,c1,right,60,0.2,0,base_left_lane,80,0,80,left,80,60,left,1,0.0,1
scenario30,c4,base,20,0.6,100,left,100,40,0,right,80,40,right,1,0.0,1
scenario31,c1,right,40,0.2,20,base,60,40,40,right,0,20,left,0,2.942917941174,0
scenario32,c1,left,100,0.1,100,left,80,60,60,right,20,0,base,0,9999.0,0
scenario33,c1,right,20,0.6,40,left,0,60,20,right,20,20,base,0,3.685492615591924,0
scenario34,c2,left,80,0.6,60,right,20,80,100,base,60,100,base,0,4.021040296291318,0
scenario35,c4,base,40,0.1,40,left,0,100,100,base,60,0,right,0,2.5444403740078405,0
scenario36,c4,base,60,0.6,0,right,40,80,20,base,0,100,left,1,0.0,1
scenario37,c2,left,40,0.1,80,base_left_lane,80,40,0,left,100,20,right,0,5.795998613459547,0
scenario38,c4,base,60,0.8,0,left,40,40,100,right,40,40,right,0,0.9097544959566788,0
scenario39,c1,right,80,0.6,100,base_left_lane,100,80,0,left,20,80,left,0,2124.175053653326,0
scenario40,c2,left,60,0.6,80,right,40,20,60,left,100,60,base,0,4.949430354663397,0
scenario41,c1,right,0,0.2,20,base_left_lane,20,0,60,left,0,20,left,1,0.0,1
scenario42,c2,base,20,0.8,0,base_left_lane,0,100,60,left,100,100,right,0,2.316398171641834,0
scenario43,c1,right,0,0.1,60,left,0,20,20,right,80,0,base,0,4.670438602089972,0
scenario44,c2,left,60,0.2,60,right,60,20,20,base,100,100,base,0,3.412289178786432,0
scenario45,c2,left,80,0.2,80,right,60,0,80,left,20,60,base,0,5.601328084238203,0
scenario46,c2,left,60,0.1,100,right,20,60,100,base,80,0,base,0,3.311849388434918,0
scenario47,c2,left,0,0.8,20,right,60,20,60,base,60,40,base,0,3.4575021020800043,0
scenario48,c1,right,100,0.4,60,base,40,20,100,right,20,100,left,0,2.917956443108678,0
scenario49,c4,base,20,0.2,40,right,40,20,20,base,40,100,left,1,0.0,1
scenario50,c2,left,0,0.8,40,base_left_lane,60,20,40,left,20,80,right,0,3.3448286819791546,0
scenario51,c4,base,40,0.2,0,left,60,80,40,right,40,20,right,0,1.0288619968171755,0
scenario52,c4,base,20,0.2,0,left,0,60,0,base,0,0,right,0,2.33558983870158,0
scenario53,c1,right,80,1.0,100,left,100,40,40,right,100,80,base,0,3.5579902448432827,0
scenario54,c1,right,80,0.1,100,left,20,60,80,right,20,80,base,0,9999.0,0
scenario55,c4,base,20,0.1,0,right,40,80,0,base,60,100,left,1,0.0,1
scenario56,c4,right,60,0.1,60,right,80,20,20,base,80,100,left,1,0.0,1
scenario57,c1,left,20,1.0,100,left,0,60,80,right,100,20,base,0,9999.0,0
scenario58,c4,right,40,1.0,0,right,80,80,80,base,100,20,left,1,0.0,1
scenario59,c2,base,20,0.4,100,base_left_lane,20,100,100,left,40,60,right,0,5.526515871004422,0
scenario60,c1,left,40,1.0,40,left,100,20,20,right,80,40,base,0,9999.0,0
scenario61,c1,right,100,0.8,80,base_left_lane,40,100,80,left,80,0,left,1,0.0,1
scenario62,c2,base,60,0.1,80,base_left_lane,0,60,0,left,80,40,right,0,9999.0,0
scenario63,c1,right,80,0.8,60,base,60,40,40,right,40,0,left,0,3.801914369334311,0
scenario64,c1,right,0,0.4,80,base_left_lane,40,0,60,left,0,60,left,1,0.0,1
scenario65,c2,base,40,0.8,100,base_left_lane,100,0,40,left,20,20,right,0,6.208844651716567,0
scenario66,c4,base,80,0.4,20,left,20,40,0,base,0,100,right,0,2.29226015292381,0
scenario67,c4,right,100,0.8,40,right,0,0,80,base,100,60,left,1,0.0,1
scenario68,c2,left,100,0.8,0,right,20,100,20,left,20,80,base,0,3.651122165209311,0
scenario69,c1,right,100,0.6,80,left,80,100,20,right,60,80,base,0,4.521286123770044,0
scenario70,c4,base,0,1.0,40,right,0,0,60,base,60,60,left,1,0.0,1
scenario71,c1,left,60,0.1,40,left,60,60,100,right,60,40,base,0,4.156895889983149,0
scenario72,c4,base,60,0.4,80,left,20,0,60,right,20,40,right,0,0.7792005172517924,0
scenario73,c4,base,60,0.1,0,left,0,100,100,base,80,20,right,0,1.9272561754463056,0
scenario74,c1,right,0,0.2,40,base_left_lane,60,100,60,left,40,100,left,1,0.0,1
scenario75,c4,base,0,0.2,100,left,60,60,40,right,60,80,right,1,0.0,1
scenario76,c1,right,80,0.2,20,left,100,100,80,right,60,100,base,0,4.801204289072222,0
scenario77,c2,left,0,1.0,0,right,100,20,60,base,100,40,base,0,2.0169085549767694,0
scenario78,c4,base,20,0.6,40,right,60,0,80,base,0,60,left,1,0.0,1
scenario79,c4,right,40,0.1,40,right,60,60,60,base,60,60,left,1,0.0,1
scenario80,c2,left,100,0.2,80,base_left_lane,60,20,20,left,60,20,right,0,9999.0,0
scenario81,c1,right,40,0.6,60,base_left_lane,100,80,20,left,40,100,left,1,0.0,1
scenario82,c4,base,0,0.8,0,right,60,100,60,base,40,60,left,1,0.0,1
scenario83,c2,left,100,0.8,100,right,40,60,40,left,40,40,base,0,3.546602706460257,0
scenario84,c2,base,60,1.0,20,base_left_lane,20,20,40,left,40,40,right,0,3.1782627566349952,0
scenario85,c1,right,40,0.8,60,left,80,80,0,right,80,0,base,0,8.461936224688166,0
scenario86,c2,left,80,0.1,100,base_left_lane,40,0,80,left,100,100,right,0,3.422542179377845,0
scenario87,c4,base,40,0.1,100,left,80,60,20,base,60,80,right,0,3.1631129254290085,0
scenario88,c4,right,60,0.1,40,right,80,40,0,base,100,80,left,0,9999.0,0
scenario89,c2,left,80,0.4,40,right,80,0,40,base,80,20,base,0,3.723270742801197,0
