Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario1,-60,c4,left,base,right,base,1.0,100,0,0,0,0,0,0,0,2.444688682347239,0
scenario2,-60,c4,right,base,left,right,1.0,100,0,0,0,0,0,40,0,2.790881693963509,0
scenario3,-60,c4,right,base,left,base,1.0,100,0,80,0,0,100,0,0,2.5959597059154387,0
scenario4,-60,c4,left,right,right,base,1.0,40,0,0,0,0,100,40,1,9999.0,1
scenario5,-60,c4,left,base,right,base,0.8,100,0,80,0,0,0,0,0,2.738421468139227,0
scenario6,-30,c4,right,base,left,right,0.2,100,0,0,40,60,0,0,0,1.1662259639154036,0
scenario7,-60,c1,left,right,base,left,0.8,100,0,60,100,0,0,40,0,0.7942420000198493,0
scenario8,-60,c2,right,base,base,left,1.0,100,0,80,80,60,0,20,1,1.9422977361993357,1
scenario9,-60,c4,right,base,left,base,0.2,40,0,0,0,0,100,40,0,2.478907972245929,0
scenario10,-30,c4,left,right,right,base,0.8,100,0,80,0,100,40,0,0,1.275424224122106,0
scenario11,-60,c4,left,base,right,base,1.0,40,0,60,40,0,100,0,0,2.798423345907543,0
scenario12,-60,c1,base,left,left,right,0.2,100,0,40,100,0,60,20,0,2.5007316945038904,0
scenario13,-30,c1,left,right,base,right,0.2,100,20,60,0,0,100,40,0,3.0066219156721403,0
scenario14,-60,c2,base,left,right,base,0.8,60,0,80,80,0,0,40,0,3.3009222386967867,0
scenario15,-60,c1,base,right,left,right,1.0,40,20,60,0,60,0,20,0,3.678693602700109,0
scenario16,-60,c2,base,left,right,left,0.1,100,0,60,0,0,40,0,0,3.757290327119588,0
scenario17,0,c4,right,base,left,right,0.8,100,40,0,40,20,0,0,0,2.6117460271803856,0
scenario18,-30,c4,right,base,left,base,1.0,40,0,0,40,0,60,0,0,3.954655152606023,0
scenario19,30,c1,left,right,base,left,1.0,100,100,80,100,100,100,100,0,0.740775334644799,0
scenario20,-60,c1,base,left,left,right,1.0,60,0,0,0,100,60,20,0,2.154454671496889,0
scenario21,-90,c1,left,right,base,right,0.2,100,0,0,100,60,0,0,0,1.771514165618724,0
scenario22,60,c2,right,left,base,left,1.0,100,20,60,80,0,40,40,0,1.0333201111020802,0
scenario23,-30,c2,right,base,base,left,0.8,100,0,40,20,0,0,40,1,9999.0,1
scenario24,-60,c2,base,left,right,base,1.0,40,40,40,0,0,60,40,0,4.116940512172797,0
scenario25,-30,c4,left,right,right,base,0.1,60,0,60,40,20,0,0,0,1.841103495038591,0
scenario26,-30,c4,left,base,right,base,0.8,60,20,0,40,60,100,0,0,2.5338824724822504,0
scenario27,90,c4,right,base,left,right,0.1,100,100,20,80,0,0,20,0,1.8024647502354056,0
scenario28,0,c1,base,right,left,right,0.8,40,0,80,40,60,100,40,0,2.9718478666192936,0
scenario29,30,c4,right,base,left,base,0.2,60,0,0,0,100,40,40,0,2.7928805866766413,0
scenario30,-60,c1,left,right,base,left,0.1,80,20,0,0,20,40,0,0,3.1188442275824237,0
scenario31,0,c2,base,left,right,left,1.0,60,20,60,80,0,100,0,0,4.145729078133667,0
scenario32,30,c2,right,left,base,left,1.0,100,0,0,80,0,20,100,0,1.5265801785332962,0
scenario33,60,c4,left,right,right,base,1.0,100,0,40,0,0,40,80,0,1.8020383879901547,0
scenario34,-60,c4,left,base,right,base,1.0,20,100,0,100,20,60,100,0,9999.0,0
scenario35,-90,c1,base,left,left,right,0.2,60,0,80,20,0,60,0,0,1.8317003833685848,0
scenario36,-30,c2,right,base,base,left,1.0,40,40,40,100,100,0,40,0,3.818572069630272,0
scenario37,-60,c4,right,base,left,right,0.6,100,20,80,20,80,0,20,0,1.527457087153109,0
scenario38,0,c1,left,right,base,right,0.2,100,60,0,0,100,100,20,0,2.6465306023107,0
scenario39,30,c4,right,base,left,base,0.4,100,80,20,0,0,40,40,0,3.867596234834074,0
scenario40,-90,c4,left,right,right,base,1.0,100,40,0,0,40,0,60,0,1.6038548705634854,0
scenario41,90,c4,left,base,right,base,0.1,80,0,20,80,0,0,40,0,1.99662978136288,0
scenario42,-60,c4,right,base,left,right,0.8,40,100,20,0,100,0,0,0,2.7241811543815246,0
scenario43,-30,c2,base,left,right,base,0.8,40,0,80,100,60,100,80,0,3.990357075085758,0
scenario44,60,c4,right,base,left,base,1.0,40,60,60,0,20,0,100,1,2.934633710380674,1
scenario45,0,c4,left,right,right,base,0.8,100,40,60,60,20,0,0,0,2.207503305433685,0
scenario46,90,c4,left,base,right,base,1.0,80,20,20,20,0,60,40,0,2.0104030418323746,0
scenario47,30,c4,right,base,left,right,0.2,40,60,40,20,0,0,0,0,1.1551968565081645,0
scenario48,-60,c4,right,base,left,base,0.1,20,60,80,80,0,40,80,0,3.9794257725903135,0
scenario49,30,c1,base,right,left,right,0.8,40,0,0,40,0,20,20,0,1.5451041886427008,0
scenario50,-60,c4,left,right,right,base,0.6,100,80,100,80,100,100,60,1,6.585424108697926,1
scenario51,-60,c4,left,base,right,base,0.2,40,100,60,100,60,20,0,0,2.646615244449567,0
scenario52,90,c4,right,base,left,right,0.6,20,0,80,0,100,60,60,0,1.17650621455988,0
scenario53,-90,c4,right,base,left,base,0.8,60,0,20,60,80,0,0,0,2.7928952747456304,0
scenario54,60,c4,left,right,right,base,0.8,60,20,0,100,60,100,0,0,2.138178557228495,0
scenario55,-30,c2,base,left,right,left,0.8,100,0,60,40,40,80,20,0,4.5094955163906985,0
scenario56,90,c4,left,base,right,base,0.1,80,20,80,0,20,0,40,0,2.3494128137442445,0
scenario57,90,c1,left,right,base,left,1.0,40,80,0,20,0,20,60,0,2.5579433563141367,0
scenario58,90,c2,right,left,base,left,0.6,40,40,40,20,0,100,0,0,0.9453845366803292,0
scenario59,-60,c4,right,base,left,right,1.0,40,40,80,60,0,40,80,0,1.5062430402801958,0
scenario60,0,c1,base,left,left,right,0.4,60,60,60,0,0,20,40,0,2.518909560062735,0
scenario61,-60,c2,right,base,base,left,0.8,60,80,60,0,80,40,80,0,3.6031293994633136,0
scenario62,-90,c1,left,right,base,right,0.4,40,0,100,80,20,100,40,0,2.270896729300202,0
scenario63,-60,c2,base,left,right,base,0.8,40,100,60,80,40,60,40,0,3.4627435693692594,0
scenario64,-30,c4,right,base,left,base,0.2,60,60,20,40,60,0,20,0,2.197454542246885,0
scenario65,-60,c4,left,right,right,base,0.4,80,80,20,0,40,0,0,0,2.136526071859789,0
scenario66,60,c1,base,right,left,right,0.1,60,100,80,80,60,100,40,0,2.670295812214772,0
scenario67,0,c4,left,base,right,base,1.0,20,60,80,20,80,100,100,0,9999.0,0
scenario68,30,c1,left,right,base,left,0.2,40,20,80,100,100,100,20,0,1.989444295359776,0
scenario69,-90,c1,base,left,left,right,1.0,60,20,80,40,40,0,80,0,3.080554371553984,0
scenario70,-30,c1,left,right,base,right,1.0,60,0,100,100,0,80,20,0,1.6707360231129609,0
scenario71,-30,c2,base,left,right,left,0.2,60,20,20,80,60,40,40,0,4.735449915105349,0
scenario72,-30,c1,base,right,left,right,0.8,80,20,0,60,100,20,80,0,3.258319547920397,0
