Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario1,-90,c1,base,right,left,right,0.1,100,100,40,20,60,40,0,0,2.598842517509938,0
scenario2,-30,c4,left,base,right,base,0.8,80,0,100,0,20,0,20,0,2.498271144322518,0
scenario3,-90,c2,right,left,base,left,0.6,60,100,20,100,80,20,40,0,4.057683479418111,0
scenario4,-60,c4,left,right,right,base,0.6,20,20,40,80,0,60,100,0,9999.0,0
scenario5,-90,c2,base,left,right,base,1.0,40,60,0,60,100,100,0,0,4.415210954134481,0
scenario6,-30,c4,right,base,left,right,0.4,0,80,80,40,80,100,60,0,1.617831331621933,0
scenario7,0,c2,base,left,right,left,0.2,80,40,60,60,40,20,80,0,3.917562677512948,0
scenario8,60,c4,right,base,left,base,0.1,100,40,0,40,20,20,100,0,3.0269162190651246,0
scenario9,90,c1,left,right,base,left,0.2,60,80,80,0,100,80,100,0,2.368450584552419,0
scenario10,30,c1,left,right,base,right,0.8,0,20,100,100,100,60,0,0,9999.0,0
scenario11,0,c2,right,base,base,left,0.4,20,60,20,20,60,60,80,0,9999.0,0
scenario12,-60,c1,base,left,left,right,0.8,40,0,0,80,40,80,60,0,3.0280751081223216,0
scenario13,30,c2,right,base,base,left,0.8,100,80,40,60,0,0,40,1,9999.0,1
scenario14,-60,c1,left,right,base,left,1.0,0,60,60,40,40,40,20,0,1800.2198558707846,0
scenario15,0,c4,right,base,left,base,0.4,40,40,40,100,80,80,20,0,4.091348952685982,0
scenario16,-30,c1,left,right,base,right,1.0,20,0,80,80,60,20,40,0,2.1721119073920305,0
scenario17,90,c4,right,base,left,base,0.2,40,20,100,20,20,40,80,0,3.86827541019298,0
scenario18,-30,c2,base,left,right,left,0.2,40,100,60,100,60,0,60,0,3.813509181808538,0
