Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario1,c1,base,left,left,right,0,60,40,0,90,0,60,80,0.8,False,2.62,0
scenario2,c2,base,left,right,left,0,20,20,40,30,40,100,20,0.2,False,3.77,0
scenario3,c1,base,right,left,right,0,80,60,0,-90,40,100,60,0.1,False,3.076,0
scenario4,c1,left,right,base,left,100,20,20,0,-30,60,80,60,0.4,False,1.459,0
scenario5,c2,right,left,base,left,40,40,80,60,-60,80,100,80,0.8,False,0.678,0
scenario6,c2,right,left,base,left,60,100,80,60,60,80,100,100,0.8,False,0.713,0
scenario7,c2,base,left,right,base,40,80,0,100,-60,100,0,60,1.0,False,3.921,0
scenario8,c2,right,base,base,left,40,40,80,60,-90,100,60,60,0.8,False,0.627,0
scenario9,c2,right,left,base,left,20,80,0,100,-30,0,40,20,0.6,False,0.662,0
scenario10,c4,left,right,right,base,100,40,60,100,60,20,80,60,0.2,False,1.691,0
scenario11,c1,base,right,left,right,60,60,0,0,-60,60,20,0,0.4,False,2.937,0
scenario12,c2,base,left,right,left,60,100,60,0,-90,80,0,80,0.4,False,4.2,0
scenario13,c2,right,base,base,left,40,40,80,60,-90,100,60,60,0.8,True,0.0,1
scenario14,c2,right,left,base,left,40,60,100,80,-90,100,100,40,0.8,True,0.0,1
scenario15,c2,right,base,base,left,60,40,100,80,0,100,100,60,0.8,True,0.0,1
scenario16,c2,right,base,base,left,20,60,60,40,-90,80,60,0,0.6,True,0.0,1
scenario17,c2,right,base,base,left,40,40,60,40,30,100,80,60,0.8,True,0.0,1
scenario18,c4,left,base,right,base,20,40,100,80,90,100,60,40,0.8,False,2.9,0
scenario19,c1,left,right,base,right,60,60,100,80,-60,40,40,40,0.6,False,2.596,0
scenario20,c2,right,base,base,left,60,80,80,40,-90,100,40,80,0.8,True,0.0,1
scenario21,c2,right,base,base,left,60,20,100,60,60,100,0,80,0.6,False,0.552,0
scenario22,c1,left,right,base,right,40,60,80,40,60,100,60,60,0.8,False,1.949,0
scenario23,c2,right,base,base,left,40,60,80,80,-90,100,40,0,1.0,False,0.702,0
scenario24,c1,base,left,left,right,20,0,60,60,-60,80,40,80,1.0,False,2.884,0
scenario25,c2,right,base,base,left,40,40,80,60,-90,100,60,60,0.8,True,0.0,1
scenario26,c1,left,right,base,left,60,40,80,60,-90,100,60,40,0.6,False,2.464,0
scenario27,c4,left,base,right,base,40,40,60,40,30,100,100,60,0.8,False,2.628,0
scenario28,c1,left,right,base,right,40,80,100,20,60,100,80,20,0.8,False,1.002,0
scenario29,c2,right,base,base,left,20,0,40,100,-90,100,40,0,1.0,True,0.0,1
scenario30,c1,left,right,base,left,40,60,100,80,0,80,40,20,1.0,False,3.623,0
scenario31,c1,base,right,left,right,20,40,80,40,30,20,100,20,0.6,False,3.161,0
scenario32,c1,base,right,left,right,40,60,20,100,-90,80,100,60,0.8,False,2.501,0
scenario33,c4,left,base,right,base,0,20,100,80,90,80,40,40,0.8,True,0.0,1
scenario34,c1,left,right,base,left,60,80,80,40,60,100,60,40,1.0,False,3.834,0
scenario35,c1,left,right,base,right,60,60,80,60,-60,40,40,40,0.8,False,2.277,0
scenario36,c2,base,left,right,base,20,60,80,20,-60,100,20,20,0.8,False,4.287,0
scenario37,c2,right,base,base,left,40,40,80,60,-90,100,60,60,0.8,True,0.0,1
scenario38,c4,right,base,left,base,40,20,40,100,-90,80,40,0,1.0,False,2.782,0
scenario39,c4,left,base,right,base,80,20,100,100,90,40,40,40,0.8,False,1.879,0
scenario40,c2,right,left,base,left,0,20,40,100,-60,100,20,0,1.0,False,1.006,0
scenario41,c2,base,left,right,base,40,60,100,40,-60,100,40,40,0.8,False,4.054,0
scenario42,c1,left,right,base,left,40,80,20,100,30,0,40,20,1.0,False,1619.934,0
scenario43,c1,left,right,base,right,80,80,60,40,90,100,60,60,0.8,False,2.165,0
