Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario1,-90,20,40,0,0,0,0.8,0,100,0,0,0,c1,0.01539,base,right,left,right,0,3.226890852033309,0
scenario2,90,60,100,0,0,0,0.8,0,100,0,0,0,c2,0.00234,right,left,base,left,0,1.3127476649421197,0
scenario3,30,20,20,0,0,0,0.8,0,100,0,0,0,c4,0.00616,right,base,left,base,0,3.252590001242571,0
scenario4,0,60,100,0,0,0,0.8,0,100,0,0,20,c1,0.00192,left,right,base,right,0,4451.624450361059,0
scenario5,-90,20,100,0,20,40,0.8,0,100,0,0,20,c2,0.002,base,left,right,left,0,4.124215762316239,0
scenario6,90,60,20,0,0,0,0.8,0,100,0,0,20,c4,0.00311,left,right,right,base,0,9999.0,0
scenario7,-30,60,40,0,0,0,0.8,0,100,0,0,40,c1,0.0024,left,right,base,left,0,9999.0,0
scenario8,-90,60,100,0,0,0,0.8,0,100,0,0,40,c2,0.00387,base,left,right,base,0,4.0260841379473495,0
scenario9,90,20,60,0,0,0,0.8,0,100,0,0,40,c4,0.0053,left,base,right,base,0,9999.0,0
scenario10,-30,20,80,0,0,0,0.8,0,100,0,0,60,c1,0.00757,base,left,left,right,0,3.0149263219853664,0
scenario11,30,20,80,0,0,0,0.8,0,100,0,0,60,c2,0.00677,right,base,base,left,1,1.0881247501346818,1
scenario12,60,60,60,0,0,0,0.8,0,100,0,0,60,c4,0.00245,right,base,left,right,0,2.634296884827597,0
scenario13,-90,20,40,0,20,40,0.8,0,100,0,0,80,c1,0.00264,base,right,left,right,0,2.0512466599223638,0
scenario14,-30,20,20,0,0,0,0.8,0,100,0,0,80,c2,0.00632,right,left,base,left,0,1.2857755681591865,0
scenario15,-90,60,20,0,0,0,0.8,0,100,0,0,80,c4,0.00342,right,base,left,base,0,2.744535443058114,0
scenario16,0,40,60,0,0,0,0.8,0,100,0,0,100,c1,0.00289,left,right,base,right,0,9999.0,0
scenario17,-90,20,80,0,0,0,0.8,0,100,0,0,100,c2,0.01511,base,left,right,left,0,4.107238433671624,0
scenario18,-60,40,60,0,0,0,0.8,0,100,0,0,100,c4,0.00205,left,right,right,base,0,9999.0,0
scenario19,90,20,20,0,0,0,0.8,0,100,0,20,0,c1,0.00805,left,right,base,left,0,3373.089980390557,0
