Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario1,-60,20,40,60,0,0,0.8,20,80,0,0,0,c1,1e-05,base,left,left,right,1,9999.0,1
scenario2,90,40,100,80,0,80,0.4,100,0,0,0,0,c2,1e-05,base,left,right,base,0,4.237467133949194,0
scenario3,60,20,60,0,80,100,0.1,0,100,0,0,0,c4,1e-05,right,base,left,base,0,2.9915374320617456,0
scenario4,-90,60,40,40,100,60,0.6,100,0,0,0,20,c1,1e-05,base,right,left,right,0,2.0897483719146046,0
scenario5,90,60,40,0,0,0,0.8,20,80,0,0,20,c2,1e-05,right,left,base,left,0,1.076145272181715,0
scenario6,-90,0,100,0,100,60,0.6,0,100,0,0,20,c4,1e-05,left,right,right,base,0,9999.0,0
scenario7,-60,80,100,0,0,80,0.4,80,20,0,0,40,c1,1e-05,left,right,base,right,0,0.8931911028427625,0
scenario8,60,40,20,20,100,40,0.6,100,0,0,0,40,c2,1e-05,right,base,base,left,1,9999.0,1
scenario9,-30,60,20,0,0,100,0.2,20,80,0,0,40,c4,1e-05,right,base,left,right,0,1.5802146438903268,0
scenario10,90,20,20,0,0,100,0.6,80,20,0,0,60,c1,1e-05,left,right,base,left,0,0.5153494976918669,0
scenario11,30,40,80,80,20,40,0.8,40,60,0,0,60,c2,1e-05,base,left,right,left,0,3.7598855045602018,0
scenario12,60,40,100,0,0,0,0.4,80,20,0,0,60,c4,1e-05,left,base,right,base,0,2.440692310512972,0
scenario13,-30,20,20,20,100,0,0.6,0,100,0,0,80,c1,1e-05,base,left,left,right,1,5.196825437311555,1
scenario14,-30,60,20,100,0,100,0.1,60,40,0,0,80,c2,1e-05,base,left,right,base,0,3.8266607249669313,0
scenario15,90,80,40,60,100,40,0.6,20,80,0,0,80,c4,1e-05,right,base,left,base,0,2.8340564075504355,0
scenario16,-90,40,100,100,0,80,0.4,100,0,0,0,100,c1,1e-05,base,right,left,right,0,2.8938472419853483,0
scenario17,-30,60,40,0,0,0,0.8,100,0,0,0,100,c2,1e-05,right,left,base,left,0,0.7427819706359989,0
scenario18,-90,20,20,0,0,100,0.1,80,20,0,0,100,c4,1e-05,left,right,right,base,1,9999.0,1
scenario19,0,60,100,0,0,40,0.8,0,100,0,20,0,c1,1e-05,left,right,base,right,0,9999.0,0
scenario20,-30,20,100,0,80,40,0.6,80,20,0,20,0,c2,1e-05,right,base,base,left,1,0.5286276529429138,1
