Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c4,base,40,0.6,60,right,0,20,60,base,80,60,-90,left,0,2.80123077803211,0
scenario2,c4,base,60,1.0,100,right,60,60,0,base,0,60,30,left,0,9999.0,0
scenario3,c1,left,0,0.2,0,left,0,40,80,right,0,60,60,base,0,2.2783915404413304,0
scenario4,c1,right,20,0.4,100,base,80,60,20,right,60,20,-30,left,0,9999.0,0
scenario5,c2,left,0,0.6,100,base_left_lane,40,100,40,left,100,100,60,right,0,3.1221158987468938,0
scenario6,c4,right,60,0.6,60,right,80,40,80,base,40,80,90,left,0,2.9601988095423333,0
scenario7,c2,left,80,0.6,100,base_left_lane,40,100,100,left,20,40,60,right,0,2.1838614479727183,0
scenario8,c2,base,40,0.4,0,base_left_lane,60,20,100,left,80,60,0,right,0,2.281949302865865,0
scenario9,c4,base,0,0.6,80,left,20,20,20,base,80,80,90,right,1,3.8846567304981297,1
scenario10,c2,left,80,0.2,60,base_left_lane,80,40,0,left,100,100,60,right,0,3.534799693273746,0
scenario11,c1,right,40,0.6,20,left,60,60,80,right,0,80,30,base,0,2.015632903685971,0
scenario12,c4,base,80,0.1,40,right,80,40,80,base,0,60,30,left,0,2.945052193269352,0
scenario13,c4,base,0,0.1,40,right,20,80,80,base,80,0,90,left,0,2.290290691573176,0
scenario14,c4,base,20,0.4,80,right,40,60,0,base,0,20,-30,left,0,9999.0,0
scenario15,c4,base,20,0.6,100,left,80,20,40,base,40,100,60,right,0,3.612405856776858,0
scenario16,c2,left,60,0.4,20,base_left_lane,40,0,60,left,0,40,-30,right,0,3.0000946724294777,0
scenario17,c1,right,20,0.2,20,left,0,80,60,right,60,0,-90,base,0,2.7823417896498843,0
scenario18,c1,right,100,0.1,20,left,100,80,60,right,20,80,30,base,0,3.0543215714946124,0
scenario19,c4,base,0,0.4,20,right,60,100,40,base,100,20,60,left,0,3.012777130461568,0
scenario20,c4,base,20,0.8,40,right,100,40,80,base,40,20,0,left,0,2.228778604243089,0
scenario21,c4,base,100,0.4,0,right,20,80,80,base,60,60,30,left,0,2.3543277205046262,0
scenario22,c2,base,80,0.4,0,base_left_lane,60,80,60,left,100,100,-60,right,0,1.6411888214371189,0
scenario23,c1,right,40,0.2,20,left,60,40,20,right,80,40,-90,base,0,3.108212110377921,0
scenario24,c1,left,0,0.8,80,left,100,20,60,right,40,40,90,base,0,2.59138707418674,0
scenario25,c4,base,20,0.4,80,left,0,100,20,base,0,20,-60,right,0,2.634050739499647,0
scenario26,c2,left,40,0.4,100,base_left_lane,0,0,20,left,0,100,90,right,0,2.8493177909309293,0
scenario27,c1,right,100,0.8,100,left,80,80,60,right,0,60,-60,base,0,1.9050193808997649,0
scenario28,c4,base,0,0.8,40,right,0,80,60,base,40,60,-30,left,0,2.259248395763629,0
scenario29,c2,left,20,0.4,20,base_left_lane,0,20,20,left,20,80,-30,right,0,3.625533787362004,0
scenario30,c4,right,80,0.6,80,right,100,60,40,base,60,40,90,left,0,3.2528130250288885,0
scenario31,c1,right,60,1.0,80,left,20,100,60,right,80,80,-30,base,0,1.938340227170664,0
scenario32,c2,left,80,0.4,60,base_left_lane,100,40,60,left,80,100,60,right,0,2.903290738166649,0
scenario33,c4,base,40,0.8,80,left,60,80,100,right,40,80,-30,right,0,1.5530127804788882,0
scenario34,c2,left,100,0.2,40,base_left_lane,40,60,0,left,80,100,30,right,0,2.049217187604942,0
scenario35,c1,right,0,0.8,20,base,100,0,80,right,80,100,-30,left,1,9999.0,1
scenario36,c4,base,0,1.0,40,right,100,0,40,base,60,20,-90,left,0,1.6820661315912138,0
scenario37,c2,left,0,0.2,40,base_left_lane,0,0,0,left,0,40,60,right,0,3.0667596286116674,0
scenario38,c2,left,60,0.1,20,right,0,80,0,base,100,20,30,base,0,4.118058736388398,0
scenario39,c2,left,60,0.6,100,base_left_lane,40,60,80,left,0,0,30,right,0,2.0107547299222004,0
scenario40,c4,base,100,0.2,0,left,0,60,40,base,20,0,60,right,0,3.0423556204374247,0
scenario41,c4,base,40,0.8,100,right,40,20,60,base,40,0,30,left,0,2.485106138974072,0
scenario42,c2,left,20,0.8,60,base_left_lane,20,40,0,left,0,100,-60,right,0,2.861511842590045,0
scenario43,c4,base,60,0.8,0,left,100,20,40,base,20,80,-90,right,0,2.709403767974779,0
scenario44,c2,left,20,0.8,60,base_left_lane,0,40,60,left,80,20,-90,right,0,2.884663495073303,0
scenario45,c4,base,0,0.8,0,left,0,20,20,base,0,20,-60,right,0,2.8000553445707963,0
scenario46,c4,base,20,0.8,100,right,60,80,20,base,100,60,60,left,0,9999.0,0
scenario47,c4,right,20,0.8,60,right,80,60,100,base,80,40,-90,left,0,2.941070226324982,0
scenario48,c4,base,0,0.4,60,right,40,100,100,base,40,0,90,left,0,2.554801353275616,0
scenario49,c1,right,100,0.1,20,base_left_lane,60,60,60,left,0,80,0,left,0,1.8373222043374868,0
scenario50,c1,right,20,0.4,20,left,0,40,60,right,100,0,90,base,0,3.117922444790249,0
scenario51,c2,base,0,0.4,0,base_left_lane,60,20,0,left,40,0,-30,right,0,2.8041106000455644,0
scenario52,c1,right,80,0.6,0,left,0,100,60,right,0,100,60,base,0,3.000075613462697,0
scenario53,c1,right,40,0.6,60,left,40,60,80,right,20,100,0,base,0,3.1996743474768694,0
scenario54,c2,left,60,1.0,80,base_left_lane,20,60,40,left,20,60,30,right,0,3.533360272006751,0
scenario55,c4,base,0,0.6,20,right,80,80,40,base,100,80,-90,left,0,2.322676269122836,0
scenario56,c1,right,20,1.0,20,left,0,100,60,right,100,100,-30,base,0,2.0653295966895326,0
scenario57,c1,right,0,0.8,60,base,40,20,80,right,80,0,-60,left,0,0.9836586102111388,0
