Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario1,c1,right,20,0.6,20,left,0,40,0,right,80,40,-60,base,0,2.467035508915809,0
scenario2,c4,right,80,1.0,0,right,0,20,60,base,100,20,0,left,0,2.033316980260929,0
scenario3,c2,left,0,0.8,40,right,0,100,0,left,0,100,90,base,0,4.113705005516872,0
scenario4,c4,base,20,0.2,40,right,80,80,20,base,100,100,60,left,0,2.388145802177424,0
scenario5,c2,left,60,0.1,0,right,40,60,60,left,20,60,-90,base,0,3.951315337913882,0
scenario6,c1,right,100,0.4,20,base_left_lane,60,60,100,left,60,0,30,left,0,1.1888732459493183,0
scenario7,c2,left,80,0.6,100,base_left_lane,60,80,20,left,100,40,-30,right,0,3.5670020638947504,0
scenario8,c1,right,40,0.2,60,left,60,100,100,right,40,0,-60,base,0,3.456328396186564,0
scenario9,c4,base,0,1.0,100,left,80,20,80,base,80,20,90,right,0,2.704232209268856,0
scenario10,c2,base,0,0.6,20,base_left_lane,20,100,0,left,60,100,-90,right,0,2.654174981537702,0
scenario11,c1,left,0,0.8,80,left,60,60,20,right,100,40,60,base,0,2.6452550836407327,0
scenario12,c4,base,20,0.6,0,right,0,0,60,base,0,0,30,left,0,2.4561955497579717,0
scenario13,c1,right,100,0.1,60,base,60,80,20,right,20,60,60,left,0,1.2288757120543976,0
scenario14,c1,left,60,0.1,80,left,100,60,60,right,20,80,-30,base,0,1.854334361895924,0
scenario15,c4,base,80,0.1,60,left,20,80,80,base,0,100,-60,right,0,3.1570744134293816,0
scenario16,c4,base,100,0.4,100,left,80,0,60,base,20,60,90,right,0,4.121430582736829,0
scenario17,c1,right,20,0.1,0,base_left_lane,20,40,40,left,100,100,-90,left,0,0.8122995774375623,0
scenario18,c1,left,100,0.4,40,left,60,20,100,right,100,40,60,base,1,9999.0,1
scenario19,c2,left,40,0.1,20,right,100,60,60,left,40,80,90,base,0,4.487081580731212,0
scenario20,c4,base,60,0.8,60,left,100,100,60,right,40,20,60,right,0,1.7272284897177266,0
scenario21,c2,base,40,1.0,40,base_left_lane,40,20,40,left,60,60,-30,right,0,2.0420064489533027,0
scenario22,c1,right,100,0.8,20,left,100,20,20,right,80,80,30,base,0,1.7574765702964887,0
scenario23,c4,base,40,0.2,40,left,40,40,0,right,80,0,-30,right,0,9999.0,0
