Instances,feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
scenario1,-60,right,1.0,0,100,80,80,80,80,80,0,5.484093598627455,60.02364945411682,0
scenario2,-30,left,1.0,60,60,0,40,60,20,20,0,1.0902574676339174,21.900919914245605,0
scenario3,-90,right,0.2,20,80,100,60,20,40,20,0,0.8816285178650476,26.88396954536438,0
scenario4,-90,left,0.6,40,0,60,20,40,100,0,0,1.0840146801259825,22.36751508712769,0
scenario5,-90,left,0.4,80,40,20,100,0,0,100,0,1.0909379468800269,22.43220376968384,0
scenario6,-60,left,0.8,100,20,40,0,100,60,60,0,1.0985882000563727,22.24068307876587,0
scenario7,-30,right,0.4,100,0,100,20,80,60,40,0,0.8346232126405316,26.88677835464477,0
scenario8,-90,right,1.0,60,40,80,60,100,100,60,0,0.8218437986335433,26.85372018814087,0
scenario9,60,right,0.1,0,60,60,0,20,0,40,0,1.0136206754565515,26.188465118408203,0
scenario10,-90,left,0.1,20,60,0,80,40,60,80,0,1.0382657043187415,22.80229544639588,0
scenario11,0,right,0.8,0,100,40,20,60,40,100,0,1.0256802075939977,27.190105438232425,0
scenario12,-60,right,0.1,40,20,20,40,0,40,0,0,0.9393550173473384,27.062323808670044,0
scenario13,-60,right,0.2,80,0,80,100,40,0,20,0,0.9167375956312198,27.028355360031128,0
scenario14,60,left,0.2,40,100,100,100,100,20,0,0,1.1795325220803643,21.85694122314453,0
scenario15,30,left,0.6,60,80,40,60,0,80,40,0,1.17523620956347,22.149652004241943,0
scenario16,-30,left,0.8,100,80,20,100,20,100,80,0,1.0469342701380284,22.52385687828064,0
scenario17,0,left,0.6,100,40,20,0,40,80,20,0,1.0525393602399051,22.5562047958374,0
scenario18,90,right,0.6,80,80,60,40,80,20,60,0,0.766962653059647,26.18374824523925,0
scenario19,60,left,0.2,60,20,20,60,80,60,100,0,1.111702763133758,22.056878089904785,0
scenario20,60,right,0.4,100,80,0,80,60,0,0,0,0.8801874737595459,26.438352346420288,0
scenario21,0,left,1.0,80,0,60,80,100,40,80,0,1.0468677199401768,22.49165201187133,0
scenario22,90,left,1.0,20,20,0,20,20,80,100,0,1.2043831196736068,21.90500974655152,0
scenario23,-30,left,0.4,20,100,80,0,40,40,60,0,0.6116750414316839,21.737663984298703,0
scenario24,60,left,0.8,40,60,40,80,0,100,20,0,1.1386496174862657,21.917266607284542,0
scenario25,90,left,0.8,60,40,100,60,60,0,80,0,1.1909287395879735,21.9442355632782,0
scenario26,0,left,0.6,0,20,80,100,40,20,40,0,1.0515238708470245,22.91574621200561,0
scenario27,-60,right,0.2,20,40,0,40,60,100,40,0,0.8880468684851254,27.209136247634888,0
scenario28,-30,left,0.6,0,60,100,40,100,0,100,0,1.063685376555736,23.72562313079834,0
scenario29,30,right,0.4,40,60,80,20,20,0,60,0,0.5145320541281796,31.818666219711304,0
scenario30,30,left,1.0,0,40,60,100,60,60,0,0,1.0867801047558463,22.479283094406128,0
scenario31,60,right,0.8,80,0,40,40,40,80,80,0,0.7674782375049322,26.668147802352905,0
scenario32,0,right,0.4,60,60,60,60,20,80,0,0,0.9012917848607568,27.13166642189026,0
scenario33,90,right,0.4,0,100,20,20,100,60,20,0,0.8545431088123022,26.207043170928955,0
scenario34,30,right,0.1,100,0,40,40,20,20,100,0,0.8424067186889123,26.43482780456543,0
scenario35,-30,left,0.1,80,20,100,80,0,80,60,0,1.0719581166397143,22.383209705352783,0
scenario36,-60,right,1.0,40,80,100,0,40,100,100,0,0.8120267457712419,27.008411169052124,0
scenario37,90,right,0.1,20,60,40,100,80,100,0,0,0.8843192507690804,26.17256808280945,0
scenario38,-90,right,0.8,80,100,0,0,0,20,40,0,0.9184340746893248,26.992154598236084,0
scenario39,90,right,0.2,100,60,80,80,0,40,40,0,0.7974570848249387,26.32003903388977,0
scenario40,90,right,0.6,40,0,20,0,60,20,80,0,0.9379682286844144,26.36630916595459,0
scenario41,0,left,0.2,0,0,0,40,0,60,60,0,1.113837352936522,22.922461986541748,0
scenario42,30,right,0.2,40,40,0,0,80,40,80,0,0.7617863697519767,26.544731855392456,0
scenario43,-90,left,0.1,0,20,60,60,60,80,20,0,1.087166947208263,22.75093388557434,0
scenario44,-30,right,0.2,20,40,40,20,0,0,80,0,0.8663175288456711,27.208906650543213,0
